Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CH4OX(60),CHOX(53),C2H4X(209),C2H4X(65)
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.4190776414974418e-54,1.770306340111433e-30,1.9408184939137574e-72,8.8996631958967012e-46,1.4944883223344883e-110,5.2606316163439658e-17,1.0612387388720776e-89,5.2606316163429816e-17,6.4819285981321028e-61,9.8161993478116121e-59,2.0760102571432879e-93,2.407129156855437e-94,1.4878361635233556e-41,1.4858582611731e-71,2.872975343858981e-15,8.506369370489945e-17,3.4053849005122708e-19,3.4053848962130352e-19,2.1174171618804628e-28,2.462826049400429e-34,2.7342641936993093e-39,1.9883402417383137e-31,6.9133338824646102e-44,5.3697871125218941e-32,1.18543456485092e-81,1.0688886673786486e-45,1.5927263731757893e-64,3.6560494446542498e-87,8.6858610970560883e-73,1.6585842182905378e-90,1.0946084909123062e-95,1.3828781655812032e-85
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.873676442293606e-53,7.0858389225974338e-30,1.2729461003475568e-70,7.1269485009609727e-45,3.9203679813208232e-108,1.0525833720626444e-16,6.8024254273877273e-88,1.0525833720622506e-16,1.0382350712581403e-59,1.5724196792293666e-57,2.7230189286490774e-91,3.1573342347520624e-92,1.1911735985790584e-40,4.7600830899551987e-70,5.7484467566512921e-15,1.7020129157461456e-16,6.8137284368686668e-19,6.8137284196605106e-19,8.4751769313667092e-28,1.9717556739233764e-33,2.241799423332318e-38,7.9585427266269215e-31,5.5348707167150449e-43,2.1493142512939533e-31,7.5954338049302935e-80,8.5576086203428753e-45,5.2240219621462685e-63,4.7954926040565576e-85,2.7828179436775264e-71,2.1767931697036927e-88,1.4027094751586536e-93,8.8605137241756012e-84
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,6.2004053205674516e-52,2.8352585508484959e-29,8.5267755414345323e-69,5.7044473892291701e-44,1.0501658894761888e-105,2.1056237929193692e-16,4.3569145023384822e-86,2.1056237929177944e-16,1.6620778242281523e-58,2.5173346691332595e-56,3.647423450780067e-89,4.2291791673738927e-90,9.533009003210847e-40,1.5240809748774956e-68,1.1499389582231747e-14,3.4047648731403941e-16,1.3630415522504784e-18,1.3630415453649664e-18,3.3911668212930695e-27,1.5779995234994396e-32,1.8785134158515417e-37,3.1844537352114768e-30,4.4295787460241211e-42,8.6000566116459168e-31,4.8638482108298033e-78,6.8486876972090967e-44,1.7502092404589081e-61,6.423455955691101e-83,8.910368983089343e-70,2.9173418586563913e-86,1.7964995774076182e-91,5.6739604575736482e-82
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,9.9226673681632391e-51,1.1342880481283767e-28,5.938753711721809e-67,4.5647136285817874e-43,2.924434721723318e-103,4.2117046346337391e-16,2.7895016792248445e-84,4.2117046346274376e-16,2.6600460921006634e-57,4.0289063904124784e-55,5.0792799424285996e-87,5.8894134973123837e-88,7.6278555916828788e-39,4.8784265528544392e-67,2.3001275233376008e-14,6.8102687879286721e-16,2.7263789745470746e-18,2.7263789470004805e-18,1.3566812317154212e-26,1.2626325349403391e-31,1.6381488056885006e-36,1.2739888503501419e-29,3.5443360246258972e-41,3.4405826427223676e-30,3.1137497172101952e-76,5.4799906632319052e-43,6.0984870930123932e-60,8.9450899614265854e-81,2.8521746120179935e-68,4.0653844528636112e-84,2.3001797969861223e-89,3.6323688042669632e-80
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.5877882887627313e-49,4.5375215154311951e-28,4.415765628913722e-65,3.6522332455484562e-42,8.6919182135177229e-101,8.423866318066155e-16,1.785625599038552e-82,8.423866318040949e-16,4.2566510869540885e-56,6.4471870831198048e-54,7.5499581911055286e-85,8.7541592727954497e-86,6.1028638809728982e-38,1.5613153184071322e-65,4.6005046535597894e-14,1.3621276617504365e-15,5.4530538398180885e-18,5.4530537296222396e-18,5.4271160612565599e-26,1.0101909986497102e-30,1.5267448584885268e-35,5.0963701260115744e-29,2.8357380834935617e-40,1.37634506228275e-29,1.9930836575609563e-74,4.3844087176462577e-42,2.2693584441329461e-58,1.3296186775875741e-78,9.1283293737751163e-67,6.0487698070411108e-82,2.9446528209750718e-87,2.325046553803702e-78
1.9089717667160392e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990512,0.11866996602987162,0.022821567693052925,0.0,2.5405904181243322e-48,1.8150825062191791e-27,3.6127390467340375e-63,2.9219715437761642e-41,2.8418763738194247e-98,1.68481896849457e-15,1.1429106428939071e-80,1.6848189684844864e-15,6.8111036395121247e-55,1.0316248782513341e-52,1.2346317368906686e-82,1.4315526737318916e-83,4.8825228643444528e-37,4.9965591522043907e-64,9.201258913977522e-14,2.7243292276652277e-15,1.090640365307405e-17,1.0906403212268682e-17,2.1708943326853709e-25,8.0817366004574952e-30,1.5672216192018799e-34,2.0386309843160173e-28,2.2686982163188178e-39,5.5056042483316559e-29,1.275664373593014e-72,3.507693362487324e-41,9.2948662183870589e-57,2.1743026321460389e-76,2.9212846628430478e-65,9.9039961495957322e-80,3.7694261401769477e-85,1.4881349944334323e-76
3.8179953190102114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.022821567693051562,0.0,4.0650478056311258e-47,7.2604780902518358e-27,3.3188472481197167e-61,2.3376512145740895e-40,1.0432252518253539e-95,3.3696836418763641e-15,7.3149809559119313e-79,3.3696836418360281e-15,1.0898135343303104e-53,1.6506597320582339e-51,2.2668667555623396e-80,2.6284267997905803e-81,3.9061109723960913e-36,1.5989549471765029e-62,1.8402767434706391e-13,5.4487323594934236e-15,2.1813103610462911e-17,2.1813101847173285e-17,8.6834305902694621e-25,6.4652626746973968e-29,1.8070137959009658e-33,8.1546896963256059e-28,1.8150017352191098e-38,2.2022864846397576e-28,8.1645426321622316e-71,2.8062210945609363e-40,4.2751500625848393e-55,3.9921655037756161e-74,9.3484614091280716e-64,1.8209255070235092e-77,4.8250385844528831e-83,9.5243932646790618e-75
7.636042423598555e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,6.5041583868924048e-46,2.9042210595348316e-26,3.4124201867952657e-59,1.8701505613087324e-39,4.2868009579522604e-93,6.7394129886634912e-15,4.6817007128049285e-77,6.7394129885021463e-15,1.7437312127792183e-52,2.6411034127650303e-50,4.6588393459912366e-78,5.4019134619719975e-79,3.1249258101695252e-35,5.1167454302641888e-61,3.6805784475737771e-13,1.089753862314427e-14,4.3626504848917958e-17,4.3626497795429452e-17,3.4731488639374296e-24,5.1718234529536671e-28,2.3306581722968843e-32,3.2619089412660874e-27,1.4520187511859562e-37,8.8092353873256489e-28,5.2254002466566522e-69,2.2450031937438576e-39,2.200419667449715e-53,8.2046537350868088e-72,2.9915635071710359e-62,3.7467584400692221e-75,6.1761601373957393e-81,6.0957076557487587e-73
1.5272136632775244e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679924182,0.11866996602921565,0.022821567693043388,0.0,1.0406716977173519e-44,1.161694556563025e-25,3.8326177419934782e-57,1.4961322807996999e-38,1.9246720080785881e-90,1.3478871682331896e-14,2.9963245704347001e-75,1.3478871681686521e-14,2.7899935732345779e-51,4.225803410810236e-49,1.0460704744521386e-75,1.2129162695656678e-76,2.4999553961587933e-34,1.6373728532521481e-59,7.3611818556095078e-13,2.1795151150423773e-14,8.7253312621895387e-17,8.7253284405730151e-17,1.3890596894036469e-23,4.1367665479273303e-27,3.2802378619810359e-31,1.3047701175856958e-26,1.1616221028260447e-36,3.5237119466475478e-27,3.3442858485013705e-67,1.7960126917621235e-38,1.2367130459052563e-51,1.84222818777017e-69,9.5730911663084495e-61,8.4197660003360229e-73,7.9055557205991233e-79,3.9012715621315563e-71
3.054432505112862e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.6650791736045705e-43,4.6467918354101474e-25,4.5621080054620088e-55,1.1969105506430971e-37,9.1605573358739185e-88,2.695778907004532e-14,1.9176592630334281e-73,2.6957789067463817e-14,4.464008579639347e-50,6.7613147835744686e-48,2.4897231357642222e-73,2.8868280142188205e-74,1.9999701121933656e-33,5.2396159044991875e-58,1.4722388670998782e-12,4.3590376204894026e-14,1.745069493629685e-16,1.745068364814903e-16,5.5545981947480231e-23,3.3082767131979597e-26,4.8881862129422919e-30,5.2190929805514301e-26,9.2930077350596591e-36,1.4094882585180569e-26,2.1403523704730858e-65,1.4368135832640737e-37,7.3642615744684996e-50,4.3846350063387293e-67,3.0634023305566628e-59,2.0049726437572574e-70,1.011915625227362e-76,2.496804351706484e-69
