Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65)
5.399167965093974e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999722,0.11866996602996267,0.022821567693054247,0.0,5.7794642502643077e-60,1.4525590461071186e-30,0.0,6.6145701731030385e-46,0.0,4.7651938914726419e-17,5.8623157832815923e-90,4.7651938914241497e-17,4.3639019620925698e-61,7.0831587788272246e-60,0.0,0.0,2.0841296480178474e-46,9.0613063065838386e-72,2.602403201212217e-15,7.7052533457254398e-17,3.0846712902973815e-19,4.4059739060201594e-32,1.6314586599895273e-31,3.0846712854759479e-19,5.1382542266920895e-44,6.5483773867870297e-82,5.6548899696205772e-60,5.4771875483853558e-96,7.6390619979872511e-86
1.0803026779853538e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999455,0.11866996602996002,0.022821567693054209,0.0,9.2558589805460007e-59,5.814021662551118e-30,0.0,5.2970207906595353e-45,0.0,9.5345278298628037e-17,3.7576809521076865e-88,9.534527829668707e-17,6.9898271724000503e-60,1.1346229811909514e-58,0.0,0.0,1.6685690974000861e-45,2.9028725046910257e-70,5.2070673956476328e-15,1.5417201090534766e-16,6.1720225730829539e-19,1.7635356847191705e-31,6.5300863406105063e-31,6.1720225537846524e-19,4.1137276598889879e-43,4.1957412450552401e-80,9.0576515949811911e-59,7.0188591949148097e-94,4.8945753545712591e-84
2.1610744409372666e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998917,0.11866996602995472,0.022821567693054132,0.0,1.481632665970231e-57,2.3263659764114327e-29,0.0,4.2397635417741515e-44,0.0,1.9073195706931504e-16,2.4067731149246967e-86,1.9073195706154856e-16,1.1189794160824576e-58,1.8164483662066249e-57,0.0,0.0,1.3353594113089306e-44,9.2944023731592543e-69,1.0416395784515047e-14,3.0841096580152971e-16,1.2346725138819965e-18,7.0564229840327662e-31,2.6128851167224504e-30,1.2346725061601622e-18,3.2922323737158224e-42,2.6868048714016829e-78,1.4500109148923026e-57,8.9893009212715365e-92,3.1343134325832989e-82
4.322617966841092e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997845,0.1186699660299441,0.02282156769305398,0.0,2.3711607248066718e-56,9.3069787441902663e-29,0.0,3.3926698063213882e-43,0.0,3.8150531462222395e-16,1.5409293989121852e-84,3.8150531459115313e-16,1.7908528585382403e-57,2.9071488386672023e-56,0.0,0.0,1.0684856498392065e-43,2.9750426699772235e-67,2.0835052562236213e-14,6.1688887559387594e-16,2.4696130270957448e-18,2.8230151850172952e-30,1.0453241854239754e-29,2.4696129962033798e-18,2.6342861041595523e-41,1.7200450231144176e-76,2.3206469705425655e-56,1.1509609368918953e-89,2.0065318673290699e-80
8.645705018648743e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995697,0.11866996602992289,0.022821567693053671,0.0,3.79427076454157e-55,3.7230944869581537e-28,0.0,2.7144794752906115e-42,0.0,7.6305202977418193e-16,9.863851315010379e-83,7.6305202964988832e-16,2.8657532620135612e-56,4.6520710918904975e-55,0.0,0.0,8.5486205548123465e-43,9.521470996248789e-66,4.1672366117623885e-14,1.2338446951784978e-15,4.9394940537886268e-18,1.1292871804992835e-29,4.18163703064179e-29,4.9394939302091125e-18,2.1076289867557555e-40,1.1009856080085429e-74,3.7135388287503816e-55,1.473441499593394e-87,1.2843630057182502e-78
1.7291879122264045e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991406,0.11866996602988045,0.022821567693053053,0.0,6.0710834109565633e-54,1.4892983947944936e-27,0.0,2.1717210393102589e-41,0.0,1.5261454602626577e-15,6.3134739170756307e-81,1.5261454597654628e-15,4.5855161880350437e-55,7.4437167212765584e-54,0.0,0.0,6.8390990643616293e-42,3.0470842421953785e-64,8.3346993228180577e-14,2.4677563343474562e-15,9.8792561082359326e-18,4.5172461568841425e-29,1.672722862262725e-28,9.8792556138977717e-18,1.6861832350152025e-39,7.0468096531864319e-73,5.942065091469878e-54,1.8861404863158712e-85,8.2205047597249836e-77
3.458422732949465e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982824,0.11866996602979556,0.022821567693051818,0.0,9.713675324051207e-53,5.9573147813353267e-27,0.0,1.7374318145077927e-40,0.0,3.0523323219778483e-15,4.0408182157055089e-79,3.0523323199890289e-15,7.3370746719215146e-54,1.1909938195317493e-52,0.0,0.0,5.4712138491861488e-41,9.7510111917787632e-63,1.6669624744841935e-13,4.9355796126842362e-15,1.9758780221376717e-17,1.8068661259087563e-28,6.6910274698336834e-28,1.9758778243983928e-17,1.3489786070541736e-38,4.5101187278114301e-71,9.5076265176209862e-53,2.4143464498583475e-83,5.2613054584154642e-75
6.916892374395587e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965654,0.11866996602962579,0.022821567693049351,0.0,1.554100757512021e-51,2.3829501531631426e-26,0.0,1.389967441566318e-39,0.0,6.1047060483611885e-15,2.5861860224894226e-77,6.1047060404058323e-15,1.1739518454371498e-52,1.9054835344096526e-51,0.0,0.0,4.3767106210860629e-40,3.1203782195158983e-61,3.3339475588539851e-13,9.8712261693532445e-15,3.9517828464643029e-17,7.2269852865740157e-28,2.6764381270102576e-27,3.9517820554992031e-17,1.0791956933395422e-37,2.8865273366579784e-69,1.5212460289529026e-51,3.0904188706170776e-81,3.3672891527639353e-73
1.3833831657287828e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679931321,0.11866996602928624,0.022821567693044414,0.0,2.486226979428723e-50,9.5318490939805578e-26,0.0,1.1119827435452245e-38,0.0,1.2209453512939698e-14,1.6551790008917695e-75,1.2209453481118112e-14,1.8783388580334117e-51,3.0483496200352194e-50,0.0,0.0,3.500889527467086e-39,9.9852975862296698e-60,6.6679177274536328e-13,1.9742519282673053e-14,7.9035925019114881e-17,2.8903667189025191e-27,1.0705806263860085e-26,7.9035893380354964e-17,8.6336167763774622e-37,1.8473938945139907e-67,2.4340142625283128e-50,3.9557715489674538e-79,2.1550761954559673e-71
2.7667710223072316e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679862653,0.11866996602860716,0.022821567693034544,0.0,3.9768501174044845e-49,3.8127493337627534e-25,0.0,8.8958970175209679e-38,0.0,2.4418948489343971e-14,1.0593209301799128e-73,2.4418948362057379e-14,3.0053548550924641e-50,4.875936620710162e-49,0.0,0.0,2.7999206661035586e-38,3.1953091046871999e-58,1.3335858064093193e-12,3.948510550923985e-14,1.5807211839981778e-16,1.1557960989935753e-26,4.2823328386706754e-26,1.5807199184449535e-16,6.906913910689689e-36,1.1823372974803747e-65,3.8944392718438671e-49,5.0634100529249289e-77,1.3792446063981491e-69
5.533546735464129e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679725313,0.118669966027249,0.022821567693014803,0.0,6.3593662305924293e-48,1.525101672648048e-24,0.0,7.1167314942776701e-37,0.0,4.8837938631141479e-14,6.7796741655370715e-72,4.8837938121994741e-14,4.8085777792905131e-49,7.796896443600665e-48,0.0,0.0,2.238662088062115e-37,1.0225010772786052e-56,2.6671738735133343e-12,7.8970277962082212e-14,3.1614450624827907e-16,4.6203644608346087e-26,1.7129348676470432e-25,3.1614400002666243e-16,5.5255393206483125e-35,7.5669748129265653e-64,6.2311158644576929e-48,6.481178781802698e-75,8.8270533241052204e-68
1.1067098161777924e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679450633,0.11866996602453267,0.022821567692975317,0.0,1.0163476192966779e-46,6.1004105681338635e-24,0.0,5.6933905116453501e-36,0.0,9.7675919670690428e-14,4.3389977157615864e-70,9.7675917634104763e-14,7.6937320248409016e-48,1.2460289763102032e-46,0.0,0.0,1.7888899514546213e-36,3.2720065473478421e-55,5.3343500068257803e-12,1.5794062286660206e-13,6.3228928629357125e-16,1.845890171758246e-25,6.8517402593585215e-25,6.3228726140834417e-16,4.4204347273566073e-34,4.8428683350660002e-62,9.9697953844771962e-47,8.2959165503635091e-73,5.6491517169883736e-66
2.213420101440551e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678901278,0.11866996601910001,0.022821567692896345,0.0,1.6224829437235479e-45,2.4401650021648198e-23,0.0,4.5547141583911177e-35,0.0,1.95351884773587e-13,2.7769602587915212e-68,1.9535187662726603e-13,1.230997592310696e-46,1.9889405611486467e-45,0.0,0.0,1.4278575978682125e-35,1.0470423594852794e-53,1.0668702269868331e-11,3.1588131267098336e-13,1.2645788637788117e-15,7.3655703279987237e-25,2.740694121029518e-24,1.2645707642555476e-15,3.5363490806152978e-33,3.0994362638380504e-60,1.5951679264980629e-45,1.0618775058552195e-70,3.6152431983825298e-64
4.4268406719660684e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677802568,0.11866996600823469,0.022821567692738406,0.0,2.584293580747229e-44,9.7606615537054146e-23,0.0,3.6437714224876406e-34,0.0,3.907038270744703e-13,1.77725475882979e-66,3.9070379448935347e-13,1.9695960810837451e-45,3.1673443258634779e-44,0.0,0.0,1.1371127037898341e-34,3.3505344905742731e-52,2.1337406781624089e-11,6.3176269226112464e-13,2.5291580883372782e-15,2.9319322365992177e-24,1.0962755395001761e-23,2.5291256904008381e-15,2.8290797686158484e-32,1.9836382312109971e-58,2.5522687819844375e-44,1.3592025440555253e-68,2.3134799724377547e-62
8.853681813017104e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675605142,0.11866996598650405,0.022821567692422523,0.0,4.0979809323013545e-43,3.9042649266686265e-22,0.0,2.915016210166892e-33,0.0,7.8140776005566283e-13,1.1374427068539571e-64,7.8140762971658783e-13,3.151352264376427e-44,5.0204931471429452e-43,0.0,0.0,9.0152045212679173e-34,1.0721699184962707e-50,4.2674815747818184e-11,1.2635254513669806e-12,5.0583168158796591e-15,1.1614900027986046e-23,4.3850842413172238e-23,5.0581872254196692e-15,2.2632639919512414e-31,1.2695266869185379e-56,4.0836287472188284e-43,1.7397768263579706e-66,1.4802738266440516e-60
1.7707364095119174e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671210297,0.11866996594304276,0.022821567691790761,0.0,6.4417420217963223e-42,1.5617060286470119e-21,0.0,2.3320110512899409e-32,0.0,1.5628158195283521e-12,7.2796265717729265e-63,1.562815298183294e-12,5.0421579323085704e-43,7.8855314340603174e-42,0.0,0.0,7.0847996949050924e-33,3.4309358766553625e-49,8.5349633450936706e-11,2.5270509692815728e-12,1.0116635385235063e-14,4.5580882286340663e-23,1.754019154246935e-22,1.0116117033766392e-14,1.8106112250398196e-30,8.1249463041948096e-55,6.5338005250452537e-42,2.2269076487158737e-64,9.4692307724833745e-59
3.5414728659323312e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727662420606,0.11866996585612019,0.022821567690527237,0.0,9.9569134608959353e-41,6.2468242060850596e-21,0.0,1.8656056014784937e-31,0.0,3.1256327124557897e-12,4.6589517020474981e-61,3.1256306271656588e-12,8.0674336815964788e-42,1.2169416069297276e-40,0.0,0.0,5.4741734137897388e-32,1.0978943360371396e-47,1.7069926794009512e-10,5.0541020039265423e-12,2.0233276985287135e-14,1.7565431381350676e-22,7.0159598632018386e-22,2.0231203662861092e-14,1.4484889296719573e-29,5.1999337435674389e-53,1.0454062297926645e-40,2.8504243674012733e-62,6.05452747286416e-57
5.312209322352746e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727653630914,0.11866996576919762,0.022821567689263713,0.0,3.6540760761248732e-40,1.3274501466784651e-20,0.0,5.5385111144358569e-31,0.0,4.6884503793066546e-12,2.645212701848297e-60,4.688445948196974e-12,3.0520705786557761e-41,4.5649493277777182e-40,0.0,0.0,1.5346752751793999e-31,5.1216432796222503e-47,2.560489015121749e-10,7.5811530373923211e-12,3.0349923050667627e-14,3.6388364474181103e-22,1.490874311268673e-21,3.0345517363520273e-14,4.141772919822204e-29,2.9078424131339077e-52,3.9549807150808356e-40,1.8665683369560805e-61,3.384640360246446e-56
7.08294577877316e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644841223,0.11866996568227506,0.022821567688000189,0.0,9.3348850709366319e-40,2.2644737788455166e-20,0.0,1.2068111416363693e-30,0.0,6.2512688200212774e-12,1.0172944984448357e-59,6.2512612612772422e-12,7.9445135051212856e-41,1.2071529961147294e-39,0.0,0.0,3.1802876203370479e-31,1.5595416668156429e-46,3.4139853416717612e-10,1.0108204069681533e-11,4.0466573585104749e-14,6.0653893195968449e-22,2.5432292196710772e-21,4.0459058194897172e-14,8.7361983819330101e-29,1.0178844839327208e-51,1.0294783344167438e-39,7.4026684551202403e-61,1.1844371158725882e-55
1.0624418691613989e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727627261841,0.11866996550842993,0.022821567685473138,0.0,3.3639973484121625e-39,4.6883053054053587e-20,0.0,3.5029927534165714e-30,0.0,9.3769075174771559e-12,7.7423987918095119e-59,9.3768918687771549e-12,2.9155179254802235e-40,4.7053168866379504e-39,0.0,0.0,8.4380841861990316e-31,7.1052967055384244e-46,5.1209779732485121e-10,1.5162306131507971e-11,6.069988515322463e-14,1.2089383477220039e-21,5.2653398774270024e-21,6.0684326164246398e-14,2.3861266104853841e-28,5.6650030495376995e-51,3.778033417628908e-39,4.9609135260774853e-60,6.5885652740330844e-55
1.4165891604454817e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727609682458,0.11866996533458479,0.022821567682946086,0.0,8.5130421167227264e-39,7.9735793286414421e-20,0.0,7.6606358131954733e-30,0.0,1.2502549060214774e-11,2.9235246345833617e-58,1.2502522447038226e-11,7.5601425355086657e-40,1.2421609622342623e-38,0.0,0.0,1.7211016378027047e-30,2.1341881984650872e-45,6.8279705711010132e-10,2.0216408189035369e-11,8.0933213183295994e-14,1.9838447426302515e-21,8.9548132433374118e-21,8.0906752508943884e-14,4.9925748017180239e-28,1.936401689152831e-50,9.796708945909203e-39,1.9026556926019101e-59,2.2512607883888735e-54
2.1248837430136475e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727574523694,0.11866996498689457,0.022821567677891983,0.0,3.8049663234693094e-38,1.7372803331739552e-19,0.0,2.5482778624434518e-29,0.0,1.8753841486152939e-11,3.7849211298353889e-57,1.8753783507550239e-11,3.7364055477591283e-39,5.7485675825072155e-38,0.0,0.0,5.0740865121926471e-30,1.5929355548124567e-44,1.024195565606737e-09,3.0324612290086442e-11,1.2139992341091849e-13,3.9879246643461783e-21,1.9509923499177171e-20,1.213422767440468e-13,1.5765009703459195e-27,2.2352362046959154e-49,4.8417767936843944e-38,3.4931047660158099e-58,2.5934907718885513e-53
2.8331783255818132e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072753936494,0.11866996463920435,0.02282156767283788,0.0,1.0631595138989046e-37,3.0500796244958074e-19,0.0,5.9282658752871903e-29,0.0,2.5005146222239816e-11,1.7946306494899043e-56,2.5005044441501414e-11,1.11387346375233e-38,1.6263939579291291e-37,0.0,0.0,1.0894438419910236e-29,5.9687073536461395e-44,1.3655940595057717e-09,4.0432816372769867e-11,1.6186670513328102e-13,6.4998042760837372e-21,3.4251540477828776e-20,1.6176550666093065e-13,3.5858090047721487e-27,1.0336442396180391e-48,1.4434010613975507e-37,1.9585556872486788e-57,1.1979406746525532e-52
4.249767490718144e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727469047427,0.11866996394382394,0.022821567662729678,0.0,4.7936852575466383e-37,6.7994622174535528e-19,0.0,2.0185484122655528e-28,0.0,3.7507792775615873e-11,2.3573619079605603e-55,3.7507565927972148e-11,5.8243307214774371e-38,7.3157005934247279e-37,0.0,0.0,3.2073624147528711e-29,4.8838725719733361e-43,2.048391003309295e-09,6.0649224483306869e-11,2.4280048458131236e-13,1.2523025826826135e-20,7.6349640218886028e-20,2.4257493300537916e-13,1.1972272044204523e-26,1.3515536206243479e-47,7.5474164395235325e-37,4.180970210994739e-56,1.5599449766386523e-51
7.082945820990807e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727328412446,0.11866996255306332,0.022821567642513269,0.0,3.1110508160635376e-36,1.8794508175091656e-18,0.0,9.600375262065521e-28,0.0,6.2513234119824212e-11,6.2445173697785651e-54,6.2512607374798507e-11,4.9043327081261538e-37,4.6521327547786613e-36,0.0,0.0,1.1955208430879806e-28,7.5189741251784656e-42,3.4139847148933411e-09,1.0108204048676895e-10,4.0466890946715901e-13,2.6811784131352073e-20,2.1100190913372385e-19,4.0404573915511343e-13,5.6296559150155218e-26,3.9092375483731588e-46,6.3552814803088538e-36,2.3200079200637412e-54,4.46847030532519e-50
1.2749302481536132e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727047142599,0.11866995977154278,0.022821567602080452,0.0,2.4239875725090768e-35,6.0774554660213021e-18,0.0,5.7680823731335442e-27,0.0,1.1252470890721263e-10,2.5300085976767978e-52,1.125226841623506e-10,5.6167758084287491e-36,3.5153251888901776e-35,0.0,0.0,4.9753135829003997e-28,1.6741940434683547e-40,6.1451714337803107e-09,1.8194767162868553e-10,7.2840922980481832e-13,5.8684943238231928e-20,6.8205367050500348e-19,7.2639601648780798e-13,3.3665407055403651e-25,1.7136702976673929e-44,7.2785912786834434e-35,2.0169602241064984e-52,1.9207652960317199e-48
1.8415659142081458e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230726765872925,0.11866995699002318,0.022821567561647636,0.0,7.7977612809265523e-35,1.2674145676184965e-17,0.0,1.6785995599417882e-26,0.0,1.6253697185535289e-10,1.6076315170728602e-51,1.625327528083502e-10,2.1842490228260206e-35,1.1193023084927726e-34,0.0,0.0,1.1571977460050612e-27,8.3496370582769835e-40,8.8763572136160423e-09,2.6281330162023363e-10,1.0521541803831021e-12,9.2184739700149357e-20,1.4219337491719788e-18,1.0479591519235655e-12,9.7868631141114401e-25,1.0575926178823517e-43,2.8305153773892928e-34,1.4952618401809129e-51,1.1760633937985343e-47
2.4082015802626784e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230726484603423,0.1186699542085045,0.022821567521214819,0.0,1.7999083181191945e-34,2.1669582962464187e-17,0.0,3.6558513781419976e-26,0.0,2.1255002115268403e-10,6.5375122583725574e-51,2.1254281331258805e-10,5.8867429171295252e-35,2.557831010069889e-34,0.0,0.0,2.1049229375434237e-27,2.7128744103679416e-39,1.1607542054376494e-08,3.4367893046274354e-10,1.3759037629139903e-12,1.2571479203337879e-19,2.4304105033935321e-18,1.3687369572882205e-12,2.1306286626346878e-24,4.0510295540944088e-43,7.6285386968303943e-34,6.6267925795853396e-51,4.4717471092398676e-47
2.974837246317211e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230726203334093,0.11866995142698678,0.022821567480782002,0.0,3.4633325564634747e-34,3.306378734355081e-17,0.0,6.7715891555430181e-26,0.0,2.6256385491625368e-10,2.0639812757000822e-50,2.625528656749957e-10,1.2977024404828952e-34,4.8738249368156752e-34,0.0,0.0,3.3416812616324895e-27,6.98798031897647e-39,1.4338725956053872e-08,4.2454455815634564e-10,1.6996579776689298e-12,1.5904131472789625e-19,3.7072397803627833e-18,1.6887313157893917e-12,3.9457186243736002e-24,1.1998482691979619e-42,1.6816835828112545e-33,2.2258941996560177e-50,1.3149017632450585e-46
4.108108578426276e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230725640795955,0.11866994586395413,0.022821567399916372,0.0,9.3255133407251551e-34,6.304850666360026e-17,0.0,1.7393585099296181e-25,0.0,3.6259386886279919e-10,1.302498217859345e-49,3.6257294597428704e-10,4.3934603971790094e-34,1.2930937429204452e-33,0.0,0.0,6.6808718513142629e-27,3.0625694547875662e-38,1.9801090942155927e-08,5.8627581009664532e-10,2.3471803034700189e-12,2.2548768056156468e-19,7.065044477301393e-18,2.3263766724279571e-12,1.0133522864771973e-23,6.6982153211040925e-42,5.6935319006508432e-33,1.5589510846231535e-49,7.2280163390984501e-46
5.2413799105353414e-14,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230725078258505,0.11866994030092523,0.022821567319050742,0.0,1.9677507431085652e-33,1.0262832561962305e-16,0.0,3.5653541182364426e-25,0.0,4.6262699862312298e-10,4.9742138623437309e-49,4.6259299370614565e-10,1.1116502045309818e-33,2.7007066254904169e-33,0.0,0.0,1.1174165017310726e-26,9.3531639848453841e-38,2.5263452171913937e-08,7.4800705744114978e-10,2.994721157588932e-12,2.9177137454825871e-19,1.1493377747591716e-17,2.9609102956894919e-12,2.0771119849558557e-23,2.4164230825560195e-41,1.4406170304805022e-32,6.5169788774596437e-49,2.576403159021902e-45
