Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),COX(32),H2X(31),CH2X(58),CHX(26),C2H6X(34),HOX(23),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),H2OX(30),CH4OX(41),CXHO(27),C2H4OX(44)
3.908782769513714e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999237,0.099999999999994399,1.6307200532663849e-92,0.099999999999997979,1.074208057563241e-85,3.4483914832120249e-60,1.7609311575326948e-27,3.1207571321002649e-55,6.3996454570169903e-88,1.8819705472876857e-34,4.1561674836162527e-107,1.5069699967272923e-45,7.3023647497533023e-84,2.2616343821648319e-84,5.5328231710064141e-69,3.7782001514859541e-87,3.0929515105068834e-74,0.0,5.6131089221955794e-15,2.0333727390630983e-15,6.6765036130369927e-25,6.6765036111550024e-25,1.9780172895668651e-25,1.9604079779915381e-25,1.711233197386774e-41,1.1653070710711881e-73,1.0048674110686528e-39,1.6995986581481884e-51,1.0922322036707603e-68,2.8144948654545595e-51,2.0342546555571658e-76,1.1730305874005952e-77,1.4188082930433968e-120,1.4568278433025507e-48,1.7627447999685607e-99,5.5656223301414871e-98,3.5406693654038601e-58,9.1050416565957679e-101
7.81926279598336e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998471,0.099999999999988778,1.3052369818173248e-91,0.099999999999995939,1.7196556026925554e-84,2.7600500489417576e-59,6.9925669026508676e-27,2.497870563242511e-54,2.0329137290919853e-86,7.5303335674886705e-34,2.6620070502832053e-105,6.029842906229777e-45,2.338072420112061e-82,3.6207252767076992e-83,8.7865194437388219e-68,1.2000931924461089e-85,2.4753050064906295e-73,0.0,1.1228655146243675e-14,4.0676284014335106e-15,1.3355906272366053e-24,1.3355906264835638e-24,3.9568934663630211e-25,3.8869677973365112e-25,1.3598083413992947e-40,1.8654593663027732e-72,4.0207785437122653e-39,1.360195468938419e-50,1.7485201318765393e-67,1.1261663971075426e-50,3.2565809398677935e-75,9.3842454392134011e-77,1.817492140632209e-118,5.8292089543000511e-48,5.6439120983168922e-98,1.7820722427451949e-96,2.8105634294244561e-57,5.7846238604108382e-99
1.5640222848922655e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996941,0.099999999999977551,1.0444540257090198e-90,0.099999999999991873,2.7521939449027296e-83,2.2085749124872675e-58,2.7556106879261267e-26,1.9988025156165225e-53,6.4061167650231004e-85,3.0126237714132013e-33,1.7043438733977181e-103,2.4123298022815996e-44,7.4839371107471309e-81,5.7948629971386447e-82,1.3840463672618846e-66,3.7801234813257935e-84,1.9806261508861587e-72,0.0,2.2459747590749181e-14,8.1361397257022619e-15,2.6714711591021038e-24,2.6714711560894477e-24,7.9146458199546681e-25,7.6390847511620437e-25,1.0728479948507318e-39,2.9855096446738982e-71,1.6085732340770537e-38,1.0883630359049947e-49,2.7983913095251965e-66,4.505413674292525e-50,5.2119484197327542e-74,7.5073987022351659e-76,2.3272974473566899e-116,2.3320631369670029e-47,1.80655689120346e-96,5.7043620925820305e-95,2.2123736667697449e-56,3.6446361312979572e-97
3.128214295480124e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993883,0.099999999999955083,8.3566900958401892e-90,0.099999999999983741,4.4041273617549631e-82,1.767073904999972e-57,1.0702027964334695e-25,1.5992444606918306e-52,1.9882485783674333e-83,1.2051475835590328e-32,1.0909910034825505e-101,9.6501045446289836e-44,2.3951965284549861e-79,9.2731871894469193e-81,2.1467538590639224e-65,1.1720849951276203e-82,1.5846610688202263e-71,0.0,4.4921932465397458e-14,1.6273162372351462e-14,5.3432322228318464e-24,5.3432322107802412e-24,1.5830150527135312e-24,1.4759947730701758e-24,8.3499126365331567e-39,4.7774352437890766e-70,6.4348166020845487e-38,8.7077310126343191e-49,4.4780334524279441e-65,1.8023239609830059e-49,8.3402518564551671e-73,6.005926492653172e-75,2.9795213467643537e-114,9.3290115921387083e-47,5.7818173157960984e-95,1.8256814141796012e-93,1.713965233538843e-55,2.260724289543461e-95
6.256598316655842e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987762,0.099999999999910161,6.6857752585654428e-89,0.099999999999967462,7.047164534728279e-81,1.4137447191380445e-56,4.0439023862667507e-25,1.2794765487341864e-51,5.9972605325910966e-82,4.8207864842153696e-32,6.9830159356054081e-100,3.8601988905425468e-43,7.6651659295076983e-78,1.483836592198226e-79,3.2346203505497363e-64,3.5285349893533584e-81,1.2678045555340134e-70,0.0,8.9846302157243102e-14,3.2547207658096673e-14,1.0686754350286316e-23,1.0686754302077933e-23,3.1661159941485992e-24,2.7617257555218624e-24,6.33446092696953e-38,7.6443922703419881e-69,2.5740313739582284e-37,6.9665155084286935e-48,7.1653394181948699e-64,7.2096837460931389e-49,1.3345307628225198e-71,4.8047653094046394e-74,3.8141581296555705e-112,3.7317563548854758e-46,1.8503325267073123e-93,5.8426921546401234e-92,1.2886405957263174e-54,1.3618347774390026e-93
1.2513366359007276e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975522,0.099999999999820316,5.348789484769035e-88,0.099999999999934919,1.1276126514081631e-79,1.1310300143902816e-55,1.4547734513054253e-24,1.0236136255811834e-50,1.7187535547927661e-80,1.9283538187863892e-31,4.469343787659119e-98,1.5441109713127436e-42,2.4529379722764498e-76,2.3742850534681043e-78,4.6268542333340163e-63,1.0075199463521307e-79,1.0142925460895236e-69,0.0,1.7969504131113071e-13,6.5095298199374303e-14,2.1373798605175188e-23,2.1373798412337746e-23,6.3323178770144892e-24,4.8775444257085856e-24,4.590258940599548e-37,1.2231424336957921e-67,1.0296334935730381e-36,5.5733446744050525e-47,1.1464931715061581e-62,2.8840078072546865e-48,2.1353206628726047e-70,3.8438894432039533e-73,4.8823576104611074e-110,1.4927328091163266e-45,5.9214165921547626e-92,1.8697783737174224e-90,9.1815015686711679e-54,7.7841079356009259e-92
2.5026902443710148e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799951042,0.099999999999640612,4.2790993000043726e-87,0.099999999999869818,1.8043019874332944e-78,9.0483770734559043e-55,4.829441518279384e-24,8.1890384495284534e-50,4.5293777720094974e-79,7.7134936812922048e-31,2.8604458815415056e-96,6.1765067159878886e-42,7.8495305640028388e-75,3.799117896199444e-77,6.0775649190993049e-62,2.6378282506110214e-78,8.1148339098372046e-69,0.0,3.5939251869969116e-13,1.3019147916107837e-13,4.2747887114872672e-23,4.2747886343515065e-23,1.2664721642729289e-23,7.8352801244467695e-24,3.0861285832000443e-36,1.9570596264383379e-66,4.1185758385801146e-36,4.4587286229770459e-46,1.8344201399707135e-61,1.1536753666318208e-47,3.4165672302974209e-69,3.0753586236166519e-72,6.2495628369212737e-108,5.9709911554542605e-45,1.8949807000588575e-90,5.9837019440910499e-89,5.9898125156821808e-53,4.0825084255619098e-90
5.005397461311589e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799902084,0.099999999999281219,3.4233065250686029e-86,0.09999999999973963,2.8872003644553563e-77,7.2387564424450781e-54,1.4316285732262823e-23,6.5512823724119804e-49,1.0599789464139057e-77,3.0854131180142438e-30,1.8307032479078816e-94,2.470615252587428e-41,2.5118661093550267e-73,6.079260817108406e-76,7.0767328307122499e-61,6.1098002475631162e-77,6.4925412374583977e-68,0.0,7.1878746979995298e-13,2.6038384060108188e-13,8.5496064133946565e-23,8.5496061048500518e-23,2.532952917409097e-23,1.1013243441809452e-23,1.866157453570147e-35,3.1313207745173917e-65,1.6474386890753685e-35,3.5670040129947839e-45,2.935096991283175e-60,4.6152090088188258e-47,5.4665413519621098e-68,2.4610775884522968e-71,7.999519368143354e-106,2.388407953333008e-44,6.0645963933148769e-89,1.9149938497621172e-87,3.4504707952361864e-52,1.8959661404960904e-88
1.0010811895192738e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799804168,0.099999999998562433,2.7386560540947389e-85,0.099999999999479242,4.6204776523203422e-76,5.7910270674080481e-53,3.7311571706593349e-23,5.2410462782318495e-48,2.1661029444170952e-76,1.2341683476707071e-29,1.1716517170891949e-92,9.8824861427019e-41,8.0379700299727696e-72,9.728835801857842e-75,7.1847555343942133e-60,1.231768499465374e-75,5.1950653417798357e-67,0.0,1.4375773572930403e-12,5.2076856154747041e-13,1.7099241817081016e-22,1.7099240582899491e-22,5.0659144236542647e-23,1.3347572529848229e-23,9.9848046656990583e-35,5.010133492205823e-64,6.5897713096129283e-35,2.8536115940143823e-44,4.6961747269173285e-59,1.8464755555078292e-46,8.7464626217215654e-67,1.9713923869731072e-70,1.0239399661874598e-103,9.553650854087826e-44,1.9410669198024773e-87,6.1292331227161948e-86,1.7273971936249033e-51,7.6697242852275524e-87
2.0021640762955035e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799608333,0.099999999997124847,2.1909291768559814e-84,0.099999999998958478,7.3957793572547443e-75,4.632830419159945e-52,8.6920629901637197e-23,4.1928447509029085e-47,3.9361097747110599e-75,4.9366793624882804e-29,7.498523617274599e-91,3.9529994834861587e-40,2.5721324704643862e-70,1.5572490165549692e-73,6.4867454639763392e-59,2.2082973692750534e-74,4.1576855446439582e-66,0.0,2.8751570734494749e-12,1.0415379957057733e-12,3.4198512623940048e-22,3.4198507687207974e-22,1.013183743603593e-22,1.4397744458242771e-23,4.7811028095026112e-34,8.0162296463194034e-63,2.6359117113012159e-34,2.2828925290566438e-43,7.5138943219264845e-58,7.3890096697713138e-46,1.3994239529995124e-65,2.0930978847415481e-70,1.3106349241720976e-101,3.8214609965166591e-43,6.2139078330709692e-86,1.9621425554965723e-84,7.6918069501968667e-51,2.7587508870434903e-85
