Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77)
2.457983825170625e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999896,0.11866996602995541,0.022821567693054049,0.0,1.9550718075088666e-59,6.2521228107033703e-35,0.0,8.9275536751699007e-47,0.0,2.4994171959640237e-21,2.9417370378419148e-98,2.4994169045398039e-21,5.2682867430497059e-66,3.1193009098909919e-58,0.0,0.0,7.0756802131319632e-48,5.9894667809812889e-78,9.9123307932541086e-15,4.7659367320672012e-16,1.8370495199216983e-19,4.9850968241164857e-31,1.8370495228309547e-19,8.4197317960540435e-48,2.9054969182241023e-60,3.0618811830117073e-35
4.91650118275392e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997921,0.11866996602994551,0.02282156769305381,0.0,3.1287524039865672e-58,2.5012562380789366e-34,0.0,7.1438516362099471e-46,0.0,4.9993775008829439e-21,1.8834386211101948e-96,4.999376334996303e-21,8.4315459368924491e-65,4.9919044516386687e-57,0.0,0.0,5.661151164941112e-47,1.9171667513945032e-76,1.9826813166861747e-14,9.5329079630990019e-16,3.6744977858183532e-19,1.9941866882687285e-30,3.6744977974572746e-19,6.7370646884553801e-47,4.6500564472059285e-59,1.224951973295924e-34
9.83353589792051e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995845,0.11866996602992567,0.022821567693053334,0.0,5.0058709019092422e-57,1.0005839237954281e-33,0.0,5.7158048503808403e-45,0.0,9.9992998598312886e-21,1.2056335230665974e-94,9.9992951959051829e-21,1.3492303420148961e-63,7.9868386888868115e-56,0.0,0.0,4.5286021901996248e-46,6.1357935201344163e-75,3.965577791400895e-14,1.9066850425161199e-15,7.349394300149411e-19,7.9759829861603378e-30,7.3493943467088965e-19,5.3901635060394261e-46,7.4410995296461068e-58,4.900207656057377e-34
1.966760532825369e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991688,0.11866996602988601,0.02282156769305238,0.0,8.0072304739746532e-56,4.0024985581528422e-33,0.0,4.5729332739728912e-44,0.0,1.9999151574169926e-20,7.7168013980848565e-93,1.9999132917706467e-20,2.1589149327994607e-62,1.27754906363814e-54,0.0,0.0,3.6218562308626333e-45,1.9635915068542204e-73,7.9313707408031046e-14,3.8134735349279985e-15,1.46991872589625e-18,3.1893931517657186e-29,1.4699187445208135e-18,4.3123355178156072e-45,1.1906566573601036e-56,1.9601636052716927e-33
3.933574418892005e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983372,0.1186699660298067,0.022821567693050472,0.0,1.2803264572135093e-54,1.6010319964709759e-32,0.0,3.658462315276197e-43,0.0,3.999888298861445e-20,4.9389941900437501e-91,3.9998808361243132e-20,3.4543809457815759e-61,2.0427525291107654e-53,0.0,0.0,2.8956395315609183e-44,6.2837128527815728e-72,1.58629566394986e-13,7.6270505197495105e-15,2.9398772897192613e-18,1.2748802011443084e-28,2.9398773642191204e-18,3.4499503015376922e-44,1.9051152073290292e-55,7.8408202090972736e-33
7.867202191025277e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319966746,0.11866996602964806,0.022821567693046659,0.0,2.0457591507575205e-53,6.4041931331693561e-32,0.0,2.9268160275221769e-42,0.0,7.9998457760568286e-20,3.1610364290850723e-89,7.9998159248052851e-20,5.5271029677093422e-60,3.2639913067655674e-52,0.0,0.0,2.3134821822681704e-43,2.0108232505239575e-70,3.1726128436453886e-13,1.5254204489383556e-14,5.8797943056068586e-18,5.0923627826843087e-28,5.879794603610041e-18,2.7599929964293973e-43,3.0482358719989503e-54,3.1363650011033924e-32
1.573445773529182e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319933495,0.11866996602933079,0.022821567693039033,0.0,3.2643182278153927e-52,2.5616902830115406e-31,0.0,2.3414711261281836e-41,0.0,1.5999805507670101e-19,2.0230927135984265e-87,1.5999686102061781e-19,8.8434389050451437e-59,5.2081782538620397e-51,0.0,0.0,1.8459242952351367e-42,6.434690187396321e-69,6.3452472028621667e-13,3.0508512428615737e-14,1.1759627890348387e-17,2.0312103043788272e-27,1.1759629082372873e-17,2.208007499067199e-42,4.8772182914970006e-53,1.2545563916251478e-31
3.146896882382491e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319866987,0.11866996602869626,0.022821567693023778,0.0,5.1945902328035243e-51,1.0246787193421516e-30,0.0,1.8731839567327915e-40,0.0,3.1999904079759319e-19,1.2947935462922545e-85,3.199942645615301e-19,1.4149559629630176e-57,8.2878588023280306e-50,0.0,0.0,1.4690071958755035e-41,2.0591095073044715e-67,1.2690515920598602e-12,6.101712830693649e-14,2.3519293271697057e-17,8.0792616268491573e-27,2.3519298039852309e-17,1.7664112396511525e-41,7.8035809074619543e-52,5.0182704101928099e-31
6.293799100089108e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319733977,0.11866996602742717,0.022821567692993268,0.0,8.2220554665551643e-50,4.0987200911132859e-30,0.0,1.4985495623766844e-39,0.0,6.4000817659171847e-19,8.2867856307942317e-84,6.3998907162648339e-19,2.2639335091717747e-56,1.3117976986448849e-48,0.0,0.0,1.1630153474705801e-40,6.5891624772586364e-66,2.5381053353283008e-12,1.2203436006300379e-13,4.7038616881859003e-17,3.1957963022001415e-26,4.7038635954860081e-17,1.41313108726006e-40,1.2485751321271104e-50,2.0073363818498678e-30
1.2587603535502343e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319467951,0.11866996602488902,0.022821567692932251,0.0,1.2878102176303317e-48,1.6394890803658795e-29,0.0,1.1988399281437018e-38,0.0,1.2800551055718535e-18,5.3036556962415189e-82,1.2799786856889058e-18,3.6222947986919802e-55,2.0546093484360405e-47,0.0,0.0,9.114819383081201e-40,2.1085327809383906e-64,5.0762128207497916e-12,2.440688235728433e-13,9.4077235492058778e-17,1.2504664944227746e-25,9.407731178687028e-17,1.1305057070270946e-39,1.99772085900774e-49,8.029555955108941e-30
2.5175212406328813e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318935904,0.11866996601981271,0.022821567692810216,0.0,1.9769245458442674e-47,6.5579584186736185e-29,0.0,9.5907096492627418e-38,0.0,2.5602635929602395e-18,3.3944764729195295e-80,2.559957913543813e-18,5.79566625479252e-54,3.1539134751084698e-46,0.0,0.0,7.0062016773556209e-39,6.7472988615485204e-63,1.0152427787131213e-11,4.8813775058335589e-13,1.8815435827210105e-16,4.7921470352382006e-25,1.88154663472204e-16,9.0440489891374175e-39,3.1963503662809017e-48,3.2119876611667632e-29
5.0350430147981755e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317871811,0.11866996600966009,0.022821567692566148,0.0,2.9244580658098213e-46,2.623183794406241e-28,0.0,7.6725463869273487e-37,0.0,5.1211390843321896e-18,2.1726376247492805e-78,5.1199163681738767e-18,9.2730412841731498e-53,4.6652108679515361e-45,0.0,0.0,5.1963625597566821e-38,2.159129998609978e-61,2.0304857702047818e-11,9.7627560456780629e-13,3.7630814607187356e-16,1.7674527705038847e-24,3.7630936702018552e-16,7.2352404989473957e-38,5.1141468956827911e-47,1.284926674922765e-28
1.0070086563128763e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315743625,0.11866996598935485,0.02282156769207801,0.0,4.0601385111623206e-45,1.0492736091456322e-27,0.0,6.1380007014007948e-36,0.0,1.0244724124543403e-17,1.390909397169623e-76,1.0239833273115006e-17,1.4836781044458443e-51,6.4759680753993575e-44,0.0,0.0,3.6251699959185153e-37,6.909177081486849e-60,4.0609717460496088e-11,1.9525513123909654e-12,7.5261389063909241e-16,6.1045359527093502e-24,7.5261877538440296e-16,5.7881928813632241e-37,8.1825879727677692e-46,5.1407583539200005e-28
2.014017365978994e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311487246,0.11866996594874436,0.022821567691101736,0.0,5.1190740353764987e-44,4.1970946673149815e-27,0.0,4.9103413982578208e-35,0.0,2.0499230363423874e-17,8.9059436093063355e-75,2.0479667065721271e-17,2.3738572925323203e-50,8.1630186949281184e-43,0.0,0.0,2.3044217273249653e-36,2.2109113074651965e-58,8.1219436691852781e-11,3.9051027274570564e-12,1.5052180557156219e-15,1.9085973978885592e-23,1.5052375999210161e-15,4.6305544326131476e-36,1.3091987564085707e-44,2.0571444130826775e-27
4.028034785311229e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302974489,0.1186699658675234,0.022821567689149183,0.0,5.7131766977027575e-43,1.6788379514454251e-26,0.0,3.9281780962275588e-34,0.0,4.1037586903860803e-17,5.7050682003699587e-73,4.0959334581829814e-17,3.7980827343105106e-49,9.1071418394893808e-42,0.0,0.0,1.3015882945526212e-35,7.0747531665824739e-57,1.6243887401240698e-10,7.810205555277964e-12,3.0103970902081992e-15,5.2638697273551833e-23,3.0104752898661942e-15,3.704443492524256e-35,2.0946687818500303e-43,8.2353056249842872e-27
6.042052204643465e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756294461732,0.11866996578630244,0.02282156768719663,0.0,1.8808978756798226e-42,3.5675307553075064e-26,0.0,1.1661618272801693e-33,0.0,6.1605286935803207e-17,3.2390331929361445e-72,6.1439002028834373e-17,1.4368756473928366e-48,2.999693545446547e-41,0.0,0.0,3.1235370031482237e-35,3.3003256476401083e-56,2.4365831019080196e-10,1.1715308380791873e-11,4.5155468296114201e-15,8.9534942625215482e-23,4.5157130249296332e-15,1.0592392969353078e-34,7.924467820527572e-43,1.7509905892503684e-26
1.0070087043307935e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756277436223,0.11866996562386052,0.022821567683291528,0.0,1.0131846940734888e-41,9.8631739082349688e-26,0.0,5.4622908193177652e-33,0.0,1.0285805639688054e-16,8.7289922801705818e-71,1.0239833664642758e-16,1.133946237943808e-47,1.6159172112901363e-40,0.0,0.0,9.9244006907875683e-35,4.4224575198435249e-55,4.0609717797895537e-10,1.9525514022601131e-11,7.5257291326294764e-15,1.6710540143775765e-22,7.526188685125774e-15,4.8678699516471659e-34,6.253790403548846e-42,4.8480181207801442e-26
1.369531839810596e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756262113263,0.1186699654776628,0.022821567679776937,0.0,2.4481039108687971e-41,1.7563391257868107e-25,0.0,1.2604427183304292e-32,0.0,1.4008035149348706e-16,3.7950270352561891e-70,1.392617375789848e-16,3.182150823693028e-47,3.9054958942459359e-40,0.0,0.0,1.8629220309351544e-34,1.4677559785035796e-54,5.5229215529794885e-10,2.6554699092785282e-11,1.0234798559152762e-14,2.3784960542184004e-22,1.0235616934952788e-14,1.0957526022326407e-33,1.7549776432730969e-41,8.6411987579266807e-26
1.7320549752903983e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756246790304,0.11866996533146508,0.022821567676262346,0.0,4.8552752529154328e-41,2.741670286765575e-25,0.0,2.4268430679148784e-32,0.0,1.7740298920891694e-16,1.1494184462303739e-69,1.7612513827520821e-16,7.2855607845177395e-47,7.7469303941826508e-40,0.0,0.0,3.0080532474660137e-34,3.9437994445330215e-54,6.9848712871078822e-10,3.3583884155090621e-11,1.2943767808590919e-14,3.0887155169498631e-22,1.2945045350240147e-14,2.0710436501423098e-33,4.0180356160206475e-41,1.3502128612713659e-25
2.0945781107702006e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756231467344,0.11866996518526736,0.022821567672747754,0.0,8.4221865290032696e-41,3.9303840498226953e-25,0.0,4.1261195266452173e-32,0.0,2.1482040790739465e-16,2.9871079325744507e-69,2.1298853874818932e-16,1.4206981372924972e-46,1.3440301950888958e-39,0.0,0.0,4.4128882892616475e-34,8.7244660216973557e-54,8.4468209843385104e-10,4.0613069209953752e-11,1.5652642433410574e-14,3.799883434662551e-22,1.5654473921989839e-14,3.4616707272022632e-33,7.8352449419114859e-41,1.9374177585327377e-25
2.8196243817298054e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756200821431,0.11866996489287195,0.022821567665718568,0.0,1.9065296501375567e-40,6.7716219720322193e-25,0.0,9.1224319914912735e-32,0.0,2.8987138219250139e-16,1.3249558904463516e-68,2.8671533918505157e-16,3.7717510616026374e-46,3.0436274292443356e-39,0.0,0.0,7.8150778202036615e-34,2.7449048472714105e-53,1.1370720294655094e-09,5.4671439302708387e-11,2.1070175902748542e-14,5.2227015192451794e-22,2.1073331422466779e-14,7.3902715022414864e-33,2.0801456347018664e-40,3.3431383603552823e-25
3.54467065268941e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756170175517,0.11866996460047652,0.022821567658689382,0.0,3.6261461954640398e-40,1.0364645054806566e-24,0.0,1.7089949981724694e-31,0.0,3.6527267812490477e-16,3.9940237375016427e-68,3.6044213879671931e-16,8.1811440704632578e-46,5.7906759787312133e-39,0.0,0.0,1.2177757771096689e-33,6.7893700083415479e-53,1.4294619468582524e-09,6.8729809367953929e-11,2.6487359628425806e-14,6.6457897585701243e-22,2.6492189501615767e-14,1.3438405209209681e-32,4.5119545860288303e-40,5.1247315083990813e-25
4.269716923649015e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756139529603,0.11866996430808112,0.022821567651660195,0.0,6.2023267685845814e-40,1.4760445360762255e-24,0.0,2.8921726650539691e-31,0.0,4.4104803468104179e-16,1.0359692018453852e-67,4.3416893752722167e-16,1.5810456823541313e-45,9.9068039730434379e-39,0.0,0.0,1.7566123921853485e-33,1.4766729172839259e-52,1.7218518496869845e-09,8.2788179403824529e-11,3.190416991066938e-14,8.0688714718381315e-22,3.1911048198716315e-14,2.2229743348787842e-32,8.7195697338089426e-40,7.3094344156050282e-25
5.719809465568225e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756078237787,0.11866996372329038,0.022821567637601826,0.0,1.4965357358958032e-39,2.600561463681978e-24,0.0,6.8771543302083931e-31,0.0,5.9374186298144361e-16,6.4454098881598374e-67,5.8162253229507712e-16,4.9745578388257232e-45,2.3909319793739945e-38,0.0,0.0,3.1477719954700202e-33,6.1861770811499149e-52,2.3066316108317494e-09,1.1090491938578568e-10,4.2736649246315602e-14,1.0914986403150651e-21,4.2748767481595975e-14,5.1276959627820974e-32,2.7435001983877087e-39,1.2922068405356804e-24
7.169902007487433e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756016945977,0.11866996313849969,0.022821567623543457,0.0,2.9471711374275643e-39,4.0512011532405937e-24,0.0,1.3429394640370248e-30,0.0,7.4795495531419812e-16,2.3414623893900515e-66,7.2907612348326139e-16,1.1948803531908813e-44,4.7089341791046783e-38,0.0,0.0,4.9556100386145439e-33,1.8105620301549613e-51,2.891411312811272e-09,1.3902165924841328e-10,5.3567611825217056e-14,1.3761083666101875e-21,5.3586489274858624e-14,9.850389537410635e-32,6.5898392604185991e-39,2.0197850178557542e-24
1.0070087091325853e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755894362372,0.11866996196891849,0.022821567595426716,0.0,8.3231613894344066e-39,7.9315004036437292e-24,0.0,3.7545520205938115e-30,0.0,1.0609408643622743e-15,2.0730604444826683e-65,1.0239832951134754e-15,4.8076526606939093e-44,1.329849863058114e-37,0.0,0.0,9.8221548263048468e-33,1.0693279553594078e-50,4.0609705391565725e-09,1.9525513861542977e-10,7.5224984785493838e-14,1.9453289093965847e-21,7.5261940397535122e-14,2.7093897214520979e-31,2.651448510252303e-38,3.9827129083948828e-24
1.587045725900269e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755649195236,0.11866995962975681,0.02282156753919324,0.0,3.3793671960220943e-38,1.9608328688751946e-23,0.0,1.5102186142773092e-29,0.0,1.7051451957078054e-15,4.0986958389993182e-64,1.6137975953877065e-15,3.2514016626515964e-43,5.3983347211025271e-37,0.0,0.0,2.4558923314395836e-32,1.2637644276702518e-49,6.4000882813661588e-09,3.0772209591645535e-10,1.1852152830127967e-13,3.0837748561712321e-21,1.1861287278860423e-13,1.0781171451286457e-30,1.7931642250818746e-37,9.9942841881112575e-24
