Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),COX(37),H2X(36),CH2X(134),CHX(26),C2H6X(39),HOX(23),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(146),C3H6X(159),C3H5X(157),C4H8(204),C4H8X(216),C4H7X(215),C3H5X(158),C5H10(244),SX(271),C4H8(254),C4H8X(332),C4H7X(268),C3H8X(43),C5H9X(269),C6H12(397),SX(411),C4H7X(207),C4H7(219),C4H7X(457)
1.036073184236261e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999522,0.099999999999997036,3.0377982299554125e-91,0.099999999999998215,5.3061439674147242e-84,6.4164177723822198e-59,1.2220493775454714e-26,2.9067622527221986e-54,1.8349998358570699e-75,1.322539200643501e-33,3.5049673681900146e-105,1.0590112087083678e-44,4.1116183201883488e-82,5.5853125260611402e-83,5.8382904930657508e-57,2.2171672730700515e-58,5.7631820312437804e-73,2.1681439677317034e-120,2.9756535359958488e-15,1.7965720555772927e-15,1.769722523118094e-24,1.7697225244406471e-24,5.12086900859381e-25,5.2430739463483577e-25,1.5757198431380703e-40,2.8747091842241835e-72,7.0617055519798445e-39,3.1669636489984943e-50,3.3719462241002577e-68,1.9778929658961084e-50,4.2531018842884332e-75,2.4607150178521186e-134,8.2842874129841304e-63,6.4219824041715961e-137,4.675973094857833e-169,4.3035172592295835e-183,5.6156669736541236e-186,3.6444089511998421e-218,2.9022781585777957e-232,3.7871876936175708e-235,2.8078334868270618e-186,1.4648080975806849e-267,1.0432573086280472e-281,4.0052251182337875e-219,3.189619369420672e-233,4.1621397271974847e-236,3.1728300087413906e-119,6.8067411609493793e-285,1.1306855346740055e-317,0.0,2.553423933820622e-236,1.7366818651325743e-243,1.3954974095009652e-257
2.0730465189366717e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999045,0.099999999999994052,2.4327023467377785e-90,0.099999999999996411,8.4995600192562663e-83,5.1381129440329624e-58,4.7951579651485578e-26,2.3277672868487442e-53,2.886141286816235e-74,5.2936034358086451e-33,2.2466682630441083e-103,4.2388046976929376e-44,1.3172077981868135e-80,8.9468999330179652e-82,4.5883198085697444e-56,1.7424745360003304e-57,4.6140498846646751e-72,1.3890546000769491e-118,5.9538923483986161e-15,3.5947049903142701e-15,3.5409825957373021e-24,3.5409826010309631e-24,1.001118732984465e-24,1.0490703126359518e-24,1.2383601976235214e-39,4.604314423431698e-71,2.8265225525468829e-38,2.5354965671503121e-49,5.4009740628794157e-67,7.9167263982308359e-50,6.8124205040428113e-74,3.1530154188169714e-132,6.6324671278240186e-62,8.2287503402392381e-135,2.3976547562823234e-166,4.4133545615076158e-180,5.7589938559178123e-183,1.4956197383335229e-214,2.3821176899938227e-228,3.1084294156424408e-231,2.8794969279589061e-183,4.811201584804858e-263,6.8532136117690651e-277,1.6436941692088368e-215,2.6179602054295164e-229,3.4161807142112866e-232,4.0675895388435214e-117,4.4713850352323066e-280,2.9723035555369018e-312,0.0,2.0957866916328896e-232,2.8508506702332611e-239,4.5815583928335634e-253
4.146993188337493e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999809,0.099999999999988098,1.9471478641325821e-89,0.099999999999992817,1.360708493928894e-81,4.112482802464461e-57,1.8457858256025295e-25,1.8631572803026663e-52,4.4609296751522798e-73,2.118130895386994e-32,1.438985023406255e-101,1.6960740089571634e-43,4.2174497266842517e-79,1.4323365237985848e-80,3.5417053026224366e-55,1.3450089708896401e-56,3.6926422089141722e-71,8.8945721532087436e-117,1.1910369972182945e-14,7.190970859415914e-15,7.0835027330296095e-24,7.0835027542111449e-24,1.914017566077801e-24,2.0985961486380625e-24,9.5588517391132667e-39,7.3707290025868596e-70,1.1309771911709888e-37,2.0291678404437306e-48,8.6462492394461942e-66,3.1677217581118604e-49,1.0905840664080216e-72,4.0379749788538146e-130,5.3079894380689221e-61,1.053832080394577e-132,1.228511076855215e-163,4.5226351976352086e-177,5.9015943437408523e-180,6.1319456706574644e-211,1.9533063907914561e-224,2.5488728238243361e-227,2.9507971718704261e-180,1.5783924529521464e-258,4.4966150954969825e-272,6.739041406337347e-212,2.1466942719007501e-225,2.8012249980353294e-228,5.2105925887806871e-115,2.9338203340837973e-275,7.8025916416930886e-307,2.0291276074699996e-320,1.7185183626437371e-228,4.6753226674141742e-235,1.5027277116303835e-248
8.294886527139136e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996181,0.099999999999976191,1.5581127823333912e-88,0.099999999999985628,2.1777569076655749e-80,3.2907834122299383e-56,6.8592796185945779e-25,1.490903290502947e-51,6.6791118925880746e-72,8.4739028038332928e-32,9.2130785501496101e-100,6.7854004528948496e-43,1.3499652042519944e-77,2.2924046769646953e-79,2.6454753879956073e-54,1.0046539237714673e-55,2.9546748041547237e-70,5.6940189674650615e-115,2.3823325215666778e-14,1.4383502596129967e-14,1.4168542975829778e-23,1.4168543060569711e-23,3.5117198587822712e-24,4.1976478206418002e-24,7.1399805599517989e-38,1.1796227997257052e-68,4.5246452011231344e-37,1.6236425699846048e-47,1.3837752386157058e-64,1.2672949708597806e-48,1.7454115603149933e-71,5.1699739400020847e-128,4.2471980094745101e-60,1.3492615536297717e-130,6.2923264025474997e-161,4.6329101407466929e-174,6.0454923047692462e-177,2.5128570860939106e-207,1.6009209327316343e-220,2.0890444418457834e-223,3.0227461523846231e-177,5.1751344578265598e-254,2.9486440950733051e-267,2.7616435077741644e-208,1.7594207505093469e-221,2.295871123034295e-224,6.6721676797258372e-113,1.9238453416823547e-270,2.0468340980937925e-301,1.064601179478159e-314,1.4084893636119497e-224,7.6637440527361738e-231,4.9265124215506811e-244
1.659067320474242e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992359,0.099999999999952363,1.2466480415436527e-87,0.099999999999971237,3.4849097809419698e-79,2.6329456361586012e-55,2.3983589102611746e-24,1.192873627351558e-50,9.4649722603180085e-71,3.3898369725995166e-31,5.8975108813542679e-98,2.7143810803003034e-42,4.3204963145255585e-76,3.6683805393051441e-78,1.8668649036642343e-53,7.0896639565358301e-55,2.3639642767846074e-69,3.6446857369396283e-113,4.7649235686295163e-14,2.8768566063601127e-14,2.8338623334292344e-23,2.8338623673279659e-23,5.9973922543856461e-24,8.3957511646473441e-24,5.0385572199878803e-37,1.8876414398952207e-67,1.8100053712173289e-36,1.2990373835189909e-46,2.2143406944289456e-63,5.0695924358171803e-48,2.7930385524609795e-70,6.6185056749962822e-126,3.3980810134540396e-59,1.7272998579314341e-128,3.2223042078571019e-158,4.7450330665994827e-171,6.1918017022984212e-174,1.0295246142082922e-203,1.3118036525371261e-216,1.711774812608329e-219,3.0959008511492106e-174,1.6963058035354362e-249,1.9330133942525143e-262,1.1314531107463767e-204,1.4416792982584288e-217,1.8812497631369311e-220,8.5420398905388202e-111,1.2611962294007456e-265,5.3675822121958556e-296,5.5835833126761467e-309,1.1541235111300449e-220,1.2559423660794515e-226,1.6147231175635174e-239
3.3182246559948994e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799984718,0.099999999999904707,9.9738156335817921e-87,0.099999999999942468,5.5762546395732393e-78,2.1064840791278373e-54,7.6302373742245842e-24,9.543592875630834e-50,1.2314443197208689e-69,1.3559899507886078e-30,3.774767572135146e-96,1.0857966135203072e-41,1.3826544534090815e-74,5.8698352715283503e-77,1.2062221228729182e-52,4.5807864786162392e-54,1.8912611910886798e-68,2.3328578145151722e-111,9.5301056562194782e-14,5.7538692974715672e-14,5.6678783542666364e-23,5.6678784898670802e-23,9.161720478422735e-24,1.6791957852650687e-23,3.2555216881222902e-36,3.0204222812922807e-66,7.2403160208198556e-36,1.0392792329499441e-45,3.5431853195062012e-62,2.0279194779547662e-47,4.4691604938734493e-69,8.4726297496284388e-124,2.7185938404906743e-58,2.2111897895225904e-126,1.6500482361710334e-155,4.8595870399269747e-168,6.3412833792075164e-171,4.217631527769964e-200,1.0748076194417798e-212,1.4025182873026213e-215,3.1706416896037582e-171,5.5595266944672472e-245,1.2670639407849335e-257,4.6351998254524924e-201,1.1812193780393397e-213,1.5413751717510424e-216,1.0934864168332257e-108,8.2669694364372273e-261,1.4073889702627801e-290,2.9280496349683714e-303,9.4561361534135413e-217,2.0580747142202466e-222,5.2919899845029345e-235
6.636539327036213e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799969433,0.099999999999809408,7.9793050350512907e-86,0.099999999999884931,8.9223265452992528e-77,1.685238292907704e-53,2.1468257326739465e-23,7.6351155948466782e-49,1.4318771808577756e-68,5.424070045184785e-30,2.4159609787684713e-94,4.3432748184437185e-41,4.4246370256561746e-73,9.3920773474406759e-76,6.9433053193526031e-52,2.6368111246410516e-53,1.5130448480648746e-67,1.4933576036502042e-109,1.9060469805256541e-13,1.1507894670163367e-13,1.1335910192521011e-22,1.1335910734933805e-22,1.2116113901868252e-23,3.3584371228626425e-23,1.8739567613523667e-35,4.8328324230362304e-65,2.8961852717068087e-35,8.3144310532044826e-45,5.6692884966099729e-61,8.111842843727001e-47,7.1508790245762541e-68,1.0847343727963583e-121,2.1749266544380058e-57,2.830943453030309e-124,8.4502121010950005e-153,4.9773741767578582e-165,6.4949840195377226e-168,1.7279669331792672e-196,8.806990341025301e-209,1.1492256655983896e-211,3.2474920097688613e-168,1.8222186123009535e-240,8.3059858110060388e-253,1.899044991086538e-197,9.6789299450885372e-210,1.2630052126444823e-212,1.3997267442253331e-106,5.4192474960264664e-256,3.6903934611283557e-285,1.5355605944758344e-297,7.7483558062425508e-213,3.3727718860621109e-218,1.7344983668365233e-230
1.3273168669118842e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799938863,0.099999999999618797,6.383545040834465e-85,0.099999999999769856,1.4275977508688602e-75,1.3482110464650692e-52,5.325394712281622e-23,6.1081885858736087e-48,1.477912364920027e-67,2.169649999931015e-29,1.5462428861010951e-92,1.7373276003985229e-40,1.4159001367207215e-71,1.5027595762649322e-74,3.5406009164757274e-51,1.3445895657873799e-52,1.210450214914103e-66,9.564877280057844e-108,3.8121197998759221e-13,2.3015945377422519e-13,2.2671973055348085e-22,2.2671975225021249e-22,1.3915250857538784e-23,6.7169197980454097e-23,9.5558710240872888e-35,7.7326572510684475e-64,1.1584858455752314e-34,6.6516235271331109e-44,9.0710145834566026e-60,3.2447700615375008e-46,1.1441530399092603e-66,1.3895273660853647e-119,1.7399619066858229e-56,3.6263932504206543e-122,4.3298592241344908e-150,5.1007756498520919e-162,6.6560108226947241e-165,7.0832770207565678e-193,7.2203173508924092e-205,9.4218043897608391e-208,3.328005411347362e-165,5.9757464449919229e-236,5.4476959441510488e-248,7.7845596975614253e-194,7.935167760438237e-206,1.0354613904823051e-208,1.7916829006978883e-104,3.5543538497269325e-251,9.681825938491493e-280,8.057151909546743e-292,6.3523794469706076e-209,5.5302380656648856e-214,5.6879903592995504e-226
2.6546427353284098e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799877725,0.099999999999237588,5.1068764380575863e-84,0.099999999999539693,2.2841767191606824e-74,1.0785770020737198e-51,1.1977741322729187e-22,4.8865886582478591e-47,1.3800621021136102e-66,8.6786434296713994e-29,9.895950751331311e-91,6.949345747723301e-40,4.5308645424112196e-70,2.404436849430049e-73,1.634411774192944e-50,6.2068927552765183e-52,9.6836587166305107e-66,6.1401676667861553e-106,7.6242653967478832e-13,4.6032046639443061e-13,4.5344095526276006e-22,4.5344104205012111e-22,1.4561438255877639e-23,1.343388514836142e-22,4.4111800255081156e-34,1.2372351753605251e-62,4.6339665690855788e-34,5.321329988022833e-43,1.4513743798763499e-58,1.2979145593507731e-45,1.8306375551339783e-65,1.7839810181744671e-117,1.3919776787244144e-55,4.655839753861912e-120,2.2235988115729156e-147,5.2389942418490644e-159,6.8363725216610033e-162,2.9100947400743921e-189,5.9327911866333932e-201,7.7417093311838418e-204,3.4181862608305016e-162,1.9640672230784352e-231,3.5810223043145289e-243,3.1982098346972384e-190,6.5201695529029312e-202,8.5081803624464125e-205,2.2933535766867655e-102,2.336441052718882e-246,2.5457331153241281e-274,4.2370847038938732e-286,5.2195784457647786e-205,9.0880929617597118e-210,1.8694505015400614e-221
5.309294472161461e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799755451,0.099999999998475156,4.0855173126067305e-83,0.099999999999079367,3.6546987318750485e-73,8.6286486760766917e-51,2.5398922857252506e-22,3.9092849948860992e-46,1.2032537877352124e-65,3.4714656307071358e-28,6.3332884191504663e-89,2.7797453682747582e-39,1.4498472589780133e-68,3.8471154343605091e-72,7.0644094237775827e-50,2.6828019942773828e-51,7.746949214044729e-65,3.9774300854584915e-104,1.5248556423177504e-12,9.206424855349307e-13,9.0688327449230722e-22,9.0688362164257731e-22,1.468892991351944e-23,2.6867815848795361e-22,1.9066420066034319e-33,1.9795842452913905e-61,1.853591035317508e-33,4.2570759646314776e-42,2.322208028435511e-57,5.191670906080512e-45,2.9289591215814162e-64,2.3110645614481627e-115,1.1135852764472137e-54,6.0314242353653661e-118,1.1522093648388753e-144,5.4293658592455028e-156,7.0847888178517338e-159,1.2063353397100509e-185,4.9186906308024971e-197,6.4184078250709848e-200,3.5423944089258669e-159,6.5133940535753365e-227,2.3751331751422265e-238,1.325769052902e-186,5.4056675656076992e-198,7.053864861016511e-201,2.9354373403169065e-100,1.5496576713493282e-241,6.7538976507004654e-269,2.2482196294093576e-280,4.3273130537096931e-201,1.506903379604083e-205,6.1993896448292602e-217
