Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),H2X(56)
6.034150651406307e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999748,0.1186699660299629,0.02282156769305423,7.7594194666892724e-117,3.4848423255268341e-55,6.0850883309800564e-38,4.5957516749807493e-62,1.3213943522001499e-48,3.3654793042211599e-41,1.2762180656106258e-23,1.2316167163730612e-95,1.2762163087363074e-23,1.7307040733480762e-60,1.1339863731594912e-60,1.2935761036792472e-62,4.3562178254146711e-89,3.3654793146986537e-41,6.9552953895953453e-75,2.4333967010124133e-15,1.1699987584079936e-16,4.5098073701833093e-20,3.0055116134152798e-32,4.5098073719371773e-20,3.8393088807973257e-38,2.012736906267565e-51
1.207354383161488e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999492,0.11866996602996045,0.022821567693054171,4.9747778291137346e-115,2.7899964370706442e-54,2.4356211523349701e-37,3.6793998076315576e-61,1.0581871789674475e-47,1.3470703810916461e-40,2.5535484386965704e-23,3.9470870631571283e-94,2.5535414066207507e-23,1.3859704853840132e-59,1.8164514348603698e-59,1.0356485736480117e-61,6.9756316950817283e-88,1.3470703894798416e-40,1.1140587967745779e-73,4.8689075607558756e-15,2.3410140231221343e-16,9.023532901382276e-20,1.2029617257059644e-31,9.0235329084023219e-20,1.5367259191349182e-37,1.6114133553136383e-50
2.4152330192032024e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998982,0.11866996602995558,0.022821567693054053,3.1866694317342239e-113,2.2328509180099464e-53,9.7456571540632332e-37,2.9446445794940315e-60,8.4697863063651847e-47,5.3900488904095941e-40,5.1082197398546052e-23,1.2640215793928664e-92,5.1081916023916416e-23,1.1093438344581557e-58,2.9078900826872197e-58,8.288354400432732e-61,1.1165577384873883e-86,5.3900489575379248e-40,1.7834705146352125e-72,9.7399292802386934e-15,4.6830445525503313e-16,1.8050983953242639e-19,4.8132043488608989e-31,1.8050983981331968e-19,6.1489198718354315e-37,1.2896204258160624e-49
4.830990291286631e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999796,0.11866996602994584,0.022821567693053817,2.0403801777935267e-111,1.7866293144855472e-52,3.8988974617132023e-36,2.3561734419112323e-59,6.7775449991943485e-46,2.1563807172200338e-39,1.021760456211516e-22,4.046438790714872e-91,1.0217491993941439e-22,8.8770895065098134e-58,4.6535847319774965e-57,6.6319720388137496e-60,1.7868635236615495e-85,2.1563807709285333e-39,2.8543555105432167e-71,1.9481972719187891e-14,9.3671056114063852e-16,3.6105886014813076e-19,1.9254275623914527e-30,3.6105886127188705e-19,2.4599799579139438e-36,1.0318922793251921e-48
9.662504835453488e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995918,0.11866996602992635,0.022821567693053348,1.3061499623315356e-109,1.42945409800035e-51,1.5596859143447804e-35,1.8851343469597348e-58,5.4227224411684292e-45,8.6263063438313089e-39,2.0436543086413426e-22,1.2951392325198895e-89,2.0436092777073097e-22,7.1027168440673847e-57,7.4455634580551484e-56,5.3061281720859501e-59,2.8592968842206489e-84,8.6263067734702974e-39,4.5676792624045018e-70,3.896605959702056e-14,1.8735227729117144e-15,7.2215689969352789e-19,7.7009965377470636e-30,7.2215690418892013e-19,9.8408136117695659e-36,8.2559220759038226e-48
1.93255339237872e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991832,0.11866996602988739,0.022821567693052412,8.3605308477327402e-108,1.1436414580299735e-50,6.2389975305607879e-35,1.508205659540507e-57,4.3384525086063556e-44,3.4507281197991841e-38,4.0875095654112245e-22,4.1450684054808982e-88,4.0873294343464665e-22,5.6827669503701892e-56,1.1909755132847441e-54,4.2451788925790795e-58,4.5751857749761545e-83,3.4507284634150564e-38,7.3090734793239638e-69,7.7934233352422995e-14,3.7471471964533231e-15,1.4443529720402749e-18,3.0794520126257844e-29,1.4443529900225867e-18,3.9365599702124349e-35,6.6050512185996097e-47
3.8651592100454633e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983661,0.11866996602980945,0.022821567693050538,5.3513573300900224e-106,9.14973102652516e-50,2.4956497916235149e-34,1.2066357064283645e-56,3.4708717720019808e-43,1.3803714706940488e-37,8.1754902865868614e-22,1.3266346513944575e-86,8.1747697476760794e-22,4.5467315359144247e-55,1.9043473787762449e-53,3.3963434625520772e-57,7.3207332095689373e-82,1.380371745414816e-37,1.1695845387454428e-67,1.5587058086217612e-13,7.4943960435343718e-15,2.8887450897575832e-18,1.2309491239263015e-28,2.8887451616883792e-18,1.5747155047784606e-34,5.2841664087543687e-46
7.73037084537895e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319967324,0.11866996602965357,0.022821567693046791,3.425377146760005e-104,7.3204830198700775e-49,9.9827007570681326e-34,9.6538808519969536e-56,2.7767412275123229e-42,5.5219591753829621e-37,1.6352532559441253e-21,4.2462952363776764e-85,1.6349650374540511e-21,3.6380413785163591e-54,3.0429143797012307e-52,2.7172985968582524e-56,1.1714121451329412e-80,5.5219613703252436e-37,1.871665015524504e-66,3.1174327587747562e-13,1.4988893737687803e-14,5.7775292172874623e-18,4.9170059071233375e-28,5.7775295050142516e-18,6.2994019412362507e-34,4.2273833130228814e-45
1.546079411604592e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631993465,0.11866996602934182,0.022821567693039297,2.192801970989798e-102,5.8573986841261772e-48,3.9931006457298729e-33,7.7242395362471114e-55,2.2214103512178747e-41,2.2091286059535674e-36,3.2710940426839512e-21,1.3594481996692951e-83,3.2699411629090172e-21,2.9114139888205329e-53,4.855647494745121e-51,2.1741583074687206e-55,1.8745271497521778e-79,2.2091303573750011e-36,2.9956432055454418e-65,6.2348866589124779e-13,2.9977889125959999e-14,1.1555097040728299e-17,1.9613610350801025e-27,1.155509819164671e-17,2.520154271487335e-33,3.3819267438394818e-44
3.0921640657379866e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319869302,0.11866996602871832,0.022821567693024309,1.4040820434502865e-100,4.6874949387104509e-47,1.5972443466394472e-32,6.1811524093272269e-54,1.7771349808597937e-40,8.8392065130179272e-36,6.5445049445810507e-21,4.3542155661571538e-82,6.5398934141472734e-21,2.3306733215643927e-52,7.7275976043244115e-50,1.739822256606382e-54,3.0000715406058286e-78,8.8392204522894076e-36,4.7961022594158754e-64,1.2469794458514839e-12,5.9955879902365729e-14,2.3110230961134534e-17,7.8021901688439451e-27,2.3110235564862765e-17,1.0083688159750191e-32,2.7055494626739734e-43
