Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,9.6075798146015092e-102,7.8574906752291943e-63,4.5770362970354942e-36,3.4936682256357777e-75,3.7906443883185237e-49,3.6216196336632949e-119,6.7613944650040947e-22,2.4755963362135055e-102,6.7613944649623787e-22,6.0545704042841632e-69,2.4313207163768441e-65,3.5066827018937502e-100,2.1188999016780712e-101,1.0511668993600587e-50,1.86319797136333e-81,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656794408139e-20,4.9695656859369088e-20,3.2496237536532573e-29,2.6311122181470471e-34,2.9634086485824491e-40,3.6484628499757167e-32,4.1524827070591808e-65,1.6682593952561734e-49,3.1040372468359804e-90,7.8161875919041941e-93,2.3343379905457822e-92
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,3.1474041597556957e-99,1.2582663740913569e-61,1.8320924674136558e-35,2.8601442605908257e-73,3.0355898548261038e-48,1.1848798954917578e-116,1.3528663295394773e-21,1.5868304491503405e-100,1.3528663295227804e-21,9.6978348848813254e-68,3.893435829333409e-64,5.7381133059442521e-98,3.4672334787407201e-99,8.4132166243849359e-50,5.9689254213050182e-80,5.3652748178718691e-15,2.5796718113483488e-16,9.9434489594023986e-20,9.9434489854038178e-20,1.3006858436808853e-28,2.1064730105571647e-33,3.0424957923297433e-39,1.4598692816143311e-31,1.7018272421265321e-63,1.3356798216432182e-48,5.0792497755625998e-88,1.2811155598880902e-90,3.8247494115283804e-90
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.1563900538487513e-96,2.0131479629876835e-60,7.3314375951001423e-35,2.6275018572391893e-71,2.4297022180753548e-47,4.3496519568499195e-114,2.7063200956423724e-21,1.0163558064714082e-98,2.7063200955755637e-21,1.5524958378870923e-66,6.22926718208735e-63,1.0535709489719947e-95,6.3661629489934851e-97,6.7291160146812889e-49,1.9111274917644065e-78,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215499820921e-19,1.9891215603861339e-19,5.2043532975855298e-28,1.6857920505674891e-32,3.5072512321372654e-38,5.8376474163550987e-31,7.8275301947988356e-62,1.0690425225506952e-47,9.3259746882801083e-86,2.3559285314836676e-88,7.0286011750166161e-88
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,4.7503506775793158e-94,3.2179940506046904e-59,2.9335975481928418e-34,2.7011046163463677e-69,1.9442540212323404e-46,1.7870393318763023e-111,5.4132276279472031e-21,6.5071880906916685e-97,5.4132276276799224e-21,2.4846673288775138e-65,9.9574131685867986e-62,2.1649061466088681e-93,1.3081363960900571e-94,5.3779023137543625e-48,6.1173226468328346e-77,2.1468088339816485e-14,1.0322047651573231e-15,3.9786748502639388e-19,3.9786748918875821e-19,2.0820127591234982e-27,1.3488472721590276e-31,4.5223091068746003e-37,2.3324589168873188e-30,4.028109219698195e-60,8.5554482443499907e-47,1.9163265163984856e-83,4.8472293275473177e-86,1.444060463695329e-85
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.1284194434496969e-91,5.1368581723255195e-58,1.1739706111550043e-33,3.0333539793659765e-67,1.5556001283476267e-45,8.0224542438769249e-109,1.0827042692953022e-20,4.1654040272608162e-95,1.0827042691883811e-20,3.9760069654440304e-64,1.5894911206822438e-60,4.8603867709955815e-91,2.9368703153560014e-92,4.2925041753275554e-47,1.9578176229163599e-75,4.2938506368982856e-14,2.0645215438537819e-15,7.957781419620198e-19,7.9577815861339555e-19,8.3281892657341837e-27,1.0791122787901464e-30,6.363760749307182e-36,9.3068366702083178e-30,2.2636727395443517e-58,6.8473825977005586e-46,4.3023055007850333e-81,1.0892070803044505e-83,3.2357507513336351e-83
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.0079514428388179e-88,8.1792804068437472e-57,4.6995617458639284e-33,3.6109288608205353e-65,1.2445588538097108e-44,3.8185651496503334e-106,2.1654672824549293e-20,2.6661157368107423e-93,2.1654672820272272e-20,6.3620424766626201e-63,2.5308925362720854e-59,1.1568748940036499e-88,6.9903722519340242e-90,3.4179160945075948e-46,6.26545534093385e-74,8.5879342426996336e-14,4.1291551012460416e-15,1.5915994433502986e-18,1.5915995099630164e-18,3.3309796661057079e-26,8.6322202228073898e-30,9.4835671934033839e-35,3.7040136388478895e-29,1.3480325098713745e-56,5.4819642410752076e-45,1.0240396493929439e-78,2.5939353526717482e-81,7.6626641474823378e-81
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,4.9109831984254228e-86,1.2960182559911877e-55,1.8826525622936678e-32,4.4472664129269522e-63,9.9567855530783133e-44,1.8808201097739976e-103,4.3309933094080356e-20,1.706396319376965e-91,4.3309933076971923e-20,1.0179612751986212e-61,4.0101969196242106e-58,2.8492409309648462e-86,1.7216426667698366e-87,2.7087508111440259e-45,2.0050158874679579e-72,1.7176101454174625e-13,8.2584222160279301e-15,3.1832419961949641e-18,3.1832422626872549e-18,1.3320738157560564e-25,6.9042001171565725e-29,1.4612337300424298e-33,1.4667497326243702e-28,8.3036236667496279e-55,4.3917504716220714e-44,2.5220835591381905e-76,6.390440509341366e-79,1.8668283622528939e-78
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,2.4107975566010569e-83,2.0340881254941701e-54,7.5529878458157686e-32,5.5786947612570964e-61,7.9655538669583238e-43,9.436445465533085e-101,8.6620453658496585e-20,1.0921199032434201e-89,8.6620453590062156e-20,1.6287655316272987e-60,6.2938483821708572e-57,7.1477023649064275e-84,4.3189698565887599e-85,2.1270889890768559e-44,6.4161627694985195e-71,3.4352435876613789e-13,1.6516956445581201e-14,6.3665269021567413e-18,6.3665279684242147e-18,5.3255901684928622e-25,5.5206436019923274e-28,2.292240877967105e-32,5.7512635852900455e-28,5.2088484141303602e-53,3.5231553399360284e-43,6.3269819788296918e-74,1.6033738041122003e-76,4.5821929803041173e-76
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,1.1701137469268418e-80,3.1345771681323726e-53,3.0390255421197757e-31,7.0628374454795799e-59,6.3724925174010626e-42,4.7787171823625493e-98,1.7324149488874545e-19,6.9896506268633003e-88,1.7324149461500643e-19,2.6060465483978161e-59,9.6986133027258066e-56,1.8097863059826157e-81,1.09355530581745e-82,1.6410867666079706e-43,2.0531897660697716e-69,6.870510471944885e-13,3.3034024904645744e-14,1.273309591517019e-17,1.2733100182553537e-17,2.1280426509699684e-24,4.4120960442052266e-27,3.6283725097776845e-31,2.2128316083519202e-27,3.2975423856616446e-51,2.8340605254203501e-42,1.6019801019834616e-71,4.0600097707025526e-74,1.1119893009165404e-73
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,5.4925545951916915e-78,4.669202398033337e-52,1.2298241556006636e-30,8.9776842539140995e-57,5.0980125893743151e-41,2.4298906182677954e-95,3.4648357775490858e-19,4.4734020374149886e-86,3.4648357665994995e-19,4.1696908903104766e-58,1.4445847495304334e-54,4.6008281476416524e-79,2.7800265812961146e-80,1.2253219141653207e-42,6.5702340731937465e-68,1.3741044239694583e-12,6.6068161822607263e-14,2.5466230745557441e-17,2.5466247833348908e-17,8.4946091914485518e-24,3.5225951530622141e-26,5.7656499730051611e-30,8.220115444377209e-27,2.0958457701615046e-49,2.2920169670424863e-41,4.0725384720458445e-69,1.0321575819145579e-71,2.6096750068869089e-71
