Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CHOX(53),CO2X(24)
2.2921655873125706e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,8.5554206511768231e-95,3.0596073290246336e-58,2.6171627764635394e-29,1.7148439234087493e-68,4.9759715111308173e-44,1.9501841070811317e-105,2.0230184842597991e-16,3.3705455979263189e-86,2.0230184842587184e-16,1.3929467226728929e-58,9.4497489792695548e-61,7.0491780193353188e-89,8.1735033812295226e-90,2.600175146026623e-45,1.2271849281804712e-68,1.1048256140004456e-14,3.2711922790290402e-16,1.3095679689027707e-18,7.9382670746709093e-31,1.3095679518730924e-18,8.4857333022127883e-27,1.0284231291097116e-31,3.1263120573204997e-36,2.6911162311372197e-60,3.928433774035728e-42,3.7627135000195932e-78,2.9394969626763923e-30,1.241426217714331e-82,1.5283563356859126e-85,1.9199695765415388e-85
4.5848287143662556e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,2.2635855750703757e-92,4.8963849248227546e-57,1.0470356508386451e-28,1.134098434899512e-66,3.981785337431368e-43,5.1580380136973627e-103,4.0464760869233394e-16,2.1579818930161778e-84,4.0464760869190149e-16,2.229319489254295e-57,1.512353891573378e-59,9.3227287758071797e-87,1.0809679498328474e-87,2.0804748460247621e-44,3.9280928229867616e-67,2.2098910425449668e-14,6.5430946063059211e-16,2.6194202110062467e-18,3.1757250323436631e-30,2.6194201428760319e-18,3.3948047136046445e-26,8.2288459803601629e-31,2.5860641956208458e-35,8.9008802610944001e-59,3.1433442242640882e-41,2.4088227241470289e-76,1.1759901910378933e-29,1.6418197776190835e-80,2.0219974505682775e-83,2.5400691692892113e-83
9.170154968473625e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,6.1671197634611532e-90,7.834688009431718e-56,4.1884844333064521e-28,7.7234794552713969e-65,3.1858315700936793e-42,1.404636963395644e-100,8.0933912922515766e-16,1.3813749384880643e-82,8.0933912922342769e-16,3.5673950370947105e-56,2.4199723133487596e-58,1.2695213192457668e-84,1.4720066288846809e-85,1.6644413857902301e-43,1.2571658977649715e-65,4.4200218996278598e-14,1.3086899260858879e-15,5.2391247464476715e-18,1.2703144341667564e-29,5.239124473901344e-18,1.3579994699237548e-25,6.5835393080951792e-30,2.2043190780228147e-34,3.0322001278467025e-57,2.5149146933033968e-40,1.5418661234289484e-74,4.7043435878679355e-29,2.2357458289599888e-78,2.754820052371695e-81,3.4605777010527085e-81
1.8340807476688365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,1.7689556518469765e-87,1.2534795389778578e-54,1.67546272183167e-27,5.5374821856186591e-63,2.5488265851846894e-41,4.0260851523426091e-98,1.618722170291268e-15,8.8416525836855714e-81,1.6187221702843475e-15,5.7082191671154171e-55,3.8717711767096934e-57,1.8197375717459161e-82,2.1099809195765007e-83,1.3314618990067108e-42,4.0232127994701048e-64,8.8402836137690497e-14,2.6174508569961607e-15,1.0478534022285682e-17,5.0808328696563404e-29,1.0478532932029705e-17,5.4319554567165759e-25,5.2668214092792758e-29,1.9799677905350402e-33,1.0878062673469675e-55,2.0120281354453826e-39,9.8686458811122858e-73,1.8818139902314176e-28,3.2047280933293225e-76,3.9518202263455952e-79,4.9640187666084712e-79
3.668211249311784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,5.5013821535917353e-85,2.0051643480373258e-53,6.7019934267677165e-27,4.3044565683064951e-61,2.0391258004859267e-40,1.2508201544705887e-95,3.2374882524253386e-15,5.6589306153240425e-79,3.2374882523976563e-15,9.1334603542761508e-54,6.1935685840491734e-56,2.8275374817173222e-80,3.2785222405159771e-81,1.0649478022876196e-41,1.2874732020069366e-62,1.7680807041953035e-13,5.2349727188154254e-15,2.095735339392053e-17,2.0318693555811683e-28,2.0957349032597438e-17,2.1726156440592853e-24,4.2131410672853225e-28,1.9302565064539146e-32,4.2325717345997859e-54,1.6096621017693973e-38,6.3161582081502629e-71,7.5274089747375509e-28,4.9795578907575358e-74,6.1472138444441273e-77,7.7210489139074708e-77
7.336472252597679e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,1.9061100062755828e-82,3.20683275058726e-52,2.6808295896585351e-26,3.7278705983015507e-59,1.6313264516775935e-39,4.3287865383013205e-93,6.4750204167008819e-15,3.6218029358882087e-77,6.4750204165901511e-15,1.4613784287657107e-52,9.9051237536096358e-55,4.8943281917836648e-78,5.6749605424388435e-79,8.5157341398119208e-41,4.1199863933360182e-61,3.5361853897927442e-13,1.0470016442448836e-14,4.1914995418131662e-17,8.1235217411056145e-28,4.1914977970977444e-17,8.6888654615918022e-24,3.3698873077733192e-27,2.0980627875656332e-31,1.835254231774204e-52,1.2877471825894544e-37,4.0424131717672014e-69,3.0109941136636756e-27,8.6193691690279793e-72,1.065477748985866e-74,1.3380301588087487e-74
1.467299425916947e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,7.4252585024931849e-80,5.1262485805291775e-51,1.0723412464540984e-25,3.6305612314309927e-57,1.3050714826718955e-38,1.68469126417106e-90,1.2950084745281578e-14,2.3179818184040518e-75,1.2950084744838653e-14,2.3382252932720169e-51,1.583311148825971e-53,9.5270099996013952e-76,1.1046542538179848e-76,6.8063171776230411e-40,1.3184071739028771e-59,7.0723947608301976e-13,2.0940103889695177e-14,8.3830292599156803e-17,3.2461990109911341e-27,8.383022279671977e-17,3.4742161714194402e-23,2.6948615248251525e-26,2.5641003996903951e-30,8.9483016328006363e-51,1.0302074067177635e-36,2.5871674018240651e-67,1.2044036868333882e-26,1.6777952997939076e-69,2.0766811312523772e-72,2.6069847733962816e-72
2.9346038272313052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,3.20134573475316e-77,8.1869591539274045e-50,4.2894075111857148e-25,3.9149900603958723e-55,1.0440613094620088e-37,7.2612472371158388e-88,2.5900213402561398e-14,1.4835172911185034e-73,2.5900213400789702e-14,3.7411762812000568e-50,2.5284488839521726e-52,2.0536483659946384e-73,2.3811996596109497e-74,5.4350000892586702e-39,4.2189213017155147e-58,1.4144813502275397e-12,4.1880278784105968e-14,1.6766093956219975e-16,1.2959090925989882e-26,1.6766066024416616e-16,1.3886130165750496e-22,2.1541945018831394e-25,3.4666917693834544e-29,4.8295170411403576e-49,8.2417404064365007e-36,1.6557944341036324e-65,4.8176263227921574e-26,3.6166655778070347e-67,4.4809912730596778e-70,5.6213071273879376e-70
5.8692126298600216e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,1.482466204469848e-74,1.3051195867248836e-48,1.7157904249396609e-24,4.538011574958583e-53,8.3525068854546069e-37,3.3650705831803611e-85,5.1800470717594783e-14,9.4945390599637189e-72,5.1800470710507979e-14,5.9858945910298857e-49,4.0300585610748459e-51,4.7593721403873373e-71,5.5184784521931562e-72,4.331981048600197e-38,1.3500576879724955e-56,2.8289650982646965e-12,8.376062857260013e-14,3.3532244445602799e-16,5.1631663137549128e-26,3.3532132632316503e-16,5.5458618915584944e-22,1.7206421197570902e-24,5.0328278954103579e-28,2.8008632068052607e-47,6.5934926358696817e-35,1.0597107035962543e-63,1.9270524383679033e-25,8.3816933069021741e-65,1.0391450338624293e-67,1.301754717366198e-67
1.1738430235117454e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,7.1595679249377093e-72,2.07300778436103e-47,6.8633671006874134e-24,5.4940760414230695e-51,6.6820119385603217e-36,1.629156505941632e-82,1.0360098534955646e-13,6.0765138667685124e-70,1.0360098532120924e-13,9.5774410313785853e-48,6.3991358579731945e-50,1.1522015024845231e-68,1.3359741121201159e-69,3.4402192458852038e-37,4.3201887873493584e-55,5.6579325933314769e-12,1.6752132814827979e-13,6.7064630260061974e-16,2.0490664739650147e-25,6.7064182321967598e-16,2.2114980870937269e-21,1.3721873603032614e-23,7.6249197209743571e-27,1.6961014862355927e-45,5.2749422625534134e-34,6.7821548670196313e-62,7.7082103252321186e-25,2.0291315533570132e-62,2.516544791227814e-65,3.1436910002707803e-65
