Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),C2H6X(52),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4X(65),CH4OX(60),C3H7(36),C2H3(46),C2H2(244),C2H2(264),C2H2X(266),C4H6(280)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999672,0.11866996602996219,0.02282156769305424,0.0,2.8404228195577457e-54,2.0426611585880961e-30,1.2926224353124444e-73,1.1030505903269105e-45,1.1447270073353119e-111,5.6508248209835026e-17,1.630259783211392e-89,5.6508248209579213e-17,8.6297865951742886e-61,1.3068904382330372e-58,1.4819676878386545e-94,1.7183381532614497e-95,8.0054082670180289e-44,2.1249423403486082e-71,3.0860705647289008e-15,9.1373064454219406e-17,3.6579701664026442e-19,6.1959081704805304e-32,2.2942387403786839e-31,3.6579701637932652e-19,1.8210476360246659e-81,8.5685905652320714e-44,1.3248122349904045e-45,1.1182765809380782e-59,1.8062442862016e-95,4.5241068170778027e-30,1.0466755797465868e-37,5.1062098523414846e-44,3.4011732422779447e-69,2.6098845725813653e-88,2.1243576685177432e-85,1.2421745993429745e-72,2.1351985681168299e-101,1.3373382475644477e-87,4.9083007990512664e-98,1.366438922619968e-110,5.0335791274981439e-112,1.3495342802900977e-192
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,0.0,4.5483778040010638e-53,8.1759679629621938e-30,1.3111653543540189e-71,8.833350856332654e-45,4.6404460874720769e-109,1.1306559133607598e-16,1.0449788719944395e-87,1.1306559133505208e-16,1.3822656274236533e-59,2.0934581288496405e-57,3.0046624275302922e-92,3.4838992300606641e-93,6.4091942077931979e-43,6.8074474973204048e-70,6.1748223375923689e-15,1.8282551471595559e-16,7.319118413048633e-19,2.4799779532197879e-31,9.1829339146293989e-31,7.3191184026043159e-19,1.166799685539867e-79,6.8600825220631944e-43,1.0606553221908569e-44,1.7911859844605218e-58,2.3146503939306022e-93,1.8108217001188092e-29,8.3797662808780307e-37,6.4951671704236946e-43,1.7270475729823872e-67,5.2914933128406747e-86,1.3611394481934403e-83,3.9797386878876809e-71,2.7373440266336322e-99,8.5687261325679648e-86,6.2898470960087569e-96,3.5021206197678879e-108,1.2900833683042331e-109,2.2185879453017994e-188
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,0.0,7.2803669149691974e-52,3.2714521543283258e-29,1.4580358063229904e-69,7.070260887148605e-44,2.0627497769942176e-106,2.2618027759005316e-16,6.6930297886921112e-86,2.2618027758595626e-16,2.2128255056579179e-58,3.3514809916195665e-56,6.6795478053280542e-90,7.7449204411671489e-91,5.1293031923488436e-42,2.1796050661343727e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641414906845659e-18,9.9231420117788215e-31,3.6743696939070814e-30,1.4641414865054786e-18,7.4717741061126155e-78,5.4901509367524833e-42,8.4884659918238552e-44,2.8674532255757193e-57,2.9644545275629273e-91,7.2456451610531633e-29,6.7063556568373811e-36,9.0509186855711727e-42,9.6109133268848895e-66,1.1763312301686732e-83,8.7162568785091157e-82,1.2742816986017443e-69,3.506548402260486e-97,5.4871103271062999e-84,8.0556293732177064e-94,8.9705994384347408e-106,3.3045181559114219e-107,3.6410800724014042e-184
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.022821567693053921,0.0,1.1650957331373842e-50,1.3087938859015542e-28,1.7250085810345264e-67,5.6576411399275543e-43,9.7578098137875858e-104,4.5240965010398809e-16,4.28519261167512e-84,4.5240965008759803e-16,3.5414814836579078e-57,5.3639283806028855e-55,1.5800903720786874e-87,1.8321111811447375e-88,4.1042217801991119e-41,6.9766917929703527e-67,2.4707332974739541e-14,7.3154021628632893e-16,2.9286007896459905e-18,3.9699028633173147e-30,1.469987134565148e-29,2.9286007729269202e-18,4.7832978129472729e-76,4.3929548952474828e-41,6.7920622741786198e-43,4.5891700355599726e-56,3.7955914373491716e-89,2.8987295973228467e-28,5.3660968142690184e-35,1.3407767302486035e-40,5.6884568547141119e-64,2.782687840905214e-81,5.5799929363150294e-80,4.0789262862887828e-68,4.4901415151078222e-95,3.5127511158812843e-82,1.0314166599365751e-91,2.2971355025659783e-103,8.4620053210127293e-105,5.9705174329889909e-180
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,0.0,1.8643427327773784e-49,5.2356016222832873e-28,2.1170887681977516e-65,4.5266859533289201e-42,4.7891703095168953e-101,9.0486839515578104e-16,2.7430525249668774e-82,9.0486839509021467e-16,5.6671390213869579e-56,8.5835323125117091e-54,3.8778690949163956e-85,4.4963803656342992e-86,3.2836890349613442e-40,2.2328543127412516e-65,4.9417347157512769e-14,1.4631598183800437e-15,5.8575193883769187e-18,1.5880903076837928e-29,5.8804270648405782e-29,5.8575193214951958e-18,3.0617466288474691e-74,3.5146976101384694e-40,5.4341654098343424e-42,7.3436680972921128e-55,4.8590545170997185e-87,1.1595859870966947e-27,4.2932744396765662e-34,2.0593185100743148e-39,3.4917693669362186e-62,6.8292923686462108e-79,3.5717031499313521e-78,1.3054523653745564e-66,5.7485075088612508e-93,2.2484809244791443e-80,1.3204028578640264e-89,5.881514386490595e-101,2.1665855821596706e-102,9.7859477961533523e-176
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,0.0,2.9830997568148226e-48,2.0943258676784613e-27,2.6504876938616487e-63,3.6215779921615855e-41,2.398028387038412e-98,1.8097858853550601e-15,1.7557229952350213e-80,1.809785885092782e-15,9.0680373908246451e-55,1.3734648229542891e-52,9.7090054435180483e-83,1.1257569645152685e-83,2.6270756981036023e-39,7.1456345299692471e-64,9.883737552275174e-14,2.9263990225670727e-15,1.171535658907109e-17,6.3526190961096747e-29,2.3522665174570447e-28,1.1715356321533319e-17,1.9596573782397508e-72,2.8118915727457761e-39,4.3475381640307393e-41,1.175066584094888e-53,6.2200361893122683e-85,4.6385309303790005e-27,3.4347656025722372e-33,3.226149061406079e-38,2.1861126658937004e-60,1.7098471978207081e-76,2.2860515356689855e-76,4.1777607594907587e-65,7.3588105474978612e-91,1.4391302641402236e-78,1.6902369655912905e-87,1.5057761428841432e-98,5.5468587528789129e-100,1.603572224682799e-171
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679979632,0.11866996602976401,0.02282156769305136,0.0,4.7730798489292266e-47,8.3774739112424424e-27,3.3515930911323384e-61,2.8973540866499897e-40,1.2128685420751647e-95,3.6196208661363866e-15,1.1237169201632996e-78,3.6196208650872552e-15,1.450935179143464e-53,2.1976230983466661e-51,2.4553468630394217e-80,2.8469690772982849e-81,2.101710058513777e-38,2.2866831620261174e-62,1.9767743225199979e-13,5.8528774309395312e-15,2.3431031003388709e-17,2.5410988376050125e-28,9.4092573186528773e-28,2.3431029933215851e-17,1.2542253696966714e-70,2.2495666533637667e-38,3.4781122102050172e-40,1.8801702864336205e-52,7.9619319991692133e-83,1.8554487123728496e-26,2.7478504993598544e-32,5.1067898306628658e-37,1.3823015627478384e-58,4.3240967220405428e-74,1.463123458082441e-74,1.336933323206872e-63,9.4197388661306639e-89,9.2107615781345405e-77,2.1635809471629073e-85,3.8549256126171184e-96,1.4200469938241558e-97,2.6272519320441515e-167
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,0.0,7.6370211558090884e-46,3.3510236528773797e-26,4.2560795720615671e-59,2.3179199443646899e-39,6.1605746242842637e-93,7.2392908292301167e-15,7.1919617288309944e-77,7.2392908250335471e-15,2.3215356392798154e-52,3.5162593631232002e-50,6.2358261840300515e-78,7.2304261883393268e-79,1.681387384122015e-37,7.3175142541568511e-61,3.9535754570557623e-13,1.1705834247678047e-14,4.6862379883741096e-17,1.0164494750991693e-27,3.763741067467009e-27,4.6862375603006184e-17,8.027185169771062e-69,1.799674680862715e-37,2.7825213878947356e-39,3.0083234568331272e-51,1.0191455705294143e-80,7.4218590758326447e-26,2.1982629601436887e-31,8.1267070628491439e-36,8.7769946900663344e-57,1.0981875833224058e-71,9.3641361281128064e-73,4.278264956432486e-62,1.2057560876221804e-86,5.8949922884952932e-75,2.7694332750119388e-83,9.8687863358359453e-94,3.6353857518451564e-95,4.3036716133393533e-163
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679918559,0.11866996602916004,0.022821567693042583,0.0,1.2219299625813897e-44,1.3404162788343809e-25,5.4065044223388209e-57,1.854350621328338e-38,3.1303083169419053e-90,1.4478630761541891e-14,4.6029109882792145e-75,1.4478630744755518e-14,3.714488488161375e-51,5.6260613834676835e-49,1.5842736919138582e-75,1.8369617079485106e-76,1.3451169015277515e-36,2.3416250333650748e-59,7.9071777259305095e-13,2.3411747881129477e-14,9.3725077851315132e-17,4.0658153816693311e-27,1.505503966942167e-26,9.3725060728288798e-17,5.1374441147740647e-67,1.4397482877273624e-36,2.2260280746147977e-38,4.8133583177305981e-50,1.3045180029966763e-78,2.9687497118826388e-25,1.7585511611354334e-30,1.2967033639979498e-34,5.5747300372639557e-55,2.7900545860046682e-69,5.9930739660396828e-71,1.369056365515707e-60,1.543386640973726e-84,3.7728285651269701e-73,3.5449063192769492e-81,2.5264315417862045e-91,9.306671146923341e-93,7.0478969045027708e-159
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679837129,0.11866996602835475,0.022821567693030877,0.0,1.9550903408105013e-43,5.3616787505507615e-25,6.8447064409322213e-55,1.4834863565505238e-37,1.5852364351229707e-87,2.8957310650662624e-14,2.9458807616109831e-73,2.8957310583517025e-14,5.9432066987434017e-50,9.0017240632271381e-48,4.011476602930329e-73,4.6512978497889147e-74,1.0760951337317973e-35,7.4932326710223985e-58,1.5814382262892864e-12,4.6823575147929932e-14,1.874504746139444e-16,1.6263277297894364e-26,6.0220302430745436e-26,1.8745040612166845e-16,3.287978710343043e-65,1.1518020469465324e-35,1.7808241515461265e-37,7.7014058982816991e-49,1.6697904551108905e-76,1.1874956900933741e-24,1.4067336864942409e-29,2.0717506150661901e-33,3.5287463107824985e-53,7.0645853577211113e-67,3.8355504884239098e-69,4.380992802632855e-59,1.975546862348728e-82,2.4146209238654126e-71,4.5375002479234871e-79,6.467691234370634e-89,2.3825184396657917e-90,1.1536218660588023e-154
