Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,0.0,1.2246588087737793e-54,4.4422126322310611e-36,0.0,1.6906993882003416e-48,0.0,6.6612223589679377e-22,1.055809965808518e-101,6.6612223091509733e-22,2.6604438147660492e-68,3.827205769591056e-59,0.0,0.0,3.1779848065884808e-46,8.0657944262529293e-81,2.641744848501805e-15,1.2701743992222695e-16,4.8959384166134661e-20,3.5422871500657164e-32,4.8959384171080931e-20,6.7137002193545798e-46,2.1755055378417933e-36,1.4672536922287812e-62,6.0880849917955975e-95,1.5951349117358388e-49,6.9025992112437106e-95,3.113940383033113e-73
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,0.0,1.961049809559219e-53,1.7780427269167778e-35,0.0,1.3539307278441476e-47,0.0,1.3328232152459e-21,6.7676276136619384e-100,1.3328231953061308e-21,4.2613336932374149e-67,6.1306554620538121e-58,0.0,0.0,2.5443201724247157e-45,2.5839511517897678e-79,5.2857848706323197e-15,2.5414523383221969e-16,9.7961304711736873e-20,1.4178379925730026e-31,9.7961304731534819e-20,5.3750423328474307e-45,8.7076917381267784e-36,2.3501558501259895e-61,3.9008181408098043e-93,1.2770778397024393e-48,4.4227016399799263e-93,9.9765918464188288e-72
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,0.0,3.1389568540298355e-52,7.1144869155845764e-35,0.0,1.0836933369369192e-46,0.0,2.6662252038729541e-21,4.3346267454914594e-98,2.6662251240879053e-21,6.8218348882366631e-66,9.8147533176914184e-57,0.0,0.0,2.0362293709104138e-44,8.2732816121906039e-78,1.0573864914888507e-14,5.084008216521951e-16,1.9596514577321759e-19,5.6731986767506851e-31,1.9596514585243518e-19,4.3016673556747911e-44,3.484210969202552e-35,3.7622904764617855e-60,2.4979465059581508e-91,1.0220504017860684e-47,2.8321421555242962e-91,3.194427908601502e-70
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,0.0,5.0233527859884882e-51,2.8462580338116129e-34,0.0,8.6717422453635855e-46,0.0,5.3330293008424305e-21,2.7752320641416838e-96,5.3330289816502818e-21,1.0917897442180603e-64,1.570817000791584e-55,0.0,0.0,1.6292928105579826e-43,2.6481924092872926e-76,2.1150025003381517e-14,1.0169119972921062e-15,3.9197282777728439e-19,2.2696487967576254e-30,3.9197282809420642e-19,3.4419873050668235e-43,1.3939113015425308e-34,6.0212981173249105e-59,1.5991412332010641e-89,8.1779560661533496e-47,1.8130871848285619e-89,1.0225239705832501e-68
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,0.0,8.0381814959257613e-50,1.1385958736455619e-33,0.0,6.9382721156096016e-45,0.0,1.0666637973642856e-20,1.7764913541651148e-94,1.066663669677035e-20,1.7471005522622974e-63,2.5136722903472381e-54,0.0,0.0,1.3035579144586326e-42,8.475403551253718e-75,4.2302345180290071e-14,2.0339343485717692e-15,7.8398819130983939e-19,9.0793333489436331e-30,7.8398819257763092e-19,2.7538510563843252e-42,5.5760992802534841e-34,9.6353838471088198e-58,1.0235961612284425e-87,6.5429860599799198e-46,1.1605408161353636e-87,3.272567858872983e-67
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,0.0,1.2861742403453001e-48,4.5545688214768903e-33,0.0,5.5509690290893705e-44,0.0,2.1333857234689587e-20,1.1370642532743439e-92,2.1333852126991735e-20,2.7955504601940323e-62,4.0221672902708088e-53,0.0,0.0,1.0428956842313571e-41,2.7123191996884912e-73,8.4606985533797296e-14,4.0679790511304547e-15,1.568018916472635e-18,3.6318805429662728e-29,1.5680189215440072e-18,2.2031850415303262e-41,2.2305307013854593e-33,1.5417659682976278e-56,6.5514819234669829e-86,5.234637344001718e-45,7.4279868400058609e-86,1.0473001801701924e-65
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,0.0,2.0579304153101497e-47,1.8218645946729233e-32,0.0,4.4409157420865273e-43,0.0,4.2668303418566537e-20,7.2775634238871643e-91,4.2668282987359522e-20,4.4730323833318334e-61,6.4356994722390972e-52,0.0,0.0,8.3433610276443325e-41,8.6797255143586664e-72,1.6921626623957222e-13,8.1360684562452729e-15,3.1360803591889702e-18,1.4527813109861447e-28,3.1360803794748708e-18,1.7625892423581673e-40,8.9223061572282282e-33,2.4669091834655681e-55,4.1930976943634462e-84,4.187809276139698e-44,4.7540766045928941e-84,3.3514853198786052e-64
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,0.0,3.2927282684098105e-46,7.2875325118629317e-32,0.0,3.5527887698692908e-42,0.0,8.5337226433454105e-20,4.6577544078883032e-89,8.533714470779509e-20,7.1569730702652728e-60,1.0297299798174746e-50,0.0,0.0,6.6747640652493195e-40,2.777560793575966e-70,3.3843482764616417e-13,1.6272247266464689e-14,6.2722032141846133e-18,5.8111806528384502e-28,6.2722032953290446e-18,1.4100871248804338e-39,3.5689602294610766e-32,3.9471215668969606e-54,2.6836302641913825e-82,3.3502871816209075e-43,3.0426577700451431e-82,1.0724947454391766e-62
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,0.0,5.2683914685550645e-45,2.9150278317230446e-31,0.0,2.8422534350529748e-41,0.0,1.7067519505176146e-19,2.9810006617460038e-87,1.7067486814746638e-19,1.1451253717738725e-58,1.6475808808774809e-49,0.0,0.0,5.3398365825682285e-39,8.8882721929310075e-69,6.7687195043951628e-13,3.2544604886862652e-14,1.2544448802427797e-17,2.3244811195861406e-27,1.2544449127007173e-17,1.1280747877361412e-38,1.4275925218581655e-31,6.3154478935828756e-53,1.7175386134400074e-80,2.680245649371277e-42,1.9473113655796997e-80,3.4320109903894886e-61
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,0.0,8.4294299194076311e-44,1.166014098313501e-30,0.0,2.2738116333492225e-40,0.0,3.4135162264248643e-19,1.9078543487868376e-85,3.4135031502200936e-19,1.8322082749467872e-57,2.6361348171697388e-48,0.0,0.0,4.2718717709210781e-38,2.8442594280357025e-67,1.3537461959468929e-12,6.5089320127495081e-14,2.5088939491921766e-17,9.2979244083277696e-27,2.5088940790242559e-17,9.0245993796186541e-38,5.710393961431842e-31,1.0104758978808025e-51,1.0992295491833265e-78,2.1442028806436213e-41,1.2462759370871531e-78,1.0982458510108506e-59
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,0.0,1.348703497800042e-42,4.6640623262860516e-30,0.0,1.8190527289842592e-39,0.0,6.8270643924022135e-19,1.221033564013763e-83,6.8270120875189722e-19,2.9315391780920859e-56,4.2178042807782794e-47,0.0,0.0,3.4174862150730381e-37,9.1016492625924988e-66,2.7074946866443379e-12,1.3017875060810603e-13,5.0177918922940314e-17,3.7191555198748619e-26,5.0177924116230025e-17,7.2196490971620788e-37,2.2841679704308557e-30,1.616764709229913e-50,7.0350840589226784e-77,1.7153648481706564e-40,7.9760700403085489e-77,3.5143769235730038e-58
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,0.0,2.1579035256917616e-41,1.865626118542997e-29,0.0,1.4552433411910898e-38,0.0,1.3654239180996401e-18,7.8146662642692457e-82,1.3654029961348806e-18,4.6904667765392673e-55,6.7484272993495886e-46,0.0,0.0,2.7339649659193499e-36,2.9125304161765006e-64,5.4149916667699898e-12,2.6035761156671212e-13,1.003558699931009e-16,1.4876479758824514e-25,1.0035589076627269e-16,5.7756577757135141e-36,9.1367375418755947e-30,2.5868257838655709e-49,4.5024578976673824e-75,1.3722928947082749e-39,5.1045449677357975e-75,1.1245903858385656e-56
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,0.0,3.4525709004408145e-40,7.4625068616018518e-29,0.0,1.1641947986834534e-37,0.0,2.730890258464387e-18,5.0014409622909679e-80,2.7308065705936768e-18,7.5047480070829276e-54,1.0797274736973814e-44,0.0,0.0,2.1871311305276623e-35,9.3200989978132763e-63,1.0829985621944345e-11,5.2071533347346104e-13,2.0071174096592598e-16,5.9504723754170479e-25,2.0071182405863688e-16,4.6204226793431182e-35,3.6547440595146568e-29,4.138921872659279e-48,2.881573493308246e-73,1.0978347201692426e-38,3.2667243242495335e-73,3.5986174336999734e-55
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,0.0,5.5238709912287729e-39,2.9850032312244205e-28,0.0,9.3135534928589697e-37,0.0,5.461948469699927e-18,3.2009884250380262e-78,5.4616137182825871e-18,1.2007590995340328e-52,1.7274956292789818e-43,0.0,0.0,1.7496385871600024e-34,2.982430296341041e-61,2.1659973511985256e-11,1.0414307772451067e-12,4.0142335824166909e-16,2.3800921982187627e-24,4.0142369061254329e-16,3.6961704307193834e-34,1.461936160926062e-28,6.6222717124636664e-47,1.8442060584570892e-71,8.7826793459048244e-38,2.090465760532996e-71,1.1515106155326533e-53
