Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135),C2H6X(39),CH2X(134),CHX(26),CXHO(27),OCX(21),COX(37),HO2(52),CH3O(58),CH2OX(40),CH2OH(57)
1.1248558886073306e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999673,0.099999999999997119,0.099999999999999839,1.7617811595056805e-122,1.7221769061802994e-72,2.0722765022033917e-62,4.0100300501862953e-93,3.1462551561448781e-56,8.3708325095208152e-107,2.4383366083551483e-29,0.0,2.6275340988165774e-49,2.2393193514432701e-83,4.2402407768656661e-67,7.9844481807203367e-96,3.1964087114548471e-112,1.6492319724350287e-58,3.6350405192338966e-100,2.8895739269135815e-15,3.5928946391325695e-16,1.1499534637261309e-25,1.5877160806800812e-37,1.1499534637334706e-25,4.4781924980661764e-81,2.4256785604403494e-86,3.2761142943708984e-43,3.5441860726737088e-70,6.244570247975395e-41,5.7395602399448116e-53,5.5185301586573133e-83,3.3911600053700883e-90,4.4055813469415526e-107,2.4383365190946639e-29,1.2002226306498798e-96,8.9173200734689856e-121,8.5100519992601113e-94
2.2506890629562836e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999349,0.099999999999994232,0.099999999999999659,4.5124897105009618e-120,2.7582233155972043e-71,1.6595006455000105e-61,5.1332890312879137e-91,2.5195558500968891e-55,5.3638790087277095e-105,4.8787918459581547e-29,0.0,1.0516983946748028e-48,3.5868026796489871e-82,6.7922806069191236e-66,5.1164570421555009e-94,4.0982877993378185e-110,1.3203883813799817e-57,1.1645185386188994e-98,5.7816583434605132e-15,7.188910820088715e-16,2.300906018196577e-25,6.3550020291471536e-37,2.3009060182259547e-25,1.4347448475743417e-79,7.7701478198134919e-85,1.311299497773623e-42,5.6768571637894124e-69,2.4994554811471539e-40,4.5951380902692247e-52,1.7681097445891486e-81,2.1705013000927817e-88,1.1279360271059671e-104,4.8787914886835977e-29,3.8453309813294678e-95,1.1428227468075585e-118,2.7264913833325696e-92
4.5023554116541894e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998699,0.099999999999988445,0.099999999999999298,1.1534599888434095e-117,4.4153508945374153e-70,1.3282726221126422e-60,6.5593451179198854e-89,2.016665868942257e-54,3.4349788747998586e-103,9.7597028574245652e-29,0.0,4.2081634792958695e-48,5.7419994365764373e-81,1.0873969399836328e-64,3.2765850324662658e-92,5.2502186702933632e-108,1.0567119977487165e-56,3.7285495158011438e-97,1.1565827175618451e-14,1.4380943182000496e-15,4.6028111270930897e-25,2.542828588130865e-36,4.6028111272106373e-25,4.5939426444211904e-78,2.4877243894079924e-83,5.246906037787473e-42,9.0879018293823306e-68,1.0001077615991195e-39,3.6775070284450143e-51,5.6614413765290428e-80,1.3867195727167305e-86,2.882586196434862e-102,9.759701427860968e-29,1.2312454028280014e-93,1.463713478601745e-116,8.7300156940381083e-91
9.005688109050002e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997398,0.099999999999976871,0.099999999999998576,2.9402918595957306e-115,7.0663168508600666e-69,1.0628870056212326e-59,8.3594100369423284e-87,1.6137412704115256e-53,2.1990575474548384e-101,1.9521527025398989e-28,0.0,1.6835394108672623e-47,9.1896919277038904e-80,1.7403409030512896e-63,2.0976710942774001e-90,6.7231027162857493e-106,8.455301491541927e-56,1.1934703778856341e-95,2.3134164836190612e-14,2.876500790582201e-15,9.2066213447085961e-25,1.0172970136055356e-35,9.2066213451788655e-25,1.4705032614668517e-76,7.9627620685425402e-82,2.0991040731175914e-41,1.4544588343053984e-66,4.0010822773582241e-39,2.9425643645812904e-50,1.8122195422736475e-78,8.8361832997296075e-85,7.3473708541600691e-100,1.9521521306213726e-28,3.9411688844960263e-92,1.874129701457608e-114,2.7944442379613759e-89
1.8012353503841625e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994797,0.099999999999953737,0.099999999999997133,7.458965996399434e-113,1.1307511506616884e-67,8.5041718079851829e-59,1.0602746895604346e-84,1.2911564662936931e-52,1.4076116177136123e-99,3.9045183941514236e-28,0.0,6.734705720792874e-47,1.4705501630731619e-78,2.7849501475510747e-62,1.3427191839134102e-88,8.607375385358585e-104,6.7648834591400656e-55,3.8196405431936342e-94,4.6270840142360119e-14,5.753313735345688e-15,1.8414241779229541e-24,4.0695192305083182e-35,1.8414241781110769e-24,4.7063171395033489e-75,2.5484109575247733e-80,8.3970996571376551e-41,2.327449812546188e-65,1.6005631663496598e-38,2.3542750121873281e-49,5.7999938408515948e-77,5.6035216896501724e-83,1.863858292901175e-97,3.9045161062911286e-28,1.2613634502648511e-90,2.3992550241832057e-112,8.9435645334331983e-88
3.6025684293424873e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989595,0.099999999999907468,0.09999999999999426,1.8749412758659578e-110,1.8093142099756416e-66,6.803767777846219e-58,1.332605040511512e-82,1.0329905568628175e-51,9.0094018218686095e-98,7.8092532094410314e-28,0.0,2.6939919076816426e-46,2.3530398356649173e-77,4.4562440155342081e-61,8.5940675321956981e-87,1.1018587040049578e-101,5.4121636769577766e-54,1.2223706336234127e-92,9.2544190694799825e-14,1.1506939624869394e-14,3.6829482645431141e-24,1.627873926415345e-34,3.6829482652956355e-24,1.5061345634273296e-73,8.1554384416226954e-79,3.3589765406531931e-40,3.7241722583027524e-64,6.4025131849925822e-38,1.8835094225981532e-48,1.8561392804748971e-75,3.5211336265633263e-81,4.6853458723268293e-95,7.8092440576274618e-28,4.0366661108013112e-89,3.0712826450971684e-110,2.8621555392489717e-86
7.205234587259137e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503997919,0.099999999999814917,0.099999999999988501,4.6314920449425432e-108,2.8949926233407601e-65,5.4431863601002203e-57,1.6459984446937017e-80,8.2641859958142641e-51,5.7662372768493783e-96,1.5618736568286481e-27,0.0,1.0776186873332319e-45,3.7649914003574551e-76,7.1302494295910453e-60,5.5004078933508871e-85,1.4104504499719483e-99,4.3298336914667497e-53,3.9117230874319094e-91,1.8509089156008202e-13,2.3014191403903726e-14,7.3659964366473197e-24,6.5116281495346305e-34,7.3659964396574683e-24,4.8198115140201314e-72,2.6098240328098424e-77,1.3436179523061427e-39,5.9588776610378113e-63,2.5610573784476858e-37,1.5068433039552252e-47,5.9398629382253306e-74,2.1742994306686292e-79,1.1575239888486569e-92,1.5618699960287413e-27,1.2917816435288427e-87,3.9313930422941007e-108,9.1592415251322702e-85
1.4410566903092435e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039958379,0.099999999999629829,0.099999999999976996,1.1078405093005183e-105,4.6320600725538861e-64,4.3546179442408396e-56,1.96884150246339e-78,6.6114534108018874e-50,3.6904624362821597e-94,3.1237758199042269e-27,0.0,4.3105185982233784e-45,6.0240883696644277e-75,1.1408606201194774e-58,3.5203162330427059e-83,1.8054169032748281e-97,3.4639080269590475e-52,1.2517733172830902e-89,3.7018429233225751e-13,4.6028694961920077e-14,1.4732092776311271e-23,2.6046777272969682e-33,1.4732092788351989e-23,1.542368616206369e-70,8.351570798583821e-76,5.3745264817897169e-39,9.5343658794646305e-62,1.0244333720453876e-36,1.2054889493575585e-46,1.9007852855080027e-72,1.3000348502060773e-77,2.7694837528475652e-90,3.1237611765556454e-27,4.1337788083255098e-86,5.0322800863101867e-106,2.9310122733480814e-83
2.8821231534759034e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039916756,0.099999999999259639,0.099999999999953987,2.5067470678133546e-103,7.4113535012755581e-63,3.4837218980365836e-55,2.2280101265134331e-76,5.2892045685240211e-49,2.3619187265828268e-92,6.2476021112813182e-27,0.0,1.7242162090896721e-44,9.6386230847105378e-74,1.8253935313303717e-57,2.253006843614609e-81,2.3109458479012375e-95,2.7711428084337688e-51,4.0057096981294126e-88,7.4037109004305282e-13,9.2057702077743553e-14,2.9464285437461347e-23,1.0418763672170929e-32,2.9464285485624454e-23,4.9356257691457036e-69,2.6725240277960724e-74,2.1498215272685969e-38,1.5255114644053715e-60,4.0977543270743255e-36,9.6439688144428989e-46,6.0825236171285861e-71,7.352290417969251e-76,6.2695868973939681e-88,6.2475435375891089e-27,1.32282160515147e-84,6.4413810616700319e-104,9.3793270996776032e-82
5.764256079809223e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039833512,0.099999999998519259,0.099999999999907954,5.2069069899604487e-101,1.1858211140682787e-61,2.7869885354801574e-54,2.3148819769960093e-74,4.2313803810809508e-48,1.5116355033002589e-90,1.2495342554939005e-26,0.0,6.8968823758639656e-44,1.54218622560135e-72,2.9206427850648818e-56,1.4419089049683504e-79,2.957983690361492e-93,2.2169207331035806e-50,1.2818327138646384e-86,1.4807446701304215e-12,1.8411571630855361e-13,5.8928670687050168e-23,4.1675158837133663e-32,5.8928670879703077e-23,1.5794075775891844e-67,8.5521107586402943e-73,8.5993079781566131e-38,2.4408286623085601e-59,1.6391058965914743e-35,7.7151979305467142e-45,1.9463862757727872e-69,3.8164445686849044e-74,1.3033232354386681e-85,1.2495108259574655e-26,4.2330488174106527e-83,8.2450090091390112e-102,3.0013986263741011e-80
1.152852193247586e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039667026,0.099999999997038513,0.099999999999815903,9.6755473580607163e-99,1.8973171963134776e-60,2.2295952351349874e-53,2.1520053377226539e-72,3.3851109797749459e-47,9.6744942499441081e-89,2.4991174885866669e-26,0.0,2.758756458143029e-43,2.4675031756006409e-71,4.6730386514083395e-55,9.2279511584420595e-78,3.7861127282203008e-91,1.7735390715706951e-49,4.1018736431124689e-85,2.961491768968274e-12,3.6823174476682589e-13,1.1785744089538251e-22,1.6670083262365579e-31,1.1785744166599508e-22,5.0541155894903414e-66,2.7366804981592477e-71,3.4397275650264664e-37,3.9053340519565997e-58,6.5564319016899644e-35,6.1721674817824331e-44,6.2282548761296701e-68,1.7719306133639803e-72,2.4246173724528084e-83,2.4990237703220237e-26,1.3545786813497055e-81,1.0553641039080489e-99,9.604497298947731e-79
2.3057053637809138e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039334053,0.099999999994077021,0.099999999999631786,1.5990932130578864e-96,3.03571003299641e-59,1.7836779506853758e-52,1.7795334357179629e-70,2.708091428813184e-46,6.1916887777234401e-87,4.9984245322157234e-26,0.0,1.1035032847310786e-42,3.9480092174380183e-70,7.4768690072835212e-54,5.905526823547188e-76,4.8459280961466786e-89,1.4188320761579171e-48,1.3126009876654125e-83,5.9229857212964583e-12,7.3646380166997996e-13,2.3571498014866602e-22,6.6680363686901009e-31,2.3571498323111849e-22,1.6173185560765897e-64,8.7573847967825086e-70,1.3758919007178464e-36,6.2485408348214159e-57,2.62257441077477e-34,4.9377376175395446e-43,1.9929183980496886e-66,7.3163167757335608e-71,4.0126140459483624e-81,4.9980496589209343e-26,4.3346561103517576e-80,1.3508687383397157e-97,3.0734422055170583e-77
4.6114117048475693e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038668108,0.099999999988154037,0.099999999999263553,2.3945478246777095e-94,4.8571368729861327e-58,1.4269430653801688e-51,1.3332248943289694e-68,2.1664741610913241e-45,3.9626896767248375e-85,9.997600929236797e-26,0.0,4.4140145411843451e-42,6.316817944322156e-69,1.1962992967509235e-52,3.7790670610249909e-74,6.2020145749214728e-87,1.1350657082717712e-47,4.2003253617200926e-82,1.1845972644562914e-11,1.4729279154227258e-12,4.7143005400170848e-22,2.6672144548167292e-30,4.7143006633152299e-22,5.1754203039620981e-63,2.8023634463717916e-68,5.5035693519184616e-36,9.9976697702655279e-56,1.0490300839561931e-33,3.9501915103537185e-42,6.3765392623414613e-65,2.7372087877444415e-69,6.0162892093095194e-79,9.9961014355979339e-26,1.3870902856951215e-78,1.7291157426280203e-95,9.8350173982117467e-76
