Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),H2OX(23),CHOX(60),COX(57)
6.746385521509571e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,4.110511330085232e-98,1.8643895380926112e-54,1.2212018649700177e-36,6.4227532555797938e-62,1.3265019585464196e-51,4.2068455477338618e-41,1.4268536790656154e-23,2.1515403398376324e-95,1.4268536790414152e-23,2.4187278435687073e-60,3.5363824076260744e-63,1.8078261900419289e-62,6.8194556042211722e-89,4.2068481510899013e-41,1.086762606373655e-74,2.7206202198436548e-15,1.308098378695312e-16,5.0421178667520111e-20,5.0421179823411023e-20,5.7784110988726549e-28,8.2008240584680926e-32,1.1715998153451813e-36,3.7569707431555427e-32,1.6978366444048041e-61,4.2342155956460318e-50,9.8386040932455543e-89,7.333191906623428e-46,2.2151755357358406e-57,6.1336197493530219e-77
1.3498632368407075e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.0769530067964626e-95,2.5954968684962784e-53,9.4713071088551012e-36,5.142107913504968e-61,1.0622773845275757e-50,1.6838345547085853e-40,2.8549470225411189e-23,6.8952351493038366e-94,2.8549470224442576e-23,1.9369439495159969e-59,5.6647958226677697e-62,1.4473601877738607e-61,1.0940634746575648e-87,1.6838366389761024e-40,1.7407088570639793e-73,5.4436041410060544e-15,2.6173332459906712e-16,1.0088616258892016e-19,1.0088616721582437e-19,2.3125420786023647e-27,6.564773858966358e-31,9.590529954609891e-36,1.5037671863016166e-31,5.5585927576447655e-60,6.5542239355854477e-49,1.2889019297320251e-86,5.8710116589950615e-45,1.7734872814580074e-56,9.8217831087561216e-76
2.700312606220208e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,2.8775854470028182e-93,3.8424186225926616e-52,7.4561471253086286e-35,4.1152491226736047e-60,8.5025241769946013e-50,6.7375315151100703e-40,5.7111337096400197e-23,2.2081256281289955e-92,5.7111337092524462e-23,1.5503402130348991e-58,9.0689420133375383e-61,1.1583280325632289e-60,1.7578153676806859e-86,6.7375481955804613e-40,2.7866459825296006e-72,1.0889571983325719e-14,5.2358029805812833e-16,2.0181612695987882e-19,2.0181614547614773e-19,9.250554661602223e-27,5.252419318629744e-30,8.0123089826451659e-35,6.0170258457937105e-31,1.8565623876832413e-58,1.0308190271576647e-47,1.7220815651590776e-84,4.6985924295556295e-44,1.4193287142109576e-55,1.5721249346555769e-74
5.401211344979209e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,7.9763291262773354e-91,5.8994246699003644e-51,5.9142044866776533e-34,3.2928245498485255e-59,6.8037413655656589e-49,2.6954513279084138e-39,1.1423507084429383e-22,7.0686437482317434e-91,1.1423507082878845e-22,1.2405862686181234e-57,1.4514517376925897e-59,9.2683841663502858e-60,2.834205345960794e-85,2.6954646748122544e-39,4.4598433661155325e-71,2.1781507667944504e-14,1.0472742449762087e-15,4.0367604181443094e-19,4.0367611591255288e-19,3.6987248484409613e-26,4.2005028730272082e-29,6.9499038738064943e-34,2.4072008257931695e-30,6.4346411013375395e-57,1.6343940437745037e-46,2.3870271712688603e-82,3.7595858750436646e-43,1.1356784410790447e-54,2.5159117254483759e-73
1.0803008822497212e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,2.3527130721066978e-88,9.2402597899654515e-50,4.7073518967853236e-33,2.634509776663459e-58,5.4436812869986836e-48,1.0782682818809075e-38,2.2848253836374375e-22,2.2623887684744354e-89,2.2848253830171723e-22,9.9259466970569846e-57,2.3226576692205374e-58,7.4154113713109467e-59,4.6028078171007205e-84,1.0782789604069148e-38,7.1367173602648201e-70,4.356537903709991e-14,2.0946621388122003e-15,8.0739581597408243e-19,8.0739611255835399e-19,1.4779333790755656e-25,3.3571575426441207e-28,6.4213485144791699e-33,9.6295764263546592e-30,2.373896926091252e-55,2.6011045638737577e-45,3.5211782315577732e-80,3.0079511637778111e-42,9.0862873878743069e-54,4.0258682624508167e-72
2.1606603777533217e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,7.6080851581952105e-86,1.4625315431695167e-48,3.7503424782667789e-32,2.1077079569757686e-57,4.3552192055685206e-47,4.3132486359733028e-38,4.5697747349729391e-22,7.2403205657517938e-88,4.5697747324917781e-22,7.9412600106892736e-56,3.7165138718157339e-57,5.9326107284790468e-58,7.5812554452752471e-83,4.3133340680623669e-38,1.1419522215495519e-68,8.7133121775082083e-14,4.1894379264835051e-15,1.6148351420956355e-18,1.6148363298181018e-18,5.8986002408755852e-25,2.680168613195072e-27,6.5105914204493481e-32,3.851978874720438e-29,9.6041072756780976e-54,4.1442811729929985e-44,5.6950062096058263e-78,2.4064701797158127e-41,7.2693704936257244e-53,6.4417169737548761e-71
4.321379368760523e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,2.7541957901243387e-83,2.3273145745092553e-47,2.9846323324602909e-31,1.6862071139576103e-56,3.4842832483291322e-46,1.7253345573166536e-37,9.1396734414299578e-22,2.3170108303856719e-86,9.1396734315051179e-22,6.3532090808940174e-55,5.9466112217663361e-56,4.7462012401180543e-57,1.2822779787507501e-81,1.7254029043308319e-37,1.8271855131995289e-67,1.7426860724973181e-13,8.3789895018234048e-15,3.2297129055482313e-18,3.2297176671644836e-18,2.348856316397738e-24,2.1351452306626184e-26,7.3924290514640374e-31,1.5408161504873545e-28,4.3502370625508041e-52,6.5967016413491771e-43,1.0311631856694041e-75,1.9252138558638966e-40,5.8156272258466095e-52,1.0307013087692315e-69
8.642817350774925e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,1.1130338341956527e-80,3.713491944789312e-46,2.3665809909701797e-30,1.3489890897579121e-55,2.7874668890846038e-45,6.9014084406461853e-37,1.8279470869488051e-21,7.4146078768287476e-85,1.8279470829788292e-21,5.0826477028617816e-54,9.5146643396952365e-55,3.7970060584370743e-56,2.2732686687002027e-80,6.9019552187791399e-37,2.9235463934211497e-66,3.4853957819377277e-13,1.6758092652492369e-14,6.4594648772953158e-18,6.4594840079304459e-18,9.3115304826899344e-24,1.693846649713473e-25,9.3657452765339484e-30,6.1632733179282731e-28,2.1994324057451524e-50,1.0463792998157412e-41,2.0841851997882155e-73,1.5401765881340472e-39,4.6525454641162562e-51,1.6491514569253535e-68
1.728569331480373e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,4.888667192544141e-78,5.9333465236446931e-45,1.8616878946392326e-29,1.0792793407207438e-54,2.2299850455029944e-44,2.7605774225168667e-36,3.6559065786180067e-21,2.3727022463415055e-83,3.6559065627380658e-21,4.0661503505650871e-53,1.5223324570160861e-53,3.0376228778982937e-55,4.3465426168744803e-79,2.7610148404675844e-36,4.6777139018868562e-65,6.9708152006082092e-13,3.3516298953786953e-14,1.2918954600188136e-17,1.2919031778412816e-17,3.6590947423915676e-23,1.3327669789017252e-24,1.2883351823309943e-28,2.4652786827273592e-27,1.2082610330000116e-48,1.6471346256038517e-40,4.5779863789761811e-71,1.2321281417375314e-38,3.7220400054495729e-50,2.6388467759822058e-67
3.457144524286134e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,2.2476784985453265e-75,9.4865336238158728e-44,1.4417146514584778e-28,8.6436790916998868e-54,1.783985318861872e-43,1.1042337814006626e-35,7.3118255861867369e-21,7.5926916154063202e-82,7.3118255226669448e-21,3.2529331762459469e-52,2.4356544707034644e-52,2.4301055219881349e-54,9.2283284809172625e-78,1.104583705357894e-35,7.4843740265898459e-64,1.3941654037107822e-12,6.703271155620273e-14,2.5837877163819451e-17,2.5838190869789326e-17,1.4137192494311289e-22,1.0321598954226782e-23,1.8531642740969681e-27,9.8607943553409782e-27,6.9462248922891481e-47,2.5537713610866566e-39,1.0525252402751633e-68,9.8567273493750138e-38,2.9776113154373739e-49,4.2265038097109545e-66
