Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CO2X(24),CHOX(61)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.764224075598745e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-2.7088218877763007e-119,3.8182871096592652e-65,1.061218178815684e-45,1.8855480921033457e-74,2.0727568400487432e-61,4.772657112739759e-49,4.535671287410298e-29,-4.0361346104086522e-114,4.5356712874092515e-29,3.3807183640637832e-74,6.9575316882168715e-75,4.4527377491929898e-75,4.1815066192041025e-106,4.7726572451511167e-49,7.123363246735495e-92,2.7573762207891456e-18,8.0428625217274258e-19,1.8227405886515955e-23,2.1763484459604899e-37,1.8227405887237492e-23,3.6087456088930696e-34,2.9368974209652403e-40,8.8412409579706637e-46,2.3138616264516187e-75,8.254748502547832e-62,7.6125623035487847e-54,-1.3778241481206387e-107,2.9037751505855662e-68
2.4539827411676487e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,4.9126964413691835e-117,7.7420305623452014e-64,1.156461680811772e-44,2.238522694945554e-73,3.1323501365435157e-60,2.8826848960954632e-48,1.2699879604752262e-28,-3.8034474775798718e-114,1.2699879604745942e-28,5.1089415901245876e-73,2.187559231887253e-73,5.286290255843029e-74,9.3616099400931282e-105,2.8826850532942287e-48,2.008902408765925e-90,7.7206534182096022e-18,2.25200150608368e-18,5.1036736481076149e-23,1.3145144605850239e-36,5.1036736485434206e-23,2.1796806349285484e-33,3.4866821066222475e-39,1.0498735011060044e-44,1.4068996940135011e-73,1.7017565160523809e-60,9.037633961860809e-53,1.3958824728518972e-105,3.4473618584884611e-67
5.609103408383197e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,2.0743267031576126e-114,1.4398369449356393e-62,1.0818298893725214e-43,2.1977948561570915e-72,3.3696393392836204e-59,1.3878886883856958e-47,2.9028296239449895e-28,7.6394873507429899e-114,2.9028296239419475e-28,5.4959662281728326e-72,4.8803242992682998e-72,5.1901111204627944e-73,1.8528067483322598e-103,1.387888842724375e-47,4.3698015380841323e-89,1.7647207813050497e-17,5.1474320139055538e-18,1.1665539766552242e-22,6.3288212692264191e-36,1.1665539768650459e-22,1.0494206538058203e-32,3.4232398480910296e-38,1.0312833061132125e-43,6.3529655435204431e-72,3.1996037009240885e-59,8.8732026057882996e-52,2.9238711196218561e-103,3.3846403146336945e-66
1.1919344742814295e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,6.6779007095406194e-112,2.4826824739127693e-61,9.3377410943501229e-43,1.9439246610378773e-71,3.0972790899885766e-58,6.0612745331895545e-47,6.1685129508900003e-28,4.5465570077991401e-112,6.1685129508767138e-28,5.0517398352767135e-71,9.1403072733529631e-71,4.5905945099152409e-72,3.3080128848937527e-102,6.0612758982976935e-47,8.1008755983916136e-88,3.7500316602732194e-17,1.0938293029549301e-17,2.4789272001571846e-22,2.7639625143555779e-35,2.4789272010735337e-22,4.5830803743542271e-32,3.0278074150170562e-37,9.1306791915555535e-43,2.4008711865757795e-70,5.5496207938598546e-58,7.8482472004875011e-51,4.7029425532434966e-101,2.9936760273811269e-65
2.4539827411676486e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.9138751653491729e-109,4.120988027669944e-60,7.7536075391060657e-42,1.6339858078527932e-70,2.6497874694760214e-57,2.530462801183676e-46,1.2699879604801959e-27,1.6201846720150492e-110,1.2699879604746479e-27,4.321869786492389e-70,1.5787607701544038e-69,3.8586712896597867e-71,5.6166809291228097e-101,2.530463948639314e-46,1.3923335371012908e-86,7.7206534182095217e-17,2.2520015060836794e-17,5.1036736464132442e-22,1.153899935235431e-34,5.1036736502388332e-22,1.9133330279384693e-31,2.545038651074001e-36,7.690186403398893e-42,8.345695527674053e-69,9.2398750747185451e-57,6.5969246332391841e-50,6.7366884821059579e-99,2.5163650817085531e-64
4.978079274940088e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,5.1952362129382532e-107,6.7144530307800313e-59,6.318125374902777e-41,1.3396402865472107e-69,2.1908955200746405e-56,1.03377662125555e-45,2.5762612912713609e-27,5.4444517584077611e-109,2.5762612912486954e-27,3.5734055162702917e-69,2.6231346056352165e-68,3.1635718543744348e-70,9.3477196319834993e-100,1.0337775620089994e-45,2.3076907288546082e-85,1.566189693408198e-16,4.5683459123411775e-17,1.0353166535933922e-21,4.7140576963397088e-34,1.0353166551562804e-21,7.8164850395573578e-31,2.0865503434320139e-35,6.329970262617701e-41,2.7902895860636809e-67,1.5078010366605401e-55,5.4085573326628753e-49,9.1416228400169287e-97,2.063068123378688e-63
1.0026272342484966e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.3772145564090842e-104,1.0840531847575247e-57,5.1008754272754956e-40,1.0848754365758832e-68,1.7815998489258858e-55,4.1786903898081374e-45,5.1888079528887877e-27,1.7847795723566393e-107,5.188807952797171e-27,2.9058340202679978e-68,4.2763713662901947e-67,2.5619425088303226e-69,1.554957196145889e-98,4.1786980082733344e-45,3.7574761222285015e-84,3.1544383965826304e-16,9.2010347248561632e-17,2.0852152303009503e-21,1.9054974538577474e-33,2.085215236618479e-21,3.159463597186869e-30,1.6897002810759434e-34,5.166811940776862e-40,9.178936837863925e-66,2.4362019057096186e-54,4.3799898715989911e-48,1.2115771822558004e-94,1.6707260501376113e-62
2.012265847757472e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,3.6287417775197313e-102,1.7423048832624685e-56,4.0991700702753486e-39,8.7320213341363501e-68,1.4369248169696582e-54,1.6802330272196371e-44,1.041390127626402e-26,5.780308159118169e-106,1.0413901275895633e-26,2.3436604085010329e-67,6.9063509019144528e-66,2.0620742150977437e-68,2.6319254590167277e-97,1.6802391592229894e-44,6.0645816105008985e-83,6.3309358029312557e-16,1.8466412349886105e-16,4.1850123789297572e-21,7.6619211471258762e-33,4.1850124043329424e-21,1.2703383618664991e-29,1.3599497228827472e-33,4.2241132017577914e-39,3.012388852400712e-64,3.9168456133264137e-53,3.52539676602511e-47,1.5961199146958652e-92,1.3447456672607024e-61
4.0315430747754224e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998743,0.099999999999999825,9.6361088038767039e-100,2.7939541835686037e-55,3.286491629221649e-38,7.0068971983432511e-67,1.1542161497656904e-53,6.738485941946637e-44,2.0864087923576009e-26,1.8608166209951667e-104,2.0864087922098609e-26,1.8825554939707201e-66,1.1101756475235188e-64,1.6546846927663346e-67,4.634844108814119e-96,6.7385351474080459e-44,9.7456198407026522e-82,1.2683930615627561e-15,3.6997167599945863e-16,8.3846066570421346e-21,3.0727728207415766e-32,8.3846067589257275e-21,5.0940792246066052e-29,1.0911647876502614e-32,3.4945500504403248e-38,9.9827365252137104e-63,6.2816693129585356e-52,2.8289086693212884e-46,2.1193077192726893e-90,1.0790736963805606e-60
