Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),CX(24),CO2X(34),COX(37),HOCXO(25)
1.081849319989679e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999687,0.09999999999999723,0.099999999999999839,7.0639653064286588e-100,1.401089753177239e-59,2.6488717949046608e-47,1.1600615300870336e-85,4.515076776433879e-47,2.8807776947091255e-94,8.2565589979009403e-37,0.0,9.2264431940091957e-42,1.1563516917146484e-99,1.5910856292734557e-63,9.1063279308362669e-81,7.7432250915007067e-92,6.4345013671890806e-55,8.9643081651897644e-138,2.7790969666062481e-15,3.4555276471482438e-16,4.1985208172801046e-18,4.1985209837638299e-18,8.3237702031519059e-26,2.7932716222134264e-30,5.9923537899043811e-32,1.1083599919018585e-60,2.4842652672786225e-60,1.469961878182973e-67,1.8979573246851771e-73,1.5387775906395022e-47,5.9430294927385879e-114,1.2257602700816222e-99,9.7095947588768976e-100
2.164638561195683e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999374,0.099999999999994441,0.099999999999999672,1.8113868529056325e-97,2.2443524831493487e-58,2.1212458440251924e-46,1.4867108970089326e-83,3.6157231756693153e-46,3.6934868424408252e-92,3.30477526434887e-36,0.0,3.6929818208843903e-41,7.415853503345893e-98,2.5486995797774666e-62,5.8351822053108514e-79,9.9277008788950562e-90,5.1515135455440547e-54,1.1496941597834373e-135,5.5606084394111056e-15,6.914057490340768e-16,8.4006891836748644e-18,8.4006898500548019e-18,3.3315654408314997e-25,2.2362456374358597e-29,2.398503168177236e-31,1.7753022714063806e-59,7.9592174445970122e-59,9.4192691710706374e-66,6.0807670462035377e-72,2.463974289829973e-46,3.0479089447120015e-111,3.1418338895715401e-97,2.4912870287900725e-97
4.330217043607691e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998746,0.099999999999988876,0.099999999999999326,4.640796326927552e-95,3.5930525320260572e-57,1.6978565527941164e-45,1.90407616400736e-81,2.8940437973863103e-45,4.7313472363383851e-90,1.3223405276892349e-35,0.0,1.4776738117656463e-40,4.7510162892042111e-96,4.0802908379862146e-61,3.7366287784606676e-77,1.2717358873899113e-87,4.1227764857606426e-53,1.4730580663861232e-133,1.1123631384155092e-14,1.3831117176725337e-15,1.6805025416369893e-17,1.6805028082847024e-17,1.3329706100532173e-24,1.7895639757456441e-28,9.5971368657493642e-31,2.8420256928459322e-58,2.5483635083677745e-57,6.0317417722887611e-64,1.9470148996939385e-70,3.9437242903504821e-45,1.5617590393339568e-108,8.0477066743206589e-95,6.3846242236349305e-95
8.661374008431705e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997492,0.099999999999977732,0.099999999999998632,1.1884016825536891e-92,5.7505557288867953e-56,1.3586294282779506e-44,2.4376895722552305e-79,2.3158210265312472e-44,6.0579242149675657e-88,5.2902228074362459e-35,0.0,5.9116578526340108e-40,3.0422093013601839e-94,6.5303628454683667e-60,2.3918985372845547e-75,1.6283055205183198e-85,3.2988475812111065e-52,1.8864422503972682e-131,2.2249677270180144e-14,2.7665236549492569e-15,3.3613695881382222e-17,3.3613706549742089e-17,5.3320342543683936e-24,1.4317435966451461e-27,3.8394796727113036e-30,4.5484755946688297e-57,8.1562700892447067e-56,3.8610510108951045e-62,6.2323197488746612e-69,6.3104772793922361e-44,7.9986222271070618e-106,2.0606150199502028e-92,1.6352039370801142e-92
1.7323687938079736e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994983,0.099999999999955444,0.099999999999997244,3.0422079852911655e-90,9.2022276333893642e-55,1.0870414755736928e-43,3.1199732335232894e-77,1.8528908336388199e-43,7.7538638410496165e-86,2.116261058682757e-34,0.0,2.3648559173351526e-39,1.9475123937574346e-92,1.0450097764410547e-58,1.5306795099636432e-73,2.0841555980815231e-83,2.6393286472278209e-51,2.4152394387262591e-129,4.4501769028378586e-14,5.5333475295019388e-15,6.7231028809897885e-17,6.7231071492526585e-17,2.1324145237851151e-23,1.145216541340758e-26,1.5359168623016058e-29,7.2785502423959081e-56,2.609763744154631e-54,2.4708538331273657e-60,1.9946420962003746e-67,1.0095341685055739e-42,4.0951622141982926e-103,5.274724762182252e-90,4.1863150768478963e-90
3.46483157973758e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989965,0.099999999999910869,0.099999999999994482,7.7850669854080407e-88,1.4724637976485734e-53,8.6968874412542066e-43,3.9919311496093762e-75,1.4824056189307963e-42,9.921105836375638e-84,8.4653863912758888e-34,0.0,9.4598111689951352e-39,1.246566763276778e-90,1.6721366961332461e-57,9.7923142479304877e-72,2.6666859345418358e-81,2.1115631535609624e-50,3.0918846091265068e-127,8.900595248936879e-14,1.1066995278604247e-14,1.3446566266090838e-16,1.3446583344409656e-16,8.5254263377912535e-23,9.1575769074428191e-26,6.1439174368170006e-29,1.1646476877851271e-54,8.3477616702068602e-53,1.5806951773503022e-58,6.3833356274845975e-66,1.6145536253395076e-41,2.0959207366440046e-100,1.3497785503486293e-87,1.0713352568634179e-87
6.929757151596792e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979931,0.099999999999821731,0.099999999999988945,1.991134601518611e-85,2.3560289108516436e-52,6.9577384196051544e-42,5.1048887899916773e-73,1.1859606232226086e-41,1.2687200648201972e-81,3.3862216073380336e-33,0.0,3.7840035183057626e-38,7.9785267179650318e-89,2.6755144950902335e-56,6.2611885993332029e-70,3.4101794533439074e-79,1.6892906142707732e-49,3.9578502462784091e-125,1.7801431918972254e-13,2.2134290776796647e-14,2.6893480233896735e-16,2.6893548585082905e-16,3.4065822634628024e-22,7.3189013295920993e-25,2.4576169669678525e-28,1.8635016250951086e-53,2.6687496905446001e-51,1.0106937311102457e-56,2.0427451430472048e-64,2.5808487654703456e-40,1.0721204397955876e-97,3.4522056407312683e-85,2.7401819529758251e-85
1.3859608295315217e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039959861,0.099999999999643444,0.099999999999977884,5.0874937713879761e-83,3.7697187123131818e-51,5.5662920877286311e-41,6.5216617989690015e-71,9.4878126384243604e-41,1.6208180824241635e-79,1.3545009478592044e-32,0.0,1.5136184614261753e-37,5.1064055789317467e-87,4.2808964083564834e-55,3.9994049284673422e-68,4.3565727687306846e-77,1.3514485218754358e-48,5.0661912461832452e-123,3.5603105170392335e-13,4.4268881773132574e-14,5.378725696002141e-16,5.3787530658835914e-16,1.3597293815323759e-21,5.8434898927972281e-24,9.8305678039710856e-28,2.9816600091846911e-52,8.5233349815916971e-50,6.4559203500152798e-55,6.5369139315561777e-63,4.1214245391771466e-39,5.4787021872929534e-95,8.8206447467961755e-83,7.0016752903116839e-83
2.7719310582752067e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039919724,0.099999999999286868,0.099999999999955749,1.2973524090833118e-80,6.0316175204425774e-50,4.4530902672885413e-40,8.3154192427376956e-69,7.5902741932694213e-40,2.0665641655302824e-77,5.4180195585251559e-32,0.0,6.0545179730036692e-37,3.2681325636250284e-85,6.8494819140856336e-54,2.5496735388172542e-66,5.5546684186798853e-75,1.0811652196614286e-47,6.4847977458328702e-121,7.1206451318629806e-13,8.8538063765608929e-14,1.0757460557510284e-15,1.0757570269337656e-15,5.4157453152244161e-21,4.6562066439801744e-23,3.9322470696959519e-27,4.7707185330714137e-51,2.7167847985605942e-48,4.1157346104091045e-53,2.091836448386515e-61,6.5689111435415301e-38,2.7942381968929407e-92,2.2493628766004976e-80,1.7856175888511999e-80
5.543871515762576e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039839449,0.09999999999857373,0.099999999999911479,3.2956137653194117e-78,9.6506732564081319e-49,3.5625208999131605e-39,1.0561807718196073e-66,6.0721858218197294e-39,2.6246930547758336e-75,2.1672039025844049e-31,0.0,2.4218241375112912e-36,2.0915968121373101e-83,1.0959174271671812e-52,1.6191811784972331e-64,7.0548022658243667e-73,8.649347205984134e-47,8.3005682003714007e-119,1.4241314219669403e-12,1.7707642774977961e-13,2.1514848346283561e-15,2.1515289025504132e-15,2.1479636297457906e-20,3.6955370057992576e-22,1.5729027863458729e-26,7.6332534881053649e-50,8.6259972375182472e-47,2.6137150170000629e-51,6.6939362368732891e-60,1.0429896596377944e-36,1.4196296422377265e-89,5.7141311439591769e-78,4.5365765193540455e-78
1.1087752430737316e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039678897,0.09999999999714744,0.099999999999822939,8.3085049466732482e-76,1.5441291251117302e-47,2.8500789820137606e-38,1.3313953021235828e-64,4.8576661806929731e-38,3.3082706493585477e-73,8.6687511754598511e-31,0.0,9.6873971043534499e-36,1.7687074708609462e-81,1.7534522724695123e-51,1.0204883332035645e-62,8.8919158223282977e-71,6.9194876941128921e-46,3.6356962760175386e-117,2.8482651827917986e-12,3.5415315571499283e-13,4.3029296191849118e-15,4.3031073217423605e-15,8.4485714854428257e-20,2.9103955217186073e-21,6.2916188190410904e-26,1.2213465415260329e-48,2.717934236263274e-45,1.6472929135918244e-49,2.1420889164348262e-58,1.6436320233128289e-35,7.1581061472045302e-87,1.440661544808909e-75,1.7311493988878695e-75
2.2175514260686793e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039357795,0.099999999994294875,0.099999999999645858,2.0641409853947338e-73,2.4706625123164576e-46,2.2801599100543765e-37,1.6539338570171958e-62,3.8859894570054318e-37,4.1088350824348587e-71,3.4674423099054658e-30,0.0,3.875034811204821e-35,1.1362138755695627e-79,2.8054711779923051e-50,6.3377915477606867e-61,1.1043191111445649e-68,5.535593740510239e-45,4.5865788932895384e-115,5.6965324774958289e-12,7.0830661163290712e-13,8.6056880994995884e-15,8.606409835321883e-15,3.2699966394212231e-19,2.2578913993989087e-20,2.5166488745610746e-25,1.9542345629848664e-47,8.437915620950858e-44,1.0230591340141242e-47,6.8548374872251172e-57,2.552799306638156e-34,3.5567827036289589e-84,3.5795506937944244e-73,4.3055636140015461e-73
4.4351037920585746e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503871559,0.09999999998858973,0.099999999999291711,4.9888660180161832e-71,3.953244337232591e-45,1.824291143506721e-36,1.9989321629018897e-60,3.1085573921598926e-36,4.9638818829902247e-69,1.3869290753229648e-29,0.0,1.5500774356820829e-34,7.2714107521085345e-78,4.4885791387811544e-49,3.8290381756233003e-59,1.334009890238666e-66,4.4284758490273377e-44,5.8852391507448767e-113,1.1393066159121287e-11,1.4166135234186865e-12,1.7210680736883476e-14,1.7213647567482386e-14,1.22796661450168e-18,1.7029945748745815e-19,1.0066596792648541e-24,3.1270448938789365e-46,2.5477577401791168e-42,6.1809108906378505e-46,2.1936484420016073e-55,3.8581934534530005e-33,1.7193892575756831e-81,8.6534082389043767e-71,1.0401417967646535e-70
6.65265615804847e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038073384,0.099999999982884585,0.099999999998937564,3.7247602899320392e-70,1.5071974547674218e-44,5.4161510148145903e-36,1.2904649640430244e-59,9.2281333106446181e-36,3.2336801738878806e-68,2.947153638194168e-29,0.0,3.2940120700315558e-34,3.6572964660100265e-77,1.7112494282661171e-48,2.1064648763639169e-58,8.6904007159960337e-66,1.2662673214470077e-43,7.9157330527433292e-112,1.7089598932964285e-11,2.1249204351544167e-12,2.5815149082970595e-14,2.5821562630438296e-14,2.5001807878986145e-18,4.710633874806514e-19,2.1391517811182349e-24,1.1830755588791899e-45,1.1661211381032418e-41,3.4002982205531608e-45,1.0295716071052561e-54,1.3824171465768711e-32,1.4530045150585461e-80,6.428674741691646e-70,6.3331048788769605e-70
1.1087760890028261e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036788972,0.09999999997147431,0.099999999998229255,3.1329959675275701e-68,1.2395679942194832e-43,2.5375406001543273e-35,5.0699885499315366e-58,4.3220165958924022e-35,1.5232276156324053e-66,8.1475081703969352e-29,0.0,9.1077288819921338e-34,1.2058236720637384e-75,1.4070987167669901e-47,4.7717726578669516e-57,4.0925475414493531e-64,5.8192933184542414e-43,1.115874902929962e-110,2.8482660849521613e-11,3.5415342584256805e-12,4.3021988865483165e-14,4.3040389777635577e-14,6.241401700573484e-18,1.9727055989052964e-18,5.9141244977605863e-24,9.3386864202952886e-45,1.542975693752338e-40,7.7026919644945879e-44,1.4356375408984003e-53,9.7294639111496894e-32,2.1696072438405952e-78,4.4357399949161204e-68,7.4343136966398756e-68
1.5079355148810074e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575035633003,0.099999999961205066,0.099999999997591779,1.8272314217045106e-67,3.6155047142613013e-43,5.8563831527448321e-35,2.244325668083605e-57,9.972592688714875e-35,7.801619043790327e-66,1.4507701833045825e-28,0.0,1.6219102744889783e-33,5.6272342651778235e-75,4.1036648938669321e-47,1.8814939484753627e-56,2.0958375857371705e-63,1.3099169773529132e-42,5.9766011920965398e-110,3.8736413641357232e-11,4.8164866992081082e-12,5.8506451061358885e-14,5.8539925544008316e-14,1.0404377342291377e-17,4.2219129362777817e-18,1.0531302386649256e-23,2.6210021232222349e-44,5.2936644172568122e-40,3.0371455969773265e-43,4.9214033088562625e-53,2.5742752882359044e-31,1.3493543677130622e-77,2.1574681301842518e-67,4.8728858182398346e-67
1.9070949407591886e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034477033,0.099999999950935822,0.099999999996954303,6.76467370526305e-67,8.2733735573534823e-43,1.1277456813885911e-34,7.8396460903872981e-57,1.9200061223000466e-34,2.6042443117507346e-65,2.2645787972312414e-28,0.0,2.5319789759953394e-33,1.6497558383799712e-74,9.3896815892621006e-47,5.6649911986520769e-56,6.9959515388445267e-63,2.4758281121519925e-42,4.94315691053218e-109,4.8990163328603548e-11,6.0914391398193693e-12,7.3989120829612604e-14,7.4042369315174243e-14,1.5244175540447474e-17,7.5867229911644198e-18,1.6439509924066609e-23,6.0015534537710782e-44,1.3525181387079884e-39,9.1445434037764613e-43,1.3293757513660855e-52,5.5560301404932404e-31,5.8219729678746647e-77,8.6460866302921051e-67,1.6765001240724448e-66
