Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24)
9.71241965273886e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999635,0.09999999999999748,0.099999999999999464,1.8369536152926123e-95,4.9426983274470133e-58,3.6772077544436697e-33,9.1022763602354265e-78,1.7097892402148154e-48,3.9682796080244791e-124,3.2107528969529487e-34,3.8391812950649881e-125,3.2092397361398346e-34,5.6801513486108246e-80,1.9345857441986041e-66,1.6466403116167069e-112,1.6033878540775907e-114,3.8093515337898858e-57,6.0700409997459601e-97,2.4949644555840353e-15,1.0916168763030631e-15,3.4717139164708243e-17,3.4717142184117768e-17,1.3890254639372248e-24,8.0452788214211752e-26,4.1113214880951245e-32,3.0049413000470202e-32,1.2349244784870503e-55,1.383726211654771e-46,6.3327591420303254e-84,4.9420063450098373e-46,1.9497600956318904e-85
1.943327755018036e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999268,0.099999999999994954,0.099999999999998923,4.9085692472383164e-93,7.9147256418579495e-57,2.8001765990514802e-32,1.0611190462924353e-75,1.369217984032519e-47,3.7043567381122123e-121,6.4273426972043513e-34,2.46167544683038e-123,6.4212861107637038e-34,9.0981130077015283e-79,3.0989153485015178e-65,6.4564974437923855e-110,3.7381044844235696e-112,3.0497747450946688e-56,1.9445931083635919e-95,4.9920965605623583e-15,2.1841821599703569e-15,6.9464437976231669e-17,6.9464450352361978e-17,5.2690979777781712e-24,6.1264395364611674e-25,5.9910339079700867e-31,1.2027500256011054e-31,7.1992393457066557e-54,2.1109319730983995e-45,1.4772776038732345e-81,3.9565805380262595e-45,2.6042963853793135e-83
3.887499334506336e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998536,0.099999999999989889,0.099999999999997827,1.2103155675440955e-90,1.2668553071815795e-55,2.0407149009740838e-31,1.2129057073890917e-73,1.0959291650443673e-46,3.3887101794451315e-118,1.2869668376387658e-33,1.5777161114383282e-121,1.2845434143339285e-33,1.4564880323449228e-77,4.9610711690530405e-64,2.6726246126761166e-107,8.5463616415984714e-110,2.4407103026517331e-55,6.2261873561344956e-94,9.9863607705118089e-15,4.3693127273047552e-15,1.3895902677091116e-16,1.38959078305014e-16,1.9069793955230237e-23,4.4648272292056279e-24,8.5536707787872657e-30,4.812489895793969e-31,4.113815596276789e-52,3.0862199045900086e-44,3.377691018813129e-79,3.1664197160610143e-44,3.2097227864326583e-81
7.775842493482936e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997073,0.099999999999979758,0.099999999999995648,2.7190233628402871e-88,2.027324056964823e-54,1.3836795006319072e-30,1.3092023781793557e-71,8.7696508936945476e-46,2.9263490255158824e-115,2.5790904040181184e-33,1.011443282747753e-119,2.5693951341886811e-33,2.3310124577066392e-76,7.9397749527810915e-63,1.0935215789171401e-104,1.8454538197152957e-107,1.9528808512578751e-54,1.9929379797634732e-92,1.9974889190381923e-14,8.7395738619727946e-15,2.7794816904680985e-16,2.7794838762785321e-16,6.3880607021886135e-23,3.0273107876163053e-23,1.1521520980478458e-28,1.9252478327344556e-30,2.2190571373152081e-50,4.2075045679591465e-43,7.2908176226978019e-77,2.5335413317172222e-43,3.603954300194097e-79
1.5552528811436137e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994145,0.099999999999959496,0.099999999999991276,5.4557410948855831e-86,3.2438625146856687e-53,8.4588864845950282e-30,1.2871899893241603e-69,7.016604524541404e-45,2.3012695134298575e-112,5.1779712515114933e-33,6.4913238620757778e-118,5.1391870273345024e-33,3.7301235769019494e-75,1.2704697272851388e-61,4.1811952317836082e-102,3.6304995311195691e-105,1.5623598712167186e-53,6.3782916315539045e-91,3.9951946030007031e-14,1.7480096131305832e-14,5.5592631234483719e-16,5.5592725070818385e-16,1.9157572383406871e-22,1.850687271151093e-22,1.4119767474116263e-27,7.7011261318575878e-30,1.0898752360690576e-48,5.1877799782754372e-42,1.4331263962450199e-74,2.0269046655676367e-42,3.6137469380269062e-77
3.1105901447342536e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988291,0.099999999999918987,0.099999999999982533,9.6561628299997935e-84,5.1898458473028463e-52,4.5773235179223557e-29,1.1279280784734032e-67,5.6136318400600594e-44,1.6126314262828321e-109,1.0434267745948357e-32,4.1764023146479068e-116,1.0279124628053582e-32,5.9685951883251487e-74,2.0326468202777797e-60,1.4443734869052947e-99,6.3665707497129831e-103,1.2497982080055022e-52,2.041193904333964e-89,7.9906059708796768e-14,3.4961140669959757e-14,1.1118820339263862e-15,1.1118860486921612e-15,5.0518121773586375e-22,1.0014472580111577e-21,1.540683929596171e-26,3.0801822851396654e-29,4.7691470700392828e-47,5.6779053552558296e-41,2.5102238849747678e-72,1.6214073757610613e-41,3.1958595461333249e-75
6.221264671915534e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976581,0.099999999999837969,0.099999999999965047,1.5221173786279624e-81,8.3020484842820455e-51,2.2118585088860355e-28,8.849027427263587e-66,4.4910362444287997e-43,1.0116892287830663e-106,2.1180999456714881e-32,2.7006170129219407e-114,2.0560415092884822e-32,9.5500527516884845e-73,3.2515454733610517e-59,4.4986743048743166e-97,9.9963409511475247e-101,9.9962393472732699e-52,6.5320336320569982e-88,1.5981428706453427e-13,6.9923229747218995e-14,2.2237912170360575e-15,2.2238081098464483e-15,1.1874139826952863e-21,4.839126689851717e-21,1.5047172008346144e-25,1.2317832739974682e-28,1.8682640632297444e-45,5.5537871328504495e-40,3.9362734420174296e-70,1.2968474513088572e-40,2.5170861557556939e-73
1.2442613726278093e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953161,0.099999999999675931,0.099999999999930089,2.1990543045091552e-79,1.3277317235536393e-49,9.838569943577823e-28,6.37899441820788e-64,3.5928676732391362e-42,5.8320788608023292e-104,4.3611013958571584e-32,1.7637530582838568e-112,4.112865712207039e-32,1.5280268661095228e-71,5.1999847258950179e-58,1.2921292144095719e-94,1.442031136697827e-98,7.9932751605487217e-51,2.0902773117526429e-86,3.1963074176864136e-13,1.3984740790154306e-13,4.4476005430784585e-15,4.4476702837691607e-15,2.5813604565268479e-21,2.1524242150300721e-20,1.3512003200684429e-24,4.9246673401094772e-28,6.7261946042824448e-44,4.9910219565099646e-39,5.6719959938618563e-68,1.0369958300100248e-39,1.8172023462179092e-71
2.4885311835003215e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039906323,0.099999999999351857,0.099999999999860159,3.0058030184486832e-77,2.122425467484761e-48,4.1615733560034214e-27,4.3555483396887825e-62,2.8742877987444947e-41,3.1848696418177182e-101,9.2217216825853771e-32,1.2138838992331881e-110,8.2287785946737736e-32,2.4448397727889467e-70,8.3117867268922091e-57,3.5219610988343629e-92,1.9700058319906449e-96,6.3885685326388607e-50,6.6888815367927058e-85,6.3926365114738406e-13,2.796957642094135e-13,8.8951830347493936e-15,8.895466951959506e-15,5.3776987766278003e-21,9.1038653819198115e-20,1.1505098514705614e-23,1.967867127031392e-27,2.2945062512096259e-42,4.2515285817587682e-38,7.7427337083369347e-66,8.2881156899606422e-39,1.2414389530721899e-69
4.9770708052453454e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039812648,0.099999999998703695,0.099999999999720313,3.9810527947457459e-75,3.3896402469133882e-47,1.712788543891679e-26,2.8831354526745756e-60,2.2993928061787109e-40,1.6863293352359901e-98,2.0441407435684142e-31,8.6066010402766352e-109,1.6469662560744886e-31,3.9116836152239284e-69,1.3272565206616323e-55,9.3158493633178754e-90,2.6087446959000914e-94,5.1011536694873051e-49,2.1404102168596462e-83,1.2785294697869835e-12,5.5939247682204374e-13,1.7790203378787865e-14,1.7791349628586936e-14,1.0971545688857955e-20,3.7464221954594237e-19,9.5062543801745422e-23,7.8554558567858341e-27,7.5906346420539038e-41,3.5139427796620504e-37,1.0248254867932546e-63,6.6179068970069319e-38,8.2192142511363208e-68
