Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9393065391398916e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,7.2427601837227258e-134,8.7136314327685073e-64,8.8391153695976046e-44,1.1491393491518868e-70,2.1794963245942724e-68,4.8886430432588328e-47,1.2561572947920941e-26,-4.5249976418382051e-109,1.2561572947920941e-26,2.8864717279685289e-69,5.236032867050747e-89,3.2345072724035073e-71,2.0087079105393943e-100,4.8886430432588328e-47,2.1392744936384709e-86,2.3951488409193414e-18,1.1516088473824753e-19
1.6630058309591696e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.5888382334166755e-132,1.0344823236982769e-62,5.3388256832369523e-43,1.3642582353131196e-69,3.2936548457268577e-67,2.9527403981283349e-46,3.5172404254178632e-26,2.4818904993727736e-108,3.5172404254178632e-26,4.3620360753060315e-68,1.6462925099266237e-87,3.8400070337974423e-70,4.4933992475614553e-99,2.9527403981283349e-46,6.0330963559794511e-85,6.7064167545741575e-18,3.2245047726709308e-19
3.8011561850495305e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.0909892960593334e-130,1.015660879803497e-61,2.5704147494789832e-42,1.3394368253714388e-68,3.5431635849664112e-66,1.4216173969796684e-45,8.0394066866694031e-26,1.4678740554614535e-106,8.0394066866694031e-26,4.6924793587238691e-67,3.6727880272218297e-86,3.7701416767135284e-69,8.8781997106525111e-98,1.4216173969796684e-45,1.3123302367343391e-83,1.5328952581883779e-17,7.3702966232478424e-19
8.077456893230252e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,4.9828074348308017e-128,8.9834054619270157e-61,1.1225676519388952e-41,1.184716703401629e-67,3.2567777679147234e-65,6.2085766649387181e-45,1.7083739209172478e-25,5.7840566796492155e-105,1.7083739209172476e-25,4.3131969736688039e-66,6.8787254996606031e-85,3.3346476175571199e-68,1.5798282024733512e-96,6.2085766649387168e-45,2.4328390887283746e-82,3.2574024236502971e-17,1.5661880324401666e-18
1.6630058309591696e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996527,0.022821567693054285,3.5861626995533731e-126,7.5510935815342579e-60,4.6864989689606456e-41,9.9582577374543846e-67,2.7862419474054171e-64,2.5919585415358333e-44,3.5172404254178633e-25,2.0437004398762096e-103,3.5172404254178624e-25,3.6900308193742236e-65,1.1881287682442784e-83,2.8029722501485215e-67,2.664611176021804e-95,2.5919585415358323e-44,4.1814288004506615e-81,6.7064167545741139e-17,3.2245047726709311e-18
3.373526114231458e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.1186699660299652,0.022821567693054285,2.4308178493647975e-124,6.1908427359999783e-59,1.9145877455163163e-40,8.1643813457558586e-66,2.303718722751136e-63,1.0588996377420359e-43,7.134973434419092e-25,6.8659849899139617e-102,7.1349734344190883e-25,3.0509888396580769e-64,1.974093718406624e-82,2.2980459991221189e-66,4.3766318579619879e-94,1.0588996377420355e-43,6.9304115852685215e-80,1.3604445416421669e-16,6.5411382531324573e-18
6.794566680776035e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996506,0.022821567693054282,1.6005596250800093e-122,5.0135049560497975e-58,7.7390697836204148e-40,6.6117276896739018e-65,1.8733458061488918e-62,4.2802416392391811e-43,1.4370439452421543e-24,2.2507651840507563e-100,1.437043945242153e-24,2.4810134548695789e-63,3.2182709965312649e-81,1.8610172309551007e-65,7.0947088436904103e-93,4.2802416392391755e-43,1.1284378674658962e-78,2.7400502740116445e-16,1.3174405214055504e-17
1.363664781386519e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999942,0.11866996602996478,0.022821567693054275,1.038936931233372e-120,4.0353049537024789e-57,3.1118459223282922e-39,5.3216936519585694e-64,1.5109212592715372e-61,1.721066337951442e-42,2.8841371488426425e-24,7.2894791785714318e-99,2.8841371488426366e-24,2.0010272322371391e-62,5.1975162558358954e-80,1.497908572312626e-64,1.1425809875282059e-91,1.7210663379514378e-42,1.821303267608962e-77,5.4992617387504682e-16,2.6440939135901577e-17
2.73208100800435e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999887,0.11866996602996423,0.022821567693054261,6.6962214633895224e-119,3.2380780907170218e-56,1.2479893955642454e-38,4.2703240071371134e-63,1.2136541228698206e-60,6.9022457809188594e-42,5.7783235560436104e-24,2.3466541139614311e-97,5.7783235560435861e-24,1.6073338934619732e-61,8.3548555819605233e-79,1.2019772942940737e-63,1.8340955285674126e-90,6.9022457809188263e-42,2.9267854568427108e-76,1.1017684668227588e-15,5.2974006979593595e-17
