Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),C2H6X(52),C2H4X(210),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43)
6.258727986468964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996226,0.022821567693054243,3.845639705112317e-103,2.6489230480120466e-54,1.9518767782631715e-30,4.0992873620799812e-73,1.0303376924346842e-45,1.2707377159728067e-84,5.5238253617758457e-17,1.4224103592010996e-89,5.5238253617719636e-17,7.8797435113445e-61,1.1933059262436434e-58,4.6018083292247324e-94,5.3357846191498334e-95,2.8099401815534099e-42,1.8966492313554537e-71,3.0167118068569412e-15,8.9319474907067389e-17,3.5757580909132316e-19,5.9205345069338923e-32,2.1922734742178859e-31,3.5757580899270606e-19,1.2374801610536636e-45,3.1768726028816415e-29,5.2798073483275547e-36,9.2667993595741897e-42,5.9387932437533313e-67,8.0037484103897799e-44,3.1594248097305553e-93,1.5888736663286143e-81,8.1042150719266691e-88,1.1087234471795423e-72,1.0210837322334929e-59,1.5405383632734019e-95,1.8535123290483416e-85,1.0003853981632001e-73,1.1909151446556528e-98,2.4332962673139539e-103
1.2522893616714182e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999366,0.11866996602995918,0.022821567693054198,1.1410332646649514e-100,4.2417286432442139e-53,7.8125938507705067e-30,3.0387103993695747e-71,8.2510579457978221e-45,8.1426588630782567e-83,1.1052449876782962e-16,9.1174964137572148e-88,1.1052449876767424e-16,1.2621283839071088e-59,1.9115114273263696e-57,6.8194426456775413e-92,7.9071257678827436e-93,2.2496607087491238e-41,6.0760896041100425e-70,6.036044562284774e-15,1.7871655144307031e-16,7.1546228359605552e-19,2.3697567381217264e-31,8.7748071211745166e-31,7.154622832013302e-19,9.9073656749877313e-45,1.2715767464781807e-28,4.2270543842049069e-35,8.6060082957825567e-41,2.2030988232016023e-65,6.4078653500029145e-43,4.6881589563004744e-91,1.0180388791576531e-79,1.2009676618850477e-85,3.5521814937891277e-71,1.6355085149267368e-58,1.9741558529629716e-93,1.18760074547085e-83,3.2050828453911318e-72,1.5262488102900345e-96,7.2165594197381555e-101
2.5051224877204618e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998745,0.11866996602995303,0.022821567693054108,3.7171957603546324e-98,6.7895285983405016e-52,3.1260551778066167e-29,2.4735230363807864e-69,6.6041905526626333e-44,5.2144839713578192e-81,2.2109698906816541e-16,5.8397042019454201e-86,2.2109698906754364e-16,2.0205015765490602e-58,3.0601970036506074e-56,1.1095386533902256e-89,1.2865071450866006e-90,1.8004122841429101e-40,1.9454392691401817e-68,1.2074710073135848e-14,3.5751070451507013e-16,1.4312352328186696e-18,9.4821136997914029e-31,3.5110658158212684e-30,1.4312352312392546e-18,7.9289035545073347e-44,5.0879615982274473e-28,3.3829252449953158e-34,8.7872359927826186e-40,8.9776135531982932e-64,5.1282397611138811e-42,7.6387179924027647e-89,6.5191623128400277e-78,1.9540013924995938e-83,1.137381189544109e-69,2.6182340680552647e-57,2.5283711406291979e-91,7.6049762548323711e-82,1.0262428739776117e-70,1.9548009142924386e-94,2.3495259889057199e-98
5.010788739818549e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997501,0.11866996602994073,0.022821567693053928,1.3585390241488385e-95,1.0865456453355732e-50,1.2506256276303061e-28,2.258995300947009e-67,5.2846904471532509e-43,3.3382884433130304e-79,4.4224196966961071e-16,3.7388534179606595e-84,4.4224196966712323e-16,3.2336797019191093e-57,4.8977386430513575e-55,2.0252569488099286e-87,2.3482800992868662e-88,1.4406033718137849e-39,6.2271511452365736e-67,2.4152041094819634e-14,7.1509901065904616e-16,2.8627811321164957e-18,3.7934629150475455e-30,1.4046549498391708e-29,2.862781125797805e-18,6.3443274633995215e-43,2.0355145927550917e-27,2.7068494589485938e-33,1.0071395598579579e-38,4.1050363234283993e-62,4.1033709678394832e-41,1.3963439166811155e-86,4.1734525686740268e-76,3.5666669945046625e-81,3.6407131562205636e-68,4.1903111879289135e-56,3.2372444115221592e-89,4.8685708221669857e-80,3.2849637210460547e-69,2.5029150111076302e-92,8.5810709761447271e-96
1.0022121244014724e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995014,0.11866996602991613,0.02282156769305357,5.560466248222389e-93,1.7386498876992886e-49,5.0029096526444479e-28,2.3106764376957209e-65,4.2282876248964008e-42,2.1368306429608997e-77,8.845319308755964e-16,2.3933279642644411e-82,8.8453193086564561e-16,5.1745893656255169e-56,7.8375207492456501e-54,4.1407353847368837e-85,4.8011717805109183e-86,1.1525921256499757e-38,1.992967685172992e-65,4.8306703138113753e-14,1.4302756229469022e-15,5.7258729341225468e-18,1.5175086600196368e-29,5.6190770587486541e-29,5.725872908845714e-18,5.0759438006502863e-42,8.1427101956447298e-27,2.1656776272523366e-32,1.2922753513682255e-37,2.1019661619645733e-60,3.2830084711804007e-40,2.8584398259250916e-84,2.671390081590712e-74,7.2922224416705751e-79,1.1652031686606673e-66,6.7054073730388451e-55,4.1442677229276736e-87,3.1163282910605009e-78,1.0513462601438653e-67,3.2042239964517402e-90,3.51011306576906e-93
2.0044786252407074e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999004,0.11866996602986693,0.022821567693052856,2.4896325621385181e-90,2.7819812410540762e-48,2.0012452924731577e-27,2.5858131882924151e-63,3.3828442195644518e-41,1.3676759478752014e-75,1.7691118532999481e-15,1.5318776817816063e-80,1.7691118532601429e-15,8.2799044959529171e-55,1.2540944358706896e-52,9.2636408341890511e-83,1.0741167168947683e-83,9.2211747207268121e-38,6.377943527824024e-64,9.6616027224408194e-14,2.8606288475222324e-15,1.1452056551776301e-17,6.0702816223135228e-29,2.24772226247914e-28,1.1452056450664771e-17,4.0609476716408102e-41,3.2572079443348366e-26,1.7326122630313968e-31,1.8122779491495645e-36,1.1771238155067752e-58,2.6265314624198715e-39,6.4005075926101012e-82,1.709811398457477e-72,1.6314138106502383e-76,3.7289300470738044e-65,1.0729379425225357e-53,5.305043426076156e-85,1.9945910582814086e-76,3.3645606317027031e-66,4.1017221080451169e-88,1.5709390216940694e-90
4.0090116269191773e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980093,0.11866996602976854,0.022821567693051426,1.1831730519577281e-87,4.4512828947176135e-47,8.0051440363536629e-27,3.0717524001129656e-61,2.7063610256576952e-40,8.7534598858052065e-74,3.538271698198173e-15,9.8044900937758086e-79,3.5382716980389493e-15,1.3248296408430615e-53,2.0066239768523941e-51,2.2003281757551434e-80,2.5512747270168634e-81,7.3771148344311786e-37,2.0410134356773178e-62,1.9323467539582182e-13,5.721335296671362e-15,2.2904423841650872e-17,2.42816203460323e-28,8.9910718018909607e-28,2.2904423437195834e-17,3.2488350139836614e-40,1.3029027486128772e-25,1.3861033685384769e-30,2.695314848250151e-35,6.9953285503158806e-57,2.1012750455423518e-38,1.5210857210651907e-79,1.0943182509878786e-70,3.8749836737317499e-74,1.1933023695173496e-63,1.7167589199506946e-52,6.7906992422493632e-83,1.2765823495525511e-74,1.0766998108520901e-64,5.2504061150763908e-86,7.4637619864317921e-88
8.0180776302761175e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679960192,0.11866996602957174,0.022821567693048564,5.8232439395612999e-85,7.1221422207129424e-46,3.2020901887083229e-26,3.7792659874035384e-59,2.1651230803046448e-39,5.6023210591951623e-72,7.0765913881927053e-15,6.2750249928498613e-77,7.0765913875558027e-15,2.1197633600290237e-52,3.2106566155053824e-50,5.4134636715252249e-78,6.276896857658718e-79,5.9017618387609268e-36,6.5313573713619727e-61,3.8647197173394818e-13,1.144274819496351e-14,4.5809158639671888e-17,9.7127468174590114e-28,3.5964651680837816e-27,4.5809157021829759e-17,2.5990984777289496e-39,5.211608514937762e-25,1.1088649074859941e-29,4.1489533080957091e-34,4.3045368255115789e-55,1.6810399870778356e-37,3.7434489149185555e-77,7.0037614121255767e-69,9.5336153414643043e-72,3.8186389819438366e-62,2.7468608409152665e-51,8.6922509045940733e-81,8.1702548337554589e-73,3.4455039928304497e-63,6.7206488809459001e-84,3.6729095863263522e-85
1.6036209636989997e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679920391,0.11866996602917813,0.022821567693042843,2.9211379788817144e-82,1.1395496858730248e-44,1.2808425908134474e-25,4.7393180977243626e-57,1.7321121670648757e-38,3.5855195143922532e-70,1.4153230768974111e-14,4.0160644109036375e-75,1.4153230766426481e-14,3.3916501139596203e-51,5.1370970202159357e-49,1.3576255620082756e-75,1.5741632509133843e-76,4.7214373751076804e-35,2.0900526364330804e-59,7.7294656439139713e-13,2.2885573991523339e-14,9.1618629108830452e-17,3.8851183883296011e-27,1.438593274017064e-26,9.161862263738481e-17,2.0792905136213916e-38,2.0846096138818738e-24,8.8704767656577076e-29,6.5072242798653372e-33,2.6994301369060228e-53,1.3448399701891085e-36,9.3895695130576347e-75,4.4824471066191795e-67,2.3909052618642396e-69,1.2219757643716493e-60,4.3950145966182219e-50,1.1126180741912305e-78,5.2289870451645773e-71,1.1025715768781512e-61,8.602512876009151e-82,1.8423117524040512e-82
3.2072473650417758e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679840788,0.11866996602839094,0.022821567693031401,1.4798598758682381e-79,1.8232842846490923e-43,5.1233833976848678e-25,6.002260756041429e-55,1.3856952128896036e-37,2.294743229646952e-68,2.8306509533706264e-14,2.5702967010537144e-73,2.8306509523515728e-14,5.4266631404904187e-50,8.2193918461310792e-48,3.438680688855157e-73,3.9871411202410395e-74,3.7771609264439077e-34,6.6881975341388401e-58,1.5458957496310795e-12,4.5771225584545146e-14,1.8323757353984609e-16,1.5540512279688794e-26,5.7543868479521492e-26,1.8323754765364431e-16,1.6634363750720127e-37,8.3381045199999222e-24,7.0956103491313279e-28,1.0305850582402384e-31,1.7095248346785664e-51,1.075875168718217e-35,2.378442845248449e-72,2.8687787938330299e-65,6.0558364338160363e-67,3.9103396534061246e-59,7.0320531416507281e-49,1.4241574631505605e-76,3.3465376857197233e-69,3.5282452902955287e-60,1.1011268424536431e-79,9.332840206785788e-80
6.4145001677273276e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679681582,0.11866996602681655,0.022821567693008516,7.5333618840023979e-77,2.9172562621582524e-42,2.0493559689559127e-24,7.638682071529634e-53,1.1085583589522731e-36,1.4686389102489531e-66,5.6613067075847968e-14,1.6449948224923199e-71,5.661306703508577e-14,8.6826792880604256e-49,1.3151054533777217e-46,8.7521968291496122e-71,1.0148148708032864e-71,3.021732935195525e-33,2.1402277726290285e-56,3.0917941198095839e-12,9.154252877019732e-14,3.6647547637453039e-16,6.2162121800320748e-26,2.3017569601885407e-25,3.6647537282676402e-16,1.3307495202662402e-36,3.3349619694057101e-23,5.6752296256119174e-27,1.6402149829581315e-30,1.0878417029820598e-49,8.6070141255610939e-35,6.05389803706224e-70,1.8360223576865383e-63,1.541342713373546e-64,1.2513108938545289e-57,1.1251308811562344e-47,1.8229254871078145e-74,2.1417518719554885e-67,1.1290409419197721e-58,1.4094454947030104e-77,4.750864597581392e-77
1.2829005773098431e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679363175,0.11866996602366778,0.022821567692962744,3.8427009751735045e-74,4.6676033909677291e-41,8.1974291195316149e-24,9.7410144799462832e-51,8.8684755772501581e-36,9.3992969250536246e-65,1.1322618221084094e-13,1.0527982406645691e-69,1.1322618204779203e-13,1.3892301141008227e-47,2.1041703842404495e-45,2.2321807191373695e-68,2.5882074156919492e-69,2.4173876793572088e-32,6.8487355700930099e-55,6.1835908589631498e-12,1.83085135139936e-13,7.3295133794938621e-16,2.4864859439432756e-25,9.2070280477981813e-25,7.329509237354352e-16,1.06459791956024e-35,1.3337584262217667e-22,4.5381607591926479e-26,2.6165214370651942e-29,6.9363091602072273e-48,6.8856164196199636e-34,1.5440259531681615e-67,1.1750554166851604e-61,3.9310737525731644e-62,4.0041948780154558e-56,1.8002112983158311e-46,2.333346845055874e-72,1.3706753490204562e-65,3.6129339721553103e-57,1.8040917591760252e-75,2.423343281517023e-74
2.5658016983840637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678726362,0.11866996601737023,0.022821567692871202,1.9604743488353245e-71,7.4681353105918532e-40,3.2789727156901328e-23,1.2424199979505201e-48,7.0947838657526271e-35,6.0155493867189112e-63,2.2645241268366506e-13,6.7379133996154817e-68,2.2645241203146932e-13,2.2227692192027749e-46,3.3666721896604585e-44,5.6940767260071556e-66,6.602265664264048e-67,1.9339101217051347e-31,2.1915960693835331e-53,1.2367184332456515e-11,3.6617034787315052e-13,1.4659032848413287e-15,9.9459428660550358e-25,3.6828078725555002e-24,1.4659016278027188e-15,8.5167467343244793e-35,5.3332185887605249e-22,3.6272910936712735e-25,4.1774733410830434e-28,4.4234722886283372e-46,5.508495197484803e-33,3.9386675495225492e-65,7.5203562952420013e-60,1.0027774463520411e-59,1.2813401174379126e-54,2.8803395422230075e-45,2.986684624733452e-70,8.7717207871466018e-64,1.1561387296981488e-55,2.3092371961895817e-73,1.2363325413463682e-71
5.131603940532505e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677452731,0.11866996600477513,0.022821567692688116,9.9860662009159627e-69,1.1948913007225606e-38,1.3115893151386674e-22,1.5821326551376327e-46,5.6758283289005319e-34,3.8499473393950568e-61,4.5290487444066546e-13,4.3122656644409075e-66,4.5290487183188286e-13,3.5564312415800841e-45,5.3866695563658645e-43,1.4502088944638832e-63,1.6815127219456376e-64,1.5471272018408754e-30,7.0131060592315951e-52,2.4734371260188164e-11,7.3234077331452866e-13,2.931808074540172e-15,3.9783745216331813e-24,1.4731197693420371e-23,2.9318014449388189e-15,6.8133350024442583e-34,2.1318357085395003e-21,2.8966615675922109e-24,6.6681590205157474e-27,2.8164517883815652e-44,4.4067970052287948e-32,1.0031162065923228e-62,4.8130260970772063e-58,2.5539395521646074e-57,4.1002704095820086e-53,4.6085442927527378e-44,3.8229548016563489e-68,5.6131269266330429e-62,3.6996397749154369e-54,2.9558202932319996e-71,6.2974326833169604e-69
1.0263208424829387e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727674905474,0.11866996597958492,0.022821567692321947,5.0655878970258079e-66,1.9117923955625789e-37,5.2463578403662537e-22,2.0064151252060441e-44,4.5406629571880256e-33,2.4639588360392898e-59,9.0580980120006341e-13,2.7598498666510902e-64,9.0580979076494613e-13,5.6902892961491735e-44,8.6186453016444526e-42,3.6782878558911443e-61,4.2649616532883186e-62,1.2376999843699493e-29,2.2441921452798858e-50,4.9468745038631167e-11,1.4646816240970802e-12,5.8636212452796656e-15,1.5913473294243703e-23,5.8924506352423057e-23,5.8635947152311641e-15,5.4505666723425939e-33,8.5157490759526874e-21,2.3090874391336084e-23,1.0628927347494299e-25,1.7858129799753769e-42,3.5254379789904565e-31,2.5442109781173997e-60,3.0803329441155613e-56,6.4777379688308093e-55,1.3120739705833663e-51,7.3736712189991442e-43,4.8933762021616594e-66,3.5914089397583509e-60,1.1838811070628996e-52,3.7834384109175569e-69,3.1944033254334056e-66
2.0526417393423153e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727669810961,0.11866996592920449,0.022821567691589606,2.5473610569778084e-63,3.0587595884420082e-36,2.0985433492984738e-21,2.5224794930882119e-42,3.6325301626566859e-32,1.5769242634834176e-57,1.8116196677003996e-12,1.7663032074005612e-62,1.8116196259600165e-12,9.1044588557395957e-43,1.3789751318094898e-40,9.2490658476062435e-59,1.0724250200054979e-59,9.9015700649733888e-29,7.1814019110461678e-49,9.8937492287435915e-11,2.9293633252613659e-12,1.1727262013542814e-14,6.3653687255971692e-23,2.3569572197374292e-22,1.1727155800008755e-14,4.3602906124761377e-32,3.3970594150951319e-20,1.8341872710971344e-22,1.688701941305709e-24,1.1224906376867961e-40,2.8203505899957245e-30,6.3969990700779401e-58,1.9714078627261814e-54,1.6288112542716317e-52,4.1985568036940078e-50,1.1797872728282572e-41,6.2635050052497129e-64,2.2972321516256796e-58,3.7883968049006154e-51,4.8427720139845324e-67,1.6063256986518301e-63
4.1052835330610687e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727659621928,0.11866996582844365,0.022821567690124923,1.2590238793104169e-60,4.893668629809341e-35,8.3941745938330204e-21,3.1169057046815866e-40,2.9060235357418857e-31,1.009219432031839e-55,3.6232394526267939e-12,1.1304329876485018e-60,3.623239285665932e-12,1.4567119864206901e-41,2.2063340536002995e-39,2.2858871033275313e-56,2.650471516792422e-57,7.9212078074073632e-28,2.2980400852313388e-47,1.9787498555272052e-10,5.8587267259866638e-12,2.3454601752201708e-14,2.5461308655921752e-22,9.4276440472069824e-22,2.3454176147233927e-14,3.4879719137117191e-31,1.3514873495148827e-19,1.4467462713630062e-21,2.6649931313249606e-23,6.9340665144373791e-39,2.2562806439797417e-29,1.5807916933135928e-55,1.2616942170593729e-52,4.0254841517505112e-50,1.3434869377192649e-48,1.8876590579311096e-40,8.0172432383280307e-62,1.468606045139053e-56,1.2122723315279224e-49,6.1986730940272853e-65,7.9385972709430819e-61
