Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),COX(47),CO2X(24),C2H6X(49),CH4OX(57)
9.987685220115792e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999632,0.099999999999997438,0.09999999999999945,9.0183386772255575e-108,5.4968538768453434e-58,1.0085025395336951e-49,4.9343559800103887e-82,2.1049474708714771e-50,5.094993750795601e-137,3.3017951583839939e-34,5.1398865204908517e-127,3.3001852808339009e-34,7.1911110687051096e-82,1.8726804006759612e-62,2.9263936251201343e-117,8.9341618098780221e-119,3.5858258384151093e-53,7.9025112017281678e-99,2.5656757542105955e-15,1.1225550512952299e-15,1.6658136075193014e-21,3.1777100989278824e-32,1.665813607494291e-21,3.3831939992127975e-33,9.36717825343468e-39,4.4746685282566739e-45,1.4186641056202194e-68,5.3742610318044992e-46,7.687705259800703e-97,4.8134115656795365e-96,9.3225942646577e-98,2.1053863210415973e-64,1.7560782553623433e-76
1.9984047838337678e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999263,0.099999999999994871,0.099999999999998895,4.6252805067568079e-105,8.8021396229965054e-57,4.876418103202914e-49,6.3240225427522312e-80,1.6856651642682877e-49,5.2277724858281828e-134,6.6096815013235542e-34,3.2957157330570976e-125,6.6032377956611113e-34,1.151827515595445e-80,2.9997755855123487e-61,7.5019196163137956e-115,2.2900708726447386e-116,2.8708410038069066e-52,2.5316418751719817e-97,5.1335805924796588e-15,2.2460853893421707e-15,3.3330744901669912e-21,1.2719121735140112e-31,3.3330744900668838e-21,1.3541555353984105e-32,7.4994152815978711e-38,7.1652624799193064e-44,9.0909266350456409e-67,4.3026766024055241e-45,1.9714092429798389e-94,1.2338094898104531e-93,2.3906548013083955e-95,3.3722770686750141e-63,5.6262079581440734e-75
3.9976773074781456e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998524,0.099999999999989736,0.099999999999997771,2.370155482986065e-102,1.4089164982887799e-55,2.6232400232807918e-48,8.0998673130570503e-78,1.3492153402400338e-48,5.3585976319215996e-131,1.3235126044007476e-33,2.112301401180266e-123,1.3209342828041641e-33,1.843924390842034e-79,4.802432314433343e-60,1.922104913564802e-112,5.86630324431101e-114,2.2975453061571365e-51,8.1057980406529002e-96,1.0269390269010182e-14,4.4931460654358551e-15,6.6675962556325304e-21,5.0893054267085186e-31,6.6675962552319708e-21,5.4183560006156275e-32,6.0017746905326993e-37,1.1469005542489347e-42,5.8218426349279434e-65,3.4434489470644379e-44,5.0510861756515245e-92,3.1605574741304197e-91,6.1252653448729482e-93,5.3985721433010851e-62,1.8014685101094745e-73
7.9962223547669e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997048,0.099999999999979466,0.099999999999995523,1.214024240406027e-99,2.2547258330602606e-54,1.5871764870354686e-47,1.037101612089448e-75,1.0796456225743898e-47,5.4899002100100176e-128,2.6524702556598463e-33,1.3542058330132081e-121,2.6421552903707149e-33,2.9510795463940971e-78,7.6861255159855033e-59,4.924126288641882e-110,1.5022370351387401e-111,1.8383853158639008e-50,2.5945826416566872e-94,2.0541009622040825e-14,8.9872674176224327e-15,1.3336639787244237e-20,2.0360535586094049e-30,1.3336639785641741e-20,2.1676712106677879e-31,4.8022728053458732e-36,1.8353915037168321e-41,3.7271147235249195e-63,2.7552823281522177e-43,1.2936144030052024e-89,8.0935237941905739e-89,1.5687186679278461e-90,8.6400591644763624e-61,5.7664309662598765e-72
1.599331244934441e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994095,0.099999999999958927,0.099999999999991027,6.2169869455506556e-97,3.6079289088094713e-53,1.0651122995099003e-46,1.3276706724707194e-73,8.6382585172714895e-47,5.622937963505687e-125,5.3258605290704599e-33,8.6917761938939773e-120,5.2845973098655936e-33,4.7223677831667538e-77,1.229958810176644e-57,1.261782735351652e-107,3.8462526234393556e-109,1.47084788815351e-49,8.3038282622475464e-93,4.1084248327980488e-14,1.7975510121992432e-14,2.6674726853190181e-20,8.144877011035738e-30,2.6674726846779702e-20,8.6711984258802408e-31,3.842088902115275e-35,2.9368547093616559e-40,2.3856747422455939e-61,2.2044351413300513e-42,3.3122801754283862e-87,2.0722253809606831e-86,4.0166822263777066e-88,1.3825969920788451e-59,1.8455350253841171e-70
3.1987492638499427e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988188,0.099999999999917835,0.099999999999982034,3.1832881676816951e-94,5.7729802736086251e-52,7.7020795720495564e-46,1.6994743329486644e-71,6.9110442578209019e-46,5.7583376142061882e-122,1.0734540959486592e-32,5.5929548165575612e-118,1.0569481366302463e-32,7.5563008994931823e-76,1.9680770686953465e-56,3.2355658211176748e-105,9.8467344324752701e-107,1.1767341551627206e-48,2.6574112685232068e-91,8.2170725739373345e-14,3.5951995530719788e-14,5.3350900995972164e-20,3.2580833272890294e-29,5.3350900970329358e-20,3.4684668300499221e-30,3.0736664370838337e-34,4.6989830775739569e-39,1.5268807928143166e-59,1.7636318102596094e-41,8.4799361978097596e-85,5.3050735366727652e-84,1.028332040590809e-85,2.2123052193805196e-58,5.9061554428390626e-69
6.397585301680947e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976375,0.099999999999835665,0.099999999999964062,1.6297777341384493e-91,9.237003470092282e-51,5.8337908767427631e-45,2.1752100191530165e-69,5.5290103934104644e-45,5.8963450240543284e-119,2.179950135490042e-32,3.6176577091397095e-116,2.1139249548964645e-32,1.209049141984081e-74,3.1490376240707296e-55,8.3097116908573088e-103,2.5206291461205889e-104,9.4140964253719617e-48,8.5040140361776787e-90,1.6434368056021307e-13,7.1904966348123968e-14,1.0670324932509658e-19,1.3032598062304694e-28,1.0670324922252449e-19,1.3872920282312135e-29,2.4587505745639611e-33,7.5178506721495326e-38,9.7715042417733427e-58,1.4109388979014292e-40,2.1707718519618996e-82,1.3580261625854958e-81,2.632423214155447e-83,3.5398083833589406e-57,1.8900406422396045e-67
1.2795257377342954e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503995275,0.099999999999671324,0.099999999999928105,8.3431196329890938e-89,1.4779392970907979e-49,4.5353593189437621e-44,2.7838025778589008e-67,4.4232783173972775e-44,6.0368932432843777e-116,4.491982028566991e-32,2.3639902114119194e-114,4.2278786193442794e-32,1.9345114290629421e-73,5.0385514326534758e-54,2.1408069637480501e-100,6.4517329156206284e-102,7.5313660943888085e-47,2.7213321727396221e-88,3.2868959019410873e-13,1.4381090798273014e-13,2.1340794615758712e-19,5.2130919381667226e-28,2.1340794574730439e-19,5.5482413494544257e-29,1.9666383887203257e-32,1.2026432747129276e-36,6.252709880477339e-56,1.128764450251449e-39,5.5562615270957925e-80,3.4759663483121222e-79,6.737917741955221e-81,5.6637894487494435e-56,6.0482432396961203e-66
2.5590601528666973e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039905499,0.099999999999342629,0.099999999999856204,4.2701322060099624e-86,2.3647176737535458e-48,3.5747853335194701e-43,3.561967772802977e-65,3.5386506659819919e-43,6.179513726008773e-113,9.5122050719900786e-32,1.575223527853592e-112,8.4557860599014216e-32,3.0952445373726609e-72,8.0617545793155233e-53,5.5494900179489864e-98,1.6510425465867925e-99,6.0251279442179488e-46,8.7083392686274089e-87,6.573814094307649e-13,2.8762279125113365e-13,4.2681734051953512e-19,2.0852471276773814e-27,4.2681733887847472e-19,2.2185216433390739e-28,1.5727036831722732e-31,1.9235119143935867e-35,4.0002686712356804e-54,9.0301681600738688e-39,1.4218781264328426e-77,8.8952354341064047e-77,1.7242823729977767e-78,9.0621399718969128e-55,1.9354557807879326e-64
5.118128983131501e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039810997,0.099999999998685238,0.099999999999712388,2.1846833094164624e-83,3.7835594921074044e-47,2.8370975976347984e-42,4.5559270480783464e-63,2.8309317549067879e-42,6.3230387618403829e-110,2.1137288198252691e-31,1.0878315985799838e-110,1.6911601387661753e-31,4.9524122897958019e-71,1.2898862913687781e-51,1.4559484122621754e-95,4.2235309589875766e-97,4.8201155618359397e-45,2.7866807927312032e-85,1.3147650477795369e-12,5.7524655778470582e-13,8.5363613203129897e-19,8.3410076932948922e-27,8.5363612546767146e-19,8.867825884661656e-28,1.2571814677970452e-30,3.0752965980359318e-34,2.5582597771939522e-52,7.2241543193293681e-38,3.6372507579840781e-75,2.2754896415436761e-74,4.4108799510214404e-76,1.4499485518151345e-53,6.1934861491294814e-63
