Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H4X(210),CHOX(53)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,0.0,1.9260159639551224e-54,1.679521397185114e-30,6.3494938011274945e-73,8.2239270036168413e-46,4.6375809438584039e-111,5.1239684768209348e-17,9.0620080987617653e-90,5.123968476819354e-17,5.8341619007241285e-61,8.835224788433938e-59,6.614401776413248e-94,7.6693837693982454e-95,3.6587415553430544e-43,1.3026273003483568e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182233740396e-19,5.0944134112850336e-32,1.8863740755234949e-31,3.3169182217659993e-19,9.8772978001896699e-46,7.4103440927544806e-29,3.0969110323757755e-35,1.3184328160883069e-40,7.2818300388335987e-66,6.3884162661503143e-44,1.0122526848841569e-81,1.164858403693282e-87,9.1041356981421643e-96,1.9496445287797544e-91
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,0.0,3.0841353056393717e-53,6.7224625483155443e-30,4.3121796961292184e-71,6.5858115011037021e-45,1.2594482152972083e-108,1.0252388707316199e-16,5.8086490868987573e-88,1.0252388707309867e-16,9.3447982419670583e-60,1.4152810911250151e-57,8.982396089497406e-92,1.04150677710568e-92,2.9292179132851075e-42,4.1730859174472767e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182191236387e-19,2.0390930051088731e-31,7.5504123306151819e-31,6.6367182126872848e-19,7.9078440379894667e-45,2.9660675880217434e-28,2.479410266757597e-34,1.1201284316814322e-39,2.4736740872129197e-64,5.1146174438454248e-43,6.48580570368935e-80,1.5818844871936375e-85,1.1666689517943864e-93,2.6498463228100213e-89
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,0.0,4.9366252816845985e-52,2.6898606610186694e-29,3.0732793270632469e-69,5.2713184639544153e-44,3.5885503088536729e-106,2.0509229168312805e-16,3.7204064516036726e-86,2.050922916828747e-16,1.4959793172458801e-58,2.2657667047977134e-56,1.2799003590735147e-89,1.4840415455067001e-90,2.3442645757676638e-41,1.3361365197557196e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318215266631e-18,8.159028047219402e-31,3.0211484156375419e-30,1.327631818951283e-18,6.3286785502897655e-44,1.1868123906932717e-27,1.9842791740142387e-33,9.9981106096038436e-39,8.8211088714756034e-63,4.0932483922784666e-42,4.1532814687313173e-78,2.2540249838811099e-83,1.4941941407525358e-91,3.7792383850199482e-87
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,0.0,7.9002078217291623e-51,1.0761194179314793e-28,2.366683791859307e-67,4.218122737034699e-43,1.1045247893702778e-103,4.1022910090330335e-16,2.381979274396316e-84,4.1022910090228976e-16,2.394216371207378e-57,3.6262806282211018e-55,1.9702266409208018e-87,2.284473292232095e-88,1.8757678299923636e-40,4.276835669608425e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555518226127874e-18,3.264142491003421e-30,1.2086560889381511e-29,2.6555518123095791e-18,5.0639043312199042e-43,4.7480144256361965e-27,1.587720687361041e-32,9.6542015825921728e-38,3.4001001387370031e-61,3.2752206222442673e-41,2.658857439473185e-76,3.4697545223081586e-81,1.9131177200601521e-89,5.8244004096100987e-85
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,0.0,1.2641618367487939e-49,4.3048280056216711e-28,2.0259264728957804e-65,3.3749254279043399e-42,3.7782649778597628e-101,8.2050271934462651e-16,1.5247609280986359e-82,8.2050271934057177e-16,3.8312658380712387e-56,5.8028922257365017e-54,3.3708930666236348e-85,3.9085428093881915e-86,1.5007567393150912e-39,1.3687792516653311e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113918322151743e-18,1.3057632512599555e-29,4.835017813012655e-29,5.3113917909989269e-18,4.0515080345812244e-42,1.8993539873156061e-26,1.2702905412471729e-31,1.0371036369292807e-36,1.4571973613296732e-59,2.6204252887924517e-40,1.7019111337017702e-74,5.9364598710974417e-79,2.4491422364236251e-87,9.9787582869173649e-83
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,0.0,2.0227617480142051e-48,1.7220012730423446e-27,1.9508293826524366e-63,2.7001112476974244e-41,1.4538622327530997e-98,1.6410499562311629e-15,9.7594114579664064e-81,1.6410499562149443e-15,6.130441083382221e-55,9.2853020714181246e-53,6.4876465111956104e-83,7.5224112852702534e-84,1.2006623723833069e-38,4.3804005627675588e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623071881140841e-17,5.2232654652689934e-29,1.9340858065576051e-28,1.0623071716268636e-17,3.2413601551162463e-41,7.5976742626565812e-26,1.0162700949680699e-30,1.2532466829962784e-35,7.025117104095125e-58,2.0964397544310969e-39,1.0893006887952258e-72,1.1425355815378382e-76,3.1351270697482522e-85,1.9230931904998074e-80
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,0.0,3.2365008374356051e-47,6.8881452484090285e-27,2.085876655099071e-61,2.1601573618043352e-40,6.2131837082900091e-96,3.2821444300197974e-15,6.2463246309328065e-79,3.2821444299549218e-15,9.8090383313910658e-54,1.4857022555843006e-51,1.3866306700502349e-80,1.6077950795936738e-81,9.6055267130173436e-38,1.4017772914327031e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246432097878402e-17,2.0893486332658651e-28,7.7365004885252729e-28,2.1246431438372116e-17,2.5931494429427847e-40,3.0390908641201836e-25,8.1301844217870516e-30,1.6802557596565846e-34,3.7596354526057571e-56,1.6771916166595714e-38,6.971772593904279e-71,2.4419869942039824e-74,4.0131066444043225e-83,4.1146522952705495e-78
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,0.0,5.1784663035733303e-46,2.7552861405865763e-26,2.4066753787489215e-59,1.7281532343760128e-39,2.8660135719958466e-93,6.5643333776593117e-15,3.9977441755005335e-77,6.5643333773998065e-15,1.5694727388266157e-52,2.3771666247551244e-50,3.1986723357390236e-78,3.7088531881767148e-79,7.6845121518321881e-37,4.4857658884516229e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493153006919763e-17,8.3574790629823494e-28,3.0946315655794489e-27,4.2493150368835338e-17,2.0745438041839907e-39,1.2156161748583199e-24,6.5039538285787053e-29,2.4283832602729527e-33,2.1704263593049862e-54,1.3417692230944033e-37,4.4620138471494306e-69,5.6331624780720768e-72,5.1368686246455835e-81,9.4982912143608976e-76
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,0.0,8.2855959135820306e-45,1.1021200722839568e-25,2.9118749996429709e-57,1.3825335240480222e-38,1.3866330634696595e-90,1.3128711273187318e-14,2.5585871164124807e-75,1.3128711272149297e-14,2.5111776589296514e-51,3.8035006145710442e-49,7.7386823231426232e-76,8.9729840730162651e-77,6.1476455328691818e-36,1.4354576381392677e-59,7.1699496431492726e-13,2.122894655754791e-14,8.498659672743776e-17,3.3430082391289444e-27,1.2378588342378058e-26,8.4986586174786907e-17,1.6596442984828548e-38,4.8622291533324383e-24,5.2027605348522692e-28,3.6771790017583951e-32,1.3135492278492823e-52,1.0734217573173737e-36,2.8557142228754681e-67,1.3628545240895452e-69,6.5752506971818017e-79,2.2988956076776719e-73
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,0.0,1.3256986465036026e-43,4.4084915834864136e-25,3.6187722943368672e-55,1.1060311914591756e-37,6.8918910250027279e-88,2.625746706523925e-14,1.6375056143311409e-73,2.6257467061087156e-14,4.017901250126809e-50,6.0856269216756693e-48,1.9232589467964798e-73,2.2300141491569157e-74,4.9181299486538833e-35,4.5934844308443318e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997349177958315e-16,1.3372063847476897e-26,4.9514472245445193e-26,1.6997344956679134e-16,1.3277184290752076e-37,1.9446884157083733e-23,4.1615274567057221e-27,5.7162264971342976e-31,8.1639538364007304e-51,8.5873996842537086e-36,1.8276651625435214e-65,3.3870386916369451e-67,8.41635830640948e-77,5.714568777922424e-71
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,0.0,2.1211182797531757e-42,1.7633989420316305e-24,4.5614120555831901e-53,8.8482669819527475e-37,3.4745563568624476e-85,5.2514978653326784e-14,1.0480067350773939e-71,5.2514978636718391e-14,6.428655514722058e-49,9.7370197494349075e-47,4.8482062576717663e-71,5.6214830256720296e-72,3.9345080842761278e-34,1.4699181537286278e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3994731233922603e-16,5.3488298476048502e-26,1.9805808445820413e-25,3.3994714347121163e-16,1.0621748005353252e-36,7.7770985167516216e-23,3.3281179974386208e-26,9.0100074145173312e-30,5.1458618632904464e-49,6.8699301740650627e-35,1.1697082120854761e-63,8.5381408454686365e-65,1.0772961924284537e-74,1.4406893485775951e-68
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,0.0,3.3937825801541549e-41,7.0536007832415014e-24,5.7902865644288251e-51,7.0786205038613332e-36,1.764175998510829e-82,1.0503000184543655e-13,6.7072529890062182e-70,1.0503000177900293e-13,1.0285859372198341e-47,1.5579231895751602e-45,1.2308346482992506e-68,1.4271494234665234e-69,3.1476060638041495e-33,4.7037427102264331e-55,5.7359767306774536e-12,1.6983207634697563e-13,6.7989507536757996e-16,2.1395313050970451e-25,7.9223239058047926e-25,6.7989439976175088e-16,8.4973804119621767e-36,3.1095101514691488e-22,2.660723423693365e-25,1.4300384748764376e-28,3.266279047774971e-47,5.495948591899933e-34,7.4861396728338454e-62,2.1676122718610021e-62,1.3789404498481386e-72,3.6576369310018514e-66
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,5.4300243185217964e-40,2.8214416341436866e-23,7.3726526752150021e-49,5.6628990714993287e-35,8.9849976059618963e-80,2.100600482933948e-13,4.2926448589168141e-68,2.100600480276603e-13,1.6457382592886937e-46,2.492672953255682e-44,3.1343561306500138e-66,3.6342760156985608e-67,2.5180814035938859e-32,1.5051981507859721e-53,1.1471955887057029e-11,3.3966422467101411e-13,1.359791089759523e-15,8.5581119872012075e-25,3.1689269621788307e-24,1.3597883862700318e-15,6.7978679785916868e-35,1.2427407436879947e-21,2.1257469721548933e-24,2.276618956349103e-27,2.0794931547392548e-45,4.3967611051181881e-33,4.7911305023776599e-60,5.519878900869774e-60,1.7650441949541575e-70,9.3139461340762509e-64
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,0.0,8.6879447405906496e-39,1.12857717136905e-22,9.3917119104171265e-47,4.5303201663070161e-34,4.578236263601576e-77,4.2012014144426591e-13,2.7472933745326823e-66,4.2012014038132812e-13,2.6331815533560002e-45,3.9882600491385937e-43,7.985440143446719e-64,9.2590855287858188e-65,2.0144584863460678e-31,4.8166332214882947e-52,2.2943914183247862e-11,6.7932852129753529e-13,2.7195850774518311e-15,3.4232325761100575e-24,1.2675681003400564e-23,2.7195742549986804e-15,5.4382331967791137e-34,4.9624744018303068e-21,1.6960790849886483e-23,3.6264440935922116e-26,1.324494161241557e-43,3.5174104955772648e-32,3.0663223858404728e-58,1.4063023820351153e-57,2.2592557423289664e-68,2.3726496694125465e-61
