Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CO2X(24),H2X(49),CH4OX(60)
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,5.6179181498406249e-102,2.2060306604520136e-53,1.8858023069804908e-35,1.4776368731435337e-73,1.4788617707577316e-47,6.283097796714617e-117,1.3726172479864616e-21,8.0741851875591655e-100,1.3726172476918081e-21,4.7935122199724897e-67,6.8962729072954099e-58,3.0019044354489823e-98,1.8138895312774128e-99,3.705540626260229e-44,2.9934345680463759e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616489406844e-19,1.5037675955361698e-31,5.8710131502947967e-45,1.0088616490971349e-19,7.750395947094203e-30,7.3715229591758996e-36,5.1022539728373181e-42,2.9148198753205601e-66,2.6572188030773728e-88,6.7352373076707491e-93,1.3949170746609079e-48,1.1557576772214718e-71
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,2.7795347398954801e-99,3.5310858206534017e-52,7.5456657372058806e-35,1.8271785639150696e-71,1.1836888066964412e-46,3.1071588412881005e-114,2.7458305092620236e-21,5.1714693409800765e-98,2.7458305080830242e-21,7.6737827311221739e-66,1.1040453835200883e-56,7.4230839524174369e-96,4.4853707239556253e-97,2.9655586862053552e-43,9.5843635269244548e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613618348712e-19,6.0170291209138071e-31,4.6985948166067072e-44,2.0181613624608774e-19,3.1011649645657864e-29,5.8994496781836686e-35,7.8908930328757736e-41,1.8026299642540161e-64,6.5707482155015583e-86,1.6662765257937372e-90,1.1163576225589085e-47,3.7006471763885363e-70
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,1.3982959443487295e-96,5.6508869682594839e-51,3.0187577495672294e-34,2.2976585329104051e-69,9.4719085974580037e-46,1.5627292840475248e-111,5.4922570335809797e-21,3.3110180165560084e-96,5.4922570288642147e-21,1.2281383859631835e-64,1.7669861524162771e-55,1.8667639285054788e-93,1.1279851240897523e-94,2.3728975142192119e-42,3.0678562559302314e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.036760787148944e-19,2.4072034463858085e-30,3.7595896951013323e-43,4.036760789653379e-19,1.2406655611081456e-28,4.7204415997638562e-34,1.240710591222866e-39,1.1335482989578829e-62,1.6524177521525422e-83,4.1913950275333562e-88,8.9325574229452302e-47,1.1845628343871924e-68
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,7.0956482584100296e-94,9.0423388518256029e-50,1.207601464036475e-33,2.914654059145301e-67,7.5784862493197602e-45,7.9290754025751567e-109,1.0985110089290222e-20,2.1194604670160782e-94,1.0985110070421625e-20,1.9652879738562193e-63,2.8275887290403649e-54,4.7359354687924251e-91,2.8616712994843978e-92,1.8984982485755193e-41,9.8185161085600125e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596358798903e-19,9.6295973930660822e-30,3.0079572764862918e-42,8.0739596458984632e-19,4.9630472588336414e-28,3.776688687313336e-33,1.9676574222529541e-38,7.1902148363045062e-61,4.1921443060772768e-81,1.0634793154837895e-85,7.1467249538084573e-46,3.791170322582245e-67
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,3.616645371781599e-91,1.4468477534982969e-48,4.8306031217498905e-33,3.7138562761131653e-65,6.0631727661030563e-44,4.0411884475515429e-106,2.197081622899402e-20,1.3565855733367969e-92,2.197081615351656e-20,3.1446740157275786e-62,4.52447065944789e-53,1.2068857879986263e-88,7.2925622479505591e-90,1.5188706845409689e-40,3.1421453432363426e-73,8.713312177507653e-14,4.1894379264832384e-15,1.6148357325752978e-18,3.8519956488518872e-29,2.4064799605275755e-41,1.6148357365829056e-18,1.9852845774903983e-27,3.0214573230475306e-32,3.134238474326981e-37,4.5810528400477208e-59,1.0683083267601346e-78,2.7102957476240503e-83,5.7176521692852993e-45,1.2132655736675269e-65
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,1.8475085730407193e-88,2.3150150977125929e-47,1.932281126659124e-32,4.7428320333142045e-63,4.8506917157159993e-43,2.0643150115785762e-103,4.3942228621542885e-20,8.6825664918378851e-91,4.3942228319626891e-20,5.0316490287052798e-61,7.2394158856259586e-52,3.0825133807343084e-86,1.8625971841849451e-87,1.2151253617944806e-39,1.0055217396518658e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152675143943e-18,1.5408295700560598e-28,1.9252295054978958e-40,3.2297152835452724e-18,7.9411790086087653e-27,2.4171639347025744e-31,5.0034811461435223e-36,2.925200624340396e-57,2.7285718584687625e-76,6.9225981541010147e-81,4.5742315576982183e-44,3.8825954399047364e-64
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,9.4481115668315569e-86,3.7040706644171625e-46,7.7292076561941653e-32,6.0636255511122361e-61,3.8806147610266758e-42,1.0556689317353092e-100,8.7885053859205698e-20,5.5569765826002199e-89,8.7885052651529395e-20,8.0507749037363551e-60,1.1583275254849209e-50,7.8818414634891862e-84,4.7625732302042998e-85,9.7211178184518438e-39,3.2177259248682003e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594743252505049e-18,6.1633806748700886e-28,1.5402016276649807e-39,6.4594743893756335e-18,3.1764072253515428e-26,1.9336592237713909e-30,7.9962447512826926e-35,1.8699245930319138e-55,6.9768291840905505e-74,1.7701033102422728e-78,3.6594306745747285e-43,1.2424537643919154e-62
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,4.8342309281419911e-83,5.9265488415063484e-45,3.0917024065409145e-31,7.7562685625306351e-59,3.1045163426038153e-41,5.4014064707658639e-98,1.7577070614479158e-19,3.5565079034671938e-87,1.7577070131406181e-19,1.2881348925340722e-58,1.8533406900984475e-49,2.0164026740463853e-81,1.2184037742599312e-82,7.7769396901621193e-38,1.0296813064096503e-68,6.9708152006077669e-13,3.351629895378482e-14,1.2918992392154396e-17,2.4653645673787779e-27,1.2321682045952408e-38,1.2918992648663953e-17,1.2704920058317712e-25,1.5467847761037063e-29,1.2785621338654108e-33,1.1959591381365205e-53,1.784874148036834e-71,4.528469391124822e-76,2.9275651091966976e-42,3.9758887335000471e-61
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,2.4739458875373497e-80,9.4825021986707491e-44,1.2366870022697091e-30,9.9232691376032967e-57,2.4836228527751608e-40,2.7641926105270635e-95,3.5154201795700422e-19,2.2761787847109397e-85,3.5154199863403623e-19,2.0610245263285659e-57,2.9653579824764892e-48,5.1595149063239466e-79,3.117617578920026e-80,6.2215690710785018e-37,3.2949945530699847e-67,1.3941654037106937e-12,6.7032711556198464e-14,2.583802833168885e-17,9.8614814119989809e-27,9.8573683364414538e-38,2.583802935779159e-17,5.0813622772534826e-25,1.2371886920935013e-28,2.0447386378794522e-32,7.6504841532881899e-52,4.567084903396944e-69,1.1587357385096002e-73,2.3420641513440544e-41,1.2722899634583578e-59
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,1.2659890818366511e-77,1.5172008133809343e-42,4.9467774481580171e-30,1.2695045677951555e-54,1.9869021379310909e-39,1.4145161857400112e-92,7.0308467054559246e-19,1.4567588165028851e-83,7.0308459325362343e-19,3.2976461107962358e-56,4.7445816627804325e-47,1.3201353262906849e-76,7.9768682875217983e-78,4.9772608160186301e-36,1.0544005282884723e-65,2.7883331706739879e-12,1.3406553676033216e-13,5.1676099433664469e-17,3.9445960313559928e-26,7.8858958926249187e-37,5.1676103538575627e-17,2.0320527272714192e-24,9.8936410833494285e-28,3.2698819778932874e-31,4.8937101733258323e-50,1.1685530278279188e-66,2.9647912848601438e-71,1.8736622821505466e-40,4.0713348648471092e-58
