Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193155134510746e-139,3.3910073082262076e-65,1.6657771551147705e-46,1.7167579475618771e-74,8.7792580939638096e-58,4.4834033270858886e-49,4.3960768031460247e-29,-3.5611475361632428e-114,4.3960768023791731e-29,3.0780825816890705e-74,3.5849718696178425e-70,4.0541383272833303e-75,3.688235146024937e-106,4.4834541521414015e-49,6.286087034821743e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745365269e-23,2.0444485413903583e-37,6.9311052104557908e-54,1.7666427745365948e-23,4.3937396460265859e-37,4.4918025639694299e-46,2.0940242521795501e-54,5.1420893850037097e-84,2.452047952504173e-92
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180473517446756e-137,6.8579339700964395e-64,1.0061294119166923e-45,2.038135035659838e-73,1.3267214831614875e-56,2.7079756100159958e-48,1.2309015051293509e-28,-3.3621300533538131e-114,1.230901504666172e-28,4.6515985060460109e-73,1.1271725226438917e-68,4.8130730228931778e-74,8.2504344934694652e-105,2.7080359495219013e-48,1.7727771611323835e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687021966e-23,1.2348469189981071e-36,8.2286081058146097e-53,4.9465997687026092e-23,2.6538187435804038e-36,5.3326679955346336e-45,2.8449512478720508e-53,3.5723973144896544e-82,5.4851331886263449e-91
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.109536704022619e-135,1.2732121517708387e-62,4.8440801204817286e-45,2.0010530646526949e-72,1.4272264298213429e-55,1.3037736882007551e-47,2.8134891557527031e-28,6.4250208442687606e-114,2.813489153522696e-28,5.0039773964769201e-72,2.51465989284776e-67,4.7255036365829107e-73,1.6301468247239028e-103,1.3038329298854614e-47,3.8561775428417432e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.130651375703322e-22,5.9452563583381182e-36,8.0788962331879006e-52,1.1306513757035207e-22,1.2776994851350495e-35,5.2356450424921535e-44,3.5534641972751187e-52,2.0461686190245844e-80,1.0837698860156721e-89
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.077015383211045e-134,2.1933043739523572e-61,2.1155371455161245e-44,1.7699087756649903e-71,1.3118669784663586e-54,5.6939222324689213e-47,5.9786644609748248e-28,3.8875833002653055e-112,5.9786644512357987e-28,4.599517339244269e-71,4.7096796765177161e-66,4.1796544547290863e-72,2.9007591780675303e-102,5.694446218461239e-47,7.1487032767303558e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733694014e-22,2.5964496475398736e-35,7.1456922275208205e-51,2.4026341733702675e-22,5.5800493098491202e-35,4.6308687166016311e-43,4.4954612383031918e-51,1.1014060604177985e-78,1.9285106077873846e-88
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.5332502349200336e-132,3.6388645074546675e-60,8.8319519030966154e-44,1.4877149729430736e-70,1.1223298196236576e-53,2.3771004503837955e-46,1.2309015087320744e-27,1.385734292860025e-110,1.2309015046662226e-27,3.9349839379569899e-70,8.1348004264770691e-65,3.5132514169790532e-71,4.8925543440369581e-101,2.3775408921828577e-46,1.2286794483622761e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997687010537e-22,1.0839666166218741e-34,6.0063848772428056e-50,4.9465997687046704e-22,2.3295607237791155e-34,3.8925241337658383e-42,6.0539187335005363e-50,6.10411367748222e-77,3.2527150212048756e-87
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.4290686266629614e-130,5.9274304632870164e-59,3.6081411569834301e-43,1.2197186220395238e-69,9.2796399859507154e-53,9.7112309964733093e-46,2.496971640361928e-27,4.6566427483085653e-109,2.496971623751597e-27,3.2535208496777668e-69,1.3516092574518785e-63,2.8803757810670805e-70,8.0360352223671152e-100,9.714842004445666e-46,2.0364460994560669e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959362342e-21,4.4283573183959449e-34,4.9243972124526006e-49,1.0034530959377116e-21,9.5170155134720364e-34,3.1913263738402903e-41,8.6945181996726906e-49,3.5536022933162593e-75,5.3425942032057781e-86
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.9171127262380747e-128,9.5686691193499872e-58,1.4584688502160146e-42,9.8775976876167177e-69,7.5460491242068741e-52,3.9254348605376142e-45,5.0291119290643161e-27,1.5265233911467811e-107,5.0291118619227012e-27,2.6457091802381999e-68,2.203464218109938e-62,2.332602998793329e-69,1.3026759459372119e-98,3.9283591484152087e-45,3.3158246294972911e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340676835e-21,1.7900128313550083e-33,3.9879045356152405e-48,2.0210393340736546e-21,3.8469297050867592e-33,2.5844186966606608e-40,1.3084354898029348e-47,2.1527195074455904e-73,8.6605754754545454e-85
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8945809419426794e-126,1.5377917924784149e-56,5.8644431649415076e-42,7.9503500357851469e-68,6.0861619930638904e-51,1.5784001108576505e-44,1.0093392608239815e-26,4.9439024764764641e-106,1.0093392338266332e-26,2.1338603962378643e-67,3.5586005976784142e-61,1.8774818454257566e-68,2.097919473460241e-97,1.5807538321486322e-44,5.3517545508632001e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118103273509e-21,7.1975628665904761e-33,3.2098125090729783e-47,4.0562118103513596e-21,1.5468334109043171e-32,2.0801647784741667e-39,2.025983972090209e-46,1.3374125137288436e-71,1.3947589954424939e-83
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.2224711946192144e-124,2.4659193780562206e-55,2.3519072624815872e-41,6.3796553449635085e-67,4.8887362924972624e-50,6.3300905466237956e-44,2.0221954373673697e-26,1.5915582074658443e-104,2.0221953290959281e-26,1.7140328674625888e-66,5.7203465268128049e-60,1.5065609735714848e-67,3.3676254439603053e-96,6.3489776776587798e-44,8.600126633872617e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567628337595e-21,2.886544627837795e-32,2.5756723899250528e-46,8.1265567629300469e-21,6.2034929809053829e-32,1.6692008647027569e-38,3.1870137605670735e-45,8.4280828393565532e-70,2.2388971257697244e-82
