Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),CH4OX(60),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43),CH2(T)(34),CH2O2(181),O(29),C3H6O(210),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374)
6.816115439502936e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999649,0.11866996602996198,0.022821567693054236,0.0,1.9695479875529462e-45,2.3150166439777841e-30,1.4556312871086961e-68,1.3308593757933295e-45,1.4821917713337141e-53,6.0157641320985408e-17,2.3814105429150183e-89,6.0157641320873562e-17,1.1122943468047809e-60,1.7448049633252206e-58,4.951481809744531e-71,2.0810789808865452e-90,8.3386970876628857e-32,2.9157180175340086e-71,3.2853729971493295e-15,9.7274055251893885e-17,3.894206615596799e-19,7.0220292987962104e-32,2.6001383064942936e-31,3.8942066142455738e-19,1.5984197088592663e-45,1.0338225701796262e-43,2.660104664842077e-81,1.3899400467848927e-29,9.2802504353989844e-37,7.8849465734335279e-43,5.9742915030840753e-68,1.7655059389378471e-72,1.4363649472845375e-59,3.1608306625092697e-83,2.8088770759947316e-95,3.1031647654457743e-85,4.266621152435127e-72,1.5493411808347702e-67,1.0291435534738524e-98,5.643665981256247e-35,8.0824941933620437e-48,9.2262950743200552e-26,1.3314125043434568e-147,1.9535240086498467e-87,7.6328630208050253e-98,2.2621702901740042e-110,8.3332042895456483e-112,3.2635939956690334e-192
1.3638152786425075e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999311,0.11866996602995863,0.022821567693054188,0.0,1.5768359625199342e-44,9.2660996834017927e-30,4.6621118785214444e-67,1.0657668750709151e-44,2.3734337642445707e-52,1.2036754818633257e-16,1.5264587925871625e-87,1.203675481858849e-16,1.7816044905888048e-59,2.7949367820615916e-57,1.5858046490662621e-69,1.3330780797643951e-88,3.3376519623878785e-31,9.3407724240090144e-70,6.5736003583256452e-15,1.9463262314952992e-16,7.791796556160772e-19,2.8106417125556191e-31,1.0407329375186142e-30,7.7917965507523457e-19,1.2797076715215364e-44,8.2768666452345869e-43,1.7044090983319642e-79,5.5633821024773078e-29,7.4298404009363138e-36,8.5848100160617752e-42,2.595996241075883e-66,5.6564128217368649e-71,2.3006801770101381e-58,2.0247352953015922e-81,3.5994966589075283e-93,1.9882909632407792e-83,1.3664837128262388e-70,4.9620548796617229e-66,1.3190467331796376e-96,2.2589371743080913e-34,6.4708979565996555e-47,1.8460622735457581e-25,2.7341970945914562e-144,1.251681611712664e-85,9.7812984329530531e-96,5.7978408995915492e-108,2.135762852942945e-109,5.3652394663198549e-188
2.7282227480269356e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998634,0.11866996602995193,0.022821567693054091,0.0,1.2619480074305322e-43,3.7076468387377115e-29,1.4926854894242646e-65,8.5304546082084798e-44,3.799026191578183e-51,2.4078736191765114e-16,9.7768824182364476e-86,2.4078736191585984e-16,2.8521148958964165e-58,4.4744996246605853e-56,5.0766914259536094e-68,8.5363766107774688e-87,1.3354955343719536e-30,2.9907241625674946e-68,1.3150055080672833e-14,3.8934975894479485e-16,1.5586976438388116e-18,1.1246227875693411e-30,4.1642873620779897e-30,1.5586976416747364e-18,1.0241550614159186e-43,6.6240088249038492e-42,1.0914436913512588e-77,2.2260772065998421e-28,5.9461260201569976e-35,1.050712773867302e-40,1.2678850710380102e-64,1.8111398735582814e-69,3.6830864309935357e-57,1.2965409332081818e-79,4.6100031816055673e-91,1.2732315685024072e-81,4.3746017380889935e-69,1.5885198392860124e-64,1.689670318785467e-94,9.0386910991923119e-34,5.1786659552135965e-46,3.6929328155115868e-25,5.6072739908558487e-141,8.015329184004905e-84,1.2527256216837042e-93,1.4851034946643958e-105,5.4707070118524667e-107,8.8052696498648877e-184
5.457037686795791e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997279,0.11866996602993854,0.022821567693053896,0.0,1.0097501476102786e-42,1.483300162958431e-28,4.7796848277011828e-64,6.8260919514260225e-43,6.0796354825727075e-50,4.8162698938278522e-16,6.2596206023655432e-84,4.8162698937561891e-16,4.5646223547391075e-57,7.1612806903936108e-55,1.6248714556532662e-66,5.466808261166322e-85,5.342851760882788e-30,9.573001315310316e-67,2.6302964525345427e-14,7.7878403053529633e-16,3.1177336207240414e-18,4.4992234567391535e-30,1.6659861025992345e-29,3.1177336120663296e-18,8.1947964595304842e-43,5.3002134784190645e-41,6.9872302279721623e-76,8.9057559726909355e-28,4.7577972300187482e-34,1.4227064248832766e-39,6.8538313539680543e-63,5.7973886164820841e-68,5.8945372630978758e-56,8.3032192384426821e-78,5.9024989860066216e-89,8.151002998563435e-80,1.4001621708370596e-67,5.0842966945143036e-63,2.1644126738261733e-92,3.6160650039202389e-33,4.1436891022405944e-45,7.3866939383965372e-25,1.1491449104880449e-137,5.131272534674323e-82,1.6039493729143141e-91,3.8029612486947571e-103,1.4009048507384049e-104,1.443856611928022e-179
1.0914667564333503e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999457,0.11866996602991176,0.022821567693053508,0.0,8.0787683211953779e-42,5.9336835411488544e-28,1.5321739543338497e-62,5.4615649511359118e-42,9.7282678634047101e-49,9.6330624432304173e-16,4.0069304324042491e-82,9.6330624429437393e-16,7.3043867242433559e-56,1.1459714379775509e-53,5.2000623971505019e-65,3.5048157072968194e-83,2.1373146419755385e-29,3.0637899233556355e-65,5.2608783414603495e-14,1.557652573716186e-15,6.2358055762535407e-18,1.799835852067127e-29,6.6644867385096213e-29,6.2358055416198746e-18,6.5564595236844539e-42,4.240573393090183e-40,4.4724644345624681e-74,3.5625904058691163e-27,3.8065879739667106e-33,2.0695201482244454e-38,3.9827372365461225e-61,1.8554429549075119e-66,9.4325389811798042e-55,5.3232620452313481e-76,7.5562836124076361e-87,5.2173835926029134e-78,4.4809370606533194e-66,1.6271231773636321e-61,2.7754210513698866e-90,1.4465437228150488e-32,3.315217265915484e-44,1.4774296339979618e-24,2.3542115305547545e-134,3.2844822869693761e-80,2.0533500119485872e-89,9.7369841921282716e-101,3.5868334331525706e-102,2.3665418182096507e-175
2.1829927319408926e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989152,0.11866996602985817,0.022821567693052731,0.0,6.4633216762114854e-41,2.3735699977618034e-27,4.9343849663187693e-61,4.3695285332197059e-41,1.5565577062879793e-47,1.9266647542435068e-15,2.5646829425412643e-80,1.9266647541288301e-15,1.1687811575472181e-54,1.8336875239766406e-52,1.6640607950304566e-63,2.2572967036735552e-81,8.5496064599887549e-29,9.8048149961577998e-64,1.0522042119277117e-13,3.1153896600775119e-15,1.2471949494348719e-17,7.1996363386293266e-29,2.6659031440514618e-28,1.2471949355808405e-17,5.2454164183231647e-41,3.3926197671330896e-39,2.8625811162716168e-72,1.4250926212831583e-26,3.0453970002509032e-32,3.1457478051194985e-37,2.419572660057357e-59,5.9378631573917932e-65,1.5093085928382166e-53,3.4284774546242172e-74,9.6727374009150717e-85,3.3393613802916017e-76,1.4339377502235572e-64,5.2069219201308515e-60,3.5752790908682928e-88,5.7864103422576575e-32,2.6522216804562396e-43,2.954982176639849e-24,4.8220778253815102e-131,2.1022183880353314e-78,2.6284767065780073e-87,2.4928475519656271e-98,9.1829554035063295e-100,3.8779136299619201e-171
4.366044682955978e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978316,0.11866996602975101,0.022821567693051173,0.0,5.1707803867372316e-40,9.4944731570941111e-27,1.6182910531765419e-59,3.4957334579667277e-40,2.490413839881434e-46,3.8533817742442444e-15,1.6414762753584962e-78,3.8533817737855297e-15,1.8701132780264422e-53,2.9340065902263416e-51,5.3248360479150641e-62,1.4801994084620592e-79,3.4199121672156606e-28,3.1376507520100891e-62,2.1044369674771261e-13,6.2308638327983505e-15,2.4944237358683873e-17,2.8799131075167084e-28,1.0663829310665489e-27,2.4944236804511223e-17,4.1964324069124573e-40,2.7141602363589305e-38,1.8321171499274906e-70,5.7004742331988022e-26,2.4363467103461101e-31,4.9007587144669916e-36,1.5069149676873935e-57,1.9001874658346629e-63,2.4149756353127606e-52,2.2481892164737944e-72,1.2381548237928072e-82,2.1372648825428867e-74,4.5884757674831845e-63,1.6661654203157972e-58,4.6896294706176039e-86,2.3146112280371219e-31,2.1217028498903503e-42,5.9102155112247073e-24,9.8757569256781084e-128,1.3454676767006274e-76,3.3645709383760825e-85,6.3819193709427255e-96,2.3509212895864978e-97,6.3534253310574244e-167
8.732148584986147e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956645,0.11866996602953668,0.022821567693048057,0.0,4.1366739040140829e-39,3.7978278963937726e-26,5.6766190075718857e-58,2.796631018149438e-39,3.9842590330662528e-45,7.7068158148849533e-15,1.0505701566516658e-76,7.7068158130500771e-15,2.9922319812482013e-52,4.694495688172611e-50,1.7037789558260152e-60,1.0374104025304652e-77,1.3679787865055089e-27,1.0040658273630203e-60,4.2089024785201999e-13,1.2461812178232773e-14,4.9888813199933984e-17,1.1519769454837807e-27,4.2655749381860431e-27,4.9888810983219895e-17,3.3571852347137654e-39,2.1713539582806077e-37,1.1725758414023083e-68,2.2802031056548361e-25,1.9490545500978646e-30,7.7351294071926012e-35,9.5084635141847443e-56,6.0807135183724814e-62,3.864026524448608e-51,1.5756625095442028e-70,1.5848666004539335e-80,1.3678706632569112e-72,1.468173439602894e-61,5.3312018523877945e-57,6.5768603576733985e-84,9.2585390960248653e-31,1.69718268359012e-41,1.1821195177598745e-23,2.0223537694043911e-124,8.6111463724061e-75,4.3067280511397583e-83,1.6338006212051891e-93,6.0184668794187264e-95,1.0407310882807787e-162
1.7464356389046487e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679913302,0.11866996602910804,0.022821567693041826,0.0,3.3093595622503243e-38,1.5191388853054149e-25,2.4508100723291948e-56,2.2373225130360704e-38,6.3734033695710031e-44,1.5413683898723308e-14,6.723730070358829e-75,1.5413683891383758e-14,4.7876117426556437e-51,7.5112608986587222e-49,5.4509066771490456e-59,8.9337120417590873e-76,5.4719430081951734e-27,3.2130387473222496e-59,8.4178335003833272e-13,2.4923708869072605e-14,9.9777965332758515e-17,4.6079310906719858e-27,1.7062385114103758e-26,9.977795646584959e-17,2.6857632711516623e-38,1.7370934740321456e-36,7.5045520228786984e-67,9.1207805488409143e-25,1.5591793765763037e-29,1.2290920200376579e-33,6.0386025481542325e-54,1.9458462610379418e-60,6.1824948375097114e-50,1.3568895649823576e-68,2.0286474057797599e-78,8.7544089924444828e-71,4.6971728867270457e-60,1.7056134939660348e-55,1.1342725084459352e-81,3.7034344758850042e-30,1.3574347258054997e-40,2.3645206499164053e-23,4.1406910805251552e-121,5.5111826287541647e-73,5.5126612587662802e-81,4.1825663704812719e-91,1.5407413690059398e-92,1.7042972011997511e-158
3.492877199716716e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982661,0.11866996602825074,0.022821567693029364,0.0,2.6474967871342748e-37,6.0765709947701736e-25,1.5930517697189706e-54,1.7898650861361449e-37,1.0192835751067627e-42,3.0827420076627737e-14,4.3032131578421466e-73,3.0827420047269483e-14,7.6602111926717249e-50,1.2018070658074216e-47,1.7435144327607526e-57,1.1568481154445533e-73,2.1887827939737074e-26,1.0281768700000903e-57,1.6835695543217493e-12,4.984750225063621e-14,1.9955627139974576e-16,1.8431770209692975e-26,6.8249702644592002e-26,1.9955623593195968e-16,2.1486156256570713e-37,1.3896789016608745e-35,4.8029344496728646e-65,3.6482588871241628e-24,1.2472295899043324e-28,1.9595905734110932e-32,3.8454354942951232e-52,6.2267351607040839e-59,9.8920336319297194e-49,1.757069019603388e-66,2.5966802088684591e-76,5.6027939681035725e-69,1.5024521432015273e-58,5.4555359691379563e-54,2.9433993004407781e-79,1.4813775583501542e-29,1.0854401853951826e-39,4.7301437097562973e-23,8.4754042667479885e-118,3.5271724347961804e-71,7.056237774264153e-79,1.0707413526942645e-88,3.9443155037688556e-90,2.7894724455521018e-154
