Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),C2H6X(52)
5.399167965093974e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999722,0.11866996602996267,0.022821567693054247,0.0,2.4527865719583193e-64,1.4525590461073694e-30,0.0,6.6145701734029365e-46,0.0,4.765193891431162e-17,5.8623157835017808e-90,4.7651938914241497e-17,4.3639019622840551e-61,6.7682854350584447e-79,0.0,0.0,1.4044869398133608e-50,9.0613063069752199e-72,2.602403201212217e-15,7.7052533457254435e-17,3.0846712903845939e-19,3.0846712895363248e-19,1.6314586599773518e-31,5.1382542266929179e-44,6.5483773870677032e-82,8.7211909851375994e-30,4.6124246688641733e-37,3.6257545128264781e-43,5.6548899698687108e-60
1.0803026779853538e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999455,0.11866996602996002,0.022821567693054209,0.0,3.9276542616959526e-63,5.814021662553126e-30,0.0,5.2970207911399241e-45,0.0,9.5345278296967744e-17,3.7576809523899642e-88,9.534527829668707e-17,6.9898271730135306e-60,2.1685252819501715e-77,0.0,0.0,1.1244435400372941e-49,2.9028725049418122e-70,5.2070673956476328e-15,1.5417201090534784e-16,6.1720225734320287e-19,6.1720225700367413e-19,6.5300863405130294e-31,4.1137276598903141e-43,4.1957412454149419e-80,3.4907490166501914e-29,3.6927432092314899e-36,3.7973055351948192e-42,9.0576515957761613e-59
2.1610744409372666e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998917,0.11866996602995472,0.022821567693054132,0.0,6.2868046916109081e-62,2.3263659764130403e-29,0.0,4.2397635425432211e-44,0.0,1.9073195706267167e-16,2.4067731152862976e-86,1.9073195706154856e-16,1.11897941627889e-58,6.9435623584575612e-76,0.0,0.0,8.9989657337679666e-49,9.2944023747652779e-69,1.0416395784515047e-14,3.084109658015304e-16,1.2346725140216717e-18,1.2346725126631152e-18,2.6128851166444384e-30,3.2922323737179457e-42,2.6868048718623841e-78,1.3967541494321218e-28,2.9553151427467584e-35,4.4707367313017411e-41,1.4500109151468461e-57
4.322617966841092e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997845,0.1186699660299441,0.02282156769305398,0.0,1.0060934315147407e-60,9.3069787442031313e-29,0.0,3.3926698075522588e-43,0.0,3.8150531459564628e-16,1.5409293993752165e-84,3.8150531459115313e-16,1.7908528591670134e-57,2.2226252396223146e-74,0.0,0.0,7.2005398445444689e-48,2.9750426710053935e-67,2.0835052562236213e-14,6.168888755938788e-16,2.4696130276545372e-18,2.4696130222194254e-18,1.0453241853615541e-29,2.6342861041629505e-41,1.7200450237042979e-76,5.5879249224685993e-28,2.3646983698782418e-34,5.8684809967346113e-40,2.3206469713573502e-56
8.645705018648743e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995697,0.11866996602992289,0.022821567693053671,0.0,1.6099132555189063e-59,3.7230944869684444e-28,0.0,2.7144794772602909e-42,0.0,7.6305202966786261e-16,9.863851320938344e-83,7.6305202964988832e-16,2.8657532640259369e-56,7.1134974242663076e-73,0.0,0.0,5.7609788370756389e-47,9.5214710028300808e-66,4.1672366117623885e-14,1.2338446951785087e-15,4.9394940560239813e-18,4.9394940342817637e-18,4.1816370301423728e-29,2.1076289867611931e-40,1.100985608763706e-74,2.2353509346099332e-27,1.8919339047260038e-33,8.3615060021588599e-39,3.7135388313580861e-55
1.7291879122264045e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991406,0.11866996602988045,0.022821567693053053,0.0,2.5759922290696172e-58,1.489298394802726e-27,0.0,2.1717210424619743e-41,0.0,1.5261454598373633e-15,6.3134739246641664e-81,1.5261454597654628e-15,4.5855161944751297e-55,2.2764946571153621e-71,0.0,0.0,4.609001865921802e-46,3.0470842464077271e-64,8.3346993228180577e-14,2.4677563343475004e-15,9.8792561171777218e-18,9.8792560302053032e-18,1.6727228618631722e-28,1.6861832350239021e-39,7.0468096628532623e-73,8.9417599844055134e-27,1.5136119109643686e-32,1.2555801776468971e-37,5.9420650998151572e-54
3.458422732949465e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982824,0.11866996602979556,0.022821567693051818,0.0,4.1216923859656985e-57,5.9573147814011857e-27,0.0,1.7374318195507193e-40,0.0,3.0523323202766358e-15,4.0408182254193111e-79,3.0523323199890289e-15,7.3370746925305572e-54,7.2850636860068776e-70,0.0,0.0,3.6872890135785017e-45,9.751011218738811e-63,1.6669624744841935e-13,4.9355796126844097e-15,1.9758780257144657e-17,1.975877990924784e-17,6.6910274666371858e-28,1.3489786070680926e-38,4.5101187401854467e-71,3.5767706856763218e-26,1.2109069642341324e-31,1.9431022474417749e-36,9.5076265443268754e-53
6.916892374395587e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965654,0.11866996602962579,0.022821567693049351,0.0,6.5947916744059523e-56,2.3829501532158315e-26,0.0,1.3899674496351446e-39,0.0,6.1047060415562708e-15,2.5861860349233885e-77,6.1047060404058323e-15,1.1739518520321653e-52,2.3312653059847644e-68,0.0,0.0,2.9498662196657253e-44,3.1203782367706536e-61,3.3339475588539851e-13,9.8712261693539071e-15,3.9517828607716655e-17,3.9517827216114773e-17,2.6764381244530304e-27,1.0791956933618132e-37,2.8865273524970193e-69,1.4307179659434579e-25,9.6871897780911477e-31,3.0562601800553287e-35,1.5212460374989441e-51
1.3833831657287828e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679931321,0.11866996602928624,0.022821567693044414,0.0,1.055173376503236e-54,9.5318490944020609e-26,0.0,1.11198275645546e-38,0.0,1.2209453485719888e-14,1.6551790168074362e-75,1.2209453481118112e-14,1.8783388791376528e-51,7.4601208630361416e-67,0.0,0.0,2.3599069793457528e-43,9.9852976966611204e-60,6.6679177274536328e-13,1.9742519282675482e-14,7.9035925591415694e-17,7.9035920024976156e-17,1.0705806243402149e-26,8.6336167767337902e-37,1.8473939147881502e-67,5.7228620728563681e-25,7.749508373592244e-30,4.8477225366233609e-34,2.434014289875894e-50
2.7667710223072316e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679862653,0.11866996602860716,0.022821567693034544,0.0,1.688282769295638e-53,3.8127493340999523e-25,0.0,8.8958972240856041e-38,0.0,2.4418948380464527e-14,1.0593209505520842e-73,2.4418948362057379e-14,3.0053549226263307e-50,2.3872501781193906e-65,0.0,0.0,1.8879311849381943e-42,3.1953091753636388e-58,1.3335858064093193e-12,3.948510550924772e-14,1.5807212068905426e-16,1.5807209842320958e-16,4.2823328223042894e-26,6.9069139112598098e-36,1.1823373234314143e-65,2.2891195319739619e-24,6.1991620373167129e-29,7.7221039422355784e-33,3.8944393593565076e-49
