Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),H2OX(23),CO2X(24)
1.28288961341572e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30509899121513662,0.096300855634568958,0.00026883618041654797,9.2558748139068563e-05,0.00023677884730918301,0.034692880455192816,0.017722944830615758,2.6328589233148096e-10,1.4856384823278916e-11,4.0626587647706862e-07,4.8570588073682693e-20,8.3811426447568792e-07,1.6812738802187262e-16,8.9022055449699629e-12,1.9173508968151847e-11,1.7258163035491128e-13,2.8593781334239755e-10,6.3563971429420871e-14,0.0045389645911611005,0.02694654789059556,9.5107660797100948e-09,0.00047840759968883838,4.7831581461727388e-12,6.2515792123172132e-08,2.2649790210299982e-07,1.2671037035607634e-07,1.3922604966637701e-05,0.00049027989975897613,1.3324008689238275e-08,7.7439028149644609e-10,9.9036621675721149e-09,1.5701812291496723e-10
1.2844964374062148e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30511674963861746,0.09628117140249641,0.00026734123652403011,9.273181288398364e-05,0.00023723604150341249,0.034732387445341753,0.017743103351964964,2.637337699968419e-10,1.4913610312313033e-11,4.0631052571452638e-07,4.876603328532446e-20,8.385942019541078e-07,1.6850289522050804e-16,8.9153858336248293e-12,1.9206317311748428e-11,1.7301491279667084e-13,2.8592861752939837e-10,6.3805948081113372e-14,0.0045383004365130136,0.026928559365037522,9.5025267915011465e-09,0.00047869810353190397,4.7894771509067288e-12,6.2585855536364389e-08,2.2662744116055244e-07,1.266952977242244e-07,1.393915121996666e-05,0.00049086689313300685,1.3339940168228457e-08,7.7573624235534205e-10,9.9232660014316223e-09,1.5709481563788743e-10
1.2861032613967095e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30513450763371375,0.096261503011569716,0.0002658544331377307,9.2904763361375308e-05,0.00023769301883984299,0.034771862258569694,0.017763245523898651,2.6418158850469543e-10,1.4970965596376593e-11,4.0635491707689606e-07,4.8961934173411508e-20,8.3907351732030943e-07,1.6887855324401711e-16,8.928552120016011e-12,1.9239118657297413e-11,1.7344858805641664e-13,2.8591906585024293e-10,6.4048463951498094e-14,0.0045376369154197368,0.026910571364441273,9.4942918337677138e-09,0.00047898827871628965,4.7958010259982947e-12,6.2655958207915429e-08,2.2675714997465004e-07,1.266800398630699e-07,1.39556865113162e-05,0.00049145349598548964,1.3355861099864062e-08,7.7708202162400067e-10,9.9428629019955346e-09,1.5717113411042474e-10
1.2877100853872043e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30515226511986049,0.096241850455934946,0.00026437572690412865,9.3077598971658625e-05,0.00023814977803846146,0.03481130491028827,0.017783371354213918,2.6462934747546534e-10,1.5028450720483499e-11,4.0639905162308838e-07,4.9158290874160962e-20,8.395522117348204e-07,1.6925436142129682e-16,8.9417043929936803e-12,1.9271912960984838e-11,1.7388265553344834e-13,2.8590915987333169e-10,6.4291519253097206e-14,0.0045369740265363426,0.026892583970195047,9.4860612311847399e-09,0.00047927812575692221,4.8021297782513058e-12,6.2726100218702181e-08,2.2688702851979808e-07,1.2666459753925368e-07,1.3972210840878095e-05,0.00049203970832244399,1.3371771484219214e-08,7.7842761737251353e-10,9.9624528122381973e-09,1.572470791473562e-10
1.289316909377699e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30517002201699628,0.096222213729683356,0.00026290507469596341,9.3250319117808448e-05,0.00023860631782560417,0.034850715415999815,0.017803480850754151,2.6507704653178572e-10,1.5086065729309995e-11,4.064429304075117e-07,4.9355103522742122e-20,8.4003028635524294e-07,1.6963031908321909e-16,8.9548426415760986e-12,1.9304700179198543e-11,1.7431711462772619e-13,2.8589890116081975e-10,6.4535114197464435e-14,0.004536311768523745,0.026874597263176647,9.4778350082689251e-09,0.00047956764516756393,4.808463414874902e-12,6.2796281649971065e-08,2.2701707676709978e-07,1.2664897151103598e-07,1.3988724208994246e-05,0.00049262553015145118,1.3387671321512084e-08,7.7977302771655897e-10,9.9820356753710871e-09,1.5732265154952994e-10
1.2909237333681938e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30518777824556143,0.096202592826851743,0.00026144243361106705,9.3422923205354952e-05,0.00023906263693393852,0.034890093791296636,0.017823574021408866,2.6552468529849041e-10,1.5143810667195443e-11,4.0648655448009206e-07,4.9552372253280143e-20,8.4050774233626241e-07,1.7000642556262583e-16,8.9679668549486823e-12,1.9337480268527494e-11,1.7475196473987187e-13,2.8588829126864118e-10,6.4779248995187891e-14,0.0045356501400486719,0.026856611323756135,9.4696131893022523e-09,0.00047985683746081626,4.8148019429387545e-12,6.2866502583567567e-08,2.2714729469261905e-07,1.2663316253791052e-07,1.4005226615985014e-05,0.00049321096148165048,1.3403560611938714e-08,7.8111825075583623e-10,1.0001611434857979e-08,1.5739785212575445e-10
1.292369874959639e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30520375821428841,0.096184947538355173,0.00026013287086688191,9.3578167164766856e-05,0.00023947313440869522,0.034925506870518187,0.017841643922923488,2.6592750833259233e-10,1.519589223701324e-11,4.0652559923095576e-07,4.9730304170853458e-20,8.4093692473449527e-07,1.7034504808321853e-16,8.9797666380753404e-12,1.9366976218009301e-11,1.7514366366622742e-13,2.8587844338804988e-10,6.4999432061033855e-14,0.0045350552115783994,0.026840424700592759,9.462217337510603e-09,0.00048011683126211204,4.8205108060805571e-12,6.2929735265045278e-08,2.2726463587968526e-07,1.2661877867024499e-07,1.4020069410802468e-05,0.00049373751581114874,1.3417851955939583e-08,7.8232878977744945e-10,1.0019223498250201e-08,1.5746521540225993e-10
1.2938160165510842e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30521973752013576,0.09616731505753176,0.00025882973160219785,9.3733316207476671e-05,0.00023988345119718677,0.034960893948297968,0.017859700612713879,2.663302819595733e-10,1.5248079116861374e-11,4.065644392711738e-07,4.9908605718924395e-20,8.4136560780542962e-07,1.7068379012357373e-16,8.9915550364066668e-12,1.9396466326728853e-11,1.7553567839608215e-13,2.8586831343277073e-10,6.5220052730059266e-14,0.0045344607909944224,0.026824238821754536,9.4548250898490246e-09,0.00048037656088466019,4.8262236420099043e-12,6.2993000067315045e-08,2.2738211446522139e-07,1.2660424777891883e-07,1.4034903327715196e-05,0.00049426375385410164,1.3432134757396674e-08,7.835391741820739e-10,1.0036829721221927e-08,1.5753227874012526e-10
1.2952621581425295e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30523571610613576,0.096149695379922726,0.00025753298500437747,9.3888369905405886e-05,0.00024029358638860912,0.034996255036186877,0.017877744096625691,2.6673300591046391e-10,1.5300371338365874e-11,4.0660307535690859e-07,5.0087276993115539e-20,8.4179379238481042e-07,1.710226512014062e-16,9.0033320424025098e-12,1.942595056345444e-11,1.7592800849386617e-13,2.8585790252424156e-10,6.5441111153788098e-14,0.0045338668773367459,0.026808053744787213,9.4474364636052313e-09,0.00048063602669975444,4.8319404559667978e-12,6.3056297050093791e-08,2.2749973043248043e-07,1.2658957041163602e-07,1.4049728367061711e-05,0.00049478967562036785,1.3446409016553527e-08,7.8474940260566775e-10,1.0054430063066083e-08,1.5759904272598184e-10
1.2967082997339747e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30525169391564322,0.096132088501034677,0.00025624260040558734,9.4043327832140741e-05,0.00024070353907626642,0.03503159014579306,0.01789577438053393,2.6713567991771027e-10,1.5352768932933217e-11,4.0664150824142997e-07,5.0266318088373588e-20,8.422214793064931e-07,1.7136163083571068e-16,9.0150976486300715e-12,1.9455428897084438e-11,1.7632065352444533e-13,2.8584721177986797e-10,6.5662607483117779e-14,0.0045332734696490974,0.026791869526910161,9.4400514759094999e-09,0.00048089522907794179,4.837661252898235e-12,6.3119626272640045e-08,2.2761748376691919e-07,1.265747471176395e-07,1.4064544529143396e-05,0.00049531528112080759,1.3460674733621282e-08,7.8595947366587005e-10,1.0072024483240985e-08,1.5766550795389487e-10
1.29815444132542e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30526767089233314,0.096114494416339666,0.00025495854728212251,9.4198189562929395e-05,0.00024111330835756083,0.035066899288781518,0.017913791470342607,2.6753830371516841e-10,1.5405271931750881e-11,4.0667973867512861e-07,5.0445729098971511e-20,8.4264866940244879e-07,1.7170072854675899e-16,9.0268518477634429e-12,1.9484901296646874e-11,1.7671361305312125e-13,2.8583624231304217e-10,6.588454186832096e-14,0.0045326805669789298,0.026775686225017938,9.4326701438113017e-09,0.00048115416838902611,4.8433860377380799e-12,6.3182987791006214e-08,2.2773537444289164e-07,1.2655977843821888e-07,1.4079351814391298e-05,0.00049584057036727164,1.3474931908944565e-08,7.8716938602378659e-10,1.0089612941354334e-08,1.5773167500339066e-10
1.2994559687577206e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30528204941300024,0.096098670675379222,0.00025380828777018085,9.4337482523384857e-05,0.00024148194315558189,0.035098655325699592,0.017929995575118245,2.6790062198467476e-10,1.5452614776921127e-11,4.0671397358788955e-07,5.0607515363500623e-20,8.4303271638892386e-07,1.7200601704685015e-16,9.0374208679487879e-12,1.9511421357131251e-11,1.7706754516587582e-13,2.8582613240219817e-10,6.6084657476473812e-14,0.004532147385581429,0.02676112208324485,9.4260300844274374e-09,0.00048138698915166448,4.8485417581575191e-12,6.3240040819980186e-08,2.2784159346546013e-07,1.2654618277077023e-07,1.4092670781775775e-05,0.00049631306030253344,1.3487756063815182e-08,7.8825817034216434e-10,1.0105437422841799e-08,1.5779097088885056e-10
1.3006273434467912e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3052949894324764,0.096084438163206179,0.00025277739980642883,9.4462779020265767e-05,0.00024181358629432451,0.035127217790955484,0.017944570139541947,2.6822667331235012e-10,1.5495296375275181e-11,4.0674464576858315e-07,5.075337930729882e-20,8.4337801567409574e-07,1.7228085785204738e-16,9.0469250768406757e-12,1.9535285262056088e-11,1.7738630131085211e-13,2.8581684188775736e-10,6.6265065092872433e-14,0.0045316678708467303,0.026748015063101847,9.4200565844582069e-09,0.0004815963461284577,4.8531846750470132e-12,6.3291410990202823e-08,2.2793728568435184e-07,1.2653384668782343e-07,1.4104651705287443e-05,0.00049673808223975107,1.349929188800523e-08,7.8923796455831832e-10,1.0119675275147841e-08,1.5784413144601755e-10
1.3017987181358618e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30530792880643826,0.096070214037140417,0.00025175061212079418,9.4588011653200265e-05,0.00024214510750868873,0.035155763240438495,0.017959136057908817,2.6855269122876192e-10,1.5538047184093959e-11,4.0677518644612257e-07,5.0899486117973302e-20,8.4372299046503033e-07,1.7255577527859814e-16,9.0564217888601306e-12,1.9559145218993465e-11,1.7770526302655438e-13,2.8580737047006264e-10,6.6445760382878566e-14,0.004531188685772446,0.026734908744039658,9.4140855127730417e-09,0.00048180553116200113,4.8578302174798291e-12,6.3342802453965174e-08,2.2803306798233695e-07,1.2652141618032423e-07,1.4116626805485951e-05,0.00049716289670704585,1.3510822108566149e-08,7.9021765225425976e-10,1.0133909144457658e-08,1.5789709740963901e-10
1.3029700928249324e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30532086750556209,0.096055998294710385,0.00025072790876568078,9.4713180199638319e-05,0.00024247650632682201,0.035184291680455261,0.017973693333411492,2.6887867559515092e-10,1.5580867219532684e-11,4.0680559601381366e-07,5.1045835844339689e-20,8.4406764120027653e-07,1.7283076907399617e-16,9.0659110003168222e-12,1.9583001211731007e-11,1.7802443008280526e-13,2.85797718733159e-10,6.662674342516026e-14,0.0045307098298594146,0.026721803155677275,9.4081168781670787e-09,0.000482014544447395,4.8624783881426139e-12,6.3394215242508806e-08,2.2812894035114528e-07,1.2650889153517009e-07,1.4128596082618585e-05,0.0004975875037126062,1.3522346725693399e-08,7.9119723271410396e-10,1.0148139009614205e-08,1.579498690921525e-10
1.304024330045096e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30533251173366016,0.096043211292477504,0.00024981095471694406,9.4825776914112512e-05,0.00024277466022578302,0.03520995273860824,0.017986787494363454,2.6917203272542612e-10,1.5619464453464536e-11,4.0683285284990123e-07,5.117775833110181e-20,8.4437755015620092e-07,1.7307832857696045e-16,9.0744448746328758e-12,1.9604468202448758e-11,1.7831185580951048e-13,2.8578887847836293e-10,6.6789874256214357e-14,0.0045302791405592638,0.026710008775269353,9.402747197953544e-09,0.00048220250972057926,4.8666639910957441e-12,6.3440505010516519e-08,2.2821530248642206e-07,1.2649753910285166e-07,1.4139363453536935e-05,0.00049796947264493286,1.353271409035169e-08,7.9207876285424324e-10,1.0160942447271727e-08,1.5799719775293084e-10
1.3050785672652597e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30534415537030973,0.096030431077153852,0.00024889728456721814,9.4938321377594409e-05,0.00024307271426148104,0.035235600028851906,0.017999874659535665,2.6946536246795019e-10,1.5658117785614053e-11,4.0686000408961004e-07,5.1309877654067939e-20,8.4468719730017098e-07,1.7332594955128994e-16,9.0829726679133615e-12,1.9625931957335793e-11,1.7859944750823526e-13,2.8577989306007718e-10,6.6953238287092477e-14,0.0045298487171149971,0.026698215032008796,9.3973795051979003e-09,0.00048239033617732379,4.8708517270259307e-12,6.3486812098929475e-08,2.2830173756457568e-07,1.2648611085778911e-07,1.4150126108195135e-05,0.0004983512735467849,1.354307691657509e-08,7.9296020504332772e-10,1.0173742609153332e-08,1.580443695236869e-10
1.3061328044854233e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30535579839441357,0.096017657646907922,0.00024798688681648625,9.5050813429318118e-05,0.00024337066809354974,0.035261233555832695,0.018012954831280587,2.6975866472279896e-10,1.5696827227564345e-11,4.0688705001713813e-07,5.1442193848232188e-20,8.4499658295023062e-07,1.7357363181403583e-16,9.091494377561121e-12,1.9647392464687348e-11,1.7888720501157202e-13,2.857707629005399e-10,6.7116835574592593e-14,0.0045294185591659656,0.026686421947204674,9.39201380619888e-09,0.00048257802395920013,4.8750415978772485e-12,6.3533136530334046e-08,2.2838824557946364e-07,1.2647460700762706e-07,1.416088404679816e-05,0.0004987329064249968,1.3553435204530302e-08,7.9384155876401922e-10,1.0186539479976628e-08,1.5809138463172346e-10
1.307187041705587e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30536744078496203,0.096004890999898798,0.00024707975000417089,9.5163252908981609e-05,0.0002436685213827598,0.035286853324212351,0.018026028011958482,2.7005193939043429e-10,1.5735592790837415e-11,4.0691399091589138e-07,5.157470694840252e-20,8.453057074239017e-07,1.7382137518260439e-16,9.1000100010081705e-12,1.9668849712834476e-11,1.7917512815223692e-13,2.8576148842087987e-10,6.7280666175339354e-14,0.0045289886663525403,0.026674629542077312,9.3866501072248429e-09,0.00048276557320757582,4.8792336055995415e-12,6.3579478327140168e-08,2.2847482652456575e-07,1.26463027758874e-07,1.4171637269566937e-05,0.0004991143712866768,1.3563788954402601e-08,7.9472282350432603e-10,1.0199333044502528e-08,1.5813824330268023e-10
