Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CHOX(61),CO2X(24),COX(58),H2OX(23)
8.191459188902287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999671,0.099999999999997438,0.099999999999999631,5.5927668771058227e-101,4.7505948990339709e-54,1.1615646900342914e-40,5.8711494107230206e-66,7.4657793673297588e-50,2.7806931463385529e-43,4.2392516239835829e-26,6.4352495500350786e-103,4.2392516068674266e-26,1.5782125807820277e-65,2.556776991603928e-63,1.3864768694718568e-66,2.1897774693765183e-92,2.7806951543515223e-43,1.6588327775527297e-80,2.5771744978452899e-15,7.5172404927563269e-16,1.7036197396227721e-20,1.2679978840944287e-31,1.7036197411240122e-20,7.5693355465238551e-30,1.1852178218858868e-34,5.9276702975866018e-41,6.9476296718775667e-65,4.7932204374131627e-54,9.0416664691456009e-60,6.067324712198889e-92,4.3161420134611656e-81,2.370357427071796e-45
1.639003519725627e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999338,0.099999999999994857,0.099999999999999256,2.5408865236396175e-98,7.6051969503589821e-53,5.1633874660135228e-40,4.7004894668888529e-65,5.9786785024818955e-49,1.1130019319384046e-42,8.4821863853041844e-26,2.0623624722163019e-101,8.4821863167949559e-26,1.2638500953460786e-64,4.0955773603486855e-62,1.1100245365291387e-65,7.005534185993728e-91,1.1130035395596814e-42,2.6570154222495573e-79,5.1565880699698553e-15,1.5041012037200269e-15,3.4087195991627193e-20,5.0752620165692628e-31,3.4087196051716394e-20,3.0296593947198326e-29,9.4888067853210869e-34,8.4636394665323211e-40,3.9462846684126677e-63,4.2364746560672209e-53,7.2388305784640896e-59,1.3785304161592017e-89,6.9114507701118817e-80,1.8977153449254292e-44
3.278718721396423e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998672,0.099999999999989694,0.099999999999998507,1.2198259892143327e-95,1.2171601354290858e-51,2.4774247159220438e-39,3.7618203282557171e-64,4.7853659832484429e-48,4.4534575107561773e-42,1.6968056010816086e-25,6.6044966846094525e-100,1.6968055736689938e-25,1.0115923916353255e-63,6.5566497784163713e-61,8.8835699419711688e-65,2.2414891846651091e-89,4.4534703764513112e-42,4.2535325883405293e-78,1.0315415214212722e-14,3.008855512608734e-15,6.8189193137707663e-20,2.0307386676371938e-30,6.8189193378146523e-20,1.2122204188708942e-28,7.593701319017395e-33,1.2724122870208413e-38,2.3684872203600547e-61,4.0290568231186725e-52,5.7932639835352292e-58,3.3094084950128885e-87,1.1062822756608048e-78,1.5187300226620453e-43
6.558149124738016e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999734,0.099999999999979383,0.099999999999997008,6.0395515621309609e-93,1.9476837558360054e-50,1.3202736528355032e-38,3.0100297848866541e-63,3.8292622864734478e-47,1.7816730207241284e-41,3.3939795673322673e-25,2.114229396831346e-98,3.3939794576639585e-25,8.0947897405744709e-63,1.049341718666754e-59,7.1082057721713316e-64,7.1723128378029462e-88,1.7816833149773933e-41,6.8074996858265041e-77,2.0633069502673414e-14,6.0183641303858235e-15,1.3639318725099469e-19,8.1240592010202474e-30,1.3639318821293733e-19,4.8493672397817903e-28,6.0757500435254307e-32,1.9703232390512634e-37,1.4659643161453172e-59,4.245708211697936e-51,4.6354905738224238e-57,8.1932220220153323e-85,1.7704128952907595e-77,1.2151843493084373e-42
1.3117009931421204e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994675,0.099999999999958747,0.099999999999993996,3.0395146160760351e-90,3.1163628167900285e-49,7.9144164841756664e-38,2.4082768603271511e-62,3.0637976614777042e-46,7.1272723051728706e-41,6.7883276644267024e-25,6.7668005853572335e-97,6.7883272257177659e-25,6.4766534885040396e-62,1.6791036357948368e-58,5.6871047153386258e-63,2.295067039960894e-86,7.1273546628970817e-41,1.0893479945579136e-75,4.1268378079494623e-14,1.2037381365938701e-14,2.7280117476207317e-19,3.2497139128634373e-29,2.7280117861040152e-19,1.9396617612287244e-27,4.8604779829465281e-31,3.0998075330667731e-36,9.2225755892218873e-58,5.0317277720018724e-50,3.7087432764564136e-56,2.0617618924526918e-82,2.8329757742432793e-76,9.7219111796893883e-42
2.6234731544787576e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989346,0.099999999999917474,0.099999999999987974,1.5424986162908839e-87,4.9858732638062694e-48,5.2715561162033654e-37,1.9270218235254655e-61,2.4511932475703132e-45,2.8510250891572377e-40,1.3577024516988024e-24,2.1655798196990943e-95,1.3577022762080882e-24,5.1816536539651339e-61,2.686482234577448e-57,4.5499000028229618e-62,7.3440938284023775e-85,2.8510909718706479e-40,1.7430759402839427e-74,8.2538995232736376e-14,2.4075415837039243e-14,5.4561714692224746e-19,1.2997990778511455e-28,5.4561716231814463e-19,7.7570193129995488e-27,3.8876335385169533e-30,4.916668916975813e-35,5.8504971851391954e-56,6.6405516856571274e-49,2.9671333956276313e-55,5.2316205726438143e-80,4.5336756431184054e-75,7.777119555583962e-41
5.247017477152032e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559978682,0.099999999999834929,0.099999999999975941,7.8597740628565615e-85,7.9759924762143291e-47,3.7920472440771799e-36,1.5455885654789993e-60,1.9610166089030864e-44,1.1404333642954055e-39,2.7154420855600436e-24,6.9301874492179766e-94,2.715441383582913e-24,4.145458736000632e-60,4.2976358024154641e-56,3.6400067847473822e-61,2.3500884880622927e-83,1.1404860611698836e-39,2.789019082095629e-73,1.6508022953761711e-13,4.8151484779219491e-14,1.0912490797946657e-18,5.1981873462119811e-28,1.0912491413951559e-18,3.1013171545128751e-26,3.1086881216469426e-29,7.8295333047882481e-34,3.7264309328606048e-54,9.4937935837646399e-48,2.3737597317664429e-54,1.3328921165876956e-77,7.2714900079462493e-74,6.2205978706254089e-40
1.049410612249858e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559957361,0.099999999999669839,0.099999999999951864,4.0117640085721441e-82,1.2756757988261527e-45,2.8616670141134605e-35,1.2866952436501828e-59,1.568838030396087e-43,4.561780873274388e-39,5.4309224066783853e-24,2.2177170754505649e-92,5.4309195987413685e-24,3.31642685642835e-59,6.8734896208654649e-55,2.9120406019925353e-60,7.5202388691484444e-82,4.5622022846126364e-39,4.4625158110722503e-72,3.3016269814096764e-13,9.630362266349664e-14,2.182512899747784e-18,2.0784048198850517e-27,2.1825131462772658e-18,1.2392982506196934e-25,2.4845951728928321e-28,1.2488864907950298e-32,2.3775560201725549e-52,1.4276096846355287e-46,1.899024998199782e-53,3.4016668161834741e-75,1.2079257762366303e-72,4.9745457642656567e-39
2.098828341319168e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559914711,0.099999999999339673,0.099999999999903708,2.0480176589018307e-79,2.0395104837858231e-44,2.2175353160916618e-34,1.6701729233891295e-58,1.2550802233918114e-42,1.8247224393013213e-38,1.0861887262498162e-23,7.0968113725052431e-91,1.0861876030693505e-23,2.6531742990663704e-58,1.098856573828815e-53,2.3296472885441278e-59,2.4064742496721868e-80,1.8250593008266774e-38,7.1401166140578398e-71,6.6032763532202489e-13,1.9260789843171761e-13,4.3650403564871637e-18,8.3065399175124016e-27,4.3650413436075198e-18,4.9473160913995818e-25,1.9838825015502459e-27,1.9923789991925266e-31,1.517189826662656e-50,2.2081631638065389e-45,1.5192204940077536e-52,8.6828088504398293e-73,3.067874374454763e-71,3.9764773566114071e-38
4.197663799457788e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559829419,0.09999999999867934,0.09999999999980741,1.044176352710318e-76,3.2581801558643106e-43,1.7405247077486957e-33,9.5034086713764501e-57,1.0040679410621933e-41,7.2989147910826279e-38,2.1723833828467258e-23,2.2710145615472688e-89,2.1723788901138677e-23,2.1225667515923253e-57,1.7552677524570307e-52,1.8637249331211319e-58,7.7010304773179889e-79,7.3016053885320403e-38,1.14243335302609e-69,1.3206575095815633e-12,3.8521644996682601e-13,8.7300945372986207e-18,3.3169407294941361e-26,8.7300984937262919e-18,1.9710539028082806e-24,1.5810548673662997e-26,3.174331288617167e-30,9.6691837676147057e-49,3.4630497308737166e-44,1.2153663700427627e-51,2.2134479047948144e-70,3.3845004825122097e-69,3.1761105202199766e-37
