Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),CO2X(34),HO2X(136),C2H6X(39)
1.0818517514562705e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999687,0.09999999999999723,0.099999999999999839,2.2515787447252993e-106,7.0267364797173072e-66,1.2359728110642793e-51,7.9245358093220938e-88,4.5151063671167139e-47,9.1825766212968572e-101,8.2565952374262985e-37,0.0,6.3024409831082375e-44,1.1478428075632854e-99,1.2555886070218981e-69,4.2491952854261031e-85,3.6131515430657679e-96,5.0777085710722113e-61,8.8983653169136834e-138,2.7791032126529972e-15,3.4555354134793537e-16,2.8679389363454973e-20,2.8679389371223013e-20,3.8840213232637442e-30,8.9032222727583041e-37,4.3995737903029104e-36,5.171657979025861e-65,7.9183328335581099e-67,4.6853574443117454e-74,8.3733510329486244e-102,9.5186449815423138e-80,1.8942942078005238e-120,6.2866592132446533e-69,4.8917181564996792e-61
2.1646434262413477e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999374,0.099999999999994454,0.099999999999999672,5.7738163655922793e-104,1.1255862208759087e-64,9.8978066715636494e-51,1.0156228885794335e-85,3.6157470051717846e-46,1.1773473498157841e-98,3.3047898254046764e-36,0.0,2.5226188570579248e-43,7.3612851159653584e-98,2.0112796875628457e-68,2.7228958272754238e-83,4.6326152690246994e-94,4.0652543204229052e-60,1.1412368838401877e-135,5.56062093693123e-15,6.9140730297504545e-16,5.7383695651681488e-20,5.7383695682773881e-20,1.5546203778560348e-29,7.1279898324003185e-36,1.7609760778499647e-35,8.2836406017915354e-64,2.5369941118074096e-65,3.0023897179229507e-72,2.1462983898121016e-99,3.0496292527515874e-78,9.7152659729055593e-118,1.0070360553559974e-67,7.8352503745862483e-60
4.330226775811502e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998749,0.099999999999988889,0.099999999999999326,1.4793488892846178e-101,1.8019853467033206e-63,7.9222569730714525e-50,1.3008180848083515e-83,2.8940630834856268e-45,1.5082709450016099e-96,1.3223463986638536e-35,0.0,1.0093761293799843e-42,4.7160571193739706e-96,3.2199190578775545e-67,1.7437449273658902e-81,5.9347303653344582e-92,3.2534389691138581e-59,1.4622222273305794e-133,1.1123656384621963e-14,1.3831148262292181e-15,1.1479230820479309e-19,1.1479230832920325e-19,6.2205036443642269e-29,5.704555764856271e-35,7.0461980866354663e-35,1.3261019333930396e-62,8.1233857105828702e-64,1.9227330653490513e-70,5.498006660722909e-97,9.7646782974439127e-77,4.9784374409992986e-115,1.6121947670391195e-66,1.2543205531754652e-58
8.66139347495181e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997497,0.099999999999977759,0.099999999999998632,3.7887333897048222e-99,2.8840147435062765e-62,6.3394106295297238e-49,1.6655713194139706e-81,2.3158367999468465e-44,1.9313961268223565e-94,5.290246652460845e-35,0.0,4.0381617856576416e-42,3.0198245173148395e-94,5.153368225193277e-66,1.1163452986558318e-79,7.5996393888276089e-90,2.6032454848165021e-58,1.8725659018234231e-131,2.2249727276540499e-14,2.7665298727373742e-15,2.2960953321765067e-19,2.296095337153726e-19,2.4886042291473375e-28,4.564507424316005e-34,2.8189380536565781e-34,2.1223388079678886e-61,2.6002823398243937e-62,1.2309334836688241e-68,1.4079345476475734e-94,3.1256357339927193e-75,2.5500391385742211e-112,2.5802615344315656e-65,2.0074574331614698e-57
1.7323726873232426e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994997,0.099999999999955513,0.099999999999997244,9.7011907249846609e-97,4.6150942491652212e-61,5.0721706101355003e-48,2.1322634027686257e-79,1.8529039990438414e-43,2.4727011437752171e-92,2.116270883334622e-34,0.0,1.61539617837716e-41,1.9331831753062819e-92,8.246587529159128e-65,7.1457139607621433e-78,9.7295613063767181e-88,2.0827941308601262e-57,2.3974742473344443e-129,4.4501869046525859e-14,5.5333599657529319e-15,4.5924398286990347e-19,4.5924398486095537e-19,9.9552088140825838e-28,3.6519464097392176e-33,1.1276669906806124e-33,3.3962027326663825e-60,8.3221684745300533e-61,7.879191670902601e-67,3.6048761795582652e-92,1.0003536493429808e-73,1.3058942824045717e-109,4.1290184751320129e-64,3.212367588295405e-56
3.464839366979366e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989992,0.099999999999911007,0.099999999999994482,2.4837571321970441e-94,7.3846873660623787e-60,4.0579933587013209e-47,2.7295009730605381e-77,1.4824170240960541e-42,3.1653763003207487e-90,8.4654279785006599e-34,0.0,6.4618476600966906e-41,1.2373958049018567e-90,1.3195498777084671e-63,4.573595534949969e-76,1.2455093004156434e-85,1.666314403032292e-56,3.0691446856506887e-127,8.9006152531089714e-14,1.106702015178102e-14,9.1851288068055949e-19,9.1851288864510545e-19,3.9822309485632976e-27,2.9216858165980863e-32,4.5108514987517185e-33,5.4342929190127847e-59,2.6632876831844441e-59,5.0430560253210273e-65,9.2291751225702417e-90,3.201372038912658e-72,6.686859408087709e-107,6.6069096028726138e-63,5.1401367053734046e-55
6.929772726291613e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979984,0.099999999999821995,0.099999999999988945,6.3587003566747878e-92,1.181592904380218e-58,3.2464974580305599e-46,3.493869279822312e-75,1.1859711431653586e-41,4.0518595400573335e-88,3.3862400722167849e-33,0.0,2.5847916614909783e-40,7.9198405596205046e-89,2.1113564920963151e-62,2.9271906459767481e-74,1.5943218866499368e-83,1.3330831576751188e-55,3.9287472897281753e-125,1.7801471927858998e-13,2.2134340523825099e-14,1.8370506703264724e-18,1.8370507021854213e-18,1.5929130948231584e-26,2.3373881196771386e-31,1.8043773002065151e-32,8.6951635457347971e-58,8.5227753051121196e-58,3.227654546983724e-63,2.3627422944851318e-87,1.0244775098419989e-70,3.4238242934007508e-104,1.0571439373864438e-61,8.2244975356881228e-54
1.3859639444916106e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039959969,0.099999999999643971,0.099999999999977884,1.6278424730926109e-89,1.8905829840742545e-57,2.5972391069949324e-45,4.4721644398244832e-73,9.4879191279464818e-41,5.1864270025718991e-86,1.3545097976187679e-32,0.0,1.0339271899394172e-39,5.0688602572830477e-87,3.378231694621207e-61,1.8734065231076844e-72,2.0407504036006953e-81,1.0664791725154525e-54,5.028953503709679e-123,3.5603185188708075e-13,4.4268981267864881e-14,3.6741262257167053e-18,3.6741263531547309e-18,6.3716236542254479e-26,1.8699070660743143e-30,7.21758254566285e-32,1.3912497665372336e-56,2.7272934433437962e-56,2.0657038826492568e-61,6.0486368427006863e-85,3.2783895514866206e-69,1.7530145051089002e-101,1.6914610082012567e-60,1.3159418933563346e-52
2.7719372882165092e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039919937,0.099999999999287936,0.099999999999955749,4.1671890174927783e-87,3.024960230741077e-56,2.0778077923769646e-44,5.7242311192620136e-71,7.5903951115106158e-40,6.638484862473254e-84,5.4180666676306599e-32,0.0,4.1357298566111191e-39,3.2441224024007448e-85,5.4052196162720257e-60,1.1989507301391921e-70,2.6121047011169806e-79,8.5318838396695018e-54,6.4371715372473557e-121,7.1206611355802337e-13,8.8538262755750903e-14,7.3482772408907985e-18,7.3482777506529605e-18,2.5485875942727591e-25,1.4958935360408665e-29,2.8870476415151436e-31,2.226018534084574e-55,8.7271209565604259e-55,1.3220180178715932e-59,1.5484134916233857e-82,1.0490944913468009e-67,8.9752458561836633e-99,2.7063621385198665e-59,2.1055248042277582e-51
5.543883975666307e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039839876,0.099999999998575867,0.099999999999911479,1.0667343071813327e-84,4.8399582904079657e-55,1.6622529173309277e-43,7.3265506336906683e-69,6.0723397179948117e-39,8.496730558404719e-82,2.1672321141507168e-31,0.0,1.6542961988870596e-38,2.0762547991669204e-83,8.6483900575369001e-59,7.6727951239727141e-69,3.3432852955464819e-77,6.8255270535519752e-53,8.239705366588523e-119,1.4241346227157536e-12,1.7707682573074882e-13,1.4696578888813524e-17,1.4696580927927114e-17,1.0193777705658886e-24,1.1966527946630391e-28,1.1548219446364418e-30,3.5616448705790418e-54,2.7924987960934201e-53,8.4603755152582486e-58,3.9636874423061244e-80,3.3571180542079884e-66,4.5950415679505433e-96,4.3301989090584023e-58,3.3688537293757234e-50
1.1087777350565901e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039679752,0.099999999997151715,0.099999999999822939,2.730474444707087e-82,7.743950803014393e-54,1.3298051363741462e-42,9.3767246954510817e-67,4.8578807539820813e-38,1.0874351796986076e-79,8.6689389640526316e-31,0.0,6.6171936029998397e-38,1.7557879152958294e-81,1.3837453327841454e-57,4.9099263051298853e-67,4.2788286021596142e-75,5.4604293122705628e-52,3.6092243967614814e-117,2.8482715842945944e-12,3.5415395167764796e-13,2.9393180654957272e-17,2.9393188811900098e-17,4.0770374675068091e-24,9.5721873673832743e-28,4.6192932616040785e-30,5.6986442534979508e-53,8.9347803449869809e-52,5.4139097450128878e-56,1.0145679061464623e-77,1.0742802709541302e-64,2.3523468029949673e-93,6.9283334188786086e-57,5.3901766336330459e-49
2.217556410036509e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039359502,0.09999999999430341,0.099999999999645858,6.9881097682375414e-80,1.2390334994578464e-52,1.0638454367983883e-41,1.1998938384355707e-64,3.8863074399094566e-37,1.3915356298031916e-77,3.4675773777047702e-30,0.0,2.6468794387472123e-37,1.1279754986419122e-79,2.2139943850712443e-56,3.141493489225788e-65,5.4753983649474301e-73,4.3683460002937431e-51,4.5535360256342998e-115,5.6965452805058181e-12,7.083082035590595e-13,5.8786378068439217e-17,5.8786410700054625e-17,1.6304331097838459e-23,7.6560773997304204e-27,1.8477181668470946e-29,9.1178416954052415e-52,2.8583415295829376e-50,3.4639546823852009e-54,2.596587699706374e-75,3.437700672098914e-63,1.2040736559901729e-90,1.1085344239872501e-55,8.6242893311848763e-48
4.435113759996347e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038719006,0.0999999999886068,0.099999999999291697,1.7879770538410333e-77,1.9824546084022879e-51,8.5107721149186275e-41,1.5350249106415003e-62,3.1090458784355991e-36,1.7801854939764224e-75,1.3870310619729009e-29,0.0,1.0587523639977918e-36,7.2194707149453866e-78,3.5423909156310559e-55,2.0094529181446454e-63,7.0046494971657037e-71,3.4946769927535987e-50,5.8437339490994956e-113,1.1393091765142575e-11,1.4166167072723365e-12,1.1757274842019109e-16,1.175728789772607e-16,6.5186732109580533e-23,6.1221808182491745e-26,7.3908725165506488e-29,1.4588558377072451e-50,9.1416354145420586e-49,2.2157148720475062e-52,6.6436391479144872e-73,1.1000647129630922e-61,6.1614862765406603e-88,1.7736555041582063e-54,1.3798862492781575e-46
8.870228459916022e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037438011,0.099999999977213594,0.099999999998583389,4.5722095752065881e-75,3.1719279043764137e-50,6.8086264441054075e-40,1.9626845843068588e-60,2.4872347402627609e-35,2.2761289132051212e-73,5.5481224894682592e-29,0.0,4.2350121472129186e-36,4.6204605028059794e-76,5.6678203177380803e-54,1.2846388489536051e-61,8.9560709515421501e-69,2.7957403469413725e-49,7.5613953664335928e-111,2.2786181103274484e-11,2.8332337145007045e-12,2.3514539122292829e-16,2.3514591369549985e-16,2.6050238719308132e-22,4.8934576188115493e-25,2.9563474762621246e-28,2.3341712210458376e-49,2.9220882599981868e-47,1.416501664145212e-50,1.6989163378163841e-70,3.5202071727956829e-60,3.1512299320818207e-85,2.8378477527388809e-53,2.2078161043534595e-45
1.3305343159835697e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036157017,0.099999999965820388,0.09999999999787508,3.4609169881069208e-74,1.2092974418738563e-49,2.0213123107728719e-39,1.2873744201332832e-59,7.3839743045908252e-35,1.5059560233115316e-72,1.1789756963375997e-28,0.0,8.999404200793487e-36,2.3239918728378664e-75,2.1608556260926454e-53,7.1979273490013881e-61,5.9256116049253427e-68,7.9940675360692451e-49,1.0116486731946489e-109,3.4179266810265959e-11,4.249850721530887e-12,3.5271793612498021e-16,3.5271904673762206e-16,5.5320875657026189e-22,1.3985194651344595e-24,6.2822357441955712e-28,8.8306467894122386e-49,1.3664330015242127e-46,7.9367645437676076e-50,1.2798960243044216e-69,1.6521595644225478e-59,2.6957707654995365e-84,1.0819292054046821e-52,8.3526128275510294e-45
1.774045785975537e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034876022,0.099999999954427182,0.099999999997166772,1.742120573552683e-73,3.2537041786144006e-49,4.4043360707577488e-39,5.2690175819666001e-59,1.6089281942739361e-34,6.7976142109946749e-72,2.0111932751019419e-28,0.0,1.535192985429222e-35,1.0116442038665139e-74,5.8139379081602131e-53,2.6266539839268263e-60,2.6747226496128763e-67,1.6861798553798468e-48,4.9742841982963482e-109,4.5572348886118145e-11,5.6664677283628847e-12,4.7029038312642865e-16,4.7029227826325998e-16,9.4314596422342054e-22,2.9485374262786217e-24,1.0716750744133468e-27,2.2986131185839719e-48,4.4063436783306912e-46,2.8962690503319005e-49,5.8229663048795817e-69,5.1502790483088646e-59,1.4679228914774049e-83,2.9110095375077292e-52,2.1741792799106348e-44
2.6610687259594725e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575032314035,0.099999999931640798,0.099999999995750155,2.3869955703691062e-72,1.3160165460482137e-48,1.2784446043293716e-38,4.0203722626132613e-58,4.6702163590402605e-34,7.8529757331197214e-71,4.1639182034735308e-28,0.0,3.1784237620389403e-35,9.7586233150190692e-74,2.3515431749500624e-52,1.7094651272512004e-59,3.0900174605181932e-66,4.6054777401293102e-48,1.8185947093674432e-108,6.8358504515764508e-11,8.4997017415617533e-12,7.0543504736285642e-16,7.054389729436085e-16,1.9507202896195759e-21,8.0472571665931224e-24,2.2187655745537742e-27,8.4355920823465473e-48,2.4233024642076796e-45,1.8849345860468365e-48,5.1689775288440968e-68,2.5375998269510472e-58,2.2018264725138592e-82,1.177406836946683e-51,7.9789226969275442e-44
3.5480916659434074e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029752049,0.099999999908854428,0.099999999994333538,1.1725617628484937e-71,3.5647274506779126e-48,2.7958172927575743e-38,1.6544710102923275e-57,1.0213225502630274e-33,3.5318905285505845e-70,7.0817309375085785e-28,0.0,5.4056690128178526e-35,3.9874485281549953e-73,6.3696773788121052e-52,6.2817579799086957e-59,1.389742588198912e-65,9.6361954132280047e-48,1.1329807315572344e-107,9.1144646792426246e-11,1.133293575403182e-11,9.4057935158452525e-16,9.40586031105918e-16,3.3145227793077345e-21,1.6826218783551857e-23,3.7735365755514206e-27,2.1874135018203915e-47,7.7725452602106459e-45,6.9265542114471841e-48,2.3468992670232914e-67,7.96232543394108e-58,1.2199340607116014e-81,3.1892699613736215e-51,2.0689925565627789e-43
4.435114605927342e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027190067,0.099999999886068044,0.099999999992916921,4.6665501922529943e-71,8.008050897926579e-48,5.2453397218700131e-38,5.4259031902556791e-57,1.9161379802475321e-33,1.2574799916897541e-69,1.0819279448037564e-27,0.0,8.258644950860989e-35,1.2989312137486742e-72,1.4309267502217323e-51,1.8490696634807271e-58,4.9479853802106973e-65,1.7542317027205713e-47,4.7321611476182995e-107,1.1393077476232652e-10,1.4166169765721035e-11,1.1757232700766405e-15,1.1757334797748666e-15,5.0589355324826063e-21,3.0610521559624519e-23,5.7651072367996325e-27,4.7827316932225038e-47,2.0296866666355777e-44,2.0388689447363859e-47,8.4747253221955608e-67,2.0468936766832325e-57,5.2488390138504934e-81,7.1645927893441066e-51,4.5238000796912755e-43
