Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
2.6614571616992084e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,2.5534313074301448e-93,2.987715072484205e-53,7.1406464370266956e-35,3.9401458426026268e-60,8.1407452760723194e-50,6.5450284639154873e-40,5.628952989766971e-23,2.0537639762496615e-92,5.6289529893904719e-23,1.4843729639668656e-58,4.8132556163116629e-63,1.1090413206028634e-60,1.6586230609756841e-86,6.5450285537376639e-40,2.6296828995049446e-72,1.0732879325194077e-14,5.1604637580904414e-16,1.9891214652738241e-19,1.9891216451453858e-19,8.9863249034449899e-27,5.0289680343433341e-30,7.6621050391946719e-35,5.8445534211909649e-31,1.724722702749665e-58,9.7301173517773439e-48,1.5503904758447527e-84,1.3589364770789754e-55,1.4835721039723926e-74
5.3234920219357946e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,7.0539367278799352e-91,2.3906281464643146e-52,5.663323508476472e-34,3.1527153213597504e-59,6.5142449814424717e-49,2.6184375723778916e-39,1.1259127806431999e-22,6.5745017883443797e-91,1.1259127804925763e-22,1.1877991044281563e-57,7.7027325936186798e-62,8.8740155868873726e-60,2.6739883587769898e-85,2.6184376442428472e-39,4.2086342893391329e-71,2.1468088339817858e-14,1.0322047651573888e-15,3.978674511375467e-19,3.9786752311798078e-19,3.5931050217847251e-26,4.0218334923890072e-29,6.6393476705780542e-34,2.3379776944545772e-30,5.9716619218946762e-57,1.5425552283703784e-46,2.1417798537242568e-82,1.0873554855916022e-54,2.3741983666987634e-73
1.0647561742408968e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.0674975479459568e-88,1.9126875516100667e-51,4.5074645273722008e-33,2.5224117501529616e-58,5.2120549101483567e-48,1.0474602724755443e-38,2.2519477442060705e-22,2.1042337871263029e-89,2.2519477436035272e-22,9.5035959171580126e-57,1.2323874792688772e-60,7.0998865509899423e-59,4.3417076726186344e-84,1.0474603299626758e-38,6.7347283144124689e-70,4.2938506368985601e-14,2.0645215438539137e-15,7.957780063955591e-19,7.9577829450126487e-19,1.4357532915518719e-25,3.214409057363214e-28,6.1244243318710714e-33,9.3508782557674194e-30,2.1995378221138946e-55,2.4548238641739784e-45,3.1394165813169245e-80,8.6996671958745506e-54,3.7991038223816462e-72
2.1295701183355312e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,6.6087366211645407e-86,1.5302281837056455e-50,3.5910932087982065e-32,2.018025271329291e-57,4.1699064585629221e-47,4.1900115837544211e-38,4.5040176722512727e-22,6.7341773333660637e-88,4.5040176698410042e-22,7.6033579987373004e-56,1.9712312368487721e-59,5.6801788888201964e-58,7.1483471597627359e-83,4.1900120435087132e-38,1.077629612031399e-68,8.5879342427001839e-14,4.1291551012463043e-15,1.5915989010623787e-18,1.5916000548124378e-18,5.7304409119772313e-25,2.566284144479466e-27,6.1958035963467227e-32,3.7390692947286209e-29,8.8791074401148377e-54,3.9112041226587044e-44,5.0189847119802773e-78,6.9600599103187059e-53,6.0788753994065953e-71
4.2591980065248e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,2.3428388486344773e-83,1.2242203957741652e-49,2.8580262733012034e-31,1.6144591963683468e-56,3.3360284931892977e-46,1.6760387334656994e-37,9.0081575320195214e-22,2.1550374286781866e-86,9.0081575223782502e-22,6.0828789155772136e-55,3.151744513446401e-58,4.5442509748033349e-57,1.2081701636839605e-81,1.6760391010147852e-37,1.7242658480037411e-67,1.7176101454175723e-13,8.2584222160284524e-15,3.1832398269996587e-18,3.1832444522732053e-18,2.2820417458727776e-24,2.0445432188170923e-26,7.01794805098597e-31,1.4945119870250964e-28,4.0120874243576893e-52,6.2259614608848968e-43,8.8990539603880738e-76,5.5681732916678389e-52,9.7264513946819159e-70
8.518453782903338e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,9.1138297184282349e-81,9.794019747069562e-49,2.2664452315205307e-30,1.2915893870279424e-55,2.6688614232383824e-45,6.7042231390892179e-37,1.8016437266267385e-21,6.8962808819569168e-85,1.8016437227701913e-21,4.8663801478044131e-54,5.035410308170121e-57,3.6354439285665314e-56,2.1392033661662189e-80,6.7042260753162285e-37,2.7588721367741815e-66,3.4352435876615981e-13,1.651695644558223e-14,6.3665182252925313e-18,6.3665368070080981e-18,9.0478141897990444e-24,1.6221643652321517e-25,8.8728739854804508e-30,5.9689590347585412e-28,2.0242365240746358e-50,9.8767781618456588e-42,1.731335700639175e-73,4.4545806169365815e-51,1.5562595103129213e-68
1.7036965335660413e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,3.7332835691868372e-78,7.8354858559155863e-48,1.7833239510600609e-29,1.0333516114127761e-54,2.1351002662191523e-44,2.6817029004948865e-36,3.603299679360848e-21,2.2068356695976163e-83,3.6032996639345938e-21,3.8931349366678474e-53,8.0329179764703457e-56,2.9083724066962698e-55,4.0824456775588652e-79,2.6817052427972703e-36,4.4142328563709646e-65,6.8705104719453232e-13,3.3034024904647675e-14,1.2733061207581507e-17,1.2733136162686495e-17,3.5563514420338372e-23,1.2766633885888081e-24,1.2188934250550212e-28,2.3803072265664364e-27,1.1104996990055683e-48,1.5550751480643658e-40,3.5464814979864316e-71,3.5636682272895516e-50,2.4901985749416416e-67
3.4073988441174565e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,1.515193458090193e-75,6.2687618375869994e-47,1.381640828697665e-28,8.2753644440213087e-54,1.7080777457357228e-43,1.0726838921784256e-35,7.2066116083671531e-21,7.0619154629251136e-82,7.206611546662079e-21,3.1145202960345611e-52,1.2777166969827146e-54,2.3267048376985104e-54,8.646636721777321e-78,1.0726857554049224e-35,7.0628025626713333e-64,1.3741044239695463e-12,6.6068161822610217e-14,2.5466091915212057e-17,2.5466396522966004e-17,1.3746793699117854e-22,9.8915188040701612e-24,1.7523315898964691e-27,9.4634405034222336e-27,6.3806399313305009e-47,2.4120730864068223e-39,7.196725604466814e-69,2.8509151799550236e-49,3.9881989469880771e-66
6.814803465220287e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,5.6915012139093956e-73,5.0155743162199133e-46,1.039693847517026e-27,6.7191395173335101e-53,1.3664501405307164e-42,4.2907410567009811e-35,1.4413235560531163e-20,2.2598195978834119e-80,1.4413235313711781e-20,2.4916212063705536e-51,2.0205724255066681e-53,1.8613666459498665e-53,2.068726904287795e-76,4.2907557953664474e-35,1.1300508229728351e-62,2.7482111771926485e-12,1.3213643565786213e-13,5.0931932304602383e-17,5.0933185628450597e-17,5.1499024375536003e-22,7.4427035708999426e-23,2.537917027594387e-26,3.7399090440535767e-26,3.6959119773196313e-45,3.6373682933787473e-38,1.3513795760908266e-66,2.2806909516843661e-48,6.4708307700711325e-65
1.3629612707425947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.8569676902248055e-70,4.0133238564366133e-45,7.4311685932449857e-27,6.4845150857749987e-52,1.0931375797817041e-41,1.7162975394942726e-34,2.8826483841456387e-20,7.2314335991798033e-79,2.8826482854190229e-20,1.9932990022798377e-50,3.1592946805706196e-52,1.4890944444365749e-52,5.6942659680930197e-75,1.7163090714960166e-34,1.8080832904480615e-61,5.4964246823311568e-12,2.642729833256755e-13,1.0186272899525028e-16,1.0186797685239528e-16,1.8255857164928251e-21,5.3180649885843287e-22,3.5653137585024029e-25,1.4607857265677172e-25,2.0779200395996913e-43,5.2185207353065706e-37,2.2036847174328753e-64,1.8244827975230843e-47,1.2367036600692708e-63
