Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61)
5.090354653590522e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979321,0.099999999999839856,0.099999999999976649,3.0439645306117775e-82,5.6937206711976593e-52,6.4352133092176714e-32,1.4111275430300572e-60,2.3206908951971551e-47,1.0733488191281432e-39,2.6343651163922445e-24,5.955546366043769e-94,2.6343650928593317e-24,3.7851075923429229e-60,6.6228946880561256e-59,3.3235995894225982e-61,2.7142855038175999e-86,1.0733511449337345e-39,2.4705444927325435e-73,1.6015134660831286e-13,4.671380182942349e-14,1.0586663290655877e-18,4.8530186110073242e-28,1.0586679731443015e-18,7.9020861719540604e-25,2.1381515040694875e-26,5.8494252769878602e-31,2.6252397286295539e-51,1.5518509814495818e-43,5.3167762964702869e-75,2.1674211276511858e-54
1.0180778350471205e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559958632,0.099999999999679706,0.099999999999953293,1.0276725092942571e-79,4.563029522415422e-51,5.0243717370063333e-31,1.1698674390765346e-59,1.8565794393793292e-46,4.2934389849197238e-39,5.2687660117122091e-24,1.9058194037754964e-92,5.2687659175796574e-24,3.0281340485694114e-59,1.0510508674093603e-57,2.6589112468934935e-60,8.536138690382151e-85,4.2934574454123991e-39,3.9529382801388405e-72,3.2030486542970196e-13,9.3428237263823708e-14,2.117345395180274e-18,1.9248910284277319e-27,2.1173520529945181e-18,3.0794498876020589e-24,1.6693523543795257e-25,8.6378250047018777e-30,1.5496762773962907e-49,2.4251617401693087e-42,8.9730277712901317e-73,1.7339524283499375e-53
2.036162574423257e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559917259,0.099999999999359393,0.09999999999990658,3.1083497298731451e-77,3.662935482507671e-50,3.8346088995440449e-30,1.4222614756081456e-58,1.4852710545807594e-45,1.7173843556275856e-38,1.0537567945090933e-23,6.0986936324680676e-91,1.0537567568559347e-23,2.4225264981080896e-58,1.6547068905658348e-56,2.1271416512429312e-59,2.7184999706823777e-83,1.7173988954887192e-38,6.3247550970244227e-71,6.4061190304834465e-13,1.8685710813231059e-13,4.2346986607092583e-18,7.5719487591474759e-27,4.2347258986266789e-18,1.1711503682808702e-23,1.2739921564915398e-24,1.2819702701011916e-28,9.1988362101256911e-48,3.70741610014166e-41,1.3565450255824605e-70,1.3871620905157998e-52
4.07233205317553e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559834509,0.09999999999871878,0.099999999999813155,8.3407820451549219e-75,2.9494064845867818e-49,2.8082396285530522e-29,6.7602092575418803e-57,1.1882147468658006e-44,6.869555105383069e-38,2.1075172382801006e-23,1.9515935579248295e-89,2.1075170876675257e-23,1.9380290129814717e-57,2.5650118975136314e-55,1.7017184201050177e-58,8.928761370063739e-82,6.8696679264724771e-38,1.0119651794186266e-69,1.2812259781890883e-12,3.7371484986803046e-13,8.4693857250551391e-18,2.9312725143491087e-26,8.4694989134342962e-18,4.261158462077743e-23,9.329052542750507e-24,1.8546344225339407e-27,5.3254888109560932e-46,5.4457151103189612e-40,1.8192728531238965e-68,1.1097200314126924e-51
8.144671010680076e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559669013,0.099999999997437541,0.099999999999626291,1.9786172961304744e-72,2.3873094427793771e-48,1.9195378177840131e-28,6.6550410020511301e-55,9.5056280200971375e-44,2.7478257063421764e-37,4.2150383542011579e-23,6.2451188918496495e-88,4.2150377517531291e-23,1.5504265134108716e-56,3.8621312026452313e-54,1.3613768358952423e-57,3.4334642500625913e-80,2.7479108290967306e-37,1.6191479573001331e-68,2.5624541280844085e-12,7.4743033333445967e-13,1.6938681987615411e-17,1.1011617687624996e-25,1.6939161220980831e-17,1.4398884213146528e-22,6.3755013574316442e-23,2.5284131537590213e-26,2.907138156209608e-44,7.482443511065564e-39,2.156799404082146e-66,8.8775664911379764e-51
1.6289348925689168e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559338023,0.099999999994875063,0.099999999999252576,4.1143078244539657e-70,1.9471942172294082e-47,1.1863601942522119e-27,6.5716126263467481e-53,7.6043359293665916e-43,1.0991311174616443e-36,8.4300814995419225e-23,1.9984417767106683e-86,8.430079089775219e-23,1.2403428154892125e-55,5.5228679033460451e-53,1.0891024049013312e-56,2.2387715191565974e-78,1.0991922277414636e-36,2.5906402409979799e-67,5.1249104263303795e-12,1.4948613002473037e-12,3.3876963053938436e-17,3.9218857908980706e-25,3.3879019300699465e-17,4.3687752538696015e-22,3.9387708249116483e-22,3.1374759461601527e-25,1.4455708743204678e-42,9.3240745052283758e-38,2.2410716959806981e-64,7.1017273945934868e-50
3.257870475570735e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558676041,0.099999999989750121,0.099999999998505146,7.4584108273725282e-68,1.6015280841122046e-46,6.4949654975952355e-27,5.8225416579642286e-51,6.0831933523099877e-42,4.39652695636187e-36,1.6860171444087233e-22,6.3950235612109896e-85,1.6860161805226662e-22,9.9227534795641489e-55,7.26976355173578e-52,8.7128245240582685e-56,2.6933681322996573e-76,4.396932000354742e-36,4.1450290269983531e-66,1.0249823016643648e-11,2.989723233993092e-12,6.7752279397226896e-17,1.2822434717668924e-24,6.7761088052109811e-17,1.1661281034045601e-21,2.1546123985903352e-21,3.4641205951082302e-24,6.4000910047023722e-41,1.0322425913315871e-36,2.0298621217492332e-62,5.6808543883831768e-49
6.515741641574372e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557352072,0.099999999979500223,0.099999999997010286,1.1933394296551542e-65,1.3230534642869242e-45,3.1688614173745173e-26,4.607409005465966e-49,4.866110486694884e-41,1.7586119331348572e-35,3.3720365947545571e-22,2.0464116191214425e-83,3.3720327393767499e-22,7.9382144238928423e-54,8.5397980020275309e-51,6.9702641971781763e-55,3.9103418188085901e-74,1.7588524544699105e-35,6.6320560244785023e-65,2.0499648172555479e-11,5.9794471011657025e-12,1.3549792929318449e-16,3.7284872937213528e-24,1.3553508130316477e-16,2.7671131251247834e-21,1.049502041306817e-20,3.4128249632680567e-23,2.5288812674383698e-39,1.0194929251564886e-35,1.6226830703978922e-60,4.5438371680745701e-48
1.3031483973581646e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554704135,0.099999999959000441,0.099999999994020566,1.7359660843416261e-63,1.0893990929955399e-44,1.4184608151007415e-25,3.3337637487270646e-47,3.8921763820731048e-40,7.0344552592991223e-35,6.7440813403350894e-22,6.5485433103822856e-82,6.7440659201609648e-22,6.3505878060117899e-53,8.8454467784475887e-50,5.576217130741612e-54,5.5607331927060026e-72,7.0357188391755699e-35,1.0611316079170124e-63,4.0999298385520335e-11,1.1958894834236823e-11,2.7096930085559264e-16,9.5353511611915833e-24,2.7112309090789256e-16,6.0495044372556929e-21,4.6823447816018612e-20,3.0762912685716838e-22,9.1381438125242548e-38,9.2223834686639346e-35,1.1795275472588002e-58,3.6337153095330518e-47
2.606296863759619e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436254940826,0.099999999918000876,0.099999999988041113,2.3708538493591888e-61,8.8926414924037628e-44,6.0207072813337111e-25,2.2708598746573548e-45,3.1126017506406634e-39,2.8137877883872668e-34,1.3488194204173045e-21,2.0955488858577155e-80,1.3488132534194238e-21,5.0804953230756217e-52,8.226980146358552e-49,4.4609823189183119e-53,7.5489024817932359e-70,2.814384222986248e-34,1.6978186940206766e-62,8.199859841601483e-11,2.391779029528554e-11,5.4183235452188131e-16,2.1906625360249259e-23,5.4246036776395717e-16,1.2637051002437902e-20,1.9743588188863353e-19,2.6136495084433931e-21,3.1096017988439766e-36,7.8857300303579861e-34,8.050923986866471e-57,2.9048071115274428e-46
