Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53),H2OX(23)
7.687482381817024e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43520451961303813,0.10318690851965602,0.018190327298686738,6.0623365394986746e-09,4.640013103746835e-07,0.01216123248916748,0.0028632426443515489,5.5988661767074583e-05,1.0936817881549399e-12,0.0023006566815496066,4.8331438158553055e-11,0.00042832653577805721,2.4939786705347675e-09,8.7239748631372729e-10,2.2287285014227008e-10,1.3493930040326128e-11,5.1122226361378149e-09,2.6629519135700143e-06,0.0072878599024838722,0.0063910699217330598,0.00027956931280902371,1.883418209797867e-08,1.0411479320829962e-08,3.3716656150828589e-09,5.4154249133207976e-11,6.6233815563275032e-06,0.0028912722044782649,7.6373633830129704e-06,0.00023869398714282758,4.2135591360040782e-06,6.8921137388275953e-13,8.7179757149585402e-09,1.1226903352615308e-10,2.2439483628614912e-11
7.703845846116456e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43519160114335703,0.10317094941742636,0.018181713288244403,6.1049300989796785e-09,4.6649458882905071e-07,0.012194061227090644,0.002873509672123391,5.6040467126943306e-05,1.1027653985033238e-12,0.0023011310711563708,4.8427969641777221e-11,0.00042844037857489315,2.4967759098677313e-09,8.766905957959088e-10,2.2373215453880371e-10,1.3553712620402885e-11,5.125902286103303e-09,2.6743196468228187e-06,0.0072865143463728532,0.0063980029053178232,0.00027986043267751957,1.8874804347957832e-08,1.0408694856074739e-08,3.3725051835755068e-09,5.4383226946908859e-11,6.6450460725870338e-06,0.0028976260273126694,7.662708875151804e-06,0.00023933300333493239,4.2315483322375356e-06,6.9226928546946307e-13,8.7489772445328669e-09,1.1276225426125622e-10,2.255471150065646e-11
7.720209310415888e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43517870060906239,0.10315499120653013,0.018173103867583647,6.1477093577315611e-09,4.6899523899797275e-07,0.012226895297302056,0.0028837831094264302,5.6091910674618684e-05,1.1119012937075269e-12,0.0023016008920564725,4.8524049400197653e-11,0.00042855414690319554,2.499558221026979e-09,8.8099057318205456e-10,2.2459234539217046e-10,1.361355810106212e-11,5.1395763814543226e-09,2.6856987068971012e-06,0.00728516922877413,0.0064049202798926114,0.00028015121581908322,1.8915401947244042e-08,1.0405890329785596e-08,3.3733378729022112e-09,5.4612646754552282e-11,6.6667280815292928e-06,0.0029039773147255827,7.6880665830684993e-06,0.00023997209709030883,4.24955545782647e-06,6.9533172287727311e-13,8.7799967951606978e-09,1.1325631942867266e-10,2.2670260158638432e-11
7.736572774715319e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43516581796182585,0.1031390338891858,0.018164499033323959,6.1906745666058008e-09,4.7150326230195632e-07,0.012259734649150002,0.0028940629183473272,5.6142994122067183e-05,1.1210896311239394e-12,0.0023020661733402078,4.8619678301305227e-11,0.00042866784073353285,2.5023256720685189e-09,8.8529738351996095e-10,2.2545341970612451e-10,1.3673466069684619e-11,5.1532448944785498e-09,2.6970890209779596e-06,0.0072838245488484072,0.0064118220902101676,0.0002804416632125562,1.8955974871962992e-08,1.0403065902456655e-08,3.3741637245963365e-09,5.4842508290341431e-11,6.6884275457615814e-06,0.0029103260712304273,7.7134364263461954e-06,0.00024061126744926643,4.2675803975193476e-06,6.9839867061288553e-13,8.8110342525644208e-09,1.1375122747888828e-10,2.2786129626866013e-11
7.752936239014751e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43515295315350316,0.1031230774676139,0.018155898782089803,6.2338259754270718e-09,4.7401866013537706e-07,0.012292579232283541,0.0029043490611642287,5.6193719176719095e-05,1.130330568045597e-12,0.0023025269438946509,4.8714857225521331e-11,0.00042878146003758543,2.5050783308908173e-09,8.8961099190070622e-10,2.2631537449609364e-10,1.3733436115436501e-11,5.1669077976964943e-09,2.7084905165817616e-06,0.0072824803057603528,0.0064187083808213965,0.00028073177583175831,1.8996523098557817e-08,1.0400221733384814e-08,3.3749827799063146e-09,5.5072811291267714e-11,6.710144428129741e-06,0.0029166723013531307,7.7388183249739789e-06,0.00024125051345803874,4.2856230365889109e-06,7.0147011321261994e-13,8.842089503057527e-09,1.1424697686612131e-10,2.2902319928645783e-11
7.769299703314183e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43514010613613296,0.1031071219440368,0.018147303110510628,6.2771638329953155e-09,4.7654143386657031e-07,0.012325428996650435,0.0029146415003456186,5.6244087541423294e-05,1.1396242617014552e-12,0.0023029832324052459,4.8809587065964001e-11,0.00042889500478813575,2.5078162652327301e-09,8.9393136345921193e-10,2.2717820678911872e-10,1.3793467829264603e-11,5.1805650638595109e-09,2.7199031215553497e-06,0.0072811364986785582,0.006425579196076555,0.0002810215546455709,1.9037046603717967e-08,1.0397357980679238e-08,3.3757950797978659e-09,5.5303555495718313e-11,6.7318786916773009e-06,0.0029230160096318978,7.7642121993447102e-06,0.00024188983416874183,4.3036832608309256e-06,7.0454603524230644e-13,8.8731624335413069e-09,1.1474356604739831e-10,2.3018831086260212e-11
7.785663167613614e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43512727686193581,0.10309116732067886,0.01813871201522084,6.320688387087828e-09,4.7907158483791976e-07,0.012358283892495114,0.0029249401985491814,5.6294100914402973e-05,1.1489708692556687e-12,0.0023034350673573722,4.8903868728216411e-11,0.00042900847495905785,2.5105395426713768e-09,8.9825846337479694e-10,2.2804191362379467e-10,1.3853560803891846e-11,5.1942166659478549e-09,2.7313267640752348e-06,0.0072797931267755342,0.0064324345801264147,0.00028131100061801916,1.9077545364275798e-08,1.0394474801272374e-08,3.3766006649560561e-09,5.5534740639138068e-11,6.7536302995882372e-06,0.002929357200617007,7.7896179702538665e-06,0.00024252922863933358,4.3217609565629458e-06,7.0762642129757496e-13,8.9042529315012656e-09,1.1524099348132215e-10,2.3135663120861418e-11
7.802026631913046e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43511446528331343,0.10307521359976618,0.018130125492859774,6.3643998844613245e-09,4.8160911436594587e-07,0.012391143870356664,0.002935245118620661,5.6343760989212799e-05,1.158370547806879e-12,0.0023038824770379072,4.8997703130097543e-11,0.00042912187052530763,2.5132482306200612e-09,9.0259225687172092e-10,2.2890649205021064e-10,1.3913714633812491e-11,5.2078625771687309e-09,2.7427613726468069e-06,0.0072784501892276705,0.0064392745769234387,0.0002816001147082073,1.9118019357388524e-08,1.0391572350928355e-08,3.3773995757875717e-09,5.5766366460064649e-11,6.7753992152893809e-06,0.0029356958788704594,7.8150355588955757e-06,0.00024316869593357256,4.3398560106230241e-06,7.107112560037276e-13,8.9353608850031803e-09,1.1573925763040265e-10,2.3252816052619709e-11
7.816753749782535e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43510294995307508,0.10306085602437681,0.018122401529815247,6.4039002717263532e-09,4.8389920067446205e-07,0.012420722154912869,0.0029445248358247289,5.6388154382533988e-05,1.1668757639940733e-12,0.0023042813853635384,4.9081772452431071e-11,0.00042922386272810289,2.5156736313435354e-09,9.0649836532549079e-10,2.2968535541603729e-10,1.3967904778290118e-11,5.2201390096129672e-09,2.7530618375095004e-06,0.0072772419161306664,0.0064454174541074046,0.00028186003441884309,1.9154424756354848e-08,1.0388943796771954e-08,3.3781129221602043e-09,5.5975206264164383e-11,6.7950060075187302e-06,0.0029413985446927649,7.8379214280206805e-06,0.00024374427799344511,4.3561563075376456e-06,7.1349139815226786e-13,8.963372875594809e-09,1.1618840948774123e-10,2.3358528074150481e-11
7.831480867652024e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43509144888339796,0.10304649918339809,0.018114681265681849,6.4435524605491271e-09,4.8619526558288559e-07,0.012450304480430371,0.0029538095359754515,5.6432264200240622e-05,1.1754242093162586e-12,0.0023046767523166711,4.9165480932886396e-11,0.00042932579446494282,2.5180873179602429e-09,9.1040984216153293e-10,2.3046492025659429e-10,1.4022143595398593e-11,5.2324107917185196e-09,2.7633710755711978e-06,0.0072760339936023813,0.006451547934822722,0.0002821196867702443,1.9190810059011606e-08,1.0386299870312176e-08,3.3788209239026424e-09,5.6184402615735918e-11,6.814626763171263e-06,0.0029470991822487607,7.8608167491057689e-06,0.0002443199176123515,4.3724704916928957e-06,7.1627512011193971e-13,8.9913988341869485e-09,1.1663823672368167e-10,2.3464500051125134e-11
7.846207985521513e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43507996203995575,0.1030321430784564,0.018106964698019853,6.4833566287031544e-09,4.8849730999757997e-07,0.012479890811456359,0.002963099192373642,5.6476091667070262e-05,1.1840159981594148e-12,0.0023050685981121297,4.9248829265076639e-11,0.00042942766571977886,2.5204893392664081e-09,9.1432666212383182e-10,2.3124518444504324e-10,1.4076430793185459e-11,5.2446779044173867e-09,2.7736890353923367e-06,0.0072748264210503984,0.0064576660507033052,0.00028237907245164329,1.9227175249152713e-08,1.0383640682712162e-08,3.3795236099013712e-09,5.6393955323545719e-11,6.8342614559609034e-06,0.002952797794887618,7.8837214655219382e-06,0.00024489561411966378,4.388798481669971e-06,7.1906241073637606e-13,9.0194386803717076e-09,1.1708873822269901e-10,2.3570731996055562e-11
7.860935103391002e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43506848938853915,0.10301778771117932,0.018099251824392756,6.523312953297517e-09,4.908053348081607e-07,0.01250948111272639,0.0029723937784407193,5.6519638004596804e-05,1.1926512448647885e-12,0.0023054569428383057,4.9331818150084583e-11,0.00042952947647724812,2.5228797439460262e-09,9.1824879998717491e-10,2.320261458619415e-10,1.4130766080848423e-11,5.2569403287857566e-09,2.7840156657470859e-06,0.0072736191978847974,0.0064637718332558125,0.00028263819214911166,1.9263520310829734e-08,1.0380966344390179e-08,3.3802210088657549e-09,5.6603864202177907e-11,6.8539100597839695e-06,0.0029584943859655545,7.90663552089467e-06,0.00024547136684846039,4.4051401963882825e-06,7.2185325889818921e-13,9.0474923341134294e-09,1.1753991287233489e-10,2.3677223920917371e-11
7.87566222126049e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43505703089505415,0.10300343308319541,0.018091542642367231,6.5634216107780965e-09,4.9311934088754584e-07,0.012539075349163225,0.0029816932677180605,5.6562904431208134e-05,1.2013300637284799e-12,0.0023058418064580365,4.9414448296333231e-11,0.00042963122672266715,2.5252585805698004e-09,9.2217623055745343e-10,2.3280780239520749e-10,1.418514916873249e-11,5.2691980460429178e-09,2.794350915622807e-06,0.0072724123235181444,0.006469865313860324,0.00028289704654572636,1.9299845228082019e-08,1.0378276965027784e-08,3.3809131493288726e-09,5.6814129060873786e-11,6.873572548569598e-06,0.0029641889588458395,7.9295588591056329e-06,0.00024604717513550321,4.421495555104706e-06,7.2464765348963206e-13,9.0755597157468768e-09,1.1799175955992102e-10,2.378397583687866e-11
7.88891662734303e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43504673032786445,0.1029905145514524,0.018084607532855033,6.599649792427391e-09,4.9520706105187307e-07,0.012565713497682611,0.0029900669785405498,5.6601605895738762e-05,1.2091783493301913e-12,0.002306185223768584,4.9488509297643528e-11,0.00042972275019414861,2.527389682894954e-09,9.2571542253750376e-10,2.3351188585991114e-10,1.4234134578539538e-11,5.280225951586482e-09,2.8036599682108553e-06,0.0072713264343277316,0.0064753389540729957,0.00028312978923250223,1.9332520417117448e-08,1.0375843753574201e-08,3.3815316031686122e-09,5.7003671639898479e-11,6.8912806387078644e-06,0.0029693123516643088,7.9501977541445841e-06,0.00024656544955092532,4.4362269771049795e-06,7.2716563165470288e-13,9.1008320310174045e-09,1.1839899525392319e-10,2.3880274862332039e-11
7.900845592817316e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43503746957852918,0.10297888838699212,0.018078368487767282,6.6323608813422484e-09,4.9709015262731645e-07,0.01258969051156473,0.0029976066799528907,5.6636244933485296e-05,1.2162721302071018e-12,0.0023064919141317177,4.9554916684979057e-11,0.000429805079393085,2.5292997262215479e-09,9.2890432821366244e-10,2.3414603965918122e-10,1.4278254178393391e-11,5.2901477826047008e-09,2.812044019316236e-06,0.007270349374860847,0.0064802567509579323,0.00028333907479540269,1.9361914115970795e-08,1.0373643587291538e-08,3.3820846064798614e-09,5.7174506252189751e-11,6.9072275024049382e-06,0.0029739220118662306,7.9687791162975541e-06,0.00024703193414946317,4.4494946021082381e-06,7.2943425373386247e-13,9.1235865195172687e-09,1.1876597136260308e-10,2.3967124055384327e-11
7.912774558291601e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43502821805797204,0.10296726271048104,0.018072131860423245,6.6651722274213276e-09,4.9897717001080421e-07,0.012613670045549483,0.0030051495517073486,5.6670702477453687e-05,1.2233947018489811e-12,0.0023067963556281639,4.9621089986834608e-11,0.00042988736886615805,2.5312022657299374e-09,9.3209666174245113e-10,2.3478064579292186e-10,1.4322404628704153e-11,5.3000664923583624e-09,2.8204336356839006e-06,0.0072693725432045539,0.0064851665319177855,0.00028354818749884138,1.939129457032067e-08,1.0371433745206845e-08,3.3826342098497619e-09,5.7345574089536006e-11,6.9231834301555206e-06,0.002978530353930706,7.9873664699676955e-06,0.00024749845403246952,4.4627710364774007e-06,7.3170518293942428e-13,9.1463498744427796e-09,1.1913338642486238e-10,2.4054143846366024e-11
7.924703523765887e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43501897574829551,0.10295563752278648,0.01806589764953585,6.6980839231664836e-09,5.0086811363438892e-07,0.012637652081350028,0.0030126955799703575,5.6704979168930614e-05,1.230546124908953e-12,0.0023070985586296161,4.9687029593237582e-11,0.00042996961860684526,2.5330973270103457e-09,9.3529240979574198e-10,2.3541570315267992e-10,1.4366585777728389e-11,5.3099820711368156e-09,2.8288287906109987e-06,0.0072683959390513761,0.0064900683133889327,0.00028375712770000561,1.9420661771936429e-08,1.0369214284216619e-08,3.3831804281087028e-09,5.7516875048420644e-11,6.9391484083229885e-06,0.0029831373796578892,8.0059597858156811e-06,0.0002479650088544475,4.4760562379469987e-06,7.3397841340610513e-13,9.1691220541586267e-09,1.1950123985258237e-10,2.4141334239857147e-11
7.936632489240172e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43500974263165093,0.10294401282477621,0.018059665853819403,6.7310960607964764e-09,5.0276298392303547e-07,0.012661636600757914,0.0030202447509587501,5.6739075647790698e-05,1.2377264600199291e-12,0.0023073985334554035,4.9752735897130086e-11,0.00043005182860890629,2.5349849356022099e-09,9.3849155905936232e-10,2.3605121063310537e-10,1.4410797474210764e-11,5.3198945092889447e-09,2.83722945748548e-06,0.0072674195620948895,0.006494962111754537,0.000283965895754683,1.945001571285248e-08,1.0366985260908445e-08,3.3837232760138664e-09,5.768840903362578e-11,6.9551224234350982e-06,0.0029877430908505529,8.0245590346068937e-06,0.00024843159827144136,4.4893501643952279e-06,7.3625393927659036e-13,9.1919030171846237e-09,1.1986953106090933e-10,2.4228695240347608e-11
7.945953785317992e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43500253425920421,0.10293492962473461,0.018054798007477269,6.7569617181454425e-09,5.0424636915900507e-07,0.012680379826033717,0.0030261458531757428,5.6765593628660926e-05,1.2433573370589737e-12,0.0023076313896778985,4.9803916694859998e-11,0.00043011603985977246,2.536454742772615e-09,9.4099373358930123e-10,2.3654810887873381e-10,1.4445365666465212e-11,5.3276378984557582e-09,2.8437975594721467e-06,0.0072666567788703196,0.0064987805811569255,0.00028412890757167875,1.9472943653736389e-08,1.0365236882655561e-08,3.3841451212132923e-09,5.7822607845894992e-11,6.9676108030474994e-06,0.0029913410807826924,8.0390966019313209e-06,0.00024879621519483848,4.4997440866925015e-06,7.3803362947097726e-13,9.2097101528370464e-09,1.2015761820057495e-10,2.4297077888113107e-11
7.955275081395812e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43499533148055569,0.10292584672463193,0.018049931634408944,6.7828888038157688e-09,5.0573215241447963e-07,0.012699124548077085,0.0030320488593806416,5.6792002268049986e-05,1.2490059333196376e-12,0.0023078628965535843,4.9854955472952366e-11,0.00043018022684040784,2.537920027136547e-09,9.4349797039081818e-10,2.3704528076419106e-10,1.4479952346785049e-11,5.3353793595899172e-09,2.8503689981675552e-06,0.0072658941340371808,0.0065025941939255028,0.00028429181466357856,1.9495863489051837e-08,1.0363482726877704e-08,3.3845649244632848e-09,5.7956948831588466e-11,6.9801046858076699e-06,0.0029949382700430608,8.0536377601913787e-06,0.00024916085286964416,4.5101432907401776e-06,7.3981471484889663e-13,9.2275226065715695e-09,1.2044597200559348e-10,2.4365564710497272e-11
