Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),COX(50),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.6731830466423262e-120,9.4126435530381421e-66,8.3353863842004343e-42,7.7932003155578358e-91,2.9722940012374595e-60,3.8771663556177811e-140,7.450158747785581e-25,-6.7009218641171199e-121,7.4501587477855755e-25,9.8011772860807578e-83,7.7730713969019408e-77,1.7107514047300106e-118,1.033715139999027e-119,4.9180849963004521e-58,6.4339714758086214e-98,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013949243102e-23,5.4758013951286993e-23,1.0219787061244226e-33,2.7547150326635472e-40,3.8467808047739059e-45,6.6436970469486709e-38,1.2726746508255996e-75,5.8545115652545642e-58,-5.1741485847948677e-108,-1.0036362350518667e-109,1.5143189624211825e-108,2.4629458121066051e-54
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,8.4664976983381795e-118,2.1055706688653557e-64,5.0368167120571981e-41,8.6120502705623011e-89,4.4917306944881434e-59,1.3990500639856088e-137,2.0860444493799638e-24,1.2934083109025248e-119,2.0860444493799612e-24,2.7640888134033799e-81,2.4439779203264201e-75,3.4200148824349312e-116,2.0665312055953394e-117,5.8387502690810914e-57,3.3304089341294655e-96,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905456972e-22,1.5332243906691481e-22,6.1727497783088197e-33,3.2703969053412924e-39,4.5670869408641276e-44,4.0127928373459089e-37,7.7426157464145882e-74,6.9533122970312674e-57,5.2365823939670145e-106,1.015747650698275e-107,3.0273208449526911e-106,2.9240091486699399e-53
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.5743706819074332e-115,4.1602525016260433e-63,2.4272953627840526e-40,7.7922153661135316e-87,4.8319989113331177e-58,5.0660664979916201e-135,4.7681015985827814e-24,1.3657136391673519e-117,4.7681015985827681e-24,6.0124969211866096e-80,5.4523797987846336e-74,6.1921268336099508e-114,3.7415694873554659e-115,5.7325191322547723e-56,1.4541868794043067e-94,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128925197895e-22,3.5045128931141529e-22,2.9719116673870302e-32,3.2108934196195447e-38,4.4843928910039366e-43,1.9319868327360644e-36,3.4956939641121983e-72,6.8328107930161919e-56,1.0967137093168848e-103,2.1273169049886658e-105,5.4811324751320474e-104,2.8708092682561241e-52
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.1498922225107233e-112,7.4029458027909339e-62,1.0620712361945982e-39,5.8982989696123077e-85,4.4414394788768883e-57,1.5363844255057065e-132,1.0132215896988437e-23,1.0794828928561455e-115,1.0132215896988375e-23,1.1146155989482833e-78,1.0211702059018115e-72,9.3843773131499581e-112,5.670474903847036e-113,5.0703473549768047e-55,5.4135731430410246e-93,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898959382141e-22,7.4470898985339586e-22,1.29791046642371e-31,2.8399959229284239e-37,3.9671060256705348e-42,8.4374924749536712e-36,1.3201405163718207e-70,6.0542306611855204e-55,1.7627822263179825e-101,3.4193191312201754e-103,8.3068413535205011e-102,2.5391978367453529e-51
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.2904331811855193e-110,1.248614586905996e-60,4.4507162847247923e-39,4.0991275235662188e-83,3.7997449812781951e-56,4.2747694533015419e-130,2.0860444493799829e-23,7.6509924573944113e-114,2.0860444493799571e-23,1.9157394284560449e-77,1.7638169345289857e-71,1.3051456250975102e-109,7.8862936404605235e-111,4.2619309511956091e-54,1.8650580286520651e-91,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243900656015e-21,1.5332243911492756e-21,5.4185086867293198e-31,2.38718274234718e-36,3.3357882449029744e-41,3.5224856770890409e-35,4.5817982751074211e-69,5.1069238984310251e-54,2.5211362728667064e-99,4.890366442458766e-101,1.1552857784986016e-99,2.1343480226616833e-50
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,8.903551572214982e-108,2.0508518016636257e-59,1.8319738681577703e-38,2.7339651582650467e-81,3.1417026282833444e-55,1.1409688010420027e-127,4.2316901687422961e-23,5.1487671754907905e-112,4.2316901687421885e-23,3.1751976069291673e-76,2.9306060596651618e-70,1.7415002956824673e-107,1.0522950420691498e-108,3.494186009252719e-53,6.189447600755752e-90,1.678227937523407e-16,8.069069060587526e-18,3.1102551901615444e-21,3.1102551945887156e-21,2.2136277802317704e-30,1.9571485164808964e-35,2.736843041210989e-40,1.4390492408601058e-34,1.5270076340999204e-67,4.21644731319752e-53,3.4102712581794523e-97,6.6151884989562831e-99,1.5415371938585721e-97,1.7498662189991138e-49
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.3453136228491161e-105,3.3245145825597097e-58,7.5159786900811393e-38,1.7878838197136672e-79,2.5547803978263737e-54,2.9852364352173467e-125,8.5229816074670576e-23,3.3782944651462264e-110,8.5229816074666203e-23,5.1699861799328838e-75,4.7776204903942232e-69,2.278062476675804e-105,1.3765107332847679e-106,2.82967840707098e-52,2.0167413848303829e-88,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167869629614e-21,6.2643168048583752e-21,8.9477580271455375e-30,1.5849364542311634e-34,2.2195447302767843e-39,5.8168582702872391e-34,4.9914416211901197e-66,3.4623404004778781e-52,4.4910996331280807e-95,8.7120913972117825e-97,2.0164900604190523e-95,1.4170850210739725e-48
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,6.1024691165815076e-103,5.3540135385259852e-57,3.1112830823948407e-37,1.1590410900229708e-77,2.0605229386112264e-53,7.7418128325980625e-123,1.7105564484917117e-22,2.1890845316023042e-108,1.7105564484915363e-22,8.344378516626565e-74,7.715847134922397e-68,2.9538248959342582e-103,1.7848376472279666e-104,2.2775648934273523e-51,6.5119357065272282e-87,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439967003915e-20,1.2572440038961227e-20,3.5977903059677053e-29,1.2756735654513173e-33,1.7915989089094239e-38,2.3389260135449069e-33,1.6176943650159739e-64,2.8636613463931741e-51,5.8426101596588101e-93,1.1334686392775406e-94,2.6146598697579371e-93,1.1405900706398812e-47
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.5813798045435183e-100,8.5943302440000935e-56,1.319259418479548e-36,7.4967730983408421e-76,1.6551240714824977e-52,2.0030417362543187e-120,3.4270730239819395e-22,1.4097091510363385e-106,3.4270730239812366e-22,1.3409192195913634e-72,1.2402925880507744e-66,3.8211853367466093e-101,2.3089369472895055e-102,1.8275920154440361e-50,2.0932035338267051e-85,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686272838309e-20,2.5188686561424431e-20,1.4428236223694597e-28,1.0236137086904819e-32,1.4458557873242763e-37,9.3800823685468341e-33,5.2315041764966459e-63,2.4212664932884096e-50,7.5700832124734851e-91,1.4688213477233463e-92,3.3824279679580456e-91,9.1524650339954709e-47
