Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(46),CHOX(50),CO2X(24)
9.71241965273886e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999635,0.09999999999999748,0.099999999999999464,7.2215481680576429e-95,9.1531216334978575e-58,3.6772077544436697e-33,9.1022763602411122e-78,1.7097892402148154e-48,3.9682796080269462e-124,3.2107528969529487e-34,3.8391812950649881e-125,3.2092397361398346e-34,5.6801513486108246e-80,1.7999177279611293e-64,1.6466403116177308e-112,1.6033878540785897e-114,3.5441786494065876e-55,6.0700409997459601e-97,2.4949644555840353e-15,1.0916168763030631e-15,3.4717139164708243e-17,3.4717142184117768e-17,1.3890254639372248e-24,8.0452788214211752e-26,4.1113214880951245e-32,3.0049651080906509e-32,1.2349244784878251e-55,4.94204289394929e-46,1.383726211654771e-46,6.3327591420342646e-84,7.6749779050320025e-85
1.943327755018036e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999268,0.099999999999994954,0.099999999999998923,3.3679333568275969e-92,1.4659299316746676e-56,2.8001765990514802e-32,1.0611190462937607e-75,1.369217984032519e-47,3.7043567381168153e-121,6.4273426972043513e-34,2.46167544683038e-123,6.4212861107637038e-34,9.0981130077015283e-79,2.8832195554100979e-63,6.4564974438004101e-110,3.7381044844282285e-112,2.8374977703181144e-54,1.9445931083635919e-95,4.9920965605623583e-15,2.1841821599703569e-15,6.9464437976231669e-17,6.9464450352361978e-17,5.2690979777781712e-24,6.1264395364611674e-25,5.9910339079700867e-31,1.2027690863724257e-31,7.1992393457156865e-54,3.9566390635335154e-45,2.1109319730983995e-45,1.4772776038750711e-81,1.7897611820951629e-82
3.887499334506336e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998536,0.099999999999989889,0.099999999999997827,1.5391073446521652e-89,2.3466328104965533e-55,2.0407149009740838e-31,1.212905707392122e-73,1.0959291650443673e-46,3.388710179453581e-118,1.2869668376387658e-33,1.5777161114383282e-121,1.2845434143339285e-33,1.4564880323449228e-77,4.6158333458219567e-62,2.6726246126827778e-107,8.5463616416197749e-110,2.2708603311829437e-53,6.2261873561344956e-94,9.9863607705118089e-15,4.3693127273047552e-15,1.3895902677091116e-16,1.38959078305014e-16,1.9069793955230237e-23,4.4648272292056279e-24,8.5536707787872657e-30,4.8126424376466753e-31,4.1138155962871117e-52,3.1665133936516934e-44,3.0862199045900086e-44,3.3776910188215557e-79,4.0893223528833179e-80
7.775842493482936e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997073,0.099999999999979758,0.099999999999995648,6.6360869699742766e-87,3.7555283290031974e-54,1.3836795006319072e-30,1.3092023781858999e-71,8.7696508936945476e-46,2.926349025530446e-115,2.5790904040181184e-33,1.011443282747753e-119,2.5693951341886811e-33,2.3310124577066392e-76,7.3874776130976568e-61,1.0935215789225802e-104,1.8454538197244989e-107,1.8170328742732665e-52,1.9929379797634732e-92,1.9974889190381923e-14,8.7395738619727946e-15,2.7794816904680985e-16,2.7794838762785321e-16,6.3880607021886135e-23,3.0273107876163053e-23,1.1521520980478458e-28,1.9253698857771907e-30,2.2190571373263521e-50,2.5336912420639719e-43,4.2075045679591465e-43,7.2908176227341077e-77,8.8146984840604664e-78
1.5552528811436137e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994145,0.099999999999959496,0.099999999999991276,2.6023113893570617e-84,6.0095770364539412e-53,8.4588864845950282e-30,1.2871899893370341e-69,7.016604524541404e-45,2.3012695134528508e-112,5.1779712515114933e-33,6.4913238620757778e-118,5.1391870273345024e-33,3.7301235769019494e-75,1.1821673185109936e-59,4.1811952318253566e-102,3.6304995311557871e-105,1.4537636613619011e-51,6.3782916315539045e-91,3.9951946030007031e-14,1.7480096131305832e-14,5.5592631234483719e-16,5.5592725070818385e-16,1.9157572383406871e-22,1.850687271151093e-22,1.4119767474116263e-27,7.7021025906919768e-30,1.0898752360800141e-48,2.0271445326861414e-42,5.1877799782754372e-42,1.4331263962593479e-74,1.7279222237849846e-75
3.1105901447342536e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988291,0.099999999999918987,0.099999999999982533,9.0697836687320025e-82,9.6159056135520931e-52,4.5773235179216192e-29,1.1279280784958196e-67,5.6136318400600594e-44,1.6126314263153573e-109,1.0434267745948357e-32,4.1764023146479068e-116,1.0279124628053582e-32,5.9685951883251487e-74,1.8916023021058921e-58,1.4443734869343983e-99,6.3665707498391515e-103,1.1630650824293755e-50,2.041193904333964e-89,7.9906059708796768e-14,3.4961140669959757e-14,1.1118820339263862e-15,1.1118860486921612e-15,5.0518121773576398e-22,1.0014472580109966e-21,1.5406839295959458e-26,3.0809633956434709e-29,4.7691470701346077e-47,1.6217911381540677e-41,5.6779053552549996e-41,2.510223885025433e-72,3.0101829059521237e-73
6.221264671915534e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976581,0.099999999999837969,0.099999999999965047,2.8151036021547715e-79,1.5385905725294231e-50,2.2118585088883018e-28,8.8490274277553732e-66,4.4910362444287997e-43,1.0116892288414671e-106,2.1180999456714881e-32,2.7006170129219407e-114,2.0560415092884822e-32,9.5500527516884845e-73,3.0266645169200789e-57,4.4986743051336608e-97,9.9963409517007947e-101,9.3047245690124576e-50,6.5320336320569982e-88,1.5981428706453427e-13,6.9923229747218995e-14,2.2237912170360575e-15,2.2238081098464483e-15,1.1874139826952628e-21,4.83912668985148e-21,1.5047172008588925e-25,1.2324080269522969e-28,1.8682640633344342e-45,1.2974613438644164e-40,5.553787132855474e-40,3.9362734422448905e-70,4.669890905841905e-71
1.2442613726278093e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953161,0.099999999999675931,0.099999999999930089,7.9463001160299255e-77,2.4617785921224237e-49,9.838569943582413e-28,6.3789944187341128e-64,3.5928676732391362e-42,5.8320788612355191e-104,4.3611013958571584e-32,1.7637530582838568e-112,4.112865712207039e-32,1.5280268661095228e-71,4.8427219922204899e-56,1.2921292145055484e-94,1.4420311368165152e-98,7.443840885111264e-49,2.0902773117526429e-86,3.1963074176864136e-13,1.3984740790154306e-13,4.4476005430784585e-15,4.4476702837691607e-15,2.5813604565267738e-21,2.1524242150300005e-20,1.351200320070831e-24,4.9296630168953293e-28,6.7261946048398656e-44,1.0379776129919655e-39,4.9910219565125375e-39,5.671995994283321e-68,6.5888180206935059e-69
2.4885311835003215e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039906323,0.099999999999351857,0.099999999999860159,2.083235818458697e-74,3.9388687966809864e-48,4.161573356003877e-27,4.3555483403885972e-62,2.8742877987444947e-41,3.1848696423258263e-101,9.2217216825853771e-32,1.2138838992331881e-110,8.2287785946737736e-32,2.4448397727889467e-70,7.7483210372556146e-55,3.5219610993957051e-92,1.9700058323060391e-96,5.9550646648969695e-48,6.6888815367927058e-85,6.3926365114738406e-13,2.796957642094135e-13,8.8951830347493936e-15,8.8954669519595028e-15,5.3776987766277958e-21,9.1038653819197357e-20,1.1505098514707915e-23,1.9718598459032014e-27,2.2945062515809546e-42,8.3038096873546932e-39,4.2515285817594364e-38,7.7427337095734091e-66,8.6344073838773378e-67
4.9770708052453454e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039812648,0.099999999998703695,0.099999999999720313,5.107500313670135e-72,6.3021840282888899e-47,1.7127885438917246e-26,2.8831354535997079e-60,2.2993928061787109e-40,1.686329335773692e-98,2.0441407435684142e-31,8.6066010402766352e-109,1.6469662560744886e-31,3.9116836152239284e-69,1.2397052098341631e-53,9.3158493662852842e-90,2.6087446967340107e-94,4.7639964605911379e-47,2.1404102168596462e-83,1.2785294697869835e-12,5.5939247682204364e-13,1.7790203378787865e-14,1.7791349628586905e-14,1.0971545688857958e-20,3.7464221954594184e-19,9.5062543801747573e-23,7.8873363248415916e-27,7.5906346445082187e-41,6.642970677218955e-38,3.5139427796621999e-37,1.0248254871203132e-63,1.0581743647328748e-64
