Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
5.767206316728177e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43315142206911517,0.066181526558823547,0.0041203802473357212,0.0002481491649266152,0.0031744688538233369,0.087483220921810073,0.033646200928227447,2.9265831867543012e-05,6.4171968782114836e-10,0.0015949532499105535,4.1596511271304823e-11,0.00058636038990540263,2.7665393722874486e-09,3.9783715286785075e-07,3.587573956362061e-09,1.5432860633427659e-10,1.1534793447234973e-06,3.1725830535005243e-05,0.0046508929871651372,1.2636972984389613e-06,0.00066457459555160729,2.1502907530978901e-09,1.6349553499145422e-09,2.1410590313165519e-09,1.2439848769583747e-09,6.5532329102382114e-05,0.011977458531214817,8.2336720407190614e-05,1.3941260385685871e-07,0.0017135455806325368,5.0206920419065983e-05,4.8732899514698522e-10,1.0196344505045582e-07,2.8907993484951407e-09
5.775252595368152e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43312141578808272,0.066134321894456963,0.0041108849794457324,0.00024806655549344971,0.0031731535346878992,0.087585487709588697,0.033666635186388474,2.9227846775664205e-05,6.4355182461388148e-10,0.0015939200735651411,4.1571509058497467e-11,0.00058652908628368486,2.7666739224567393e-09,3.9717677255460155e-07,3.5907842606447888e-09,1.5434077341845256e-10,1.1527053701657561e-06,3.1757610156881875e-05,0.0046472539914088028,1.2583793042685914e-06,0.00066490247645886074,2.1427950562529703e-09,1.6301310056136543e-09,2.13974817313642e-09,1.2486235664172743e-09,6.5739929155237276e-05,0.012008644952936081,8.2380310438200015e-05,1.393451845561893e-07,0.0017154306965585836,5.0257213298891892e-05,4.8704518073666743e-10,1.0201830261327507e-07,2.8939572360432451e-09
5.783298874008127e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43309139953226844,0.066087151133226482,0.0041014129040269215,0.00024798395200411911,0.0031718385796486465,0.087687681953548202,0.033687022768629914,2.918991015286073e-05,6.453852712627883e-10,0.0015928875393629051,4.1546528747572253e-11,0.00058669759218393108,2.7668089623906626e-09,3.9651931946133186e-07,3.5939896702711336e-09,1.5435263150593446e-10,1.1519332674188946e-06,3.1789351165698181e-05,0.004643617727752126,1.2530928073480827e-06,0.00066522981487493645,2.1353391843457946e-09,1.625321388582319e-09,2.1384388208188592e-09,1.2532695237406235e-09,6.5947725686175116e-05,0.012039840791720368,8.2423779235910939e-05,1.3927778604577657e-07,0.0017173140739400203,5.0307445071622018e-05,4.8676196334001234e-10,1.0207300781535577e-07,2.8971105144281862e-09
5.791345152648102e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43306137339206319,0.06604001425199961,0.0040919639619344753,0.00024790135463296554,0.0031705239905572466,0.087789803698772553,0.033707363791000512,2.9152021936351876e-05,6.4722002142108373e-10,0.0015918556468775473,4.1521570288645131e-11,0.00058686590796132169,2.7669444903970392e-09,3.9586476489264532e-07,3.5971901934036806e-09,1.543641816299601e-10,1.1511630229601805e-06,3.1821053604104363e-05,0.0046399841952848575,1.2478375731871011e-06,0.00066555661197474571,2.1279228653802496e-09,1.6205264525512629e-09,2.1371309738119407e-09,1.2579227355576124e-09,6.6155718010274276e-05,0.012071045956115075,8.2467127117420426e-05,1.3921040843658192e-07,0.0017191957141758773,5.0357615804749444e-05,4.86479339564087e-10,1.0212756105477411e-07,2.9002591885512175e-09
5.7993914312880774e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43303133745757971,0.065992911227653397,0.0040825380941756266,0.00024781876355305961,0.0031692097692504135,0.087891852990351224,0.033727658369260928,2.9114182063448305e-05,6.4905606875117079e-10,0.0015908243956832355,4.1496633631995457e-11,0.00058703403396988361,2.7670805047885594e-09,3.9521308050042898e-07,3.6003858381960844e-09,1.543754248208288e-10,1.1503946234062039e-06,3.1852717514710698e-05,0.0046363533930917468,1.2426133694067434e-06,0.000665882868929795,2.1205458289627311e-09,1.6157461513987518e-09,2.1358246315594806e-09,1.2625831884853898e-09,6.6363905443471422e-05,0.01210226035495187,8.2510354398684208e-05,1.3914305183878495e-07,0.0017210756186658153,5.040772556571172e-05,4.8619730603216478e-10,1.0218196272860423e-07,2.9034032633095204e-09
5.8074377099280525e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43300129181865266,0.065945842037074459,0.0040731352419092863,0.0002477361789362105,0.0031678959175500117,0.087993829873379142,0.033747906618884153,2.9076390471551882e-05,6.5089340692466946e-10,0.0015897937853546001,4.1471718728065418e-11,0.00058720197056249884,2.767217003882087e-09,3.9456423827962477e-07,3.6035766127934829e-09,1.5438636210590893e-10,1.1496280555112994e-06,3.1884342940091101e-05,0.0046327253202525683,1.2374199657142746e-06,0.00066620858690814291,2.1132078068533139e-09,1.6109804391499314e-09,2.1345197935013615e-09,1.2672508691301709e-09,6.6572287302609138e-05,0.012133483897345951,8.2553461394833534e-05,1.390757163617507e-07,0.0017229537888101122,5.0457774421887364e-05,4.8591585939457449e-10,1.0223621323296689e-07,2.9065427435945034e-09
5.8154839885680275e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43297123656483899,0.065898806657158998,0.0040637553464456869,0.0002476536009529761,0.0031665824372631847,0.088095734392956371,0.033768108655055126,2.9038647098155478e-05,6.5273202962244388e-10,0.0015887638154667336,4.1446825527459594e-11,0.00058736971809090674,2.7673539859977157e-09,3.9391821056368803e-07,3.6067625253323608e-09,1.5439699450964452e-10,1.1488633061658789e-06,3.191592992278867e-05,0.00462909997584214,1.2322571338839524e-06,0.00066653376707429945,2.1059085346421373e-09,1.6062292699768094e-09,2.1332164590725504e-09,1.2719257640889809e-09,6.6780862905491413e-05,0.012164716492695356,8.2596448421049608e-05,1.3900840211395761e-07,0.0017248302260096425,5.0507762440590253e-05,4.8563499635330846e-10,1.0229031296309118e-07,2.9096776343536685e-09
5.8235302672080025e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43294117178541897,0.065851805064812835,0.0040543983492460174,0.00024757102977267204,0.0031652693301824695,0.088197566594187968,0.033788264592672604,2.9000951880842791e-05,6.5457193053463098e-10,0.0015877344855951905,4.1421953980944358e-11,0.00058753727690571251,2.7674914494607692e-09,3.9327497002051747e-07,3.6099435839397366e-09,1.5440732305356268e-10,1.148100362394918e-06,3.1947478505304307e-05,0.0046254773589303596,1.2271246477355785e-06,0.00066685841058943072,2.0986477493984921e-09,1.6014925981979385e-09,2.1319146277031069e-09,1.2766078599467085e-09,6.6989631570751838e-05,0.012195958050680383,8.2639315791357669e-05,1.389411092031356e-07,0.0017267049316658672,5.0557689689081085e-05,4.8535471362175528e-10,1.02344262313176e-07,2.9128079405574506e-09
5.83077191798398e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43291410541311676,0.065809532500993376,0.0040459965815210072,0.00024749672166585077,0.0031640878543708955,0.088289153780394022,0.033806365616999817,2.8967067307198913e-05,6.562289290213133e-10,0.0015868086355743235,4.1399588062766305e-11,0.00058768791877777081,2.7676155767502032e-09,3.9269841424042054e-07,3.6128023932848726e-09,1.544163597848919e-10,1.1474152461504592e-06,3.1975839432501826e-05,0.0046222193349484122,1.2225311704540157e-06,0.00066715013187351616,2.0921457308029772e-09,1.5972419512300124e-09,2.1307442641134662e-09,1.2808278918888393e-09,6.7177687875328527e-05,0.01222408304149809,8.2677794376442536e-05,1.3888056391502348e-07,0.0017283906874457284,5.0602572309743515e-05,4.8510295259556364e-10,1.0239268847826123e-07,2.9156213003537718e-09
5.836487018165237e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43289273931768962,0.065776190353534075,0.004039378952382368,0.00024743808188328216,0.0031631556506797735,0.088361392943999084,0.033820624676611344,2.8940353125080715e-05,6.5753735416158833e-10,0.0015860783216575919,4.1381949244831746e-11,0.00058780669756880216,2.7677138113418557e-09,3.9224496294841699e-07,3.6150557941211964e-09,1.5442331885941712e-10,1.1468755725403305e-06,3.1998199919239855e-05,0.0046196496659953058,1.2189231241927456e-06,0.00066738005220172902,2.0870360836639591e-09,1.5938955897745607e-09,2.1298214738391679e-09,1.2841624388098068e-09,6.7326211328229153e-05,0.012246284274075368,8.2708093519897211e-05,1.3883279397638986e-07,0.0017297200946866176,5.0637958925904112e-05,4.8490459161270774e-10,1.0243082075114073e-07,2.9178389831794833e-09
