Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-6.4842116869392247e-119,1.3121010683452074e-65,2.9700073126975632e-36,5.2816394602329676e-88,1.7967589324328686e-54,1.7962024963644931e-131,5.5646920903778486e-20,-6.5427272132085723e-106,5.5646920903778486e-20,2.5936458149773724e-72,2.9228960856794015e-72,1.1849820535104126e-111,1.3739839878361999e-112,2.0046062198287333e-52,1.2175393936409189e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135346071855e-22,9.0087835689077226e-38,3.3357983340900261e-37,3.6022135344656061e-22,7.0767277102431574e-33,3.0334352115291142e-40,6.5474352365656778e-44,8.2650055438258792e-75,3.3174158811947725e-54,2.1456307598146115e-52,2.0212293325809721e-98,-2.6558463480436813e-106,2.0868649213766777e-105,-2.8880466243356236e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.1747126209312467e-116,2.935343866444236e-64,1.793884455053874e-35,5.8363707906223581e-86,2.7152621216107907e-53,6.4812332513238418e-129,1.5581137853057977e-19,1.2630832281382804e-104,1.558113785305797e-19,7.3144962411153288e-71,9.1900530159946515e-71,2.3688434119911904e-109,2.7466685323388188e-110,2.3798685041584192e-51,6.3023346031472251e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197897129588e-21,5.4413052755646726e-37,2.0148221937883227e-36,1.0086197896274452e-21,4.274343359957691e-32,3.601294144849665e-39,7.773131692865494e-43,5.0280167640741126e-73,3.9384361341038234e-53,2.5472928877062837e-51,1.9034560334686954e-96,2.6877912121946971e-104,4.1717561933222612e-103,2.9227844216010361e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,4.9589849048879498e-114,5.7999448847176513e-63,8.6367818380926463e-35,5.2803332133254899e-84,2.9209550875164711e-52,2.3467104837010623e-126,3.5614029378418233e-19,1.3336825001218768e-102,3.5614029378418209e-19,1.591062702303716e-69,2.0502502737488427e-69,4.288568782218183e-107,4.9725857197877254e-108,2.336569009763385e-50,2.751845938473576e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.305416662309227e-21,2.6197542617549744e-36,9.7005015555029895e-36,2.3054166618975155e-21,2.0579121525949648e-31,3.5357716538974966e-38,7.631741909782435e-42,2.269897403645078e-71,3.866779950963726e-52,2.5009473675684642e-50,1.663630401018563e-94,5.6286733332565021e-102,7.5525732461206128e-101,6.1207874561953964e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.5950713244970053e-111,1.0320855504580879e-61,3.7719098789862083e-34,3.9962719079923274e-82,2.6848609618069121e-51,7.1156864829204885e-124,7.5679812429138743e-19,1.0541648647539455e-100,7.5679812429138618e-19,2.9495621046855849e-68,3.8398918567084561e-68,6.4983955344610479e-105,7.5348747978883367e-106,2.0666688282497581e-49,1.0244432459945447e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104078689141e-21,1.144115513165109e-35,4.2364638842624962e-35,4.8990104060708614e-21,8.9874414480572265e-31,3.1273494654904383e-37,6.7502517673594365e-41,8.5707787764836632e-70,3.4201230765470666e-51,2.2120598113883797e-49,1.241119897240126e-92,9.0456769243207696e-100,1.1444286135618889e-98,9.8365391980517161e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.5628433843905115e-109,1.7407764377766755e-60,1.574698409866345e-33,2.7763574854072447e-80,2.296955078874478e-50,1.9791839278411251e-121,1.5581137853057976e-18,7.471547235572376e-99,1.5581137853057924e-18,5.0695436416261753e-67,6.6324582672026873e-67,9.0347455218904337e-103,1.047576682229073e-103,1.7371596761412201e-48,3.5293623102234864e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197900456891e-20,4.7764570474593222e-35,1.7686402767058782e-34,1.0086197892950375e-20,3.7520785624153064e-30,2.6287247861507297e-36,5.674098443487241e-40,2.9736555187599083e-68,2.8748195233914857e-50,1.8593698728306877e-48,8.5611752635102406e-91,1.293296111496585e-97,1.5911037173017799e-96,1.4063688116487597e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.2338573158913701e-106,2.8592412851987076e-59,6.4331591495664749e-33,1.8504974456955873e-78,1.899166877970408e-49,5.2791070780657223e-119,3.1607451073346185e-18,5.028008770765111e-97,3.1607451073345965e-18,8.4023968032590617e-66,1.1019928602448569e-65,1.2047396181639237e-100,1.3968928389636479e-101,1.4242284570361464e-47,1.1712666716794767e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572891507263e-20,1.9513385555030515e-34,7.2254726233297584e-34,2.0460572860840686e-20,1.5328454380604635e-29,2.1551859631088057e-35,4.6521410729484145e-39,9.9038755316968442e-67,2.3569507340299568e-49,1.5244242763152215e-47,5.6855191301215644e-89,1.7482728053672952e-95,2.1216598521244727e-94,1.901124058279242e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,3.245948161623382e-104,4.6349619939743343e-58,2.600387672427729e-32,1.2085331353658977e-76,1.5443709645999812e-48,1.3794074099464062e-116,6.3660077513922597e-18,3.2990604631771809e-95,6.3660077513921703e-18,1.3681125014872523e-64,1.7965264891040452e-64,1.5738425362770658e-98,1.8248668304831764e-99,1.153377129749498e-46,3.8164019227727113e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322897105739e-20,7.8876224307886408e-34,2.9206515596162941e-33,4.120932277314643e-20,6.1959975940220253e-29,1.7453231416917571e-34,3.7677036160545043e-38,3.2330256691326646e-65,1.9087198116396415e-48,1.2345191383668906e-46,3.7061517690102503e-87,2.2993805931455795e-93,2.7716848290542257e-92,2.5004151335637027e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,8.424163749580835e-102,7.4644703465316086e-57,1.045605963524611e-31,7.8139058261321111e-75,1.2455911316297071e-47,3.5679048317052352e-114,1.2776533039507543e-17,2.1377420831116351e-93,1.2776533039507187e-17,2.2081390932077327e-63,2.9013950730744451e-63,2.0353305718380647e-96,2.3599611548912934e-97,9.2833825496172827e-46,1.2322930545923513e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706823002294078e-20,3.1715782861871208e-33,1.1743811465478639e-32,8.2706822503858473e-20,2.4913763468554213e-28,1.4047841562281225e-33,3.0330250386733157e-37,1.0450104066533194e-63,1.536303757906398e-47,9.9364974913055539e-46,2.3937330202365076e-85,2.9836196067097917e-91,3.5844086924224182e-90,3.2444770961831132e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,2.1718445732972061e-99,1.1982133584981384e-55,4.1933597429612326e-31,5.0275227917817647e-73,1.0005265350756623e-46,9.1829922838053989e-112,2.5597583615738111e-17,1.3766460586937168e-91,2.5597583615736684e-17,3.5484202436692373e-62,4.6639078234825605e-62,2.619193315544018e-94,3.0369486741241615e-95,7.449329839375943e-45,3.9610959105035554e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182358863999e-19,1.271944743294895e-32,4.7097936518078502e-32,1.6570182158968471e-19,9.9914770218236297e-28,1.1272448003086397e-32,2.4345327830305079e-36,3.3615768900455722e-62,1.2327870104870597e-46,7.973435056840724e-45,1.5389993223532982e-83,3.8459550916991698e-89,4.6126459335306376e-88,4.1822065237035342e-90
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,5.5819655622019187e-97,1.9202660951863963e-54,1.679540890983974e-30,3.2275615200187023e-71,8.0204585820478398e-46,2.3581756746373345e-109,5.1239684768199266e-17,8.8378046879919731e-90,5.123968476819354e-17,5.6898187283433536e-61,7.4796385920855397e-61,3.3629907347007558e-92,3.8993800844257607e-93,5.9685288992227692e-44,1.2703989597293509e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182626523822e-19,5.0944133875380026e-32,1.8863740755231766e-31,3.3169181825894565e-19,4.001757137801982e-27,9.031579391941249e-32,1.951744456351571e-35,1.078992127873289e-60,9.8772977572119348e-46,6.3884854792554188e-44,9.8720851122658932e-82,4.9422804310977406e-87,5.9225431887517331e-86,5.3743836184667632e-88
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,1.433055698915498e-94,3.0749280111477726e-53,6.7226186139467493e-30,2.0706221123049001e-69,6.4228717437489449e-45,6.0515412483224846e-107,1.0252388707312159e-16,5.6649371278406132e-88,1.0252388707309867e-16,9.1135983119584366e-60,1.1981348714454881e-59,4.3150351361708787e-90,5.0032733949700027e-91,4.7784522156280871e-43,4.0698394751956032e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367183763429844e-19,2.0390929860968096e-31,7.5504123306126333e-31,6.6367180558790192e-19,1.6017095625742983e-26,7.2306007759396133e-31,1.5644327168084902e-34,3.461066492059787e-59,7.9078439691690972e-45,5.1147282727304328e-43,6.3253401927243286e-80,6.3441204594682811e-85,7.5991829747706423e-84,6.898786797677848e-86
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,3.6802171528253251e-92,4.9218875728763283e-52,2.6899855556889794e-29,1.3290917026363109e-67,5.1409006178333342e-44,1.553736847598415e-104,2.0509229168296646e-16,3.6283597654728874e-86,2.050922916828747e-16,1.4589672486830193e-58,1.9181306376326385e-58,5.5394503604826879e-88,6.4229800514823151e-89,3.8242140019249406e-42,1.3030791265756394e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318844377718e-18,8.1590278950651203e-31,3.0211484156355009e-30,1.3276317562075525e-18,6.4086350532206132e-26,5.7864311499895939e-30,1.2549832298102406e-33,1.1108045553579735e-57,6.3286784401323586e-44,4.0934257834330389e-42,4.0505250089905463e-78,8.1461485459707529e-83,9.7554934030199803e-82,8.8583671637363129e-84
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,9.4688522797642514e-90,7.8766225569440193e-51,1.0762193442171274e-28,8.5480631515702455e-66,4.1137620376897026e-43,3.9970558002696264e-102,4.1022910090265688e-16,2.323046654737462e-84,4.1022910090228976e-16,2.3349809931781178e-57,3.0699010450117459e-57,7.1252933705923008e-86,8.2617613965411564e-87,3.0599521697323731e-41,4.171022351850515e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555520743213148e-18,3.264142369256891e-30,1.2086560889365186e-29,2.6555515612938126e-18,2.5636397018033041e-25,4.6296288577890911e-29,1.0089161215550597e-32,3.5721855326863561e-56,5.0639041549322094e-43,3.2755044826803515e-41,2.5930745689459071e-76,1.0479713333467756e-80,1.2548312149355796e-79,1.1395958326498799e-81
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,2.44681953354399e-87,1.2603877680725001e-49,4.3056273570087608e-28,5.521802552770249e-64,3.2914262983168866e-42,1.0327404984628004e-99,8.2050271934204023e-16,1.4870367729786082e-82,8.2050271934057177e-16,3.7364763769168316e-56,4.9125549540553141e-56,9.2051549598215252e-84,1.0673356145189213e-84,2.4481940715312818e-40,1.3349142438068019e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.311392839316217e-18,1.3057631538534978e-29,4.8350178129995938e-29,5.3113907868542268e-18,1.0253540721510959e-24,3.7034224955081915e-28,8.1479055530066759e-32,1.1538440390563152e-54,4.0515077524922657e-42,2.6208794375778532e-40,1.6598041001176591e-74,1.3540394792049382e-78,1.6211144033806564e-77,1.4724242849590854e-79
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,6.3785586909671426e-85,2.0167227952806845e-48,1.7226405689206128e-27,3.5984408299163427e-62,2.6333077159779846e-41,2.6917854695060365e-97,1.6410499562208178e-15,9.5179535721789719e-81,1.6410499562149443e-15,5.9787676603535145e-55,7.860657143782628e-55,1.1996789457594288e-81,1.3910249926075826e-82,1.9586480743110224e-39,4.2720249436800174e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623075911188273e-17,5.2232646859806929e-29,1.9340858065471541e-28,1.0623067699527066e-17,4.1001017279638188e-24,2.9618674752120461e-27,6.6398758558592569e-31,3.7601953776073192e-53,3.2413597037511636e-41,2.0971661923749306e-39,1.0623502684315301e-72,1.7649674812209649e-76,2.1127474802370093e-75,1.919281789031534e-77
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,1.6913315223511101e-82,3.2268378330656917e-47,6.8932562906825822e-27,2.3852043736757337e-60,2.1067128455624883e-40,7.1355473208558895e-95,3.2821444299784161e-15,6.0917841310294767e-79,3.2821444299549218e-15,9.566352628016868e-54,1.2577502166260353e-53,1.5901932604890615e-79,1.8438254360383775e-80,1.5669553917914648e-38,1.367095878581205e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246448230218463e-17,2.0893480098208485e-28,7.7365004884416649e-28,2.1246415371084359e-17,1.6388900676096542e-23,2.3679338893988547e-26,5.5058263827533108e-30,1.2465383271795153e-51,2.5931487207408065e-40,1.6783531890061664e-38,6.799283764798856e-71,2.3401360039580471e-74,2.8004798567284904e-73,2.5447428952813845e-75
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,4.6280182972296658e-80,5.1630039103221174e-46,2.7593695197958391e-26,1.6314606754432785e-58,1.6853969456738853e-39,1.9515783043960034e-92,6.5643333774937866e-15,3.8988358720542793e-77,6.5643333773998065e-15,1.5306423687639884e-52,2.0124349162216478e-52,2.1748494339130861e-77,2.52173289735009e-78,1.2535787737932039e-37,4.3747834258333921e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493217631328788e-17,8.3574740753702185e-28,3.0946315655125629e-27,4.2493086099074066e-17,6.5461740468469346e-23,1.8917884798411133e-25,4.7141829829744097e-29,4.2651301369635021e-50,2.0745426486478823e-39,1.3436253417584501e-37,4.3516190344396512e-69,3.2020516356086407e-72,3.8301141659612863e-71,3.4820314628317784e-73
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,1.3368192755518655e-77,8.2608514801747166e-45,1.1053780242688985e-25,1.1778946237670033e-56,1.3483282238379004e-38,5.6328014852576406e-90,1.3128711272525216e-14,2.4952850414176425e-75,1.3128711272149297e-14,2.4490485427624712e-51,3.2199187538882414e-51,3.1392158703741244e-75,3.6399134672817093e-76,1.0028683027784499e-36,1.3999429408247774e-59,7.1699496431492726e-13,2.122894655754791e-14,8.498685597852889e-17,3.3430042490290998e-27,1.2378588341842967e-26,8.4986329094782022e-17,2.6109510130637116e-22,1.5093260493183763e-24,4.2645687704619798e-28,1.5408880741841838e-48,1.659642449619813e-38,1.0763838493982404e-36,2.7850609178962662e-67,4.6255129853712783e-70,5.528453516450801e-69,5.0299924739312648e-71
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,4.1946355104775051e-75,1.3217381015727789e-43,4.4344160319353513e-25,9.2372765912450071e-55,1.0786668452506688e-37,1.7654792524476306e-87,2.6257467062590845e-14,1.5969920453686378e-73,2.6257467061087156e-14,3.9184942512628095e-50,5.1518730589749172e-50,4.9209483568847946e-73,5.7058278507396195e-74,8.0229595502367945e-36,4.4798369133306231e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997453475632116e-16,1.3372031926720803e-26,4.9514472241164465e-26,1.6997242124693561e-16,1.0384057754934892e-21,1.2009334927140264e-23,4.1945893959955401e-27,6.0487046755371898e-47,1.3277154708988986e-37,8.6345482582040881e-36,1.7824468512807831e-65,7.2589075210154287e-68,8.6662498078035479e-67,7.8937752359893811e-69
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,1.463192913956372e-72,2.1147768443278112e-42,1.783919159630356e-24,8.0528077409493156e-53,8.6293518146718083e-37,6.1504504711684765e-85,5.2514978642733146e-14,1.0220779770172586e-71,5.2514978636718391e-14,6.2696040061700762e-49,8.2429505126712934e-49,8.5743758305276372e-71,9.9419673205501615e-72,6.4183600802548554e-35,1.4335508759389389e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3995153125958235e-16,5.3488043112711677e-26,1.9805808442395846e-25,3.399430302088139e-16,4.1065685063614103e-21,9.5045914977249844e-23,4.5888728876613846e-26,2.6399686503370461e-45,1.0621700675052228e-36,6.9445956978251664e-35,1.1407684350932013e-63,1.266450189835194e-65,1.5100271019529097e-64,1.3772522667006541e-66
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,5.6791554094966448e-70,3.38362170513587e-41,7.2143583498664691e-24,7.8115824596858586e-51,6.9034882534720876e-36,2.384393696714636e-82,1.0503000180306198e-13,6.5413087416355324e-70,1.0503000177900293e-13,1.003137677431203e-47,1.3188527482502838e-47,1.662532964753308e-68,1.9277024446201327e-69,5.1346645425806223e-34,4.5873673415928713e-55,5.7359767306774536e-12,1.6983207634697563e-13,6.7991231557982284e-16,2.1395108764712341e-25,7.9223239030651101e-25,6.7987794687962873e-16,1.6061514505222859e-20,7.4440099962234119e-22,5.5840225064235444e-25,1.2819488676739447e-43,8.4973046852067801e-36,5.6130153357402632e-34,7.3009249786679776e-62,2.4584802268129605e-63,2.9278724454014428e-62,2.6737153788153921e-64
