Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49)
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,2.2684066879568405e-93,3.1389565494512307e-52,1.3829324490462858e-34,1.7786121309304792e-70,7.7859204831431908e-50,2.8666146648884708e-113,2.6662242479460446e-21,3.1142625416021491e-101,2.6662242479417918e-21,4.9012276049166862e-69,1.074972318012089e-59,7.0406939196821848e-95,4.2543129764039177e-96,2.0362261634232472e-44,5.9440382876378644e-81,1.0573864914888509e-14,5.084008216521951e-16,1.9596513712609603e-19,1.9596515458414633e-19,8.722093514683282e-27,4.8087785410475453e-30,7.3175614003755586e-35,5.6731986767521267e-31,1.5985569191536926e-58,4.3016673556758147e-44,1.3980462396876638e-84,1.9224182777947207e-47
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,6.2754219075630687e-91,5.0233522985981816e-51,8.2163869015318685e-34,1.2298054889936443e-68,6.2303132916609325e-49,7.9252378483773765e-111,5.3330272291848926e-21,1.9938972622036233e-99,5.3330272291678782e-21,7.8440913541559763e-68,1.7204555997317975e-58,9.7338723867565447e-93,5.881655995389135e-94,1.6292902440816062e-43,1.9026254123833007e-79,2.115002500338152e-14,1.0169119972921062e-15,3.9197279318316893e-19,3.9197286304595502e-19,3.4874832412971523e-26,3.8457704019945547e-29,6.3341993355207477e-34,2.2696487967587815e-30,5.5294980477866359e-57,3.4419873050684656e-43,1.9340643454600683e-82,2.2579607074769283e-46
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,1.8450598746333467e-88,8.0381807161331844e-50,5.4306936806724381e-33,9.0370009222782574e-67,4.9848808508773812e-48,2.3279902821127563e-108,1.0666633191683425e-20,1.2763403058592549e-97,1.0666633191615363e-20,1.2552246643519124e-66,2.7531286255494923e-57,1.4299380745763932e-90,8.6403473506664555e-92,1.3035558610836807e-42,6.0892537832908395e-78,4.2302345180290071e-14,2.0339343485717692e-15,7.8398805292212629e-19,7.8398833254952608e-19,1.3935713854998218e-25,3.0737399972013694e-28,5.8332290140995391e-33,9.0793333489529223e-30,2.0333857513650874e-55,2.7538510563869634e-42,2.8438162126868435e-80,2.9565064426589857e-45
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,5.9400299975747415e-86,1.2861741156078716e-48,3.8822572394705467e-32,7.2710688807722851e-65,3.9881557886503153e-47,7.4856457951831194e-106,2.1333845116763845e-20,8.1693634760855425e-96,2.1333845116491588e-20,2.008495026124384e-65,4.4053245605934353e-56,2.2996599044264698e-88,1.3895608987228493e-89,1.042894041455182e-41,1.9486971524643589e-76,8.4606985533797296e-14,4.0679790511304547e-15,1.568018362899342e-18,1.5680194826788332e-18,5.5622660818462377e-25,2.4540540588373312e-27,5.8878299228486477e-32,3.6318805429737579e-29,8.189980591627389e-54,2.2031850415345758e-41,4.5790803468393378e-78,4.1998738368255407e-44
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,2.1397819395757219e-83,2.0579302158402453e-47,2.9124927405419489e-31,6.5458355209753165e-63,3.1906234860158582e-46,2.6929219765088073e-103,4.2668268967258095e-20,5.2286415012523673e-94,4.2668268966169048e-20,3.2136989452078057e-64,7.0487711175111414e-55,4.1378232752950113e-86,2.500264241999082e-87,8.3433478851516147e-41,6.2360454412388049e-75,1.6921626623957225e-13,8.1360684562452729e-15,3.1360781448514288e-18,3.1360826337958207e-18,2.2152145020450234e-24,1.9552501331444412e-26,6.6524476730924931e-31,1.4527813109922207e-28,3.6914768110388197e-52,1.7625892423650617e-40,8.2503610044853383e-76,6.2779308447152888e-43
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,8.6106288597014209e-81,3.2927279496265483e-46,2.239438361497337e-30,6.5831976843734015e-61,2.5525357856065296e-45,1.0823655076112843e-100,8.5337116669580206e-20,3.3464069989784672e-92,8.5337116665223981e-20,5.1419988734184348e-63,1.1278225016053872e-53,8.3180046077587945e-84,5.0261231792464694e-85,6.6747535511771507e-40,1.9955669747989399e-73,3.3843482764616422e-13,1.6272247266464689e-14,6.2721943567498007e-18,6.2722123896483839e-18,8.7839971184672899e-24,1.551506375490475e-25,8.3927080066103823e-30,5.8111806528884934e-28,1.8584597252434395e-50,1.4100871248917788e-39,1.660485167981915e-73,9.6362298243823367e-42
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,3.7714012320953689e-78,5.2683909597185752e-45,1.734735041994429e-29,7.2069679835533724e-59,2.0420393539615523e-44,4.7367923533992418e-98,1.7067481207955898e-19,2.1417208380586579e-90,1.7067481206213398e-19,8.227246764789946e-62,1.804528026555445e-52,1.820488448624053e-81,1.1000233363497481e-82,5.3398281713382672e-39,6.3858540818460467e-72,6.7687195043951648e-13,3.2544604886862652e-14,1.2544413372551992e-17,1.2544486105310042e-17,3.4535303395385028e-23,1.2213442588784684e-24,1.1513128208929017e-28,2.3244811196283412e-27,1.018107122027227e-48,1.128074787755244e-38,3.6371463042356751e-71,1.4920024864875686e-40
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,1.7319941039658134e-75,8.4294291093382449e-44,1.3338437688228893e-28,8.2734747377023725e-57,1.6336292560418498e-43,2.1744053380519554e-95,3.413502029208545e-19,1.3707026008449731e-88,3.4135020285115442e-19,1.316358285513893e-60,2.8872439836560183e-51,4.1788856178941339e-79,2.5250760004941386e-80,4.2718650420502243e-38,2.0434719039217664e-70,1.3537461959468933e-12,6.5089320127495081e-14,2.5088797772407832e-17,2.508909328755446e-17,1.3355820974324629e-22,9.4672014870470441e-24,1.6542260311553568e-27,9.2979244086987032e-27,5.8463449599276808e-47,9.0245993799535484e-38,8.3525758923967795e-69,2.2954253752695977e-39
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,8.0272463842534265e-73,1.3487033695906462e-42,1.0005070114447886e-27,9.586024865095043e-55,1.3068920863685683e-42,1.0076839088659044e-92,6.8270098468879727e-19,8.7724334880855563e-87,6.8270098440999724e-19,2.10615603630705e-59,4.6195561573556398e-50,9.6832975048660419e-77,5.8510962675395536e-78,3.417480832211502e-37,6.5390581579711076e-69,2.7074946866443379e-12,1.3017875060810603e-13,5.0177352046958191e-17,5.0178567561915402e-17,5.0078861755621639e-22,7.1293612420618006e-23,2.3963950168993941e-26,3.719155520226492e-26,3.3871947484894797e-45,7.2196490977940573e-37,1.9356162375266154e-66,3.4492798637929628e-38
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,3.6149898928893857e-70,2.1579033255606746e-41,7.1466784807480781e-27,1.0793109661345141e-52,1.0454924579343157e-41,4.5391423597689569e-90,1.3654025485660851e-18,5.6142512033099477e-85,1.3654025474508906e-18,3.3697838412179795e-58,7.3911551869991578e-49,2.1807993212723686e-74,1.3177398158638804e-75,2.7339606600836451e-36,2.0924584995638973e-67,5.4149916667699906e-12,2.6035761156671212e-13,1.0035360251009119e-16,1.0035868996798271e-16,1.7779285272909812e-21,5.1013833126817332e-22,3.3700938759593242e-25,1.4876479762326066e-25,1.9063748758473359e-43,5.7756577769681867e-36,4.3581520481032645e-64,4.944681341188023e-37
