Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,2.0339407019377792e-97,3.9498254680439603e-54,2.3961415167579346e-37,5.1114874267322093e-66,8.4242130210167778e-53,2.5353378602427022e-43,4.0479075201926599e-26,5.1082520581285817e-103,4.0479075196367922e-26,1.374009232832126e-65,3.225952837855362e-62,1.2070820519492857e-66,5.3969814112288245e-95,2.5360748733152791e-43,1.3790123228041414e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246476343165e-20,1.1561234476990755e-31,1.626724685971615e-20,1.9162491782924044e-28,7.9584836506401549e-32,2.6929302662985783e-37,2.8910517134324208e-61,2.0636722011833342e-45,2.3078768543946689e-88
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.7790733886395083e-95,6.3232143767509496e-53,1.9172501131861258e-36,4.092297984966546e-65,6.7462026058273476e-52,1.0147958723329607e-42,8.0993319029525377e-26,1.6370875555047868e-101,8.0993319007276219e-26,1.1003217571098032e-64,5.1675311661841911e-61,9.6639959923052846e-66,8.6422020906657929e-94,1.0153859309181628e-42,2.2088163052647088e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548625711204545e-20,4.6275066652120997e-31,3.2548627246013928e-20,7.6668068244014208e-28,6.3691551011647e-31,2.3934512427297539e-36,1.0268602142708901e-59,1.6521925354244275e-44,3.279243714508943e-86
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,1.7690688933132995e-92,1.0119938216282777e-51,1.5330440897343298e-35,3.2750824299505285e-64,5.399696117664422e-51,4.0605053231347395e-42,1.6202180671848244e-25,5.2425985641273621e-100,1.6202180662945677e-25,8.8070337225750086e-64,8.272858012334381e-60,7.7341338812322463e-65,1.3833152787997009e-92,4.0652275849910498e-42,3.5360244542526216e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111383029892772e-20,1.8516053705284852e-30,6.5111389173674198e-20,3.0651764845945985e-27,5.0933092713916836e-30,2.2951565120061673e-35,3.9313798850708383e-58,1.3222561208550715e-43,5.020423826921418e-84
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,6.004558556068088e-90,1.6194136779433665e-50,1.2247112442999998e-34,2.6205661900416386e-63,4.3208504892941846e-50,1.6244665342552677e-41,3.2407878223143445e-25,1.678258752313446e-98,3.2407878187527394e-25,7.0474112862426156e-63,1.3240419624315756e-58,6.1884821930849655e-64,2.213756924345042e-91,1.6282450610028692e-41,5.659174261631036e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023689306313151e-19,7.4076267253494152e-30,1.3023691766257162e-19,1.2242386632252725e-26,4.0691134177521683e-29,2.4426930989348813e-34,1.6694142372493067e-56,1.0580057255666489e-42,8.5228797186836853e-82
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,2.2889066144632046e-87,2.5912405021771347e-49,9.7681663135655525e-34,2.0966775036080813e-62,3.457117426647414e-49,6.4983949893260434e-41,6.4819273379749029e-25,5.3714317733139365e-97,6.4819273237273227e-25,5.6386428493241376e-62,2.1187746233192558e-57,4.9512558432245298e-63,3.542412008780163e-90,6.5286260700936451e-41,9.0559071168242379e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048789471306065e-19,2.9632914860518934e-29,2.6048799328060185e-19,4.8811748767665094e-26,3.2455514896600392e-28,2.9200363464712927e-33,7.9619620959061817e-55,8.4648483891253889e-42,1.6249648450437137e-79
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,9.6739589513130342e-85,4.1461269267348501e-48,7.7668954504646426e-33,1.6776932950640824e-61,2.7658680360382274e-48,2.5994637736707815e-40,1.2964206390902076e-24,1.7190187952362163e-95,1.2964206333909448e-24,4.5111998408818773e-61,3.3902844078613218e-56,3.9611927254068714e-62,5.6690121768012089e-89,2.6236497809488484e-40,1.4490434144775556e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.2098982434674669e-19,1.1853645393939467e-28,5.2099021991529371e-19,1.9397252526466831e-25,2.5806294568870165e-27,3.8675602509484846e-32,4.2095038255674503e-53,6.7721984554450894e-41,3.4348055449595589e-77
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,4.3953717950412081e-82,6.6339143052834877e-47,6.1383133105970217e-32,1.3452893205565119e-60,2.2127629007762341e-47,1.0398066684036395e-39,2.592876458318067e-24,5.5011172145970357e-94,2.5928764355205542e-24,3.6090741261390023e-60,5.4246478807236818e-55,3.1690294111153427e-61,9.090395568869076e-88,1.0591559247246734e-39,2.3185481023697419e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.0419933889495966e-18,4.741552321828435e-28,1.0419949813285183e-18,7.6583291855729587e-25,2.039504671242179e-26,5.5012864376657028e-31,2.3918951865048776e-51,5.4178845744701378e-40,7.8043260618540414e-75
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,2.0741709200705164e-79,1.0614343939082276e-45,4.7943396466600179e-31,1.1129497564364915e-59,1.7702358409023421e-46,4.159269015626971e-39,5.1857881313434208e-24,1.7603986740153641e-92,5.1857880401525077e-24,2.887305043587579e-59,8.6795806721574508e-54,2.5352536351304231e-60,1.501191078818225e-86,4.3140647629458259e-39,3.709739926765063e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0839993394985387e-18,1.8966383798271952e-27,2.0840057867978311e-18,2.9856433891825434e-24,1.5929251179183632e-25,8.1199168359641113e-30,1.411253452519992e-49,4.3343546387496114e-39,1.8415773107611577e-72
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,9.8514920349064308e-77,1.6982989774074428e-44,3.661586415042579e-30,1.3264058549178472e-58,1.4161958906507357e-45,1.6637160937030096e-38,1.0371611615672344e-23,5.6333418339366934e-91,1.0371611250907359e-23,2.3098623970491861e-58,1.3887411678489852e-52,2.0282149723126688e-59,3.5116600861115692e-85,1.7875532018345711e-38,5.935634415216016e-71,6.3052289609954259e-13,1.8391429259362405e-13,4.1680065259800719e-18,7.5865773662987106e-27,4.1680328947850718e-18,1.1363193430274257e-23,1.2165098382617232e-24,1.2053708357180306e-28,8.3789349220376322e-48,3.46749714993011e-38,4.3734420291762087e-70
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,4.5676795547035575e-74,2.7172734035698878e-43,2.6848077136748369e-29,6.1068000907453088e-57,1.1329548153100109e-44,6.6548815018501336e-38,2.0743259137440595e-23,1.8026800947246532e-89,2.0743257678380863e-23,1.8478973664889972e-57,2.2219820293673735e-51,1.6225768381617556e-58,3.1304374507868747e-83,7.6455777131775704e-38,9.4970560074446507e-70,1.2610479300851619e-12,3.678292088120518e-13,8.3360020405631014e-18,3.0346268716966151e-26,8.3361115712772232e-18,4.1398511900389296e-23,8.9190357208371002e-24,1.7454714497356465e-27,4.8553950249964786e-46,2.7739945309988292e-37,1.0138288610032818e-67
