Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CO2X(24),H2X(49),CHOX(53),CH4OX(60)
2.191309573537714e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990738,0.11866996602987696,0.022821567693052162,7.1935823748497328e-90,1.5307058664477655e-48,4.9687247839546405e-33,4.1571717837841775e-65,6.324870309474662e-44,4.6532644619517923e-106,2.2282474521108367e-20,1.4762182146321318e-92,2.2282474502402285e-20,3.3269367310540574e-62,4.7867052682174138e-53,1.3701887339257323e-88,8.2793129260881338e-90,1.5844279116408171e-40,3.3714164998161298e-73,8.8369114315168058e-14,4.2488655461859616e-15,1.637742341672618e-18,3.9620526660118211e-29,2.5103480196310298e-41,1.6377423586274795e-18,8.4870763168000062e-27,5.4449327503778762e-31,5.8083508336832566e-36,8.7340791407302187e-58,1.2128602586751468e-78,5.3152882389853516e-82,5.9645534635062798e-45,7.3943826255838514e-82,1.3017932463467967e-65
4.382678591764507e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981474,0.11866996602978859,0.022821567693050038,3.6487637422880533e-87,2.449191477389752e-47,1.9875726999006354e-32,5.2713828268691653e-63,5.0600563388717458e-43,2.3600762310469639e-103,4.4565553546724286e-20,9.4482522474638587e-91,4.4565553471898441e-20,5.3232792235959791e-61,7.6590064655657076e-52,3.4747324090745989e-86,2.0995934229985965e-87,1.2675723867344046e-39,1.0788910728376147e-71,1.7674062585920669e-13,8.4978463533493059e-15,3.2755290942181377e-18,1.584853270954683e-28,2.0083259158790866e-40,3.2755291620411424e-18,3.3946818017980391e-26,4.3557431516215281e-30,9.2082618112888337e-35,5.5378995034548245e-56,3.0757544203589316e-76,1.3480472433495434e-79,4.7718509297491364e-44,1.8753386581581123e-79,4.1658946010687827e-64
8.765416628218092e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319962949,0.11866996602961184,0.022821567693045788,1.859185540182187e-84,3.9187555585457347e-46,7.9507104161223868e-32,6.7148231314728843e-61,4.0481090499829903e-42,1.2025266417034733e-100,8.9131711709869909e-20,6.047027179173924e-89,8.913171141056352e-20,8.5173910039889694e-60,1.2254632256676738e-50,8.8522495646844385e-84,5.3489354228556012e-85,1.0140698971717489e-38,3.452511855212875e-70,3.5348364894187526e-13,1.6995807967664848e-14,6.5511025484986909e-18,6.339477256756733e-28,1.6066795301033343e-39,6.5511028198108879e-18,1.3577123277876725e-25,3.484145649360067e-29,1.4663646373776488e-33,3.5272872225387181e-54,7.8358078469430402e-74,3.4344405387938201e-77,3.8176778611541728e-43,4.7778178040274147e-77,1.333111180507435e-62
1.7530892701125263e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319925901,0.11866996602925835,0.022821567693037292,9.4941214076392078e-82,6.2700467172410145e-45,3.1805712392005986e-31,8.5724159452846042e-59,3.2385127379622617e-41,6.1409928740974502e-98,1.7826402848381634e-19,3.8701439313514259e-87,1.7826402728658467e-19,1.3627940622117623e-58,1.9607587471779491e-49,2.2602099324799965e-81,1.3657217265867879e-82,8.1126065633098007e-38,1.1048134308020909e-68,7.069696950855777e-13,3.3991731196251339e-14,1.3102249253817853e-17,2.5358035479589919e-27,1.2853508184149969e-38,1.3102250339211455e-17,5.4294837787471888e-25,2.7865489707148392e-28,2.3401407579523622e-32,2.2515783490386329e-52,2.0006843750362605e-71,8.7691990894362285e-75,3.0544032271974934e-42,1.219920392292077e-74,4.2659950780083717e-61
3.506184484693961e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319851805,0.11866996602855136,0.022821567693020295,4.8526540501351408e-79,1.0032100102503354e-43,1.2724482936098238e-30,1.0953837641617136e-56,2.5908202395611059e-40,3.1390710865229879e-95,3.5652866382232986e-19,2.4769068785867498e-85,3.5652865903339123e-19,2.1804795785087579e-57,3.1372275299996526e-48,5.7761812498191217e-79,3.4902273654027148e-80,6.490103300250821e-37,3.5354182028579424e-67,1.4139417872864434e-12,6.7983577653245969e-14,2.6204541851488467e-17,1.0143237967296907e-26,1.02828301298981e-37,2.6204546194187654e-17,2.1706853077274291e-24,2.227992139337724e-27,3.7378666501381527e-31,1.438544313638486e-50,5.1129313270650945e-69,2.2410691351264265e-72,2.4439180668654239e-41,3.1176170785868457e-72,1.3651243590632074e-59
7.01237491385683e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319703607,0.11866996602713739,0.022821567692986305,2.4804216471708391e-76,1.6051364755023695e-42,5.0915296630057205e-30,1.3997554214531268e-54,2.0726599712722217e-39,1.6048355017845396e-92,7.1305794166183871e-19,1.5852249607885666e-83,7.1305792250606098e-19,3.488774197350431e-56,5.0195731654155172e-47,1.4762422695783411e-76,8.9200949742830636e-78,5.1920884123187786e-36,1.1313361358810288e-65,2.8278859713420204e-12,1.3596727056652186e-13,5.2409123794959237e-17,4.057298729930361e-26,8.2262652252206622e-37,5.2409141174678776e-17,8.6738552259605677e-24,1.7803933676575642e-26,5.9706296901347135e-30,9.1913496510689323e-49,1.3067288378936883e-66,5.727584205357309e-70,1.9557576687423732e-40,7.9676622043409763e-70,4.3684051780180014e-58
1.4024755772182566e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319407211,0.11866996602430945,0.022821567692918321,1.2668721703910893e-73,2.5682137063567316e-41,2.0379932102864097e-29,1.7873109525086543e-52,1.6581291047712142e-38,8.1998843411109695e-90,1.4261165259907752e-18,1.014545221745845e-81,1.4261164493676264e-18,5.5820429604976986e-55,8.031318885897244e-46,3.7699799664397682e-74,2.2779739575582598e-75,4.1536707223307337e-35,3.6202785328441503e-64,5.6557743380685513e-12,2.7193465639022008e-13,1.0481827467442222e-16,1.6229192309074315e-25,6.5809993299516571e-36,1.0481834426436748e-16,3.4624470390933262e-23,1.421120081243471e-25,9.5295085526430509e-29,5.8680605191901506e-47,3.3370619222065044e-64,1.4626758998874089e-67,1.5655970490559803e-39,2.0346577329979004e-67,1.3978893636462659e-56
2.804951748883404e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318814418,0.11866996601865357,0.022821567692782353,6.4576390221201283e-71,4.1091221371944013e-40,8.1629528245966397e-29,2.2776295536678909e-50,1.3265031203631698e-37,4.1830213850459979e-87,2.8522338092482682e-18,6.4930906970161752e-80,2.8522335027556629e-18,8.9312681240835852e-54,1.2850094161798961e-44,9.6085900587420998e-72,5.8058407439130021e-73,3.3229328686675788e-34,1.1584890824980511e-62,1.1311551065983128e-11,5.4386942802620226e-13,2.0963652440345981e-16,6.4916686441833257e-25,5.2647730460301581e-35,2.096368033288673e-16,1.3793338524156475e-22,1.1318123921294233e-24,1.5179031148663649e-27,3.7388731139305662e-45,8.5051045494940207e-62,3.7278409730531121e-65,1.2540529628391098e-38,5.1852331726623131e-65,4.4732362146206498e-55
5.6099040922137e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317628833,0.1186699660073418,0.022821567692510418,3.2779257100779737e-68,6.5745281637541192e-39,3.2738640324625035e-28,2.8903654032308858e-48,1.0612014476217161e-36,2.1266601516142421e-84,5.7044688341612845e-18,4.1555749835772015e-78,5.7044676081913561e-18,1.4290015681166958e-52,2.056008177433046e-43,2.4387932211607177e-69,1.4735738913645711e-70,2.6583388813938789e-33,3.707161712322202e-61,2.2623104499658327e-11,1.0877389712525091e-12,4.192728157421874e-16,2.596659595972376e-24,4.2117738256162097e-34,4.1927393592605056e-16,5.4726848819490296e-22,8.9740708668322236e-24,2.4075919334175656e-26,2.3722803950094525e-43,2.1586613217865401e-59,9.4612637055496071e-63,1.0057346929649264e-37,1.3158166569368145e-62,1.4314280898439134e-53
1.121980877887429e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315257663,0.11866996598471827,0.022821567691966547,1.650046432436335e-65,1.0519026714481185e-37,1.3163363928522474e-27,3.6374623551610961e-46,8.4895916537534971e-36,1.0738827406822975e-81,1.1408940717575776e-17,2.6595629112260589e-76,1.1408935813701232e-17,2.2863973389076726e-51,3.2895884923927542e-42,6.1387806884562129e-67,3.7090444399893221e-68,2.1266586520193321e-32,1.1862891157768884e-59,4.5246211278392917e-11,2.1754780575224944e-12,8.3854456594392086e-16,1.0386573014523077e-23,3.3693467471490039e-33,8.385490818782831e-16,2.1541512639921897e-21,7.0534261897711024e-23,3.7866620418585113e-25,1.4926324422234537e-41,5.4333882223208334e-57,2.3812720720131676e-60,8.0848900166306038e-37,3.3107501430301101e-60,4.5805183316556786e-52
