Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,0.0,1.1516006321138846e-54,4.3076014169038135e-36,1.2905716377150546e-75,1.614434515487569e-48,1.2567019664715234e-119,6.5595161308696005e-22,9.6270629856001489e-102,6.5595161307074265e-22,2.5016483055440266e-68,3.5987626664130922e-59,1.2550775838030749e-100,7.5837593740028878e-102,4.0462669500665778e-45,7.4685699679704061e-81,2.6014104975124807e-15,1.2507812848323788e-16,4.8211868753046071e-20,3.4349451469132171e-32,6.410855774100132e-46,4.8211868767744816e-20,7.358422189806664e-30,1.3906063625508215e-35,6.9946346100159024e-42,9.1761329845341238e-67,1.1109666648277037e-90
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,0.0,1.8440615484081045e-53,1.7241642427051118e-35,1.3296097963851605e-73,1.2928569760283773e-47,5.1743974652469023e-117,1.3124731233505867e-21,6.1708431507546979e-100,1.3124731232856744e-21,4.0069849071387951e-67,5.764721188735678e-58,2.5845966199938341e-98,1.5617328440649742e-99,3.2394738613650604e-44,2.3926248239588878e-79,5.2050811257771009e-15,2.5026492606159265e-16,9.6465624432102798e-20,1.3748732302969309e-31,5.1325826813119809e-45,9.6465624490936142e-20,2.9452809684645859e-29,1.1133283304298017e-34,9.0352747016036922e-41,4.7323132867896054e-65,2.2878272394569697e-88
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,0.0,2.9516994954615226e-52,6.8989114624520936e-35,1.4952212259081919e-71,1.0348095817998316e-46,2.3261307129972568e-114,2.6255161439749866e-21,3.9523896720535789e-98,2.6255161437152542e-21,6.4146559267293674e-66,9.2289181424175877e-57,5.8106672734782738e-96,3.5110739744030727e-97,2.5925636277815837e-43,7.660693950662866e-78,1.0412422382301648e-14,5.0063852121829258e-16,1.9297313574610997e-19,5.5012837684323678e-31,4.1076260213265312e-44,1.9297313598152043e-19,1.1784915724711708e-28,8.9099733366865389e-34,1.2729523267950829e-39,2.6630638119374261e-63,5.1434729648833614e-86
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,0.0,4.7236802127272491e-51,2.7600207471349456e-34,1.7814738555306259e-69,8.2805731631896753e-46,1.1081647339137364e-111,5.2516021856123765e-21,2.5305058458590782e-96,5.2516021845732771e-21,1.0266234327914139e-64,1.4770561789248579e-55,1.3842699533737523e-93,8.3643994363246776e-95,2.0744447976047274e-42,2.4521093942620357e-76,2.0827104895331955e-14,1.0013857115316534e-15,3.8598815819769893e-19,2.2008717230017898e-30,3.2867248764567389e-43,3.859881591394976e-19,4.7146980278719407e-28,7.1292732930905699e-33,1.8984809657062744e-38,1.5872461342658045e-61,1.2253248579890727e-83
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,0.0,7.5586571433218621e-50,1.1041036974539176e-33,2.1954795171991623e-67,6.6252972251543485e-45,5.461635712916723e-109,1.0503774270441515e-20,1.6198362750958969e-94,1.0503774266284776e-20,1.6428203090987476e-63,2.3636333515791838e-54,3.4114554331803777e-91,2.0613591901716898e-92,1.6597134062503702e-41,7.847849944801438e-75,4.1656469921317468e-14,2.0028800921582208e-15,7.720182023951757e-19,8.804203335538996e-30,2.6296295124491371e-42,7.7201820616270537e-19,1.8860041770149465e-27,5.7038655950580264e-32,2.9269098893538645e-37,9.783321972862761e-60,3.0197441613721706e-81
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,0.0,1.2094466161620306e-48,4.4166388699342362e-33,2.7558601972030888e-65,5.3005732603540211e-44,2.7419658122893954e-106,2.1008118446317224e-20,1.0367952349352425e-92,2.1008118429689599e-20,2.6286907518681588e-62,3.7820881193017015e-53,8.56377345200834e-89,5.1746280880776325e-90,1.3278337447245094e-40,2.5114879688994598e-73,8.3315199972987975e-14,4.0058688534107363e-15,1.5440782879673239e-18,3.5218245970247706e-29,2.1038033971758172e-41,1.5440783030382847e-18,7.5440955178825217e-27,4.56315776259935e-31,4.5944070114220846e-36,6.1411372984840257e-58,7.58046087887482e-79
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,0.0,1.9351636544898568e-47,1.7667269832233561e-32,3.4925460456782804e-63,4.2405927755286229e-43,1.3898952539835013e-103,4.2016806822938373e-20,6.6358095411746789e-91,4.2016806756426515e-20,4.2060477861050948e-61,6.0515606838067212e-52,2.1705186136380496e-86,1.3115277563232372e-87,1.0622921868882061e-39,8.0370430374249638e-72,1.6663266007512709e-13,8.0118463759132912e-15,3.0881984478204012e-18,1.4087584670823349e-28,1.6830825334845296e-40,3.0881985081072948e-18,3.0175170774629169e-26,3.6503707300267239e-30,7.2797800683078705e-35,3.8916788440380856e-56,1.9212945067832052e-76
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,0.0,3.0963007459424335e-46,7.0672637106505061e-32,4.4476650740685783e-61,3.3925278418321335e-42,7.0797752845176834e-101,8.4034183675659605e-20,4.2470204689989195e-89,8.4034183409609488e-20,6.7297904373000011e-60,9.6826724632377619e-51,5.5280898769534515e-84,3.3403276360277558e-85,8.4984379816162657e-39,2.5718987852768962e-70,3.3326758027459762e-13,1.6023801420908488e-14,6.1764387223616786e-18,5.6350909269872987e-28,1.3464817929633354e-39,6.1764389635263026e-18,1.2068731125928143e-25,2.9199438942768316e-29,1.1589518819874749e-33,2.4780703649897398e-54,4.8933411309275401e-74
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,0.0,4.9541111711312128e-45,2.8271468978841902e-31,5.6773445580572112e-59,2.7140436481003081e-41,3.6148191373349324e-98,1.6806893777901779e-19,2.7181257897680122e-87,1.6806893671481186e-19,1.0767755599343003e-58,1.5492414993801014e-49,1.4112833645158529e-81,8.5276269475219584e-83,6.7987901333340114e-38,8.2301479206471456e-69,6.6653742065430773e-13,3.2047711510859249e-14,1.2352919090784729e-17,2.2540476238598591e-27,1.0771914843474215e-38,1.2352920055564895e-17,4.8263494191970801e-25,2.3353494248266985e-28,1.8493174125165914e-32,1.581630036371547e-52,1.2492362046487514e-71
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,0.0,7.9265982027972221e-44,1.1310431407227369e-30,7.2542160003418869e-57,2.1712433498181919e-40,1.8475203631874615e-95,3.3613844757739699e-19,1.7396108805683665e-85,3.3613844332056257e-19,1.7228480767724439e-57,2.4787971251516129e-48,3.606514993078801e-79,2.179223191937635e-80,5.4390472910056066e-37,2.6336586868108146e-67,1.3330771013368044e-12,6.4095531690602262e-14,2.4705879104992857e-17,9.016211731879388e-27,8.6175519701960723e-38,2.470588296505672e-17,1.9296112390191292e-24,1.8672944628937591e-27,2.9537676667641156e-31,1.0104702894852499e-50,3.1924048828610699e-69
