Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24),CHOX(50),COX(47),C2H6X(49)
9.851792013763502e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999635,0.09999999999999748,0.099999999999999464,1.4121532408691967e-104,5.4208480949646078e-58,4.1110727541321202e-46,5.4244732091143774e-81,1.7844566447166304e-48,7.867506313499218e-134,3.2568490757071021e-34,4.1818404200274704e-125,3.2552827132646786e-34,6.0132757993174932e-80,1.7728223511743988e-62,3.1768511504670179e-116,9.6879391850617155e-118,3.4414412287847116e-53,6.5182443233433795e-97,2.5307669743466067e-15,1.1072814817077321e-15,1.9881105564948771e-20,3.0918260419626109e-32,1.9881105565881661e-20,4.8188344389909451e-31,1.5923513206534084e-35,7.5034951161106097e-42,2.3146404404958058e-65,5.1578644146526587e-46,1.4799315412152118e-94,1.2203983778577246e-93,5.2195202542021691e-95,1.7605441623103162e-62
1.971214336029309e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999271,0.09999999999999494,0.099999999999998909,7.2421989681355321e-102,8.6805521130116909e-57,3.2909455918511206e-45,6.9518049622703584e-79,1.4290125737329575e-47,8.073156771303531e-131,6.5196631903537021e-34,2.6814005343685854e-123,6.5133936585257954e-34,9.631691762018615e-79,2.8398167698783457e-61,8.1526706192015428e-114,2.4831535230589783e-115,2.7552455242483611e-52,2.0881792963233556e-95,5.0637327036641172e-15,2.2155249803412968e-15,3.9779484026964403e-20,1.2375361687616722e-31,3.977948403069848e-20,1.928725854582484e-30,1.2748093492704674e-34,1.2014675383513615e-40,1.4831641842550179e-63,4.1294277305312117e-45,3.7948866944805088e-92,3.1293834826194217e-91,1.337835618103834e-92,2.8199303126399202e-61
3.9432846053352264e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998544,0.099999999999989875,0.099999999999997799,3.7109075752315904e-99,1.3894642419494407e-55,2.6334698904769116e-44,8.903341087874442e-77,1.1437892450172526e-46,8.275168112061505e-128,1.3054701874913224e-33,1.7185567558871588e-121,1.3029615581159198e-33,1.5419071972184051e-77,4.5463493630612649e-60,2.0933711077008178e-111,6.3604833211730265e-113,2.2050337909557561e-51,6.6859218170926947e-94,1.0129664162291743e-14,4.4320119776082341e-15,7.9576240948281251e-20,4.9517566313992818e-31,7.9576240963222928e-20,7.7169056171228716e-30,1.0201710214169063e-33,1.9229876247629497e-39,9.4975683452957552e-62,3.3047971961033575e-44,9.7224957688745401e-90,8.0174763810704077e-89,3.4268042858673611e-90,4.5143376180725328e-60
7.887425143947061e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997087,0.099999999999979744,0.099999999999995579,1.9005569430962128e-96,2.2236036217167937e-54,2.1068664299287222e-43,1.139847324067346e-74,9.1526312689594584e-46,8.4772375372120947e-125,2.6162421065092436e-33,1.1017543656287801e-119,2.6062059554870679e-33,2.4677209181903431e-76,7.2762736786313081e-59,5.3861986365304591e-109,1.6285999691897822e-110,1.7643620484036547e-50,2.1400948553366952e-92,2.0261527079517413e-14,8.8649859721413405e-15,1.591697547800572e-19,1.9810250842620138e-30,1.5916975483983775e-19,3.0868566842772935e-29,8.1618957794221484e-33,3.0770122034311417e-38,6.079597546012297e-60,2.6443398619865191e-43,2.4897062343635656e-87,2.0530897796115825e-86,8.7743227556587823e-88,7.224900040609753e-59
1.5775706221170731e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994172,0.099999999999959482,0.099999999999991152,9.7305668435223454e-94,3.5581344913752896e-53,1.68521763674922e-42,1.4588830693097363e-72,7.3230320500058768e-45,8.680901247260825e-122,5.2528426729650376e-33,7.0711966150599757e-118,5.2126948016072315e-33,3.9488890665297261e-75,1.1643729857283305e-57,1.3921298202513443e-106,4.1688732284561687e-108,1.4116236519865536e-49,6.8492634800959557e-91,4.0525252913850408e-14,1.773093396120448e-14,3.1835678240017806e-19,7.9247452024192307e-30,3.1835678263935256e-19,1.2345168149231738e-28,6.5285012198905999e-32,4.9225102231295719e-37,3.8906099376268597e-58,2.1156727421209384e-42,6.3734573594077351e-85,5.2557504307720274e-84,2.2460419945476458e-85,1.1561408166685182e-57
3.155226837561807e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988346,0.099999999999918959,0.099999999999982284,4.9801866272192284e-91,5.693310104998398e-52,1.3475655631655323e-41,1.8666220632958787e-70,5.8587964735906315e-44,8.8861480061356783e-119,1.058627071952355e-32,4.5498229118224885e-116,1.042567269935903e-32,6.3186510117874709e-74,1.8631321255426929e-56,3.6308878190152657e-104,1.0668052290076654e-105,1.1293525180640029e-48,2.1919179151698596e-89,8.1052704582043069e-14,3.5462829939318462e-14,6.3673083746669599e-19,3.1700270234664177e-29,6.3673083842369385e-19,4.9356592114902763e-28,5.2204340459081299e-31,7.8725874106592588e-36,2.4889863833985332e-56,1.6926185214535121e-41,1.6309936612420954e-82,1.3449667708708616e-81,5.7475706566904316e-83,1.8499507627828402e-56
6.310539268451275e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976695,0.099999999999837899,0.099999999999964548,2.5475477172731829e-88,9.1095319273622306e-51,1.077013009760957e-40,2.3870836380508451e-68,4.6871855120584939e-43,9.0912828403256753e-116,2.1494034466965147e-32,2.9425187645122358e-114,2.0851629316908515e-32,1.0110184425369633e-72,2.9811196186408652e-55,9.6367489583926614e-102,2.7285207001444645e-103,9.0350343490330877e-48,7.0143830935758407e-88,1.6210760791653504e-13,7.0926621895497257e-14,1.2734789469048363e-18,1.2680365702110297e-28,1.2734789507349902e-18,1.9722197040784735e-27,4.1722684527442276e-30,1.2584254861919081e-34,1.5914829708238022e-54,1.3541269210479982e-40,4.1715603914323002e-80,3.4399892046973809e-79,1.4700308058745444e-80,2.9600215858525006e-55
1.2621164130230212e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953391,0.099999999999675793,0.09999999999992909,1.3018850383157987e-85,1.4575439108134583e-49,8.5992523787700816e-40,3.0496909764969687e-66,3.7498077361858691e-42,9.2919427376453689e-113,4.4273192577041806e-32,1.9222876626402396e-112,4.1703545840191049e-32,1.6176569298783084e-71,4.7698777566530955e-54,2.641308680018666e-99,6.9718350927177078e-101,7.2281128628127812e-47,2.2446419087435583e-86,3.2421741457794553e-13,1.4185420580765813e-13,2.5469751630015356e-18,5.072197577875929e-28,2.5469751783389322e-18,7.8723349073049474e-27,3.3311887228399674e-29,2.009614180080701e-33,1.0166158191508865e-52,1.0833143336428465e-39,1.0659038050224193e-77,8.7897208556255473e-77,3.7561790699522832e-78,4.7361148213078208e-54
2.5242413853788084e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039906784,0.099999999999351566,0.099999999999858161,6.6403453613556058e-83,2.3320851118080928e-48,6.852485740320379e-39,3.8887860659300433e-64,2.9998699075202258e-41,9.4787759942557902e-110,9.3686031241129922e-32,1.2802382390676944e-110,8.3407392039490448e-32,2.5882730152484026e-70,7.6318728354914854e-53,7.6488872295948594e-97,1.7780279278633996e-98,5.7825239649259838e-46,7.1829169907802567e-85,6.4843702787047284e-13,2.8370937363119295e-13,5.0939675840766085e-18,2.0288891105415905e-27,5.0939676455587419e-18,3.1357287711465775e-26,2.6543623773688383e-28,3.2030198205213753e-32,6.4815448530102719e-51,8.6665651379634591e-39,2.7183440008022228e-75,2.2416021642484465e-74,9.5793878794752521e-76,7.57784791044142e-53
5.048491330090383e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039813567,0.099999999998703126,0.099999999999716302,3.3741634204070021e-80,3.7313474623566699e-47,5.4393667715938833e-38,4.9400580483015365e-62,2.3999053939207157e-40,9.6327641668881132e-107,2.0792979821033376e-31,8.8330570001475754e-109,1.6681513704902707e-31,4.1412543337659743e-69,1.2211049135107741e-51,2.4071408083448312e-94,4.5174466945655788e-96,4.6260318754766844e-45,2.2985434805038727e-83,1.2968762543343528e-12,5.6741970927511497e-13,1.0187952381753447e-17,8.1155751605067751e-27,1.0187952628728343e-17,1.2438411561633039e-25,2.1067207875768764e-27,5.0856635353167885e-31,4.1167410111575532e-49,6.9332711479835047e-38,6.9063189609403129e-73,5.6950148127119673e-72,2.4338410404778776e-73,1.2124607913604711e-51
