Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.0674398436293523e-121,6.3232327972466856e-53,3.7765189257618692e-40,4.092299760908472e-65,3.1383203428043886e-48,1.0147963239866065e-42,8.0993355544067672e-26,1.637090252118869e-101,8.0993352250900423e-26,1.1003230917665554e-64,1.4695315008227179e-57,9.6640004370275378e-66,8.6422116215828983e-94,1.0269116983851999e-42,2.2088182090434988e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548626473277462e-20,4.6275067988572168e-31,1.652192579962051e-44,3.2548626483300844e-20,5.2413760323873327e-30,2.9741397074970148e-35,2.2865162902184805e-41,9.6889365313024439e-65,5.7455943599867149e-80
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,3.2747945336405959e-119,1.0119967964488174e-51,1.5135462470124045e-39,3.2750837557950234e-64,2.5119282508909607e-47,4.0605072709255492e-42,1.6202188630809869e-25,5.2426093654947269e-100,1.6202187313114013e-25,8.8070478339533634e-64,2.3526178433345056e-56,7.7341376882897448e-65,1.3833167672935148e-92,4.1574670870769106e-42,3.5360288341729586e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111386079177028e-20,1.8516054774851931e-30,1.3222561921442713e-43,6.5111386119283748e-20,2.0972212319278921e-29,2.3802012794221887e-34,3.610958574635696e-40,6.1205547834368415e-63,9.1966933198756943e-79
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,2.1336466768478429e-117,1.6194185230652107e-50,6.0747475244330302e-39,2.6205661368722232e-63,2.0100515148160894e-46,1.6244674259870702e-41,3.2407896760949004e-25,1.6782635966439223e-98,3.240789148930756e-25,7.0474280655524203e-63,3.7652828526358362e-55,6.1884856392715002e-64,2.2137584204160162e-91,1.702050010280651e-41,5.6591855356813809e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023690526225366e-19,7.4076275811655291e-30,1.0580058396525707e-42,1.3023690542270758e-19,8.3901553272076139e-29,1.9044996339623953e-33,5.7394876888967687e-39,3.8913802704434107e-61,1.4717711530907196e-77
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,1.4130297040067383e-115,2.5912485255017428e-49,2.4457591299114267e-38,2.0966696223460408e-62,1.6082448010249418e-45,6.4983994565259707e-41,6.4819320930559018e-25,5.3714561539791537e-97,6.4819299842277038e-25,5.6386650553462876e-62,6.0253281222409981e-54,4.9512592404356743e-63,3.5424018980058734e-90,7.1191190600958381e-41,9.0559388052975013e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048794351351687e-19,2.9632921707697039e-29,8.464850214685582e-42,2.6048794415539234e-19,3.3562590859795855e-28,1.5237075322557989e-32,9.1525745810884088e-38,2.4821884424989244e-59,2.355092049056725e-76
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,9.6494632521587685e-114,4.1461406299247341e-48,9.908730596359059e-38,1.6776378539952971e-61,1.2866772793411377e-44,2.5994662806386931e-40,1.296422009071059e-24,1.7190322788944637e-95,1.2964211655054561e-24,4.5112316571160158e-61,9.6412254097111396e-53,3.961196467353649e-62,5.6688390914461056e-89,3.096065532339551e-40,1.4490528524889626e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.2099001955648279e-19,1.1853650871940557e-28,6.7722013764891373e-41,5.2099002212415002e-19,1.3424973153425199e-27,1.2189649468967798e-31,1.4619118975376978e-36,1.5858904577662964e-57,3.7688093810134572e-75
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,6.9608113426372675e-112,6.6339389997717314e-47,4.0637989653431474e-37,1.3449831010980207e-60,1.0293743964857092e-43,1.0398082472351072e-39,2.592880874095067e-24,5.5011967251892162e-94,2.5928774997640107e-24,3.609122061113014e-60,1.5426520722876713e-51,3.1690340432608519e-61,9.0884438172602277e-88,1.4370970698214366e-39,2.3185771802134693e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.0419941698041732e-18,4.7415567043310209e-28,5.4178892482568147e-40,1.0419941800755391e-18,5.3696109833325483e-27,9.7510079764811398e-31,2.3368949688268193e-35,1.0140319757393759e-55,6.0422618955398103e-74
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,5.5850636675231588e-110,1.061439231113771e-45,1.7056974285303664e-36,1.112334581383438e-59,8.2351254116870985e-43,4.159279939255181e-39,5.185803666115329e-24,1.7604473895319729e-92,5.1857901686538537e-24,2.8873793626383769e-59,2.4682880301544902e-50,2.5352599625491786e-60,1.5003929787002679e-86,7.3376281003255002e-39,3.7098311777121203e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0840024629465879e-18,1.896641885867197e-27,4.3343621168949073e-39,2.0840025040363695e-18,2.147476311148053e-26,7.799390410568592e-30,3.7367763171717853e-34,6.4859001062665113e-54,9.9750480000039284e-73
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,6.7204221315078126e-108,1.6983095523024694e-44,7.4637922511225927e-36,1.3546840929023476e-58,6.5881523388868191e-42,1.6637241497857552e-38,1.0371669498044552e-23,5.6336466653720235e-91,1.0371615507924485e-23,2.3099794059764732e-58,3.9492963264151999e-49,2.0282242289560021e-59,3.5832487642944082e-85,4.2064175428522147e-38,5.9359235411710838e-71,6.3052289609954239e-13,1.8391429259362405e-13,4.1680190198195544e-18,7.586605414726956e-27,3.4675091150117843e-38,4.1680191842106976e-18,8.5868310531523628e-26,6.2371368653384296e-29,5.9753607095253289e-33,4.1485713565995364e-52,2.3822472883085497e-71
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,3.4224039178835328e-105,2.7172993963595064e-43,3.4977792531036263e-35,7.0281876961447359e-57,5.2705425361540718e-41,6.6549432192120293e-38,2.0743482153455499e-23,1.8028729640126952e-89,2.0743266192429502e-23,1.8480830595661556e-57,6.3189015648034213e-48,1.622590955003588e-58,3.5981744889310148e-83,2.6996547132108488e-37,9.4979766073895047e-70,1.2610479300851617e-12,3.678292088120518e-13,8.3360520159180377e-18,3.0346493104132099e-26,2.7740136751048419e-37,8.3360526737335249e-18,3.4322493775126858e-25,4.9858681641748205e-28,9.5524321885111848e-32,2.6528391489916241e-50,2.392169430252597e-69
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,4.9894147105384859e-102,4.3476781216076525e-42,1.8080864188004555e-34,8.1591512347447143e-55,4.2164420727973781e-40,2.6620044291926278e-37,4.1487431430469132e-23,5.7698215597688459e-88,4.1486567585294573e-23,1.4786169311812374e-56,1.011026144932242e-46,1.2980855019508726e-57,8.307157259221081e-81,1.8935305965014709e-36,1.5198262577378543e-68,2.5220979976823005e-12,7.3565904124404378e-13,1.6672117537525222e-17,1.2138608092746066e-25,2.2192112764829418e-36,1.6672120170780921e-17,1.3709121153018114e-24,3.982542952632069e-27,1.5260263458098974e-30,1.6952119183740542e-48,5.5228316466576285e-67
