Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0397720257321284e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-6.244863762128746e-126,2.9113787211395365e-68,2.7147004323558502e-50,2.4490288378369012e-99,3.6691142186444989e-57,6.1259784465639346e-158,3.4356739038650245e-37,-2.6072478770011456e-141,3.4356712879466454e-37,2.4449849223708797e-91,5.7492626598702025e-72,3.0092748792333999e-137,9.188570050386003e-139,9.8702484272325332e-60,5.4152006800141297e-111,2.6710071628566426e-18,1.1686404947267414e-18,2.5387922461350666e-22,2.5387922461374227e-22,1.1782349164138053e-34,8.6950036656542291e-41,1.081616344209136e-49,5.1637288471461302e-38,1.5899970070979928e-54,7.3108750861625946e-79,-3.1092328419304702e-113,-2.5639757814121823e-112
2.9113616720499594e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.8797176776925907e-123,8.8671560881803492e-67,3.2228840493164934e-49,4.4531827144714851e-97,5.5447654072920547e-56,3.1142273257245661e-155,9.6198954067475734e-37,5.0331568698416912e-140,9.6198796066005668e-37,6.8952486787651968e-90,1.8076601181252407e-70,9.8804130305677462e-135,3.0166291210328198e-136,1.1717958932814144e-58,2.8030638297914723e-109,7.4788200559985934e-18,3.2721933852348757e-18,7.1086182891743707e-22,7.1086182891886007e-22,7.1165338242167904e-34,1.0322701607433172e-39,2.1345545693064915e-48,3.1188922236773332e-37,1.8876444468273274e-53,7.3447747082378143e-77,5.2166396221328787e-111,4.3018128056728116e-110
6.654540964685622e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,1.4563183272010599e-120,1.9601797300249965e-65,3.1642388936458189e-48,7.4521288405737902e-95,5.9648056030415806e-55,5.4818202326375893e-152,2.1988372316214697e-36,5.3144978012488575e-138,2.1988296245308239e-36,1.4998671987017451e-88,4.0327902807682782e-69,3.3068491414484308e-132,1.0095701843324863e-133,1.1504761566793428e-57,1.2239273687887034e-107,1.7094445842282472e-17,7.4792991662511435e-18,1.6248270375237712e-21,1.6248270375306226e-21,3.4262995305582306e-33,1.013487536497749e-38,3.8971532921355295e-47,1.5016123487516678e-36,1.8533005114752136e-52,6.1425727910674185e-75,2.0115145215310241e-108,1.6587611091745726e-107
1.4140899549956949e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,9.0044320016507413e-118,3.6581483753528743e-64,2.7987240913329293e-47,1.0840824277416702e-92,5.482683994683286e-54,7.201535525105777e-149,4.6725461749957038e-36,4.2006782340279598e-136,4.6725129528322942e-36,2.7805010101490678e-87,7.5529698780348815e-68,9.6265384545088757e-130,2.9386200071252611e-131,1.0175831318562932e-56,4.5563747188061032e-106,3.6325697414850121e-17,1.5893510728283676e-17,3.4527574547303346e-21,3.4527574547602557e-21,1.4963504839489192e-32,8.9641570730742143e-38,6.6515726747296681e-46,6.55793563589169e-36,1.6392233144414751e-51,4.4638497262199778e-73,6.2165744076175938e-106,5.1263919525160386e-105
2.91136167204996e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.099999999999999992,5.0485909867415081e-115,6.3084496541469889e-63,2.3524823007219526e-46,1.4760997215455176e-90,4.6905515877459253e-53,8.3124927468480504e-146,9.6200183076674114e-36,2.9773069298453455e-134,9.6198796116749683e-36,4.7789708153296696e-86,1.3045877173309435e-66,2.622732265270634e-127,8.0044142993110266e-129,8.5533993631069153e-56,1.5697401751039656e-104,7.4788200559985e-17,3.2721933852348732e-17,7.1086182891190361e-21,7.1086182892439492e-21,6.2469307881573875e-32,7.5348713988810506e-37,1.0981993756491158e-44,2.7378090347713063e-35,1.377865966405739e-50,3.0375773067540536e-71,1.7424595082589599e-103,1.4368894841304293e-102
5.90590510615849e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999853,0.099999999999999978,2.7025493535542531e-112,1.0473613704593635e-61,1.9286850145626332e-45,1.9475620952459028e-88,3.8782387590579169e-52,9.0263438408052178e-143,1.9515179556703765e-35,2.0036111997460571e-132,1.9514612938319258e-35,7.9207936531451682e-85,2.1675920041005118e-65,6.9247845488126221e-125,2.1124506394280714e-126,7.0125935725347371e-55,5.2093953203498265e-103,1.5171320685025303e-16,6.6378780100478807e-17,1.4420339957798736e-20,1.4420339958309053e-20,2.5520440669550754e-31,6.1774727021342009e-36,1.7844236957717792e-43,1.1184843232194291e-34,1.1296577664206244e-49,2.0034113987612887e-69,4.6633645451042194e-101,3.8455639474597672e-100
1.1894991974375549e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999957,0.0999999999999997,0.09999999999999995,1.4145116837585271e-109,1.7068292851475332e-60,1.5618636232618983e-44,2.5305345190799291e-86,3.1537193506016728e-51,9.5151573164797452e-140,3.9306369989548238e-35,1.3146689994193656e-130,3.9304079627443623e-35,1.2896959131985792e-83,3.5337220386440843e-64,1.8012464987494436e-122,5.4898834530130576e-124,5.6789800888644858e-54,1.6974056205367493e-101,3.0556321943078222e-16,1.3369247259673878e-16,2.9043783294767349e-20,2.9043783296830146e-20,1.0315519602116739e-30,5.0025640057512531e-35,2.8769187153252839e-42,4.5210924647612538e-34,9.1482614761240331e-49,1.3013972375625975e-67,1.2203482484972333e-98,1.0063393430746963e-97
2.3873165710809667e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999912,0.099999999999999395,0.099999999999999881,7.3218292053644552e-107,2.7560278530059579e-59,1.2570666894124768e-43,3.2632264684382771e-84,2.5435889074205717e-50,9.8848858043826451e-137,7.8892222594324052e-35,8.5192016605172144e-129,7.8883013149035428e-35,2.0815744034310329e-82,5.706970531415788e-63,4.6540440848131174e-120,1.4159269914679762e-121,4.5709372357158773e-53,5.4808198906581607e-100,6.1326324459181333e-16,2.68319857589258e-16,5.8290669967141395e-20,5.8290669975436038e-20,4.1476235818502554e-30,4.026315945882781e-34,4.6204038357386091e-41,1.8179113956343758e-33,7.3633167168994866e-48,8.3905272161919327e-66,3.1583304218255576e-96,2.6044632305617655e-95
4.782951318367791e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999823,0.099999999999998784,0.099999999999999742,3.7690051800883637e-104,4.4298299627907996e-58,1.008625378951814e-42,4.1921545121762608e-82,2.0431489364671679e-49,1.0194433991722318e-133,1.5807781476022168e-34,5.4865681112600837e-127,1.5804088076559143e-34,3.3450341845110878e-81,9.1737884506273242e-62,1.2000850403708779e-117,3.6380390978669119e-119,3.6678892642440564e-52,1.7617605789463392e-98,1.2286632949137666e-15,5.3757462757429357e-16,1.1678444330563675e-19,1.1678444333890358e-19,1.6632209792731998e-29,3.2305716787167118e-33,7.4060291882708411e-40,7.2906377775663707e-33,5.9085979400694671e-47,5.3893506505392471e-64,8.1288673815423915e-94,6.7033315405012815e-93
