Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH4OX(60),CHOX(53),C2H4X(210),C2H4X(65)
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1790218648579911e-54,1.770306390601001e-30,5.1831280634138556e-72,8.7534809197537292e-46,3.9915078456585367e-110,5.2606316163437125e-17,1.0438072596165445e-89,5.2606316163429816e-17,6.3754590548001834e-61,9.8161993400837609e-59,5.5444889615481233e-93,6.4288223014708793e-94,2.4271162442178629e-42,1.4614521530019987e-71,2.872975343858981e-15,8.506369370489945e-17,3.4053849041348737e-19,5.3697871130678826e-32,1.9883402417382314e-31,3.4053848926156744e-19,1.068888667480095e-45,5.7399889874030168e-28,1.809855581727189e-33,5.3641911846293385e-38,3.1254213299808766e-63,6.9133340665098957e-44,1.1659630950778214e-81,9.7643668758421447e-87,8.6858610903264661e-73,1.2011373694067296e-89,1.0766288935763144e-95,1.3601635669020437e-85
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.4892744303508571e-53,7.0858393268197485e-30,3.3506190724365494e-70,7.0098841210220362e-45,1.0320827067304938e-107,1.0525833720625429e-16,6.6906915324898257e-88,1.0525833720622506e-16,1.0211814409656961e-59,1.572419676752481e-57,7.1682676233073047e-91,8.31158995364017e-92,1.9431687856159021e-41,4.6818958860887808e-70,5.7484467566512921e-15,1.7020129157461456e-16,6.8137284513685831e-19,2.149314251731073e-31,7.9585427266262629e-31,6.8137284052616931e-19,8.5576086219673212e-45,2.2974842300562547e-27,1.4489802804327433e-32,4.333350012820587e-37,1.0102593728383701e-61,5.5348710114264297e-43,7.4706742744476697e-80,1.2623993909773563e-84,2.7828179393635378e-71,1.5536617677572699e-87,1.3796691353941377e-93,8.7149745014724261e-84
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.5851117621692193e-52,2.8352588743472315e-29,2.1832110414543331e-68,5.6107484385132939e-44,2.6897095873524519e-105,2.1056237929189652e-16,4.2853495830072709e-86,2.1056237929177944e-16,1.6347772046387974e-58,2.5173346612008631e-56,9.3408910215044707e-89,1.0830741822534275e-89,1.5551255966089853e-40,1.4990470358450992e-68,1.1499389582231747e-14,3.4047648731403941e-16,1.3630415580523834e-18,8.6000566151441953e-31,3.1844537352109527e-30,1.3630415396035638e-18,6.8486876998092607e-44,9.1928715199922636e-27,1.1596171488701293e-31,3.5299966232920186e-36,3.2917538370963047e-60,4.4295792177514878e-42,4.7839566029820049e-78,1.645018815972585e-82,8.910368955457295e-70,2.0252522297064669e-85,1.7669910003476509e-91,5.5807622728911834e-82
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.9379973566011885e-51,1.134288306973365e-28,1.4456692553112603e-66,4.489735484702568e-43,7.1229270134972567e-103,4.2117046346321224e-16,2.7436824503999826e-84,4.2117046346274376e-16,2.6163532485065893e-57,4.0289063650186287e-55,1.2369097592269401e-86,1.4341940419743038e-87,1.2443367543628105e-39,4.7982954870825609e-67,2.3001275233376008e-14,6.8102687879286721e-16,2.7263789977588734e-18,3.4405826455215173e-30,1.2739888503497226e-29,2.7263789239511184e-18,5.4799906673930103e-43,3.677700795484273e-26,9.2785798316465993e-31,2.9237500093803783e-35,1.090131369318908e-58,3.5443367795343739e-41,3.0626045209700614e-76,2.1783144847012914e-80,2.8521745943262758e-68,2.6827742927278973e-83,2.2623979719233525e-89,3.5727049802017372e-80
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.4302250605039186e-49,4.5375235863373073e-28,9.86790306532107e-65,3.5922431362512121e-42,1.9441375493286915e-100,8.4238663180596893e-16,1.7562956336008748e-82,8.423866318040949e-16,4.1867330541245989e-56,6.4471870018431998e-54,1.6882061635663244e-84,1.9574711895235761e-85,9.9556392336721808e-39,1.535669783111199e-65,4.6005046535597894e-14,1.3621276617504365e-15,5.4530539326760443e-18,1.3763450645222825e-29,5.0963701260082214e-29,5.4530536374172896e-18,4.3844087243047026e-42,1.4711629111816222e-25,7.4233779084367081e-30,2.4979774592386559e-34,3.7222352915904964e-57,2.8357392914415443e-40,1.9603460697810283e-74,2.9730899031170901e-78,9.1283292605250581e-67,3.6634786341701239e-81,2.8962851421558222e-87,2.2868562774654198e-78
1.9089717667160392e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990512,0.11866996602987162,0.022821567693052925,0.0,2.2884764343077799e-48,1.8150841629420579e-27,7.1020941373407096e-63,2.8739764185647832e-41,5.593731344464808e-98,1.6848189684919837e-15,1.1241376539713305e-80,1.6848189684844864e-15,6.6992272002138419e-55,1.0316248522402185e-52,2.4291377473592425e-82,2.816579659510239e-83,7.9648894698340354e-38,4.9144876882666422e-64,9.201258913977522e-14,2.7243292276652277e-15,1.0906404024546625e-17,5.5056042662487869e-29,2.0386309843133348e-28,1.0906402843433886e-17,3.50769337314139e-41,5.8845940333049376e-25,5.9386790359381469e-29,2.2524785220588209e-33,1.3405048687521121e-55,2.268700149042833e-39,1.2547108254716066e-72,4.2779400853680804e-76,2.921284590355644e-65,5.2755065184572354e-79,3.7075110678001864e-85,1.4636914896507555e-76
3.8179953190102114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.022821567693051562,0.0,3.6616551869588162e-47,7.260491343058966e-27,5.5516703030458504e-61,2.2992538994014816e-40,1.7475865616348017e-95,3.3696836418660174e-15,7.1948280316345966e-79,3.3696836418360281e-15,1.0719126971536403e-53,1.6506596488185043e-51,3.7955870197625446e-80,4.4009744372124929e-81,6.3720627861754781e-37,1.5726911586804541e-62,1.8402767434706391e-13,5.4487323594934236e-15,2.1813105096588649e-17,2.20228649897381e-28,8.1546896963041429e-28,2.1813100371804175e-17,2.806221111607884e-40,2.3536478765281265e-24,4.7505676973133747e-28,2.2083772951923178e-32,5.2451818443893193e-54,1.8150048273647929e-38,8.0304351507415088e-71,6.6843856303395437e-74,9.3484609451851448e-64,8.2524069685693816e-77,4.7457844484294982e-83,9.3679494257118939e-75
7.636042423598555e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.8587220352709709e-46,2.9042316598420951e-26,4.8406584737102171e-59,1.83943222339066e-39,6.089004192756282e-93,6.739412988622106e-15,4.6048009873863617e-77,6.7394129885021463e-15,1.7150893880146829e-52,2.6411031463914631e-50,6.614554779897239e-78,7.669560990970656e-79,5.0977106708493804e-36,5.0326998360002181e-61,3.6805784475737771e-13,1.089753862314427e-14,4.3626510795120904e-17,8.8092355020001684e-28,3.2619089412489185e-27,4.362649189389369e-17,2.2450032210194815e-39,9.4127867803481289e-24,3.7997181851788207e-27,2.4166992717849888e-31,2.2897778239609367e-52,1.4520236977497593e-37,5.1395699322437298e-69,1.164885233203721e-71,2.9915632102402825e-62,1.4400788487413925e-74,6.0747130249323295e-81,5.9955820232678912e-73
1.5272136632775244e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679924182,0.11866996602921565,0.022821567693043388,0.0,9.3740123940440954e-45,1.1617030335582325e-25,4.7451213677595346e-57,1.4715574165178934e-38,2.3852505620659105e-90,1.3478871682166355e-14,2.9471081537183879e-75,1.3478871681686521e-14,2.7441662661437725e-51,4.2258025584054759e-49,1.2959747088532726e-75,1.5026796451544243e-76,4.0781926447703077e-35,1.6104780283589453e-59,7.3611818556095078e-13,2.1795151150423773e-14,8.7253336419948475e-17,3.5237120383886707e-27,1.3047701175719604e-26,8.7253260799473222e-17,1.7960127354038346e-38,3.7636143159241023e-23,3.0385435442300017e-26,2.9727190764046768e-30,1.1237319468401149e-50,1.1616300143970954e-36,3.2893539604275189e-67,2.2823329761635922e-69,9.5730892659305704e-61,2.8251343914586834e-72,7.7757022565921393e-79,3.8371908517781792e-71
3.054432505112862e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4998459615119383e-43,4.6468595988167941e-25,5.1426667621349749e-55,1.1772505822242302e-37,1.033274392721756e-87,2.6957789069383153e-14,1.886160567776554e-73,2.6957789067463817e-14,4.3906845807551378e-50,6.7613120558699843e-48,2.807724904621851e-73,3.2555503038248694e-74,3.2625636489522938e-34,5.1535520934061434e-58,1.4722388670998782e-12,4.3590376204894026e-14,1.7450704466024583e-16,1.4094883319125733e-26,5.2190929804415455e-26,1.745067420562701e-16,1.4368136530922925e-37,1.5042352866174636e-22,2.4288457742011371e-25,4.0391617832711618e-29,6.0953844894431205e-49,9.2931342252997639e-36,2.1051958083258757e-65,4.9446658255499093e-67,3.0634011143107876e-59,6.1266486285363316e-70,9.9529430853889643e-77,2.4557928535199524e-69
