Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.783166069317647e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.915468883993248e-66,7.1413198150750171e-42,0.0,3.2829779415504914e-57,0.0,6.8975067155290568e-25,-5.8734723539209011e-118,6.8975067151961853e-25,1.0022615039796565e-79,1.2360285858391826e-70,0.0,0.0,6.9386429669367161e-56,6.0912796906124381e-95,2.7354527404208294e-18,1.3152299863987238e-19,5.0696069938747867e-23,5.6945977305399589e-38,5.0696069938781104e-23,1.954495579115048e-54,4.6437627132678214e-58,3.4973514185061029e-42,5.5275421652779641e-74
1.8992864994089412e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.5469677957189508e-64,4.3133571683053175e-41,0.0,4.9612362652350303e-56,0.0,1.9313018804559863e-24,1.133682484125535e-116,1.9313018802549324e-24,2.8265378030434465e-78,3.88627166174977e-69,0.0,0.0,8.2375569285948626e-55,3.1530217966944024e-93,7.6592676731783235e-18,3.6826439619164274e-19,1.4194899582838638e-22,3.4395370284471279e-37,1.4194899582858713e-22,2.3203771510245031e-53,5.5130750931915467e-57,2.1124002568760606e-41,1.558855331272092e-72
4.341226284363294e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.0565521580569068e-63,2.0766958022238268e-40,0.0,5.3370715799633582e-55,0.0,4.4144042986935489e-24,1.1970592858107432e-114,4.4144042977255587e-24,6.1483371146850381e-77,8.6700582914078238e-68,0.0,0.0,8.0876822368289632e-54,1.3767327130886895e-91,1.7506897538693295e-17,8.4174719129518333e-19,3.2445484760723276e-22,1.6559890188425063e-36,3.2445484760819911e-22,2.2781600454637624e-52,5.4127698185849389e-56,1.0170297926491369e-40,3.3908508421026136e-71
9.225105854272001e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.4389749113982369e-62,9.0694761651453887e-40,0.0,4.9056882784192244e-54,0.0,9.3806091368942734e-24,9.4617567724190486e-113,9.3806091326668063e-24,1.1397980816491163e-75,1.6238059630423098e-66,0.0,0.0,7.1534633417848762e-53,5.125230702755647e-90,3.7202157269723175e-17,1.7887127815022646e-18,6.8946655116320273e-22,7.2321391054010956e-36,6.8946655116742304e-22,2.0150067589836974e-51,4.7875336068705211e-55,4.4416363030275567e-40,6.286065992958741e-70
1.8992864994089411e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1736291290751937e-61,3.7863277659528803e-39,0.0,4.1969196046243796e-53,0.0,1.9313018820198133e-23,6.7061581270514772e-111,1.9313018802549284e-23,1.9590216826641617e-74,2.8047209837455947e-65,0.0,0.0,6.0129169561621476e-52,1.7657196866532933e-88,7.6592676731782674e-17,3.6826439619164271e-18,1.4194899582682516e-21,3.0192757055860979e-35,1.4194899582858705e-21,1.6937345910158964e-50,4.0242104671143481e-54,1.8542957234642601e-39,1.0804141344970677e-68
3.8528383273724233e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.506771574680541e-59,1.5468384372245979e-38,0.0,3.470094289489392e-52,0.0,3.9177838214415483e-23,4.512936991362942e-109,3.917783814231418e-23,3.2469347710896988e-73,4.6600858447398571e-64,0.0,0.0,4.929752587585662e-51,5.859779865818723e-87,1.5537371565590059e-16,7.4705063227447491e-18,2.8795367724507859e-21,1.2334726373887689e-34,2.8795367725227638e-21,1.3886259436417567e-49,3.2992908734958476e-53,7.5754030781599696e-39,1.7907071940644805e-67
7.7599419832993875e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.4425418300126276e-58,6.2525682814500294e-38,0.0,2.8218230462126542e-51,0.0,7.8907477113288678e-23,2.9611030326537012e-107,7.8907476821843708e-23,5.2867915615731846e-72,7.5971160134862124e-63,0.0,0.0,3.9922414283880929e-50,1.9093239555777479e-85,3.129357935041321e-16,1.5046231044401385e-17,5.7996304007055968e-21,4.985893576150971e-34,5.7996304009965439e-21,1.1245452832864352e-48,2.6718512892491255e-52,3.0620990493277516e-38,2.9157024548570377e-66
1.5574149295153318e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.1186699660299647,0.022821567693054271,0.0,3.9336384164494123e-57,2.5141302061770096e-37,0.0,2.2759025141167907e-50,0.0,1.5836675535278921e-22,1.9187507023749574e-105,1.5836675418090169e-22,8.5329028943418859e-71,1.2269362466145608e-61,0.0,0.0,3.2133031712236023e-49,6.165091352682962e-84,6.2805994920057793e-16,3.0197680487714612e-17,1.1639817656774193e-20,2.0048058464627165e-33,1.1639817657944076e-20,9.0513186364139566e-48,2.1505383633961502e-51,1.2312565640429988e-37,4.705955516936946e-65
3.1202563918861175e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996407,0.022821567693054257,0.0,6.3143607693364585e-56,1.0082786598990278e-36,0.0,1.8281286678832084e-49,0.0,3.1728531359880644e-22,1.2356217459057569e-103,3.1728530889901362e-22,1.37121458767562e-69,1.9722641217614658e-60,0.0,0.0,2.5784733519136145e-48,1.9817135258729737e-82,1.2583082605934007e-15,6.0500579374340935e-17,2.3320192167147285e-20,8.0401678609741092e-33,2.3320192171839037e-20,7.263112955705977e-47,1.7256716004494974e-50,4.9378895461255543e-37,7.5623441795535275e-64
