Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22),HOX(23),HX(19),H2OX(30),HO2X(48),CH3OHX(41)
9.741537751300323e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040185,0.099999999999997508,0.099999999999999853,0.0,4.4895192042891575e-77,9.2883798772303171e-65,0.0,1.4144085548712862e-58,0.0,6.6945366807030843e-37,0.0,1.6287179861941583e-50,0.0,2.3380829190125934e-72,0.0,0.0,1.0363439978289439e-63,0.0,2.5024444268372788e-15,3.1115380306083489e-16,8.2308983768054683e-27,1.0718293979040855e-40,8.2308983774748142e-27,5.4765073790168404e-91,5.3671378461838163e-73,2.1384681225507113e-86
1.949153904539065e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039905,0.09999999999999501,0.0999999999999997,0.0,7.1859795593759017e-76,7.4382371093361373e-64,0.0,1.1326739795386391e-57,0.0,2.6795593187039834e-36,0.0,6.5191165063467056e-50,0.0,3.7452862002995745e-71,0.0,0.0,8.2970533966506337e-63,0.0,5.0070630015091714e-15,6.2257793957349084e-16,1.6468947836872395e-26,4.2901108590016538e-40,1.6468947839551529e-26,1.753175164950699e-89,8.5974142098722037e-72,6.8513270069289056e-85
3.899154163357131e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039341,0.09999999999999,0.099999999999999395,0.0,1.149977073547025e-74,5.9536044431318673e-63,0.0,9.0659826193078934e-57,0.0,1.0721727560963241e-35,0.0,2.6084957567864846e-49,0.0,5.9959430255193477e-70,0.0,0.0,6.6401643593809872e-62,0.0,1.001630015015101e-14,1.2454262125987639e-15,3.2945046752983137e-26,1.7166031559060514e-39,3.2945046763703146e-26,5.6112713764914845e-88,1.3763862898391823e-70,2.1937422085176957e-83
7.799154680993262e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412038214,0.09999999999997998,0.09999999999999877,0.0,1.8401397672560761e-73,4.7640897513106042e-62,0.0,7.2546228538572505e-56,0.0,4.289389180159112e-35,0.0,1.0435681577572914e-48,0.0,9.5962978322920613e-69,0.0,0.0,5.3131403576762622e-61,0.0,2.0034774444626896e-14,2.491122758649155e-15,6.5897244569112188e-26,6.8675304043747246e-39,6.5897244611999204e-26,1.7957847645354659e-86,2.2028582855008139e-69,7.022083908475225e-82
1.5599155716265528e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733041203596,0.09999999999995994,0.099999999999997521,0.0,2.9443648547926044e-72,3.8117543386781569e-61,0.0,5.8044330708638608e-55,0.0,1.7158953124441802e-34,0.0,4.1746123653057615e-48,0.0,1.5356308070776667e-67,0.0,0.0,4.2509158737723003e-60,0.0,4.007172302234752e-14,4.9825158507493156e-15,1.3180164013700044e-25,2.7472357313630994e-38,1.3180164030856251e-25,5.7467960703579564e-85,3.5250855150511819e-68,2.2474043213707939e-80
3.1199157786810054e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412031456,0.099999999999919861,0.099999999999995023,0.0,4.7110967692836437e-71,3.0495964977734832e-60,0.0,4.643840381276448e-54,0.0,6.86386053473427e-34,0.0,1.6699128953951951e-47,0.0,2.4571878228216688e-66,0.0,0.0,3.4008941370123405e-59,0.0,8.0145620132864154e-14,9.9653020349471543e-15,2.6361043101529769e-25,1.0989390060934977e-37,2.6361043170157384e-25,1.8390203225674459e-83,5.6405466544738113e-67,7.1922338086370601e-79
6.239916192789912e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412022443,0.099999999999839717,0.099999999999990041,0.0,7.537845217244568e-70,2.4397544113028982e-59,0.0,3.7151898648960792e-53,0.0,2.7456000672814275e-33,0.0,6.6797874825317452e-47,0.0,3.9316433275555559e-65,0.0,0.0,2.7207798774432049e-58,0.0,1.6029341417419906e-13,1.99308744033329e-14,5.272280117419752e-25,4.3958454373305666e-37,5.2722801448713571e-25,5.8849379451852051e-82,9.0252024936346411e-66,2.3016012064779555e-77
1.2479917021007722e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412004422,0.099999999999679415,0.099999999999980077,0.0,1.2060624577623995e-68,1.9518344147397483e-58,0.0,2.97219889490848e-52,0.0,1.0982511940109862e-32,0.0,2.6719421734334981e-46,0.0,6.2907435112436362e-64,0.0,0.0,2.1766497148904224e-57,0.0,3.2058900153807513e-13,3.9862019140064667e-14,1.0544631690756626e-24,1.7583560450971019e-36,1.0544631800564161e-24,1.8831917934333324e-80,1.4440586172327957e-64,7.3652620014391156e-76
2.4959918677443343e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411968376,0.099999999999358824,0.099999999999960149,0.0,1.9297056842610704e-67,1.5614798861530298e-57,0.0,2.3777778825853463e-51,0.0,4.3930270809116474e-32,0.0,1.0687823054726911e-45,0.0,1.006528076379381e-62,0.0,0.0,1.7413300738878574e-56,0.0,6.4118017339065267e-13,7.9724308613369312e-14,2.1089334672643654e-24,7.0334598201921607e-36,2.1089335111876033e-24,6.0262322795566425e-79,2.3105147303758447e-63,2.3569058903108408e-74
4.9919921990314585e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411896286,0.099999999998717642,0.099999999999920292,0.0,3.0875336107919398e-66,1.2491888506665687e-56,0.0,1.9022297572698245e-50,0.0,1.7572152698052885e-31,0.0,4.2751400940410496e-45,0.0,1.6104521483549805e-61,0.0,0.0,1.3930681426858051e-55,0.0,1.2823625055951097e-12,1.5944888755934302e-13,4.2178739977270894e-24,2.8133909755053721e-35,4.2178741734204828e-24,1.9283972309693079e-77,3.6968402204901692e-62,7.542133790352057e-73
9.983992861605707e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411752104,0.099999999997435279,0.099999999999840564,0.0,4.9400505423045968e-65,9.9935305720398902e-56,0.0,1.5217866975908102e-49,0.0,7.0288697657695275e-31,0.0,1.7100582119909028e-44,0.0,2.5767289802159795e-60,0.0,0.0,1.1144560880160423e-54,0.0,2.5647271240012324e-12,3.1889804544874808e-13,8.4357547949938227e-24,1.1253577352509182e-34,8.4357554977682661e-24,6.1708674101424207e-76,5.9149573465057789e-61,2.4134881611523287e-71
1.9967994186754207e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733041146374,0.099999999994870553,0.099999999999681108,0.0,7.9040872643476389e-64,7.9948323638308491e-55,0.0,1.2174303727058695e-48,0.0,2.811549492944232e-30,0.0,6.8402371962510457e-44,0.0,4.1227701058776256e-59,0.0,0.0,8.9156540465545841e-54,0.0,5.129456176802326e-12,6.377963612173889e-13,1.6871515334892563e-23,4.5014331155947459e-34,1.6871518145991917e-23,1.9746790152561793e-74,9.4639411004020778e-60,7.7231692371771562e-70
3.99359968370512e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330410887016,0.099999999989741101,0.09999999999936221,0.0,1.264654292230954e-62,6.3958690527594086e-54,0.0,9.7394447672673249e-48,0.0,1.1246199939657075e-29,0.0,2.7360957477869887e-43,0.0,6.5964329000971529e-58,0.0,0.0,7.1325238493378186e-53,0.0,1.0258913546360013e-11,1.2755929927139932e-12,3.3743032196152215e-23,1.8005732687500298e-33,3.3743043440551578e-23,6.3189741624938764e-73,1.5142309880633305e-58,2.4714143668505813e-68
7.987200213764519e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330409733566,0.099999999979482182,0.099999999998724415,0.0,2.0234462440778043e-61,5.1166965056275587e-53,0.0,7.7915528914346146e-47,0.0,4.4984794051244524e-29,0.0,1.0944384726752065e-42,0.0,1.0554285991874134e-56,0.0,0.0,5.7060168845065752e-52,0.0,2.0517825341298225e-11,2.5511862555444931e-12,6.7486049044528583e-23,7.2022898207779026e-33,6.7486094022120324e-23,2.022070867768026e-71,2.4227688363225023e-57,7.9085203660278515e-67
1.1980800743823917e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330408580116,0.099999999969223263,0.099999999998086619,0.0,7.7143875803437688e-61,1.5190193815691848e-52,0.0,2.3131166089110474e-46,0.0,9.5592672943246574e-29,0.0,2.3256818625760342e-42,0.0,4.0238203057845385e-56,0.0,0.0,1.631563746309508e-51,0.0,3.077673419206013e-11,3.8267795182122844e-12,1.0122904901877045e-22,1.5304860124091398e-32,1.0122914459613853e-22,9.4903034927541998e-71,9.2368043191895211e-57,3.7117517200867651e-66
1.5974401273883316e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330407426667,0.099999999958964372,0.099999999997448824,0.0,2.0756123557541335e-60,3.3098634105894377e-52,0.0,5.0401576499018135e-46,0.0,1.6306982817792028e-28,0.0,3.9673397442213707e-42,0.0,1.0826380530641977e-55,0.0,0.0,3.4414395388013754e-51,0.0,4.1035640098646566e-11,5.1023727807173651e-12,1.3497203211888628e-22,2.6108281292332465e-32,1.3497219516260616e-22,2.9584128056654489e-70,2.4852297332588954e-56,1.157064395858607e-65
2.3961602334002116e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330405119768,0.099999999938446577,0.099999999996173233,0.0,8.3951641410139535e-60,9.6075128037485522e-52,0.0,1.4630012047752573e-45,0.0,3.3761527123647451e-28,0.0,8.2138731914126004e-42,0.0,4.3789100825978019e-55,0.0,0.0,9.3996343142324081e-51,0.0,6.1553445002022484e-11,7.6535593053456583e-12,2.0245795871660335e-22,5.405384629854988e-32,2.0245829627782073e-22,1.4576419975325604e-69,1.0051930915074906e-55,5.7009793364256179e-65
3.1948803394120914e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330402812869,0.099999999917928767,0.099999999994897643,0.0,2.2740182132474972e-59,2.1010547356594992e-51,0.0,3.1994165984153856e-45,0.0,5.7419498985859122e-28,0.0,1.3969647099770356e-41,0.0,1.1861254562355051e-54,0.0,0.0,1.966717079502151e-50,0.0,8.2071239078622152e-11,1.0204745829375616e-11,2.699438232622107e-22,9.193137923823248e-32,2.6994439736526919e-22,4.5736978441715025e-69,2.722790612181685e-55,1.7888171521520975e-64
3.993600445423971e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733040050597,0.099999999897410985,0.099999999993622052,0.0,5.1085092988256496e-59,3.9418646761279511e-51,0.0,6.0025370037686564e-45,0.0,8.7723994732825843e-28,0.0,2.1342464357641344e-41,0.0,2.6645919981559059e-54,0.0,0.0,3.5803317257740342e-50,0.0,1.0258902155511007e-10,1.2755932352764492e-11,3.3742962132347135e-22,1.4045028709986352e-31,3.3743049842296835e-22,1.175770716698872e-68,6.1166621760956641e-55,4.5985509630060104e-64
5.591040657447731e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330395892182,0.099999999856375463,0.09999999999107087,0.0,1.9810111169492661e-58,1.0785660064599838e-50,0.0,1.642400712342114e-44,0.0,1.6869001566274793e-27,0.0,4.1040802175754089e-41,0.0,1.0332919062608396e-53,0.0,0.0,9.4531202348232908e-50,0.0,1.436245509791373e-10,1.7858305397578746e-11,4.7240101381717425e-22,2.7008052617099497e-31,4.724027004472503e-22,6.6332362996073849e-68,2.3719592319835437e-54,2.5943193971220914e-63
7.18848086947149e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330391278398,0.099999999815339954,0.099999999988519689,0.0,5.2712770421040446e-58,2.2737483714333813e-50,0.0,3.4623752879735578e-44,0.0,2.7665100779852123e-27,0.0,6.7306810089848024e-41,0.0,2.74948662143396e-53,0.0,0.0,1.9598663727923257e-49,0.0,1.8466003328904754e-10,2.2960678439789253e-11,6.0737213628355766e-22,4.4293073779325906e-31,6.0737490235070493e-22,2.2060588805030208e-67,6.3115517856051054e-54,8.6280926293231624e-63
1.038336129351901e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733038205084,0.099999999733269146,0.099999999983417312,0.0,2.3627031654874646e-57,6.9356378910382886e-50,0.0,1.056128256375985e-43,0.0,5.7354624685960275e-27,0.0,1.3953906739826319e-40,0.0,1.2323785115507729e-52,0.0,0.0,5.8888165139679451e-49,0.0,2.6673085658665794e-10,3.3165424516400121e-11,8.7731357125098836e-22,9.1827190549250009e-31,8.7731930579518482e-22,1.5101203052699412e-66,2.8289773569593257e-53,5.9062049290045611e-62
1.677312214161405e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330363595781,0.09999999956912807,0.099999999973212572,0.0,1.7148992026461997e-56,3.0094325261735675e-49,0.0,4.582597682379296e-43,0.0,1.491225425246981e-26,0.0,3.6280393211330442e-40,0.0,8.944825417904159e-52,0.0,0.0,2.5317773161272165e-48,0.0,4.3087193789924449e-10,5.3574916638381604e-11,1.4171932013677043e-21,2.3875070468582182e-30,1.4172081112344497e-21,1.9642339074198967e-65,2.0533307318949993e-52,7.682253530548821e-61
2.955264383780413e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330326685895,0.099999999240848167,0.099999999952803079,0.0,1.7591440402140316e-55,1.701401048271442e-48,0.0,2.5907617477400981e-42,0.0,4.6221134358562262e-26,0.0,1.1245324596676253e-39,0.0,9.175533410989157e-51,0.0,0.0,1.4256570310489219e-47,0.0,7.59151839427005e-10,9.4393900757385296e-11,2.4969395025800935e-21,7.400121962596818e-30,2.4969857163143305e-21,3.8812512837429643e-64,2.1063071947484266e-51,1.5179735426101052e-59
5.511168723018429e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330252867021,0.099999998584297409,0.099999999911984092,0.0,2.2188064370118226e-54,1.131309182863762e-47,0.0,1.7226197524737788e-41,0.0,1.6065888055127774e-25,0.0,3.9087835475401194e-39,0.0,1.1572912434607533e-49,0.0,0.0,9.4666551997378922e-47,0.0,1.4157025982164975e-09,1.7603186849556143e-10,4.6563802701211662e-21,2.5721528203981665e-29,4.6565409032801887e-21,9.6508514794480651e-63,2.6566829543125742e-50,3.7744368548126564e-58
1.062297740149446e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330105232891,0.099999997271232072,0.099999999830346117,0.0,3.1374989067903635e-53,8.2274122344604311e-47,0.0,1.2526970697873578e-40,0.0,5.968049798216462e-25,0.0,1.4520459011074275e-38,0.0,1.6364152286892427e-48,0.0,0.0,6.8815613275298061e-46,0.0,2.7287679396742002e-09,3.3930780197263268e-10,8.9750544750077862e-21,9.5545871803719518e-29,8.9756511844417352e-21,2.7122085548804194e-61,3.7566773787179453e-49,1.0607128565949274e-56
1.573478607997049e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329957603591,0.099999995958214974,0.099999999748708171,0.0,1.3390231406770121e-52,2.5419631379981602e-46,0.0,3.8701890632343668e-40,0.0,1.3092998263467199e-24,0.0,3.1856364904056008e-38,0.0,6.9837290946409442e-48,0.0,0.0,2.1259164352171317e-45,0.0,4.0417850475121906e-09,5.0258373278405265e-10,1.329345225169854e-20,2.096081332815878e-28,1.3294761341916753e-20,1.4645506976822858e-60,1.6032764079782904e-48,5.7275807099370643e-56
2.084659475844652e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329809979112,0.099999994645246087,0.099999999667070211,0.0,3.8389611341156782e-52,5.7175775406315909e-46,0.0,8.7047284545778777e-40,0.0,2.2981265675353277e-24,0.0,5.5916500340378255e-38,0.0,2.0021763727346953e-47,0.0,0.0,4.7814860482641561e-45,0.0,5.3547539234192698e-09,6.6585966092990006e-10,1.7611573617050093e-20,3.6790255165093055e-28,1.7613871375715075e-20,5.0335958900508619e-60,4.5965716894190415e-48,1.9685075988091604e-55
2.595840343692255e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329662359456,0.09999999333232544,0.09999999958543225,0.0,8.8389932674398423e-52,1.0811483977737832e-45,0.0,1.6459191742044701e-39,0.0,3.5632677920993418e-24,0.0,8.6700864661473288e-38,0.0,4.6097847994911215e-47,0.0,0.0,9.0409965659487304e-45,0.0,6.6676745691394814e-09,8.2913558641025658e-10,2.1929418588477929e-20,5.7042317340139417e-28,2.1932981285846856e-20,1.3524901369509224e-59,1.058334926531578e-47,5.2891353167572715e-55
3.6182020793874614e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329367134609,0.099999990706628822,0.09999999942215633,0.0,3.1704285149917631e-51,2.8466891910221345e-45,0.0,4.3333400443911133e-39,0.0,6.9224291520007467e-24,0.0,1.6844227789994111e-37,0.0,1.6533822226556575e-46,0.0,0.0,2.380333947327158e-44,0.0,9.2933711764831081e-09,1.1556874293747986e-09,3.056427941411741e-20,1.1081209582256907e-27,3.0571200735148449e-20,6.2957984345652715e-59,3.7961057064710298e-47,2.4619748508992385e-54
4.6405638150826675e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329071929057,0.099999988081125132,0.099999999258880409,0.0,8.3072129586020918e-51,5.921293812012556e-45,0.0,9.0128013189947461e-39,0.0,1.1386644307563785e-23,0.0,2.7708060015646318e-37,0.0,4.3320157147072848e-46,0.0,0.0,4.9509116043868935e-44,0.0,1.1918874883524568e-08,1.4822392616783315e-09,3.9198034868249166e-20,1.8226537553195177e-27,3.9209419689902983e-20,1.9935440893667129e-58,9.9466235512442631e-47,7.7954966691436925e-54
5.6629255507778736e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037328776742787,0.099999985455814316,0.099999999095604489,0.0,1.8096966670624663e-50,1.0695002077461417e-44,0.0,1.6277381091539519e-38,0.0,1.6955766309113216e-23,0.0,4.1261582683195832e-37,0.0,9.4366951917273126e-46,0.0,0.0,8.9417204124990629e-44,0.0,1.4544185704982028e-08,1.8087910833215431e-09,4.7830685097858379e-20,2.7139713245224149e-27,4.7847638150196165e-20,5.096464520186598e-58,2.1668364368573864e-46,1.9928388998407625e-53
7.707649022168286e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037328186428124,0.099999980205771277,0.099999998769052689,0.0,6.2635645983133922e-50,2.6857888655200337e-44,0.0,4.0868436077135507e-38,0.0,3.1408159056546927e-23,0.0,7.6437697604972205e-37,0.0,3.2657677199105412e-45,0.0,0.0,2.245172994597662e-43,0.0,1.9794228748419904e-08,2.461894694629677e-09,6.5092670455440838e-20,5.0267653492400914e-27,6.5124073587732038e-20,2.4691734332699817e-57,7.4996659374398986e-46,9.6540434354539525e-53
9.752372493558698e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037327596190601,0.099999974956499607,0.099999998442500931,0.0,1.6052862668942214e-49,5.4356889305599866e-44,0.0,8.2696246790311119e-38,0.0,5.0278469426841906e-23,0.0,1.2237256904998207e-36,0.0,8.3689467951589316e-45,0.0,0.0,4.5433077713348373e-43,0.0,2.5043500420788172e-08,3.1149982633045264e-09,8.2350236625107066e-20,8.0461141245076035e-27,8.2400507048419791e-20,7.9744037834642903e-57,1.9220862037009663e-45,3.1175938401310846e-52
1.179709596494911e-13,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037327006030208,0.099999969707999195,0.09999999811594916,0.0,3.4261659461343388e-49,9.6193944074034396e-44,0.0,1.4631730612800423e-37,0.0,7.3565567122678745e-23,0.0,1.790661935372194e-36,0.0,1.7860062594594873e-44,0.0,0.0,8.0390750059605947e-43,0.0,3.0292000835322192e-08,3.7681017893513793e-09,9.9603384737427395e-20,1.1771631475810345e-26,9.9676938532918603e-20,2.0382950323741663e-56,4.102312854827856e-45,7.9680982088460779e-52
1.3841819436339524e-13,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037326415946934,0.09999996446026993,0.09999999778939743,0.0,6.4723616920068902e-49,1.5536884269779144e-43,0.0,2.362812396360174e-37,0.0,1.0126832295366967e-22,0.0,2.4651856758805967e-36,0.0,3.3736025362665251e-44,0.0,0.0,1.2982652906018036e-42,0.0,3.5539730105159179e-08,4.4212052727755228e-09,1.1685211592186497e-19,1.6202931722742405e-26,1.1695336804188693e-19,4.4773741743082047e-56,7.7496693836753715e-45,1.750160840853611e-51
1.7931266379120348e-13,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037325236011693,0.099999953967124355,0.099999997136293997,0.0,1.8274132228033634e-48,3.3774527919354877e-43,0.0,5.1343350370708948e-37,0.0,1.6991628897881368e-22,0.0,4.136995504495266e-36,0.0,9.5229968137808113e-44,0.0,0.0,2.8214183130770745e-42,0.0,4.6032875663704024e-08,5.7274121117768363e-09,1.5133633202822627e-19,2.7181337828811332e-26,1.5150622113586724e-19,1.6530877318667535e-55,2.1880497209284753e-44,6.4605810212778654e-51
2.2020713321901173e-13,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037324056384794,0.099999943477062037,0.099999996483190662,0.0,4.1519798687840389e-48,6.2551406809640942e-43,0.0,9.5052589347014203e-37,0.0,2.5621332854793886e-22,0.0,6.2391548977351868e-36,0.0,2.1632275919124722e-43,0.0,0.0,5.2239091599287044e-42,0.0,5.6522938002308267e-08,7.0336187803507832e-09,1.8580289398532926e-19,4.0978247360711708e-26,1.8605906633562995e-19,4.5975972503436721e-55,4.9713654382130137e-44,1.7965348177529669e-50
3.0199607207462824e-13,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037321698055645,0.099999922506183392,0.099999995176984241,0.0,1.4810645490049012e-47,1.6133785413870431e-42,0.0,2.4497102961143838e-36,0.0,4.8171848867858408e-22,0.0,1.1734521263591459e-35,0.0,7.7130392206397888e-43,0.0,0.0,1.3466252605158152e-41,0.0,7.7493816642925165e-08,9.6460316063858353e-09,2.5468309160013568e-19,7.7015253795384705e-26,2.551647330735605e-19,2.3075814433465387e-54,1.7733501386046334e-43,9.0134611694054074e-50
