Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52),C2H4(47)
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.0805315385612391e-54,4.1729876242169292e-36,0.0,1.5393523044827683e-48,0.0,6.456212523944441e-22,8.7524376444954653e-102,6.4562123294330163e-22,2.3477378370675866e-68,3.3773593395223613e-59,0.0,0.0,2.1700715910895942e-47,6.8986884696220847e-81,2.5604408426187939e-15,1.2310827106795958e-16,4.7452579260595448e-20,3.3276026850286796e-32,4.7452579280013305e-20,6.1127062781434394e-46,1.4523425162932199e-49,2.0436567570507736e-36,1.2947941207041965e-62,5.0468915015744615e-95
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.7302580953513487e-53,1.6702825616489923e-35,0.0,1.2327303122975373e-47,0.0,1.2918034657512803e-21,5.6102178893175545e-100,1.2918033878960191e-21,3.7604606746007779e-67,5.4100629394669522e-58,0.0,0.0,1.7373765604547585e-46,2.2100580631125688e-79,5.1231062211549425e-15,2.4632349979974568e-16,9.494638574492608e-20,1.3319081007563402e-31,9.4946385822648126e-20,4.8938812126855691e-45,1.1627570994590426e-48,8.1799531626221936e-36,2.0739208167640879e-61,3.2336943291490105e-93
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.7695391308755194e-52,6.6833058903968167e-35,0.0,9.8668388025029528e-47,0.0,2.5841680093236349e-21,3.5933125504922789e-98,2.5841676978011791e-21,6.0200030422330268e-66,8.6611327733391904e-57,0.0,0.0,1.39042893828681e-45,7.0761526210413633e-78,1.0248436978222691e-14,4.9275395726330854e-16,1.8993399859692143e-19,5.3293659208823704e-31,1.8993399890791087e-19,3.9165913650956874e-44,9.3055906518486439e-48,3.2730469223074982e-35,3.3200745085647371e-60,2.0707439184494174e-91
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,4.432162206981737e-51,2.6737575469132866e-34,0.0,7.8954700336845003e-46,0.0,5.1688975639030709e-21,2.3006079625703793e-96,5.1688963176103978e-21,9.6346183610558143e-65,1.3861834214222227e-55,0.0,0.0,1.1125538704474961e-44,2.2650037186339905e-76,2.0499098492339993e-14,9.8561487219039652e-16,3.7990922383424828e-19,2.1320922974151013e-30,3.7990922507840851e-19,3.1338666302168455e-43,7.4458863660195627e-47,1.3094320321753932e-34,5.3135605738958791e-59,1.325653679251901e-89
1.0166970314541763e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995701,0.11866996602992433,0.0228215676930533,0.0,7.0921742756198886e-50,1.0695900631210658e-33,0.0,6.3171756922802115e-45,0.0,1.033835854280084e-20,1.4726734742259879e-94,1.0338353557224433e-20,1.5417480401865688e-63,2.2182136055821505e-54,0.0,0.0,8.9012675124991962e-44,7.2490278308395851e-75,4.1000421520501825e-14,1.971336702044423e-15,7.5985967244224715e-19,8.529054505718071e-30,7.5985967741929299e-19,2.5073289096831572e-42,5.9572746910085524e-46,5.2381554971125464e-34,8.5028501327584894e-58,8.4853919286900961e-88
2.0334492252452552e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991404,0.11866996602988332,0.022821567693052314,0.0,1.1348034597274108e-48,4.2785343474438062e-33,0.0,5.0540603931310852e-44,0.0,2.0677287979551906e-20,9.4260226067804388e-93,2.0677268036434893e-20,2.4669641362424354e-62,3.5493925714753231e-53,0.0,0.0,7.1213383746472982e-43,2.3198514469950078e-73,8.2003067576534412e-14,3.9427803617518759e-15,1.5197605621916256e-18,3.4117535972628194e-29,1.5197605821006186e-18,2.0059544387642753e-41,4.7660460040998746e-45,2.0953483248022391e-33,1.3605482728492318e-56,5.431037498662957e-86
4.066953612827413e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982811,0.11866996602980132,0.022821567693050344,0.0,1.8157248534604753e-47,1.7114485586287955e-32,0.0,4.0433761799691756e-43,0.0,4.1355176768875532e-20,6.0329493353784961e-91,4.1355096994785368e-20,3.9472763702158819e-61,5.6792117293709246e-52,0.0,0.0,5.6971840125348462e-42,7.4237845763743588e-72,1.640083596874352e-13,7.885667681164383e-15,3.0395623118239042e-18,1.3647235798798528e-28,3.0395623914614957e-18,1.6047953784310719e-40,3.812927306105187e-44,8.3815707480735869e-33,2.1769510016743622e-55,3.4759876748238618e-84
8.133962387991729e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996562,0.11866996602963731,0.022821567693046402,0.0,2.9051747596979623e-46,6.8458638747535704e-32,0.0,3.2347519722801688e-42,0.0,8.2711074010804099e-20,3.8611856360879509e-89,8.2710754911204499e-20,6.3157489717373757e-60,9.0868311495906065e-51,0.0,0.0,4.5577662375743341e-41,2.3756525735617952e-70,3.2801894390457927e-13,1.5771442319979797e-14,6.0791656916225536e-18,5.4589048543000396e-28,6.0791660101761582e-18,1.2838415172067088e-39,3.0503780463237239e-43,3.3526679444373562e-32,3.4831804916661357e-54,2.224671609812854e-82
1.6267979938320361e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319931241,0.11866996602930928,0.022821567693038516,0.0,4.6482389380860388e-45,2.7383594782638782e-31,0.0,2.5878217994431791e-41,0.0,1.654233471477489e-19,2.4711949249325208e-87,1.6542207074291561e-19,1.0105283061306645e-58,1.453882931046669e-49,0.0,0.0,3.6461785250348373e-40,7.6021541192341504e-69,6.5604011232023762e-13,3.1542991597572228e-14,1.2158371973356257e-17,2.1835370513220435e-27,1.215837324757714e-17,1.0270632731691396e-38,2.4403169174532534e-42,1.3410784309517762e-31,5.5731355009749337e-53,1.4238023685285837e-80
3.2536015038977627e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631986248,0.11866996602865322,0.022821567693022744,0.0,7.4369812141641113e-44,1.0953465771864676e-30,0.0,2.0702652244588725e-40,0.0,3.3084980803368776e-19,1.5815823740541257e-85,3.3084470240182921e-19,1.616851836681982e-57,2.3261488307577832e-48,0.0,0.0,2.9168617156550726e-39,2.4326995195275138e-67,1.3120824490770347e-12,6.308609015260351e-14,2.431678262536959e-17,8.7338824569441874e-27,2.4316787722265919e-17,8.2162740103331667e-38,1.9522593256944845e-41,5.3643628230261136e-31,8.9170529018118928e-52,9.1123739856548206e-79
6.5072085240292155e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319724956,0.11866996602734112,0.0228215676929912,0.0,1.1898469784864327e-42,4.3813918821317247e-30,0.0,1.6562148074961798e-39,0.0,6.6171038825135583e-19,1.0122261208028821e-83,6.6168996570162186e-19,2.5869674412270844e-56,3.7216084477140574e-47,0.0,0.0,2.3333492325794982e-38,7.7846526081372224e-66,2.6241671222925503e-12,1.261722872620518e-13,4.8633596283582352e-17,3.4933270776429674e-26,4.8633616671192235e-17,6.572618510021284e-37,1.561809776539949e-40,2.1457762233186971e-30,1.4267309454807559e-50,5.8319301172461559e-77
1.301442256429212e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631944991,0.1186699660247169,0.022821567692928115,0.0,1.9035266160669178e-41,1.7525578688247363e-29,0.0,1.3249721195082696e-38,0.0,1.3234621824505909e-18,6.4783894152701673e-82,1.3233804922290685e-18,4.139149156080213e-55,5.9538183902259e-46,0.0,0.0,1.8664510488793587e-37,2.4910897048961799e-64,5.2483364675312673e-12,2.5234468147849106e-13,9.726719301677181e-17,1.3971474754187982e-25,9.7267274567251971e-17,5.257442106190595e-36,1.249448746486863e-39,8.5833372754810692e-30,2.2827701958504059e-49,3.7324365977182668e-75
2.602885064481793e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318899822,0.11866996601946846,0.022821567692801942,0.0,3.0449078545419536e-40,7.0102337175977162e-29,0.0,1.0599765607551013e-37,0.0,2.647088305750535e-18,4.1463419205623446e-80,2.6467615449954077e-18,6.6226321237033133e-54,9.5236776792695861e-45,0.0,0.0,1.4927939691734301e-36,7.9714795328583074e-63,1.0496675153239447e-11,5.0468946990154087e-13,1.9453426415035862e-16,5.5871182695266132e-25,1.9453459035229652e-16,4.2049050565847353e-35,9.9955936546822465e-39,3.433517541657509e-29,3.6524286938365664e-48,2.3887571288993206e-73
5.205770680586955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317799647,0.11866996600897158,0.022821567692549598,0.0,4.8695001776151714e-39,2.8040939437821459e-28,0.0,8.4797880386083153e-37,0.0,5.294830690722812e-18,2.6538768773335753e-78,5.2935236493738697e-18,1.0596182093608319e-52,1.5230095383405392e-43,0.0,0.0,1.1936479385549826e-35,2.5508665411069747e-61,2.0993352505578784e-11,1.0093790467083254e-12,3.8906791708760093e-16,2.2336698056405131e-24,3.8906922189486068e-16,3.3622455676979251e-34,7.996476367686931e-38,1.3735524667082384e-28,5.8438696833999694e-47,1.5288003509126948e-71
1.041154191279728e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315599296,0.11866996598797783,0.022821567692044908,0.0,7.7836808900870896e-38,1.1216376754880722e-27,0.0,6.7837887993372385e-36,0.0,1.0592276004295905e-17,1.6990132766723473e-76,1.0587047853513934e-17,1.6953790839760937e-51,2.4343232425622998e-42,0.0,0.0,9.5397984726063409e-35,8.1627253599342024e-60,4.1986707133949377e-11,2.0187582001646444e-12,7.7813326565222969e-16,8.9252709658996102e-24,7.7813848487605096e-16,2.6871139752681599e-33,6.3971816250474844e-37,5.4953721526607969e-28,9.3501358528173587e-46,9.7842642556287068e-70
2.082308437721793e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311198594,0.11866996594599033,0.022821567691035528,0.0,1.2429892976854618e-36,4.4865509509154829e-27,0.0,5.4269634234965369e-35,0.0,2.1195008727045796e-17,1.0878892500584941e-74,2.1174096243326606e-17,2.7125738326287016e-50,3.8869682252087584e-41,0.0,0.0,7.6168644336089015e-34,2.612041133471015e-58,8.3973416085458281e-11,4.037516506448326e-12,1.5562561336209539e-15,3.5626035096942208e-23,1.5562770104718681e-15,2.1454111435714895e-32,5.1177454377114556e-36,2.1990784199849976e-27,1.4960036344501235e-44,6.2618535907530548e-68
4.164616930605923e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302397189,0.11866996586201534,0.022821567689016772,0.0,1.9811467680588052e-35,1.7946204725690436e-26,0.0,4.3414621535630223e-34,0.0,4.2431841923712606e-17,6.9691394977836137e-73,4.2348192949082162e-17,4.3400130582371773e-49,6.1938589947331496e-40,0.0,0.0,6.069668162624719e-33,8.3583324912832721e-57,1.6794683276754687e-10,8.0750331165002531e-12,3.1124705535475128e-15,1.4190726307531281e-22,3.1125540605877954e-15,1.7095196146580946e-31,4.0941962857414201e-35,8.8037495024359416e-27,2.3935476524474473e-43,4.0074892005274926e-66
6.246925423490053e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756293595785,0.11866996577804034,0.022821567686998015,0.0,7.2784791050261337e-35,3.8135686233535305e-26,0.0,1.2888532420343815e-33,0.0,6.3700042240344125e-17,3.956699793735922e-72,6.3522289580967899e-17,1.6418959573488167e-48,2.3570521022387177e-39,0.0,0.0,1.7316496627789436e-32,3.8991056794094761e-56,2.5192024822870617e-10,1.211254972403674e-11,4.6686536580944662e-15,3.0068050928115597e-22,4.6688311100149982e-15,4.8770217253905302e-31,1.1706842339821127e-34,1.8718888758025686e-26,9.0551710280437966e-43,2.2410040160485172e-65
1.0411542409258312e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275992977,0.11866996561009036,0.022821567682960498,0.0,5.5635013570614794e-34,1.0543396315021943e-25,0.0,6.0369666090925796e-33,0.0,1.0636190630359211e-16,1.0663951187480939e-70,1.058704825492602e-16,1.2957411671959827e-47,1.9233886595447475e-38,0.0,0.0,7.9044434773820082e-32,5.2248188638314508e-55,4.1986707426730825e-10,2.0187582929053356e-11,7.7808946107192621e-15,8.2513874738619502e-22,7.7813852091750228e-15,2.2259850000631607e-30,5.3800294327361366e-34,5.1830074324396521e-26,7.1461020524310192e-42,5.1559952812682327e-64
1.4159697696449746e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675626015045,0.11866996545893538,0.022821567679326735,0.0,1.5276237496880885e-33,1.8774665910108158e-25,0.0,1.393049806348015e-32,0.0,1.4485892420252813e-16,4.6364691792661941e-70,1.4398385598204806e-16,3.6361870630314855e-47,5.5871848259849028e-38,0.0,0.0,1.7726339904768112e-31,1.734048170988226e-54,5.7101921375719761e-10,2.7455112805445195e-11,1.0581810295013597e-14,1.4621189824209605e-21,1.0582683900830795e-14,4.9916675187633115e-30,1.2110391820855885e-33,9.2385902639969524e-26,2.0053821479452959e-41,1.9705516680095441e-63
1.790785298364118e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756244307923,0.1186699653077804,0.022821567675692971,0.0,3.4292207189387417e-33,2.9307519824394074e-25,0.0,2.6821609865765625e-32,0.0,1.8346320428229821e-16,1.4042817590653556e-69,1.8209722916220317e-16,8.3250741625236544e-47,1.2741897575085401e-37,0.0,0.0,3.3373046124671211e-31,4.6593123691250238e-54,7.2217134907154148e-10,3.4722642673259721e-11,1.3382618894077528e-14,2.2711297884381958e-21,1.3383982597628693e-14,9.3971651858484017e-30,2.2889427780364095e-33,1.4436042919435523e-25,4.5913352458020805e-41,6.1457239620160832e-63
2.165600827083261e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756228465395,0.11866996515662542,0.022821567672059208,0.0,6.5708815001970909e-33,4.2014464388733078e-25,0.0,4.5602070143378122e-32,0.0,2.221688012619961e-16,3.6495740264654472e-69,2.2021060210371984e-16,1.6234040217783124e-46,2.5106927105346399e-37,0.0,0.0,5.5579098922121763e-31,1.0307316003912645e-53,8.7332348044164014e-10,4.1990172532956596e-11,1.618332634338978e-14,3.240554277126804e-21,1.6185281301366634e-14,1.5649074227033151e-29,3.8258808319160342e-33,2.0714894239484962e-25,8.9531834021637659e-41,1.5278605374365087e-62
2.915231884521548e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756196780341,0.1186699648543155,0.022821567664791678,0.0,1.691051257949348e-32,7.2386328501379303e-25,0.0,1.0082138132071875e-31,0.0,2.9981103615841339e-16,1.6189501263801759e-68,2.964373474425426e-16,4.3099006238068295e-46,6.9732469804205082e-37,0.0,0.0,1.1795869462759168e-30,3.2429000483294573e-53,1.1756277341870592e-09,5.6525232233829863e-11,2.1784510582255538e-14,5.5392824799196772e-21,2.1787878730606621e-14,3.3209958860195076e-29,8.1678184520611379e-33,3.574674093544922e-25,2.3769391950605802e-40,5.6308980341187065e-62
3.664862941959835e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756165095297,0.11866996455200558,0.022821567657524147,0.0,3.5656300398389426e-32,1.1079451967360073e-24,0.0,1.8887831811761194e-31,0.0,3.7782774922401496e-16,4.8805498603559885e-68,3.7266409189926071e-16,9.3484097932547363e-46,1.5524094158301895e-36,0.0,0.0,2.1330964333835472e-30,8.0211256979620261e-53,1.4779319733529435e-09,7.106029190472257e-11,2.7385320960799915e-14,8.4137369297774746e-21,2.7390476202730065e-14,6.0049881900362119e-29,1.4852289777780349e-32,5.4799327034035743e-25,5.1557103967123505e-40,1.5686566932869837e-61
4.414493999398122e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756133410248,0.11866996424969568,0.022821567650256617,0.0,6.7160875853070551e-32,1.5778412573735313e-24,0.0,3.1964272251824554e-31,0.0,4.562443155454638e-16,1.2660010427758422e-67,4.4889083541404275e-16,1.8066231591433641e-45,3.0491618090532532e-36,0.0,0.0,3.508795275297799e-30,1.7445752898631952e-52,1.7802361969503969e-09,8.5595351543610321e-11,3.2985732145843202e-14,1.1889124246496305e-20,3.2993073734487988e-14,9.8769370450919312e-29,2.4568584168370918e-32,7.8164629713074363e-25,9.9636463020278037e-40,3.7975204169115866e-61
