Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158375245e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4518260767117985e-133,1.2401475349862521e-63,1.114497154533349e-43,1.6269639855341591e-70,3.1202043047507896e-57,6.1639412382937798e-47,1.4105195389726104e-26,-7.7206721018393365e-109,1.4105195357548576e-26,4.0866980674872563e-69,1.1550018694957432e-70,4.5794505662283037e-71,3.1934278909297667e-100,6.1639412448884083e-47,3.4010016161058373e-86,2.6894754702805677e-18,1.2931237063348532e-19,4.9843974463589608e-23,5.5047778062115876e-38,4.9843974463621723e-23,1.8575897551355416e-54,7.1253938209353602e-60,7.0317703155398127e-44
1.8673634443450684e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1202940457752783e-131,1.479086881135778e-62,6.731562813382267e-43,1.9315316475223574e-69,4.715252745324432e-56,3.723020516130119e-46,3.94945471954883e-26,4.4662679570057448e-108,3.9494547001136035e-26,6.1758181557041081e-68,3.6315107080110286e-69,5.4367237231929709e-70,7.1435704686620349e-99,3.7230205239592626e-46,9.5913687717802289e-85,7.530531316785592e-18,3.6207463777375891e-19,1.3956312849794682e-22,3.3248857941924051e-37,1.3956312849814085e-22,2.2053305568288674e-53,8.4592675442153966e-59,4.2471892799411923e-43
4.2682593013601564e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.2209512635233681e-129,1.4665455109637868e-61,3.2409577253842148e-42,1.8963892336168464e-68,5.0724537341159838e-55,1.7924741243968449e-45,9.0273251224033501e-26,2.6207367432318935e-106,9.0273250288311058e-26,6.6436634199302028e-67,8.1017006187992033e-68,5.3378076139925669e-69,1.4114491511029593e-97,1.7924741320835439e-45,2.086332229965999e-83,1.7212643009795624e-17,8.2759917205430603e-19,3.1900143656624495e-22,1.6007893849072374e-36,3.1900143656717909e-22,2.1652066171350377e-52,8.3053590376851039e-58,2.0448388217916937e-42
9.070051015390332e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,9.9881396090687716e-128,1.3227045362140872e-60,1.4154113862586185e-41,1.6773348158905797e-67,4.6624588884473033e-54,7.8282054997435737e-45,1.9183066094920722e-25,1.0325461465134266e-104,1.918306568626614e-25,6.1066714095354379e-66,1.5173588612294441e-66,4.7212304271521265e-68,2.5115983722329303e-96,7.828205567731554e-45,3.867708415906949e-82,3.657686639581563e-17,1.7586482406154002e-18,6.778780527011759e-22,6.9910678021180886e-36,6.7787805270525553e-22,1.9151007309075403e-51,7.3459960136374383e-57,8.930348445740291e-42
1.8673634443450684e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,7.1885368808411085e-126,1.1548145506052454e-59,5.9090639133471564e-41,1.409901004458189e-66,3.9888317406480303e-53,3.2681217589427876e-44,3.9494548707188764e-25,3.6483183992149047e-103,3.9494547001136342e-25,5.2243861717409913e-65,2.6208600873266713e-65,3.9684787190124013e-67,4.236177829534942e-95,3.2681218160907811e-44,6.6476028258862449e-81,7.530531316785539e-17,3.6207463777375891e-18,1.3956312849643767e-21,2.9186331822598173e-35,1.3956312849814078e-21,1.6097575548362538e-50,6.1747522789321374e-56,3.7282447518034629e-41
3.788080129957139e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,4.8726247258103013e-124,1.0173057514412847e-58,2.4140454166149934e-40,1.1559220665879129e-65,3.2980432195343524e-52,1.3351344248375655e-43,8.0117516600658056e-25,1.2256835360606466e-101,8.0117509630877232e-25,4.3196238696700467e-64,4.354598216922407e-64,3.2535987332343276e-66,6.9579350414297188e-94,1.3351344716909432e-43,1.1017915043483479e-79,1.5276220671193384e-16,7.3449426519819622e-18,2.831137749464132e-21,1.1923568829674336e-34,2.8311377495337108e-21,1.3197764960441954e-49,5.0624349810971338e-55,1.5231096879207859e-40
7.62951350118128e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,3.2083553890416418e-122,9.3805956680137845e-58,9.75795754665235e-40,9.3609572442750884e-65,2.6819139734857665e-51,5.3968272200422765e-43,1.6136346306332951e-24,4.0179616605984231e-100,1.6136343489036104e-24,3.5126469668043048e-63,7.0990940837912575e-63,2.6348487940659786e-65,1.1279113304987743e-92,5.3968275994730744e-43,1.7939821279607803e-78,3.0767599380008659e-16,1.4793335200470701e-17,5.7021506783570635e-21,4.8196971248938631e-34,5.7021506786383102e-21,1.0687892161323078e-48,4.0996911001979551e-54,6.1566533451292197e-40
1.5312380243629562e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,2.0825715122262453e-120,9.3889971326722129e-57,3.9236318124846418e-39,7.5345138311044777e-64,2.1630607784223427e-50,2.1700408149482141e-42,3.2385539869160391e-24,1.3012846167270282e-98,3.2385528540933682e-24,2.8330779598433596e-62,1.1465055734726439e-61,2.1207558333737983e-64,1.816466672619436e-91,2.1700411203471251e-42,2.895495303923507e-77,6.1750356797637547e-16,2.9690120297448138e-17,1.1444176535716597e-20,1.9379789859449819e-33,1.1444176536847484e-20,8.6025453101750884e-48,3.299788062528627e-53,2.4755636038851043e-39
3.0678113728526126e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,1.3422728379044971e-118,1.0484928633717626e-55,1.57355184555409e-38,6.045974537163375e-63,1.7374880491991146e-49,8.7028368562546735e-42,6.488394407598786e-24,4.189143811866217e-97,6.488389864473207e-24,2.2756837755724188e-61,1.8429741686799277e-60,1.7017734727867846e-63,2.9158320873576851e-90,8.7028393068885336e-42,4.6529861676953887e-76,1.2371587163288867e-15,5.9483690491402876e-17,2.2928228248730369e-20,7.7721622738806189e-33,2.2928228253265723e-20,6.9030006384390682e-47,2.6478721068250363e-52,9.928120256267238e-39
