Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),C2H6X(52),C2H4X(205),C2H4X(65)
5.482880986633242e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999716,0.11866996602996263,0.022821567693054247,0.0,1.5263480718942936e-54,1.4979519461030057e-30,0.0,6.9270418932812157e-46,0.0,4.8390786618835586e-17,6.4292654831353222e-90,4.8390786618335509e-17,4.6409089688937449e-61,7.0281779978992142e-59,0.0,0.0,8.2011065473599747e-45,9.7858990221955612e-72,2.6427529433660703e-15,7.8247217607601956e-17,3.1324985029045884e-19,4.5436658711702075e-32,1.6824424338409996e-31,3.1324984979324844e-19,5.3809834340320899e-44,7.1816761977448517e-82,8.3196768657245924e-46,6.0138463188292842e-60,6.1000263756666728e-96,8.3778375293573298e-86
1.097052555361977e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999444,0.11866996602995994,0.022821567693054209,0.0,2.4441455729240543e-53,5.9957115598460867e-30,0.0,5.5472515925001e-45,0.0,9.6823615624951193e-17,4.1210895719562852e-88,9.6823615622949557e-17,7.4335197942477941e-60,1.1258170958434587e-57,0.0,0.0,6.5658716638816997e-44,3.1350024206234465e-70,5.287801936203917e-15,1.5656241715925763e-16,6.2677185510467978e-19,1.8186504032419983e-31,6.7341543034087788e-31,6.2677185311454242e-19,4.3080586155100156e-43,4.6015147343556131e-80,6.6607999993193475e-45,9.6326055846006287e-59,7.817009338774243e-94,5.3679309171801989e-84
2.1945814687592828e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799989,0.11866996602995455,0.022821567693054129,0.0,3.912224455206542e-52,2.399065601534461e-29,0.0,4.4400496030454147e-44,0.0,1.936892736401563e-16,2.639534253273274e-86,1.9368927363214714e-16,1.1900087704071073e-58,1.8023548444822871e-56,0.0,0.0,5.2546925168111524e-43,1.0037634753467679e-68,1.0577899921876087e-14,3.1319281626256434e-16,1.2538158647502264e-18,7.2769700448599419e-31,2.694538882799331e-30,1.2538158567870847e-18,3.4477561993565228e-42,2.9466479179552787e-78,5.3306640116772524e-44,1.5420534881512596e-57,1.0011520006147603e-91,3.4374336372138433e-82
4.389639295553894e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997812,0.11866996602994379,0.022821567693053973,0.0,6.2608320954144287e-51,9.5978245838350335e-29,0.0,3.552939233131761e-43,0.0,3.8742058968246202e-16,1.6899540322542037e-84,3.8742058965042012e-16,1.9045306620747203e-57,2.8846057368124371e-55,0.0,0.0,4.2045518780956467e-42,3.2129437157986263e-67,2.1158095893206337e-14,6.2645361446915961e-16,2.5079038841097397e-18,2.9112614897478939e-30,1.077991008728232e-29,2.5079038522519877e-18,2.7587287941777029e-41,1.8863919520311672e-76,4.2653405780785541e-43,2.4679550470462297e-56,1.2818425533610477e-89,2.2005840420171734e-80
8.779754949143117e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999563,0.11866996602992223,0.022821567693053661,0.0,1.0018347993250522e-49,3.8394422913207034e-28,0.0,2.8427112497822536e-42,0.0,7.7488322181465519e-16,1.08177930247746e-82,7.7488322168647742e-16,3.0476624203794459e-56,4.6160387752898989e-54,0.0,0.0,3.3639600740947008e-41,1.0282861052962312e-65,4.2318487835810465e-14,1.2529752108822768e-15,5.0160799231024464e-18,1.1645990713554751e-29,4.3123149577604548e-29,5.0160797956610666e-18,2.2071925915808736e-40,1.2074628060842392e-74,3.4125955898379944e-42,3.9492637230432425e-55,1.6409940194176834e-87,1.4085740527403867e-78
1.7559986256321563e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991273,0.11866996602987913,0.022821567693053033,0.0,1.6030164200175758e-48,1.5358394103077351e-27,0.0,2.2743129524280238e-41,0.0,1.549808486269369e-15,6.9240555154349556e-81,1.549808485756637e-15,4.8765905806712234e-55,7.3861948751792692e-53,0.0,0.0,2.6912945213744549e-40,3.2907461347506704e-64,8.4639271720793233e-14,2.5060184037082173e-15,1.0032432002182569e-17,4.658583437855347e-29,1.7249961594840947e-28,1.0032431492396321e-17,1.7658379001992199e-39,7.728312246307434e-73,2.7302046821748969e-41,6.3192505013551243e-54,2.1006231048439806e-85,9.015511634677158e-77
3.512044887067845e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982557,0.11866996602979293,0.02282156769305178,0.0,2.5648889622050366e-47,6.1434826309910858e-27,0.0,1.8195079423482596e-40,0.0,3.0996590159401058e-15,4.4316092883102723e-79,3.0996590138891365e-15,7.8028094910752754e-54,1.1818328849351422e-51,0.0,0.0,2.1530846459109643e-39,1.0530756564788657e-62,1.6928083948985687e-13,5.0121047893589253e-15,2.0065136164721683e-17,1.8634693621234166e-28,6.9001249076854528e-28,2.0065134125535289e-17,1.4127038517677136e-38,4.9462959138436838e-71,2.1842133551405655e-40,1.0111143636372992e-52,2.6888940521628989e-83,5.7701274160153226e-75
7.024137409939223e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965121,0.11866996602962053,0.022821567693049275,0.0,4.10386639735552e-46,2.4574180505518872e-26,0.0,1.4556293825645713e-39,0.0,6.1993600783268179e-15,2.8362983400916884e-77,6.199360070122857e-15,1.2484706794704658e-52,1.8909630249223377e-50,0.0,0.0,1.7224848367059756e-38,3.3699011075690386e-61,3.3856397502437638e-13,1.0024277560655647e-14,4.0130544507315343e-17,7.4539378697274477e-28,2.7600779488659955e-27,4.0130536350487475e-17,1.1301764941391678e-37,3.1656857013098785e-69,1.7473878463894621e-39,1.6178104046951839e-51,3.4418461024244116e-81,3.6929402881640604e-73
1.404832245568198e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679930255,0.11866996602927572,0.022821567693044262,0.0,6.5662019780755253e-45,9.8297221985882705e-26,0.0,1.1645127114717901e-38,0.0,1.2398762215281192e-14,1.8152528129647405e-75,1.2398762182465184e-14,1.9975700018190199e-51,3.0255557095134351e-49,0.0,0.0,1.377990730523828e-37,1.078377780461566e-59,6.7713024607898457e-13,2.0048623103230318e-14,8.0261361262564432e-17,2.9815779895446718e-27,1.1040367220034269e-26,8.0261328635092626e-17,9.0414656028127579e-37,2.0260568330998246e-67,1.3979128512896686e-38,2.5885185720906879e-50,4.4056024289376835e-79,2.3634938624417078e-71
2.8096692547167493e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679860522,0.11866996602858611,0.022821567693034239,0.0,1.0505873346004385e-43,3.9318988786115535e-25,0.0,9.3161384156027894e-38,0.0,2.4797566537913723e-14,1.1617687856152326e-73,2.4797566406649377e-14,3.19612548925357e-50,4.8408707662797394e-48,0.0,0.0,1.1023873499586918e-36,3.4508238822876036e-58,1.3542627881304775e-12,4.0097314188304568e-14,1.6052299505330971e-16,1.1926243701267663e-26,4.4161575351422416e-26,1.6052286454313566e-16,7.2331939397076223e-36,1.2966820805853738e-65,1.1183244455431531e-37,4.1416472105505405e-49,5.6391961302932903e-77,1.5126313359822787e-69
5.619343273013852e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679721056,0.11866996602720688,0.022821567693014189,0.0,1.6809157782427087e-42,1.5727615511843681e-24,0.0,7.4529252652537907e-37,0.0,4.9595175378073563e-14,7.4353423912166513e-72,4.959517485301593e-14,5.1138114264639874e-49,7.7452816862649648e-47,0.0,0.0,8.8189758015590076e-36,1.1042659778757754e-56,2.7085278720025713e-12,8.0194696358152655e-14,3.210462637557893e-16,4.7704246785004965e-26,1.7664647932368364e-25,3.2104574171478968e-16,5.7865637307729969e-35,8.2987829703169763e-64,8.9464623825596781e-37,6.6266493905634259e-48,7.2181865323218764e-75,9.6807153055679627e-68
1.1238691309608056e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679442118,0.11866996602444843,0.022821567692974092,0.0,2.689382173643562e-41,6.291050203437365e-24,0.0,5.9623457744575363e-36,0.0,9.9190393837970743e-14,4.7586259796759345e-70,9.9190391737741674e-14,8.1821063318708026e-48,1.2392051579718489e-45,0.0,0.0,7.0549681540779606e-35,3.533654469074692e-55,5.4170580388231861e-12,1.6038946069664729e-13,6.4209280564470874e-16,1.9081079930507118e-25,7.0658599293259522e-25,6.4209071748225991e-16,4.6292544098393644e-34,5.3112259707493209e-62,7.1569408987912194e-36,1.0602649651819954e-46,9.2392873202105705e-73,6.1954768099432426e-66
2.2477387382796463e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678884242,0.11866996601893154,0.022821567692893896,0.0,4.3027405429791177e-40,2.5164208804897502e-23,0.0,4.7698784430964335e-35,0.0,1.9838083387606063e-13,3.0455225077767261e-68,1.9838082547516377e-13,1.3091375081322909e-46,1.9825971701453698e-44,0.0,0.0,5.6436282950208223e-34,1.1307697104030699e-53,1.0834118368770128e-11,3.2077898936883021e-13,1.2841859073584198e-15,7.6319297128058052e-25,2.8263418814231254e-24,1.284177554728971e-15,3.7034048877450751e-33,3.3991851815560953e-60,5.7251799703529168e-35,1.6964246485133854e-45,1.1826289786613097e-70,3.9648669005741853e-64
4.4954779529173285e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677768495,0.11866996600789775,0.022821567692733507,0.0,6.8835139276055511e-39,1.0065685115187117e-22,0.0,3.8159028417035766e-34,0.0,3.9676172642529374e-13,1.9491346087619011e-66,3.9676169282189057e-13,2.0946199324684983e-45,3.1717333834758987e-43,0.0,0.0,4.5143462586998817e-33,3.6184618956621015e-52,2.1668239013886856e-11,6.4155804669397107e-13,2.5683721825295964e-15,3.052368696496638e-24,1.1305345412472184e-23,2.5683387721904834e-15,2.9627244378019347e-32,2.1754774179953419e-58,4.5795451379329742e-34,2.7142795340244946e-44,1.5137643357678359e-68,2.5372077841797884e-62
8.990956382192693e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675537002,0.11866996598583018,0.022821567692412729,0.0,1.1010832976944067e-37,4.0262743607168048e-22,0.0,3.0527212807948122e-33,0.0,7.9352356141501194e-13,1.2474457686404706e-64,7.9352342700287396e-13,3.3513903025330891e-44,5.0734037665397125e-42,0.0,0.0,3.6105861178936109e-32,1.1579065774984438e-50,4.3336480245011711e-11,1.2831161612673568e-12,5.1367450198491223e-15,1.2206247560897789e-23,4.5221193963566543e-23,5.1366113799542352e-15,2.3701797351316986e-31,1.3923035609258475e-56,3.6626772946462833e-33,4.3428458372947105e-43,1.9376155972461767e-66,1.623419445043738e-60
1.7981913240743421e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671074017,0.11866996594169504,0.022821567691771169,0.0,1.7608410669543044e-36,1.6105098040129547e-21,0.0,2.4421749837809825e-32,0.0,1.5870474309517225e-12,7.9836453877442441e-63,1.5870468933149604e-12,5.3622183328028279e-43,8.1130905735290629e-41,0.0,0.0,2.8870440912510183e-31,3.7052924211492712e-49,8.6672962470826979e-11,2.5662323901065582e-12,1.0273491842413723e-14,4.8799185733863273e-23,1.8088325281798223e-22,1.0272957294590092e-14,1.8961438202193534e-30,8.910715503130038e-55,2.9286084259093157e-32,6.948547424590467e-42,2.4801403966134095e-64,1.0384848641424952e-58
3.596382695784488e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766214804,0.11866996585342476,0.022821567690488053,0.0,2.8144944628035313e-35,6.4420393098866099e-21,0.0,1.9537365409116563e-31,0.0,3.1740959681922891e-12,5.1095226825742128e-61,3.1740938177396116e-12,8.5795287978846074e-42,1.2967029074177814e-39,0.0,0.0,2.3073586903180057e-30,1.1856879321287604e-47,1.7334592597671979e-10,5.1324648465548151e-12,2.0546990079380271e-14,1.9499060053128828e-22,7.2352078413697949e-22,2.0544851982255038e-14,1.5169150020736454e-29,5.7028224013498909e-53,2.3404366458781397e-31,1.1117655848825216e-40,3.1745600008957555e-62,6.6398658890522969e-57
5.394574067494633e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727653222064,0.11866996576515448,0.022821567689204937,0.0,1.0354188114501198e-34,1.3689333562415797e-20,0.0,5.8001494900418393e-31,0.0,4.761145303536981e-12,2.9010333217375488e-60,4.7611407339647428e-12,3.2458062865761038e-41,4.941306253829262e-39,0.0,0.0,6.5938684586352454e-30,5.5311975401221175e-47,2.6001888853687488e-10,7.6986973017729251e-12,3.082049290831533e-14,4.1405262961283244e-22,1.537463695889898e-21,3.0815949590266648e-14,4.3374287130004906e-29,3.1890614620141192e-52,6.6881660604877821e-31,4.2060313622045267e-40,2.0788248514334819e-61,3.7118412093467726e-56
7.192765439204778e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644296087,0.1186699656768842,0.022821567687921821,0.0,2.6249003358956289e-34,2.3352392538326785e-20,0.0,1.263820685291733e-30,0.0,6.3481954369249279e-12,1.1156778462098032e-59,6.3481876419903529e-12,8.4488057420591568e-41,1.3287897477178807e-38,0.0,0.0,1.3901237787091128e-29,1.6842509957208432e-46,3.4669185015129225e-10,1.0264929755761159e-11,4.1094000329357276e-14,7.0585059823792854e-22,2.6227039551339701e-21,4.1086250180576608e-14,9.148893099632268e-29,1.1163246212977175e-51,1.4099594561271662e-30,1.0948266032713004e-39,8.2444614714626296e-61,1.2989333635692731e-55
1.078914818262507e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727626444145,0.11866996550034364,0.022821567685355589,0.0,9.172680483544269e-34,4.8348162316813281e-20,0.0,3.6684733826651856e-30,0.0,9.5222975764689295e-12,8.491172047521954e-59,9.5222814387977984e-12,3.1005855461912066e-40,5.3682787021391768e-38,0.0,0.0,3.7936147724316758e-29,7.6734740064314311e-46,5.2003777116053852e-10,1.5397394660851799e-11,6.1641025949257054e-14,1.4597365711968501e-21,5.4298778205059439e-21,6.1624981001603154e-14,2.498846329943806e-28,6.2128680871972498e-51,3.8475449122340347e-30,4.0178517988371828e-39,5.5250425754502852e-60,7.2254058397874763e-55
1.438553092604536e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727608592197,0.11866996532380308,0.022821567682789357,0.0,2.290612917203663e-33,8.2227560383063436e-20,0.0,8.0225223807806424e-30,0.0,1.2696402650188159e-11,3.2062608742292702e-58,1.2696375205452684e-11,8.0400356341716304e-40,1.452942484373887e-37,0.0,0.0,7.9314960199938523e-29,2.3048491425432292e-45,6.9338368869197013e-10,2.0529859561420867e-11,8.2188068457086666e-14,2.4799834453139697e-21,9.2346420655694623e-21,8.2160781418834999e-14,5.2284221452180505e-28,2.1236718945675084e-50,8.043877541552012e-30,1.041857479879759e-38,2.1190156376026378e-59,2.4688499870624922e-54
2.1578296412885943e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727572888302,0.11866996497072198,0.022821567677656893,0.0,1.0585022108286313e-32,1.7915708564663209e-19,0.0,2.6686576844270573e-29,0.0,1.9044622429869947e-11,4.1509633029020118e-57,1.904456263975198e-11,3.9735799634207395e-39,7.2667371188408417e-37,0.0,0.0,2.4990917381601225e-28,1.72031478949462e-44,1.0400755123349055e-09,3.0794789347717335e-11,1.2328220893232874e-13,5.3895894800634888e-21,2.0119576191038e-20,1.2322276239494075e-13,1.6509742760441124e-27,2.4514062785945431e-49,2.5341646267749e-29,5.1491179479158253e-38,3.8903212934023367e-58,2.8440687461077483e-53
2.8771061899726524e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727537184423,0.11866996461764089,0.022821567672524429,0.0,3.0643699321815012e-32,3.1453955125878327e-19,0.0,6.2083148321699673e-29,0.0,2.5392854904208197e-11,1.968190458026408e-56,2.5392749943535372e-11,1.184578308655789e-38,2.1757777317269541e-36,0.0,0.0,5.6736346295159665e-28,6.4459948549543953e-44,1.3867673209240592e-09,4.1059719114455021e-11,1.6437642252011324e-13,9.4393044179027994e-21,3.5321823101779794e-20,1.6427206504013542e-13,3.7552012506308325e-27,1.1336080086107168e-48,5.7525985349195309e-29,1.5350236514347397e-37,2.1812715534945652e-57,1.3136599866671389e-52
4.3156592873407686e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727465776649,0.11866996391147874,0.022821567662259498,0.0,1.5502324312634466e-31,7.0119474147285729e-19,0.0,2.1139035292636307e-28,0.0,3.808935809200861e-11,2.5853433739583192e-55,3.8089124157750677e-11,6.1940379785967301e-38,1.119690076986644e-35,0.0,0.0,1.8857653174221667e-27,5.2744094806876843e-43,2.0801508927329706e-09,6.1589578589026376e-11,2.4656507008683127e-13,2.0931736426991768e-20,7.8735289947318112e-20,2.4633248041094274e-13,1.2537837544021519e-26,1.4822617607294992e-47,1.9114790600681908e-28,8.0265016688826453e-37,4.6564044012102452e-56,1.7105243321400278e-51
