Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),H2X(31),CH2X(58),CHX(26),C2H6X(34),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),OCX(21),HOX(23),OX(20),COX(32),CH4OX(41),H2OX(30),CH3OX(40)
3.8619693110822895e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999245,0.099999999999994468,1.5728281011770871e-92,0.099999999999998007,1.3384975867095381e-88,3.3259706562671377e-60,8.6218485251986089e-34,3.0099676029530119e-55,0.0,1.8371617247385349e-34,3.8663105936573816e-107,1.4710897587099774e-45,6.8754311581673951e-84,2.1599861463926986e-84,0.0,0.0,2.9895122307422526e-74,0.0,5.5458836357913169e-15,2.0090200912427826e-15,6.5965426014418086e-25,6.5965425996046266e-25,1.1104768630798502e-73,9.8094199652225856e-40,1.6392614620373371e-51,1.0408403256144362e-68,1.9385385926771653e-76,1.1313870044002079e-77,1.3040513726322246e-120,1.4221414661542524e-48,9.715022666076789e-32,1.9501509264896965e-54,9.8012411513287762e-32,8.2781223676026374e-48,5.25163324670678e-98,2.1700656907602623e-102,1.0460026821122886e-72
7.725615551956624e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999849,0.099999999999988917,1.2588999562584141e-91,0.099999999999995995,2.1472041582073637e-87,2.6620659276360233e-59,3.4240008318069493e-33,2.409194036421992e-54,0.0,7.3510399111624546e-34,2.476354984236949e-105,5.8862752179862237e-45,2.201376749186782e-82,3.4656246720066524e-83,0.0,0.0,2.3976147219434134e-73,0.0,1.1094175383152568e-14,4.0189125314814626e-15,1.3195949528805935e-24,1.3195949521454816e-24,1.7776854845589406e-72,3.9250457212658124e-39,1.3119073743586199e-50,1.6662484930425775e-67,3.1033517940427484e-75,9.0510967320789415e-77,1.6704886300637548e-118,5.6904182654977037e-48,1.9264338077552769e-31,7.8209501236977729e-54,1.960673816073347e-31,6.5786525002736718e-47,1.6851873867605559e-96,6.9622692422398978e-101,8.3722609572585691e-72
1.5452908033705293e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996977,0.099999999999977815,1.0073750173948486e-90,0.09999999999999197,3.4510295658626086e-86,2.1301686269849804e-58,1.3495594227257343e-32,1.9278433284462419e-53,0.0,2.9408946340326592e-33,1.5854805677408609e-103,2.354893378417762e-44,7.0463878793471077e-81,5.5710566941826184e-82,0.0,0.0,1.9266117893183634e-72,0.0,2.2190758874369881e-14,8.038697411497986e-15,2.6394763383531123e-24,2.6394763354121863e-24,2.8450349845347268e-71,1.5702738713792465e-38,1.0497252236145433e-49,2.6667209702088203e-66,4.966715027693161e-74,7.2408795990339417e-76,2.1390595541231082e-116,2.2765378246507621e-47,3.7868172756813816e-31,3.1431366208731322e-53,3.9217732179539608e-31,5.1912173413541715e-46,5.4176174530473018e-95,2.2378469689515502e-99,6.6995049775349012e-71
3.090749299720264e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993955,0.099999999999955624,8.0600204733650748e-90,0.099999999999983935,5.5693017084203056e-85,1.7043412803035336e-57,5.2431013071834971e-32,1.5424699239114905e-52,0.0,1.1764535935015425e-32,1.0149037794599465e-101,9.4203401507093302e-44,2.2551610958209296e-79,8.993222208225755e-81,0.0,0.0,1.5544861862986786e-71,0.0,4.4383925842783741e-14,1.6078267169687697e-14,5.2792391092969262e-24,5.2792390975322643e-24,4.5526466240823382e-70,6.2816066831338179e-38,8.3985991649483741e-49,4.2673323321815475e-65,7.947825067802681e-73,5.7927107696927984e-75,2.7385298865952105e-114,9.1068922722662175e-47,7.3196618909954996e-31,1.2687557421139517e-52,7.8439720217138897e-31,4.041578600144481e-45,1.7488748182362052e-93,7.2219833125963207e-98,5.3602825453771413e-70
6.181666292419733e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879998791,0.099999999999911243,6.4484245372622686e-89,0.099999999999967851,9.061812595898079e-84,1.3635555806808063e-56,1.9824282172662805e-31,1.2340540445069609e-51,0.0,4.7060058538568072e-32,6.4960107527098166e-100,3.7682893931487435e-43,7.2170211718397108e-78,1.4640574442698435e-79,0.0,0.0,1.2645296286261096e-70,0.0,8.8770259723528411e-14,3.2157406678693759e-14,1.0558764651179656e-23,1.0558764604119094e-23,7.2847071466409716e-69,2.5127449127907307e-37,6.719198290354923e-48,6.8281947638229417e-64,1.2717382244640801e-71,4.6341913209605599e-74,3.5056590810800868e-112,3.6429050161025168e-46,1.3705941411961963e-30,5.1664233373976879e-52,1.5688369629228549e-30,3.0678553453800772e-44,5.6926787835217448e-92,2.3495740746840874e-96,4.2884974715163131e-69
1.236350027781867e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975816,0.099999999999822467,5.1589028982202139e-88,0.099999999999935696,1.4980624176370597e-82,1.0908774881081097e-55,7.1395139126569285e-31,9.8727447254741537e-51,0.0,1.8824406327992092e-31,4.157645603553325e-98,1.5073464243767797e-42,2.3095267034622686e-76,2.4226993805785692e-78,0.0,0.0,1.045059131848601e-69,0.0,1.7754292726068561e-13,6.4315685667212443e-14,2.1117815734925527e-23,2.1117815546679455e-23,1.165590947344763e-67,1.0051184104865074e-36,5.3754862045657645e-47,1.0925481982705547e-62,2.0348492541782876e-70,3.7074257389172672e-73,4.4874598355171853e-110,1.4571915541564928e-45,2.4237650931577937e-30,2.1395679425362335e-51,3.1377164844237093e-30,2.2253927337009328e-43,1.8830777501943385e-90,7.7646183054461083e-95,3.4309065439029098e-68
2.472716824861654e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879995163,0.099999999999644928,4.1271876269250475e-87,0.099999999999871386,2.5509514022707245e-81,8.727152001061957e-55,2.3741391694669232e-30,7.8983206314488228e-50,0.0,7.5298390712280861e-31,2.6609544877571942e-96,6.0294470322743216e-42,7.3906070601967114e-75,4.1327855919359379e-77,0.0,0.0,8.8951611865464038e-69,0.0,3.5508826143767135e-13,1.2863224352627605e-13,4.2235917902338926e-23,4.2235917149346979e-23,1.8649757552597273e-66,4.0205145098403581e-36,4.3004399700726571e-46,1.7481067214980157e-61,3.2558104730123094e-69,2.9661732148233505e-72,5.7440820291264994e-108,5.8288247185728718e-45,3.9013363579486833e-30,9.1420171499685574e-51,6.2754755274171051e-30,1.4985478515236048e-42,6.4186229596264892e-89,2.6419984786420171e-93,2.7447686453255058e-67
4.945450419021228e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799903258,0.099999999999289838,3.3017762250614778e-86,0.099999999999742753,4.5744068633258341e-80,6.981774439663719e-54,7.0532206860487375e-30,6.3187062882002951e-49,0.0,3.0119509020348484e-30,1.7030275560518874e-94,2.4117910799071191e-41,2.3650096984151319e-73,7.4329918602585115e-76,0.0,0.0,7.9715181804444735e-68,0.0,7.1017892620232802e-13,2.572653587725083e-13,8.4472122236852325e-23,8.4472119224869232e-23,2.9839853870276346e-65,1.6082139589832982e-35,3.4403723416838422e-45,2.7969943576692712e-60,5.2093290960853237e-68,2.3736830329527696e-71,7.3524977539311592e-106,2.3315411126620371e-44,5.4977729273128275e-30,4.123754306243958e-50,1.2550993613370645e-29,9.0802180399360563e-42,2.3052839502418297e-87,9.4610749400114459e-92,2.1958322530574091e-66
9.890917607340378e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799806513,0.099999999998579656,2.6414314294720826e-85,0.099999999999485487,8.8962164774289611e-79,5.5854406872383775e-53,1.8422662406333801e-29,5.0549846914242623e-48,0.0,1.204783387904829e-29,1.0899392207082391e-92,9.6471888535927039e-41,7.5680300194888107e-72,1.4518370302670012e-74,0.0,0.0,7.7457916891186732e-67,0.0,1.4203602413743825e-12,5.1453158737739273e-13,1.6894453090462545e-22,1.6894451885666291e-22,4.7743959199589769e-64,6.4328719975189977e-35,2.7523059602988833e-44,4.4752095978509836e-59,8.3349236441123919e-67,1.9013288062137108e-70,9.4112113161283302e-104,9.3261830994959244e-44,6.6793673787622356e-30,2.0230496504309509e-49,2.510202978514472e-29,4.8686110449635829e-41,8.9853035699961395e-86,3.6717910790104633e-90,1.7566726933243363e-65
1.978185198397868e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799613023,0.099999999997159292,2.1131493291285635e-84,0.099999999998970954,1.9280814545560054e-77,4.468361003853492e-52,4.2988176441777082e-29,4.0439952136226926e-47,0.0,4.8191393848107257e-29,6.9755677245653293e-91,3.8588804481672633e-40,2.4217529819662508e-70,3.1631143577425634e-73,0.0,0.0,8.3863356112497794e-66,0.0,2.8407228142894583e-12,1.029064037036842e-12,3.3788934823515701e-22,3.3788930004324856e-22,7.6390487773094024e-63,2.573151912492483e-34,2.2018479081041133e-43,7.1603494342823529e-58,1.3335783390958748e-65,2.0159187784042117e-70,1.2046276163683522e-101,3.7304739282419767e-43,7.2159256861502355e-30,1.1080557846990581e-48,5.0204102128160834e-29,2.3352205217500815e-40,3.9046551095503734e-84,1.5872860629824776e-88,1.4053408408290975e-64
