Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(141),C3H6X(151),C3H5X(149),C4H8(196),C4H8X(205),C4H7X(204),C3H5X(150),C5H10(233),SX(254),C4H8(240),C4H8X(315),C3H8X(43),C4H7X(251),C5H9X(252),C6H12(377),SX(388),HOCXO(25),C4H7X(197),C4H7(208),C4H7X(435)
1.0084395860536839e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999536,0.099999999999997119,0.0,0.099999999999998257,0.0,5.91658190524212e-59,0.0,2.68032625101052e-54,0.0,1.2529315526773534e-33,2.9801649634920998e-105,1.0032736397946953e-44,3.5917826931365766e-82,0.0,0.0,0.0,0.0,1.8435071582229589e-120,2.8962884724165648e-15,1.7486548321189915e-15,1.7225215105893151e-24,1.7225215118422598e-24,2.5800707573087847e-72,6.6900365282324645e-39,2.9202593797334027e-50,3.0263436368722304e-68,3.8171866079403696e-75,2.0364675000146878e-134,7.6389454838841853e-63,5.3147797924059587e-137,3.6661201675874643e-169,3.2841099878977131e-183,4.2854406955889362e-186,2.6347579928461381e-218,2.0422650802101291e-232,2.6649551684122819e-235,2.1427203477944681e-186,9.7649811665812874e-268,6.7692657772983205e-282,2.8956060918288506e-219,2.2444547937390471e-233,2.6258056722450607e-119,2.9287928686648122e-236,4.4166131993181196e-285,6.9504068112525713e-318,0.0,9.6989881049083588e-48,1.7967845463424189e-236,1.1894684148611836e-243,9.3029595469135356e-258
2.017755314232523e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999073,0.099999999999994219,0.0,0.099999999999996508,0.0,4.7378564099199402e-58,0.0,2.1464348381342381e-53,0.0,5.0149914414424338e-33,1.9102722953545396e-103,4.015709165741578e-44,1.1506720265683737e-80,0.0,0.0,0.0,0.0,1.1810710535267339e-118,5.7950932681184432e-15,3.4988289124541888e-15,3.446539562120109e-24,3.4465395671351543e-24,4.132403050200612e-71,2.6777580834470609e-38,2.3379831451374598e-49,4.8474093008619781e-67,6.1141917337439888e-74,2.6094095965841884e-132,6.1158011894301953e-62,6.8100460205598716e-135,1.8798419530274305e-166,3.3679292588862806e-180,4.3948166046371007e-183,1.0812716368805803e-214,1.6762403447263293e-228,2.1873288700698486e-231,2.1974083023185504e-183,3.2073342994307991e-263,4.4467672219944464e-277,1.1883204253196092e-215,1.842192628976796e-229,3.3663006469892281e-117,2.4038802873753109e-232,2.9012970466031046e-280,1.8270982439287042e-312,0.0,3.8821228598838829e-47,1.4747559425741714e-232,1.9525722460296082e-239,3.0542552035691134e-253
4.036386770590201e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998143,0.099999999999988418,0.0,0.099999999999993011,0.0,3.7921223644804168e-57,0.0,1.718017826892283e-52,0.0,2.0066498069591541e-32,1.223524310729266e-101,1.6068067366378986e-43,3.6842337675241671e-79,0.0,0.0,0.0,0.0,7.5627850390582854e-117,1.1592702858554744e-14,6.9991770727718703e-15,6.8945756576538045e-24,6.8945756777205172e-24,6.6152786737602088e-70,1.0714520261753322e-37,1.8710970747228841e-48,7.7600648505262113e-66,9.7880630162118773e-73,3.3417947286572368e-130,4.894499662678464e-61,8.7214272242467284e-133,9.6319396211321653e-164,3.4513236328605377e-177,4.5036380649718501e-180,4.4331446960588674e-211,1.3744958453843803e-224,1.7935819609598517e-227,2.2518190324859251e-180,1.0522178282342091e-258,2.9176676927986329e-272,4.8720378959740161e-212,1.5105746159210452e-225,4.3122397494747628e-115,1.9711513795388524e-228,1.9036347615755239e-275,4.7963139508476038e-307,1.2139192918319428e-320,1.5533548048082077e-46,1.2092810313640803e-228,3.2021687786346947e-235,1.001780053582947e-248
8.073649683305557e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996283,0.099999999999976816,0.0,0.099999999999986017,0.0,3.0344329626581902e-56,0.0,1.3747623234586676e-51,0.0,8.0279058596889129e-32,7.8335948720644582e-100,6.4282732362611071e-43,1.1792879024030148e-77,0.0,0.0,0.0,0.0,4.8414509906907931e-115,2.318792203555751e-14,1.3999873391996378e-14,1.3790647818609619e-23,1.3790647898889536e-23,1.0587193678483705e-68,4.2865057815907158e-37,1.4971619413328775e-47,1.2419472645785588e-64,1.5665182581025563e-71,4.2786270939252303e-128,3.916343366649768e-60,1.1166375511961724e-130,4.9333946055175599e-161,3.535476385155791e-174,4.6134491347132652e-177,1.8166921312659018e-207,1.1265303090370151e-220,1.4700113119500309e-223,2.3067245673566326e-177,3.4499455070828804e-254,1.9132530103718266e-267,1.9965495186101053e-208,1.2380598272533296e-221,5.5218262591874264e-113,1.615546369532696e-224,1.2483035499596301e-270,1.2582047054911914e-301,6.3696424814131947e-315,6.2144306306069323e-46,9.9112076596513961e-225,5.2489636121357569e-231,3.2842152281849767e-244
1.614817550873627e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992564,0.099999999999953626,0.0,0.099999999999972014,0.0,2.4278404338461365e-55,0.0,1.0999490915776011e-50,0.0,3.2114236768367077e-31,5.0144706473846075e-98,2.5715185673476613e-42,3.7742521991797864e-76,0.0,0.0,0.0,0.0,3.0989634515397202e-113,4.6378360374083716e-14,2.8001266024801973e-14,2.7582792020074963e-23,2.7582792341220766e-23,1.6941708421428387e-67,1.7147418514883459e-36,1.197843273622525e-46,1.9873851564605809e-63,2.5067703680904969e-70,5.4774165136185114e-126,3.1333721687547026e-59,1.4294980211947375e-128,2.526392881333669e-158,3.6210376969871073e-171,4.7250982366928585e-174,7.4430342723678595e-204,9.2308474183677881e-217,1.2045348462841751e-219,2.3625491183464293e-174,1.1308226127333606e-249,1.2542515658107645e-262,8.1799146028884877e-205,1.0144726039333536e-217,7.0693159133567924e-111,1.3237870226376674e-220,8.1833749844159546e-266,3.2994921987926282e-296,3.340725972996528e-309,2.4859745053994719e-45,8.1212903484398373e-221,8.6020512515873066e-227,1.0764400381051836e-239
3.2297227159597695e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799985126,0.099999999999907246,0.0,0.099999999999944009,0.0,1.9423899796199118e-54,0.0,8.8001495543963921e-50,0.0,1.2846217295714909e-30,3.2095679620811664e-96,1.028649282996734e-41,1.2078442952845369e-74,0.0,0.0,0.0,0.0,1.9835518842061783e-111,9.2759236989218826e-14,5.600405126783948e-14,5.516707994122054e-23,5.5167081225855979e-23,2.7108492386557379e-66,6.8592464418880457e-36,9.5832010280748161e-46,3.1800318408308718e-62,4.0111009405916744e-69,7.0118559254841957e-124,2.5068167140186146e-58,1.8299565407403737e-126,1.2936891231296386e-155,3.7084472413621657e-168,4.8391591014985761e-171,3.0491645122179796e-200,7.5631447136216154e-213,9.8691603765075875e-216,2.4195795507492881e-171,3.7061849966979768e-245,8.2214279933398031e-258,3.3510399666836982e-201,8.3119162995645979e-214,9.0495962883836871e-109,1.0846233690169549e-216,5.3640776724746704e-261,8.6513021746565851e-291,1.7518835101389447e-303,9.9443021941163753e-45,6.6540401293300038e-217,1.4095886755221349e-222,3.5278471150429392e-235
6.459533046132054e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799970249,0.099999999999814487,0.0,0.099999999999887998,0.0,1.5539590381195291e-53,0.0,7.0403421494813229e-49,0.0,5.1385913608882547e-30,2.0542169693578585e-94,4.1146808455824557e-41,3.8652267867400475e-73,0.0,0.0,0.0,0.0,1.269739963216425e-109,1.8552098997181986e-13,1.1200962166361976e-13,1.1033565385637121e-22,1.1033565899501747e-22,4.3374994871007553e-65,2.7437543435702937e-35,7.6667426550732159e-45,5.0882232594791139e-61,6.417961498657818e-68,8.9770544451542066e-122,2.0055009360681987e-57,2.3428347201796512e-124,6.6251635575545196e-153,3.7982954299257475e-165,4.9564021593825099e-168,1.249232749199918e-196,6.1971913516129807e-209,8.0867255212529674e-212,2.478201079691255e-168,1.2147459634938376e-240,5.3893405011063477e-253,1.3729101376737423e-197,6.8107298957561314e-210,1.1584014951897238e-106,8.8873330096603484e-213,3.5162797865767945e-256,2.26848401443377e-285,9.1873330858287479e-298,3.977801435029371e-44,5.4522654511475241e-213,2.3100105959115389e-218,1.1562730429728762e-230
1.2919153706476624e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799940495,0.099999999999628969,0.0,0.09999999999977599,0.0,1.2431860525389122e-52,0.0,5.6323623560573447e-48,0.0,2.0554573715159058e-29,1.3147227680068904e-92,1.6458890810930269e-40,1.2368870045555911e-71,0.0,0.0,0.0,0.0,8.1322930152010349e-108,3.7104449494634502e-13,2.2402076209400139e-13,2.2067279397811127e-22,2.2067281453290456e-22,6.940111705034376e-64,1.09751285779802e-34,6.1334666854615459e-44,8.141294542900569e-60,1.0268851370636951e-66,1.1499006205721302e-119,1.6044197302120578e-56,3.0010145538784829e-122,3.3945760550056683e-150,3.8923103229131955e-162,5.0790823613285473e-165,5.1206483101315182e-193,5.0805000819869924e-205,6.6295531961609584e-208,2.5395411806642737e-165,3.9834552178496554e-236,3.5345985077913581e-248,5.627606209446582e-194,5.583483199171228e-206,1.4827811961891019e-104,7.2858967210762459e-209,2.3061518009311786e-251,5.9511803717146931e-280,4.8204418339279498e-292,1.5911364627831786e-43,4.4697857759028387e-209,3.7875089831562735e-214,3.7916500680323243e-226
2.5838395027165766e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799880987,0.099999999999257919,0.0,0.099999999999551961,0.0,9.9455637089132837e-52,0.0,4.5059247520695182e-47,0.0,8.2218706482032706e-29,8.4142253605618038e-91,6.5835898101765245e-40,3.9580258324864946e-70,0.0,0.0,0.0,0.0,5.2196878894064689e-106,7.4209150093268833e-13,4.4804304151004884e-13,4.4134704338735081e-22,4.413471256069353e-22,1.1104268619787045e-62,4.3900734072913918e-34,4.9068020969420331e-43,1.3026179448473742e-58,1.6430102094445531e-65,1.4760957406034266e-117,1.2835433050226142e-55,3.8523197041161256e-120,1.7430080603229654e-147,3.9971495974585941e-159,5.2158873262010342e-162,2.1034350617118453e-189,4.1738852424469285e-201,5.4465099659151438e-204,2.6079436631005171e-162,1.3090474608934115e-231,2.323087263487563e-243,2.3116807672646445e-190,4.5871110619796678e-202,1.8979601184522449e-102,5.985729042034038e-205,1.5157002636265738e-246,1.5645519333216097e-274,2.5345666142434655e-286,6.3645758460270934e-43,3.6721217509599984e-205,6.2232030884482142e-210,1.2459908115357252e-221
5.167687766854405e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799761974,0.099999999998515818,0.0,0.099999999999103917,0.0,7.9564810824669804e-51,0.0,3.6047528083802186e-46,0.0,3.2887560978338119e-28,5.3850057401012788e-89,2.6334426211946335e-39,1.2665434222858953e-68,0.0,0.0,0.0,0.0,3.3790403747868002e-104,1.4841854970545461e-12,8.960875945632809e-13,8.8269541886890131e-22,8.8269574774802335e-22,1.7766901290657501e-61,1.7560335463545166e-33,3.9254527351292966e-42,2.0841968275140351e-57,2.6287633762896736e-64,1.9110166580875181e-115,1.0268375375840734e-54,4.9873778400368735e-118,9.0261563480400165e-145,4.1398087036771789e-156,5.4020434727791034e-159,8.714024282824722e-186,3.4582764544404563e-197,4.5127108646555686e-200,2.7010217363895517e-159,4.3384556679180233e-227,1.5398387086060571e-238,9.5767360289644978e-187,3.8006550870688795e-198,2.4293448527503641e-100,4.9594813283946193e-201,1.0046690820282836e-241,4.148206406752893e-269,1.3440148614683885e-280,2.5458349111718175e-42,3.0424883088093363e-201,1.0312301277981944e-205,4.1293242138929388e-217
