Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65)
3.564860555811231e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982297,0.11866996602979034,0.022821567693051742,0.0,2.7329403798967457e-47,6.329648771323161e-27,0.0,1.90283627205815e-40,0.0,3.146273045423328e-15,4.8468144657762679e-79,3.1462730433102079e-15,8.2828721497153656e-54,1.2545468060277423e-51,0.0,0.0,8.4613118069981544e-38,1.1346763848663922e-62,1.7182655887285544e-13,5.0874790157068026e-15,2.0366884467966646e-17,1.9199419912113183e-28,7.1092195983247458e-28,2.0366882366986726e-17,2.2842484467017281e-40,1.477401702070964e-38,5.4097229752607292e-71,1.0733225016544659e-52,6.6340174394982542e-64,2.9850465665017049e-83,6.3107405040705374e-75
7.129769463794066e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799646,0.11866996602961534,0.022821567693049199,0.0,4.3727594951392874e-46,2.531885264204185e-26,0.0,1.5222931009010554e-39,0.0,6.2925887696681154e-15,3.1020360615715759e-77,6.2925887612155489e-15,1.3252820066685958e-52,2.0073110731406879e-50,0.0,0.0,6.7691294283096438e-37,3.631028010219758e-61,3.4365544831922506e-13,1.017502703569345e-14,4.0734045207291757e-17,7.6798456594857031e-28,2.8437166717627805e-27,4.0734036803287328e-17,1.8274201320178614e-39,1.1819353886446847e-37,3.4622842963658805e-69,1.7173451126042388e-51,2.1229250406764736e-62,3.8209281173875177e-81,4.0389380530261427e-73
1.4259587279759735e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679929206,0.11866996602926534,0.022821567693044113,0.0,6.9964573672882671e-45,1.0127592568236145e-25,0.0,1.2178441075948159e-38,0.0,1.2585220230707759e-14,1.9853270039932489e-75,1.2585220196897324e-14,2.1204691656972948e-51,3.2117259928717668e-49,0.0,0.0,5.4153351125295407e-36,1.1619391193875648e-59,6.8731322719709608e-13,2.0350123075647409e-14,8.1468366758126824e-17,3.0719535454534003e-27,1.1374923779848006e-26,8.1468333141944103e-17,1.4619442798820243e-38,9.4555392158290596e-37,2.2158816180970298e-67,2.7477754533440363e-50,6.7934214011175168e-61,4.8908317477436654e-79,2.584933416205092e-71
2.8519222911691073e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679858423,0.11866996602856536,0.022821567693033937,0.0,1.1194359975458024e-43,4.0510473294735201e-25,0.0,9.7427912643798452e-38,0.0,2.5170483202987306e-14,1.2706169220148351e-73,2.5170483067745248e-14,3.3927649802296865e-50,5.1387820613963515e-48,0.0,0.0,4.3322800405520742e-35,3.7182213258997737e-58,1.3746287848933662e-12,4.0700315155477946e-14,1.6293701014853631e-16,1.2287842686494091e-26,4.5499804726633318e-26,1.6293687568351042e-16,1.1695580925804151e-37,7.5644538127593713e-36,1.418170476676294e-65,4.3964592959888257e-49,2.1739034576513214e-59,6.2602924095926798e-77,1.6543520180537171e-69
5.703849417555375e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679716859,0.1186699660271654,0.022821567693013585,0.0,1.7910980743396441e-42,1.6204209921253091e-24,0.0,7.7942482065475382e-37,0.0,5.0341009348347071e-14,8.1319725365275448e-72,5.0341008807378605e-14,5.4284352637740432e-49,8.2220608029475052e-47,0.0,0.0,3.4658277287148798e-34,1.1898333394680856e-56,2.7492599000480163e-12,8.1400699314829521e-14,3.258742980843126e-16,4.9151411285760681e-26,1.8199940149240885e-25,3.2587376022390167e-16,9.3564657986811839e-37,6.0515720220250288e-35,9.0763103460274081e-64,7.0343495765698547e-48,6.9564971970774555e-58,8.0131914636347743e-75,1.0587713522268802e-67
1.1407703670327912e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767943373,0.11866996602436547,0.022821567692972885,0.0,2.8657516159378469e-41,6.4816880883576755e-24,0.0,6.2354043769677121e-36,0.0,1.0068206244226761e-13,5.2044699090693017e-70,1.006820602783953e-13,8.6855049569026464e-48,1.3155282893123109e-45,0.0,0.0,2.7726619271706499e-33,3.8074702763928955e-55,5.4985221294057565e-12,1.6280146763229465e-13,6.5174887857569477e-16,1.966055944657053e-25,7.2799767811098092e-25,6.5174672713569377e-16,7.4851576755258999e-36,4.8412611995725514e-34,5.8088439303597844e-62,1.1254970593537609e-46,2.2260751932135991e-56,1.0256894544860959e-72,6.77593562192925e-66
2.2815412175872986e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678867466,0.11866996601876562,0.022821567692891485,0.0,4.5851801492412018e-40,2.5926760586606107e-23,0.0,4.9883254002006541e-35,0.0,2.0136417184289437e-13,3.3308627919824482e-68,2.0136416318742876e-13,1.3896813154240433e-46,2.1048370730884751e-44,0.0,0.0,2.218126664524676e-32,1.2183907849753404e-53,1.0997046584315003e-11,3.2560300426227309e-13,1.3034980580377781e-15,7.8642122245551272e-25,2.9119885124855325e-24,1.3034894522991386e-15,5.9880955366122617e-35,3.8730103815959554e-33,3.7176607063131981e-60,1.8007960394089147e-45,7.1234030598837319e-55,1.3128827179249488e-70,4.3363342631756777e-64
4.5630829186963133e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677734939,0.11866996600756589,0.022821567692728684,0.0,7.336212070278975e-39,1.0370705876045983e-22,0.0,3.9906603979155371e-34,0.0,4.027284034951632e-13,2.1317524010170095e-66,4.0272836887349574e-13,2.2234900090363152e-45,3.3677102421847288e-43,0.0,0.0,1.7744957409330919e-31,3.8988492079095721e-52,2.1994095478908548e-11,6.5120607750242185e-13,2.6069964908792429e-15,3.1456741466354561e-24,1.1647930896158937e-23,2.6069620681121632e-15,4.7904247988367653e-34,3.0984088567026394e-32,2.3793016229325254e-58,2.8812737554491118e-44,2.2794629363915299e-53,1.6804890189371618e-68,2.7749130702221271e-62
9.126166320914343e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675469889,0.11866996598516646,0.02282156769240308,0.0,1.1737692080687525e-37,4.148282674512465e-22,0.0,3.1925272587632616e-33,0.0,8.0545691820280308e-13,1.3643211098587147e-64,8.0545677971763049e-13,3.5575822947958334e-44,5.3882224043973896e-42,0.0,0.0,1.4195872528704766e-30,1.24763039969236e-50,4.3988193207195863e-11,1.3024122239034887e-12,5.213993652231321e-15,1.258260764198628e-23,4.659152724715925e-23,5.2138559626948733e-15,3.8322561664470946e-33,2.4787272781712877e-31,1.5227508300999814e-56,4.6100364725813318e-43,7.2940870577175768e-52,2.1510228380542497e-66,1.7755074853232641e-60
1.8252333125350402e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670939785,0.11866996594036759,0.022821567691751875,0.0,1.8779513427616732e-36,1.6593131312749708e-21,0.0,2.5540196382234447e-32,0.0,1.6109141532223065e-12,8.7316467296632766e-63,1.6109135992939019e-12,5.6921250381147319e-43,8.6208172583354299e-41,0.0,0.0,1.1356547008421393e-29,3.9924078398034722e-49,8.797638842017138e-11,2.6048245163886968e-12,1.0427989157612682e-14,5.0329713026073768e-23,1.8636451609077507e-22,1.0427438411787707e-14,3.0656706373114078e-32,1.982981855244361e-30,9.7455750103255448e-55,7.3760519753661769e-42,2.3339900676592423e-50,2.7533007020889057e-64,1.1357657569059605e-58
3.6504666734222515e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661879577,0.11866996585076986,0.022821567690449462,0.0,3.0044679011474919e-35,6.6372526212489409e-21,0.0,2.0432120515090391e-31,0.0,3.2218294456134223e-12,5.5882423958177984e-61,3.2218272299984536e-12,9.1073779307185934e-42,1.3792225550467074e-39,0.0,0.0,9.0849953611416394e-29,1.2775643367805141e-47,1.7595277787172599e-10,5.2096491000914204e-12,2.0855984899087937e-14,2.0131310000165382e-22,7.4544527704600579e-22,2.0853782014480256e-14,2.4523214875399677e-31,1.5863854262120896e-29,6.2371285705226258e-53,1.1801661572135359e-40,7.4680157854547851e-49,3.5242026905848501e-62,7.2617549162815496e-57
5.475700034309463e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652819369,0.11866996576117213,0.022821567689147049,0.0,1.1058118466023273e-34,1.4104161849136588e-20,0.0,6.0657795504662554e-31,0.0,4.8327455602917176e-12,3.1728359395751852e-60,4.832740852255013e-12,3.4455020460775325e-41,5.2581347501257222e-39,0.0,0.0,2.5977010907012826e-28,5.9597979543073171e-47,2.6392916634888409e-10,7.8144736825264486e-12,3.1283985371275639e-14,4.2778189570223538e-22,1.5840524202100078e-21,3.1279304386472644e-14,7.0117536411756189e-31,4.5360706991494066e-29,3.4878494037339177e-52,4.4648043360756522e-40,3.5048894075023472e-48,2.3077843626755178e-61,4.0594716118848596e-56
7.300933395196675e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727643759161,0.1186699656715744,0.022821567687844636,0.0,2.8045337255423189e-34,2.4060040790606864e-20,0.0,1.3216999935544179e-30,0.0,6.4436624971925598e-12,1.2202075404607834e-59,6.4436544660635822e-12,8.9686119263393118e-41,1.4146758326384811e-38,0.0,0.0,5.4792278748447523e-28,1.8147598767719167e-46,3.5190555385164586e-10,1.0419298263693791e-11,4.1711990574183285e-14,7.2973233283543892e-22,2.7021775447657089e-21,4.1704005592551026e-14,1.4789143655094869e-30,9.5678865626789293e-29,1.220914708973984e-51,1.162184986039454e-39,1.0925322574633852e-47,9.1524972610398074e-61,1.4205778067281618e-55
1.0951400116971099e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072762563875,0.11866996549237893,0.02282156768523981,0.0,9.8075411170961956e-34,4.981325812684608e-20,0.0,3.8364786551977482e-30,0.0,9.6654983004995038e-12,9.2867237254338294e-59,9.6654816738538014e-12,3.291346542728857e-40,5.72128517485199e-38,0.0,0.0,1.4965124897083316e-27,8.2680741052125462e-46,5.2785832657032067e-10,1.5628947423053306e-11,6.2568012082725656e-14,1.5107723443201609e-21,5.594413324119002e-21,6.2551480979533781e-14,4.0390666109027619e-30,2.6132864318862982e-28,6.7949604136661041e-51,4.265046989130456e-39,5.3824784901507397e-47,6.133564299699978e-60,7.9019991919662365e-55
1.4601866838745522e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072760751834,0.1186699653131835,0.022821567682634984,0.0,2.4505987236589135e-33,8.4719304599754856e-20,0.0,8.3899300306435486e-30,0.0,1.2887337126873955e-11,3.5066606075106886e-58,1.2887308850577741e-11,8.5346920315657511e-40,1.5496228402030113e-37,0.0,0.0,3.1311405663405821e-27,2.4834465790793805e-45,7.0381109570579216e-10,2.083859657775112e-11,8.3424050987843384e-14,2.5693540430545245e-21,9.5144666302216514e-21,8.3395937184693867e-14,8.4505083889307183e-30,5.4678691039080918e-28,2.3226415984453763e-50,1.1059569215786415e-38,1.6887587410825108e-46,2.3524014589668492e-59,2.7000199755126228e-54
2.190280028229437e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727571277518,0.11866996495479261,0.022821567677425336,0.0,1.1346831180241285e-32,1.8458608812325687e-19,0.0,2.7908740555207381e-29,0.0,1.933102470363953e-11,4.5398733351077005e-57,1.933096310201484e-11,4.21805071853854e-39,7.7693812871355635e-37,0.0,0.0,9.8865955660936876e-27,1.8536176976966307e-44,1.0557166222107494e-09,3.1257894871839496e-11,1.251361859225067e-13,5.5977114305253294e-21,2.072921903812488e-20,1.2507493833801122e-13,2.6678938021831342e-29,1.7265842288272915e-27,2.6810812795621442e-49,5.4659128716879756e-38,1.3081831368015544e-45,4.3187956203661197e-58,3.1102769255440106e-53
2.9203733725843217e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727535036702,0.11866996459640174,0.022821567672215687,0.0,3.2898872012762432e-32,3.2407105254089525e-19,0.0,6.4926362717254289e-29,0.0,2.5774725359559869e-11,2.1525931098991124e-56,2.5774617218981008e-11,1.2574582829090252e-38,2.3305399123897844e-36,0.0,0.0,2.2486283543403099e-26,6.9454781788412407e-44,1.4076221332057495e-09,4.1677193145749954e-11,1.6684839615891433e-13,9.8270496093210276e-21,3.6392087490426701e-20,1.6674087715665954e-13,6.0672082860948808e-29,3.9271788412969056e-27,1.2398168607946312e-48,1.6294645325264754e-37,4.9474130994876216e-45,2.4215133673617347e-57,1.4365949512776691e-52
4.380560061294091e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072746255507,0.11866996387962002,0.022821567661796389,0.0,1.6711214261797209e-31,7.2244306606459008e-19,0.0,2.2107133835945483e-28,0.0,3.8662166068404879e-11,2.8275675348582207e-55,3.8661925047642125e-11,6.5751186405098181e-38,1.2052103627354316e-35,0.0,0.0,7.506782847251746e-26,5.6831077871299479e-43,2.1114331084515245e-09,6.25157896327595e-11,2.5027304357888675e-13,2.1904032027165737e-20,8.1120894399416325e-20,2.5003340848498683e-13,2.0248960686223165e-28,1.3112034969577363e-26,1.6211356203574636e-47,8.5203233656863888e-37,4.0248445115599623e-44,5.1692511796331836e-56,1.8704812575415455e-51
7.30093343871363e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727317591846,0.11866996244605679,0.022821567640957791,0.0,1.3817978754362651e-30,1.9969170579634397e-18,0.0,1.0514320402658857e-27,0.0,6.4437204977215176e-11,7.4900600300479715e-54,6.4436539083466593e-11,5.5365233315849272e-37,9.8406423147649177e-35,0.0,0.0,3.5289143948906202e-25,8.7494243412922868e-42,3.5190548719185596e-09,1.0419298236347904e-10,4.1712324644658991e-13,6.0526932503640778e-20,2.2418665131089555e-19,4.1646118287236422e-13,9.5130333055394504e-28,6.1656002801706425e-26,4.6889677179722364e-46,7.1745105311339997e-36,6.0165328029896089e-43,2.8683961933930305e-54,5.3564192360028377e-50
