Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22),HOX(23),HX(19),H2OX(30),CH3OHX(41),HO2X(48),H2X(31),C2H6X(34)
1.00610169272632e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040177,0.099999999999997424,0.099999999999999853,0.0,7.4672658136058239e-75,1.4979955720066411e-62,0.0,2.2811058339788366e-56,0.0,7.1408391265386857e-37,0.0,2.1020273073621161e-49,0.0,3.2187044024116909e-71,0.0,0.0,1.3813723522954145e-62,0.0,2.584513490649468e-15,3.2135826596365742e-16,1.0285498357376689e-25,1.383305570586552e-39,1.0285498357447959e-25,9.4071704542018395e-89,3.0404532313565153e-85,7.3886302629889568e-72,5.8291540822850563e-76,2.2983332660115694e-70
2.013077496393323e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039885,0.099999999999994843,0.099999999999999686,0.0,1.1960781548868082e-73,1.1996113854726503e-61,0.0,1.8267347253958846e-55,0.0,2.8581966069821871e-36,0.0,8.4135872707076997e-49,0.0,5.1559202985735295e-70,0.0,0.0,1.1059378152051984e-61,0.0,5.1712724315191849e-15,6.4299573111580133e-16,2.057993285566761e-25,5.5368272798511968e-39,2.0579932855952876e-25,3.0137197674844493e-87,9.7411502742462785e-84,1.1835566112649609e-70,9.3367770286939959e-75,3.6813275032480776e-69
4.0270291037273287e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039302,0.099999999999989667,0.099999999999999367,0.0,1.9147782762151778e-72,9.6017531702728644e-61,0.0,1.4621281652352969e-54,0.0,1.1436509401278769e-35,0.0,3.3665308287752356e-48,0.0,8.254270222507173e-69,0.0,0.0,8.8508636898909996e-61,0.0,1.0344790312509874e-14,1.2862706614200474e-15,4.1168801851818946e-25,2.215452116409436e-38,4.1168801852960384e-25,9.6493876760251155e-86,3.1190413910889361e-82,1.8947919144195893e-69,1.4946952262617498e-73,5.8933212491013785e-68
8.054932318395341e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412038139,0.099999999999979314,0.099999999999998729,0.0,3.0644881150143713e-71,7.6833478458371018e-60,0.0,1.1699987584454325e-53,0.0,4.5753484611712246e-35,0.0,1.3468315468322335e-47,0.0,1.3210671803314646e-67,0.0,0.0,7.0820357034922168e-60,0.0,2.0691826071496282e-14,2.5728205220283742e-15,8.2346539842399603e-25,8.8632510759599267e-38,8.2346539846966087e-25,3.0886818873729042e-84,9.983930783685382e-81,3.0325484195194976e-68,2.3921612674679326e-72,9.431872521464708e-67
1.6110738747731367e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412035813,0.099999999999958622,0.099999999999997438,0.0,4.9038553948018602e-70,6.1474564955197241e-59,0.0,9.361175116534847e-53,0.0,1.8302883351418484e-34,0.0,5.3877646491943404e-47,0.0,2.1140146926633832e-66,0.0,0.0,5.6661665160045888e-59,0.0,4.1385897577489199e-14,5.1459202432443662e-15,1.6470201581667292e-24,3.5455889697198825e-37,1.6470201583494036e-24,9.8851868189688505e-83,3.1953376647051716e-79,4.8527826675443276e-67,3.8279772238362112e-71,1.5093043140625911e-65
3.2222351606403413e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412031159,0.099999999999917238,0.099999999999994871,0.0,7.8467081929554621e-69,4.9182765029502212e-58,0.0,7.4894141405812892e-52,0.0,7.3214512519950707e-34,0.0,2.1551935551708661e-46,0.0,3.3826692854089493e-65,0.0,0.0,4.5331483977611274e-58,0.0,8.2774040541555449e-14,1.02921196856737e-14,3.294129677376675e-24,1.4182932951887196e-36,3.294129678107402e-24,3.1634845607227509e-81,1.0225848274807824e-77,7.7650164574334616e-66,6.1251789366783722e-70,2.415050681509989e-64
6.444557732374751e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412021852,0.099999999999834457,0.099999999999989722,0.0,1.2555164731499238e-67,3.9347457287628125e-57,0.0,5.9917209353210411e-51,0.0,2.9286400837232969e-33,0.0,8.6209496147732597e-46,0.0,5.4124674663086539e-64,0.0,0.0,3.6266047819782582e-57,0.0,1.6555032627800964e-13,2.0584518570521773e-14,6.5883487146944841e-24,5.6732885764414929e-36,6.5883487176174507e-24,1.0123510212755116e-79,3.272394278956817e-76,1.2424477657416983e-64,9.8006185885497504e-69,3.8642121145904785e-63
1.2889202875843571e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412003239,0.099999999999668909,0.099999999999979425,0.0,2.0088608732330556e-66,3.1478463943130023e-56,0.0,4.7934525955607994e-50,0.0,1.1714679498436548e-32,0.0,3.4484149250244057e-45,0.0,8.6601051726703587e-63,0.0,0.0,2.9013182315304248e-56,0.0,3.3110289698420478e-13,4.1169316340175559e-14,1.3176786784921771e-23,2.2693384931436271e-35,1.3176786796613758e-23,3.2395807801586895e-78,1.0471858136931285e-74,1.987952517744444e-63,1.5681255498943078e-67,6.1828441927148135e-62
2.577849316278121e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411966011,0.099999999999337799,0.099999999999958844,0.0,3.2142049644245959e-65,2.5182970400941218e-55,0.0,3.8347924108083518e-49,0.0,4.68589562949505e-32,0.0,1.3793729858519283e-44,0.0,1.3856293852846049e-61,0.0,0.0,2.3210683156639635e-55,0.0,6.6220803532974216e-13,8.2338911879313609e-14,2.6353662907743028e-23,9.0773999637078682e-35,2.6353662954511208e-23,1.0366750336369954e-76,3.3510259778563902e-73,3.1807528572180292e-62,2.5090221152057867e-66,9.8926345187120603e-61
5.155707373665648e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411891557,0.099999999998675593,0.099999999999917669,0.0,5.1427498497949522e-64,2.0146456019161574e-54,0.0,3.0678460547674894e-48,0.0,1.8743630156772623e-31,0.0,5.5175059750266447e-44,0.0,2.2170169967204757e-60,0.0,0.0,1.8568600934750948e-54,0.0,1.3244182997534056e-12,1.6467810295691182e-13,5.2707415082852257e-23,3.6309690763654336e-34,5.2707415269925454e-23,3.317374686563662e-75,1.0723332960583986e-71,5.0892274890807524e-61,4.0144522914393007e-65,1.5828282157335378e-59
