Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158375245e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4518251175059835e-133,1.2401471268230563e-63,1.1144967882993274e-43,1.6269634480802581e-70,3.1202041666843464e-57,6.1639392020875133e-47,1.4105190730193161e-26,-7.7206654298369606e-109,1.4105190722451572e-26,4.0866953674119048e-69,1.1550000425136241e-70,4.5794489929767508e-71,3.19342512851267e-100,6.1639392086821311e-47,3.4010003332292222e-86,2.6894754702805677e-18,1.2931237063348532e-19,4.9843974463614041e-23,5.5047778062115896e-38,4.9843974463621723e-23,1.8575897551355422e-54,7.1253914794653769e-60,7.0317670621035686e-44
1.8673634443450684e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1202933035458352e-131,1.4790863936640712e-62,6.7315606013287763e-43,1.9315310064982712e-69,4.7152525366726834e-56,3.72301928003386e-46,3.9494534069623632e-26,4.4662634076244897e-108,3.949453402286443e-26,6.1758140479550023e-68,3.6315049636856654e-69,5.4367218471004876e-70,7.1435642787917969e-99,3.7230192878629904e-46,9.5913651128253378e-85,7.530531316785592e-18,3.6207463777375891e-19,1.3956312849809442e-22,3.3248857941924072e-37,1.3956312849814085e-22,2.2053305568288683e-53,8.4592647644222319e-59,4.2471873077612234e-43
4.2682593013601564e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.22095044774466e-129,1.4665450262176636e-61,3.2409566603756796e-42,1.8963885979882531e-68,5.0724535096683213e-55,1.7924735229265521e-45,9.0273220848815681e-26,2.6207341044897847e-106,9.0273220623690237e-26,6.6436589503446285e-67,8.1016878035332242e-68,5.3378057543930127e-69,1.4114479235685574e-97,1.7924735306132386e-45,2.0863314185737913e-83,1.7212643009795624e-17,8.2759917205430603e-19,3.1900143656695561e-22,1.6007893849072397e-36,3.1900143656717909e-22,2.1652066171350403e-52,8.3053563084676925e-58,2.0448378650357195e-42
9.070051015390332e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,9.9881328218058276e-128,1.322704096532856e-60,1.4154109211414107e-41,1.6773342425352205e-67,4.6624586821616369e-54,7.8282028172326721e-45,1.9183059480852417e-25,1.0325450852010393e-104,1.9183059382534212e-25,6.1066672069157967e-66,1.5173564610749411e-66,4.7212287509758622e-68,2.5115961717401831e-96,7.8282028852205428e-45,3.8677068539092934e-82,3.657686639581563e-17,1.7586482406154002e-18,6.7787805270427921e-22,6.9910678021181074e-36,6.7787805270525553e-22,1.9151007309075457e-51,7.3459935996755437e-57,8.9303442037568798e-42
1.8673634443450684e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,7.1885318321178486e-126,1.154814162641482e-59,5.9090619715743714e-41,1.4099005037626736e-66,3.988831564201332e-53,3.2681205924701743e-44,3.9494534433323865e-25,3.6483144929052965e-103,3.949453402286472e-25,5.2243824143252033e-65,2.6208559416669282e-65,3.9684772572929307e-67,4.236174063543155e-95,3.2681206496180776e-44,6.6475999417533357e-81,7.530531316785539e-17,3.6207463777375891e-18,1.3956312849773325e-21,2.9186331822598344e-35,1.3956312849814078e-21,1.6097575548362628e-50,6.1747502498517121e-56,3.7282429277241224e-41
3.788080129957139e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,4.8726210814066519e-124,1.0173054032150385e-58,2.4140446233374524e-40,1.1559216253296238e-65,3.2980430737027553e-52,1.3351339102320869e-43,8.0117484980385759e-25,1.2256821185755215e-101,8.0117483303526234e-25,4.3196204948445237e-64,4.3545913288808863e-64,3.2535974482535968e-66,6.9579286766034709e-94,1.3351339570853908e-43,1.101790960142834e-79,1.5276220671193384e-16,7.3449426519819622e-18,2.831137749517062e-21,1.1923568829674475e-34,2.8311377495337108e-21,1.3197764960442097e-49,5.0624333175344088e-55,1.5231088993025125e-40
7.62951350118128e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,3.2083526967594057e-122,9.3805923596487686e-58,9.7579543400976968e-40,9.3609531726689152e-65,2.6819138549921766e-51,5.3968248321962949e-43,1.6136338864298558e-24,4.0179563245672543e-100,1.613633818648513e-24,3.5126437862881688e-63,7.0990828546564463e-63,2.634847613230865e-65,1.1279102406426717e-92,5.3968252116264954e-43,1.7939810262918658e-78,3.0767599380008659e-16,1.4793335200470701e-17,5.702150678571011e-21,4.8196971248939752e-34,5.7021506786383102e-21,1.0687892161323306e-48,4.0996897530017296e-54,6.1566498063542312e-40
1.5312380243629562e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,2.0825693847254114e-120,9.3889936836932426e-57,3.9236305231431193e-39,7.5345097519565763e-64,2.1630606830049935e-50,2.170039607331153e-42,3.2385520624208935e-24,1.3012824420583756e-98,3.2385517898750955e-24,2.8330746910379922e-62,1.1465037600003265e-61,2.1207546572041434e-64,1.8164647303338234e-91,2.1700399127295832e-42,2.8954928299178765e-77,6.1750356797637547e-16,2.9690120297448138e-17,1.1444176536576875e-20,1.9379789859450729e-33,1.1444176536847484e-20,8.6025453101754652e-48,3.2997869781879021e-53,2.4755618986422652e-39
3.0678113728526126e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,1.3422709769398093e-118,1.0484924604505814e-55,1.5735513284704718e-38,6.0459699768495435e-63,1.7374879727989388e-49,8.7028300281973619e-42,6.4883888253591325e-24,4.189133936265596e-97,6.4883877323285838e-24,2.2756800195283741e-61,1.8429712536917309e-60,1.7017721667146953e-63,2.915828368865708e-90,8.702832478827359e-42,4.652979955391487e-76,1.2371587163288867e-15,5.9483690491402876e-17,2.2928228252180462e-20,7.772162273881351e-33,2.2928228253265723e-20,6.903000638439674e-47,2.6478712367098933e-52,9.9281111530410661e-39
