Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),OCX(21),COX(32),HOX(23),OX(20),H2OX(30),CH4OX(41),CH3OX(39),CH3O(51),CH3OX(40)
4.000766713801127e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999217,0.09999999999999426,5.099510042870211e-89,0.099999999999997924,2.7134083587402176e-85,1.6968911550559366e-58,9.3216959413840011e-34,1.8071201617285958e-53,0.0,1.9715881928066689e-34,1.3579202037838358e-103,1.1601629229189149e-44,4.3163939249578342e-82,9.8536453630896775e-82,0.0,0.0,1.3165615235043252e-71,0.0,5.7452001456703341e-15,2.081223350306299e-15,5.0218272794163571e-24,5.0218272792190835e-24,5.6850478998740606e-38,7.2324331664163078e-49,5.8691924431299483e-72,6.4735682317329741e-67,6.3243612138131742e-52,8.6332066916135858e-74,4.7446767284620059e-117,1.2578081851036179e-77,8.242018775163169e-47,5.4823104772496271e-30,9.2671424088946974e-48,8.2893016786540968e-52,5.4832426468437657e-30,4.5573785569642694e-99,2.481920231000966e-95,8.2476963135158037e-98,1.6498615048569295e-107,3.3540940777900398e-70
8.003270625480588e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998434,0.099999999999988515,4.0816748918790825e-88,0.099999999999995842,4.3452219517332689e-84,1.358195892722869e-57,3.7293490197803655e-33,1.4464285643499213e-52,0.0,7.8889208835077946e-34,8.6974111228311614e-102,4.642162873863387e-44,1.3820224269173619e-80,1.5779922231285764e-80,0.0,0.0,1.0539663199538884e-70,0.0,1.1492894949290556e-14,4.1633504014249013e-15,1.0045835117789635e-23,1.0045835117000289e-23,2.27475967162504e-37,5.7881446169688079e-48,9.3957698167190721e-71,1.0363331483137337e-65,2.530199487494707e-51,1.3820644369848553e-72,6.0779207908539598e-115,1.0062466315322164e-76,3.2978810682199427e-46,1.0965136857670528e-29,7.4155216279479146e-47,3.3178694504313014e-51,1.0968866206690309e-29,1.4596470193402365e-97,7.9493571380388434e-94,2.6413950495486185e-96,1.0567766507774375e-105,2.6846346936719003e-69
1.6008278448839507e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996869,0.099999999999977024,3.2661668584692156e-87,0.099999999999991679,6.9586019562481875e-83,1.0868299681998046e-56,1.4915477040498941e-32,1.1574358968978665e-51,0.0,3.1560820488681377e-33,5.5684950305090964e-100,1.8571674290380342e-43,4.4237143075803532e-79,2.5270965810016969e-79,0.0,0.0,8.4384044057368639e-70,0.0,2.2988284552769334e-14,8.3276045031675525e-15,2.0093850794534075e-23,2.0093850791376174e-23,9.1005199201968725e-37,4.6313951147139538e-47,1.5037282381745851e-69,1.6585829500464554e-64,1.0119495966572907e-50,2.211904347512269e-71,7.7827700741497507e-113,8.049975698794276e-76,1.31936716079945e-45,2.1925197849341014e-29,5.9319302734546538e-46,1.3282192040170105e-50,2.1940113326381515e-29,4.6750648856092969e-96,2.5461201800105211e-92,8.4566414007024942e-95,6.7667473954003509e-104,2.1482516602110925e-68
3.2018294095557345e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993738,0.099999999999954028,2.6132643051472058e-86,0.099999999999983352,1.1149101141194626e-81,8.6957328947838398e-56,5.963200987958691e-32,9.2606594979326752e-51,0.0,1.2625355658292918e-32,3.5645255328151907e-98,7.429274318190937e-43,1.4157873943438509e-77,4.0489830022455171e-78,0.0,0.0,6.7594812905273765e-69,0.0,4.5979063744680215e-14,1.6656112704674636e-14,4.0189882148014475e-23,4.0189882135381843e-23,3.6405042354083702e-36,3.7054678973251114e-46,2.4062892804301546e-68,2.6540927001915493e-63,4.0457699195046753e-50,3.5395279696759427e-70,9.9638861223421058e-111,6.4399890279354385e-75,5.2778980711535215e-45,4.3822975555876815e-29,4.7434146782937798e-45,5.3201527927383008e-50,4.3882607565756405e-29,1.4980592977548326e-94,8.1588047452993796e-91,2.7072829244615551e-93,4.3325758424350858e-102,1.7188189166523721e-67
6.403832538899303e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987474,0.099999999999908051,2.0907437795428678e-85,0.099999999999966699,1.7883921269605266e-80,6.9570236021151231e-55,2.3826015518592941e-31,7.4089965528023838e-50,0.0,5.0503477621754981e-32,2.2815166848980044e-96,2.9718306519881227e-42,4.5308376560745062e-76,6.4949753228740039e-77,0.0,0.0,5.4208292064822779e-68,0.0,9.1960622068315299e-14,3.3313129099775926e-14,8.0381944854941379e-23,8.0381944804408793e-23,1.4562609493328545e-35,2.9645150468255112e-45,3.850322144379124e-67,4.2468363205864536e-62,1.6164904902824323e-49,5.6636294176003701e-69,1.27550158595271e-108,5.1520183266143521e-74,2.1112450613876258e-44,8.7529335889290107e-29,3.790789987284007e-44,2.1336227938429731e-49,8.7767596044476069e-29,4.8058027273945558e-93,2.6174118161940084e-89,8.6682887000815793e-92,2.7744372121516673e-100,1.3751421737245371e-66
1.2807838797586439e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799974945,0.099999999999816083,1.6726479594176697e-84,0.099999999999933378,2.875644620290237e-79,5.5657938015201031e-54,9.5084646330327227e-31,5.9273848245203952e-49,0.0,2.0201802045554701e-31,1.4602411037217576e-94,1.1887564461669136e-41,1.4499188441241947e-74,1.0443961591521965e-75,0.0,0.0,4.3575467221618572e-67,0.0,1.8392373847483871e-13,6.6627161858327027e-14,1.6076607026865957e-22,1.6076607006652502e-22,5.8251623065304431e-35,2.3716683293140321e-44,6.1607228678657135e-66,6.7951685075319422e-61,6.4510755667440545e-49,9.0621142605684377e-68,1.6327213977951825e-106,4.1217014013814208e-73,8.4451514686724173e-44,1.7458672653849133e-28,3.0261295234431259e-43,8.5784663547389555e-49,1.7553757300179491e-28,1.5453797757953735e-91,8.4169826403411197e-88,2.7766535509967284e-90,1.7774208258113695e-98,1.100148555717531e-65
2.5615851314960714e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879994989,0.099999999999632161,1.3381395421671693e-83,0.099999999999866751,4.6462882242905168e-78,4.4527050101938132e-53,3.7858306864720244e-30,4.7419828853064285e-48,0.0,8.0808030117794647e-31,9.3457672967965436e-93,4.7550741558316235e-41,4.6398210176788407e-73,1.6875840324472158e-74,0.0,0.0,3.519327810708524e-66,0.0,3.6784997032489865e-13,1.3325522724882323e-13,3.2153432109555351e-22,3.2153432028700716e-22,2.3300886220631295e-34,1.8973571785160669e-43,9.8573225184262651e-65,1.0872453886738192e-59,2.5685198172257878e-48,1.4499626810433786e-66,2.0899339283408205e-104,3.2976386997325854e-72,3.3780944757679008e-43,3.4729169622947647e-28,2.410479044873999e-42,3.4664630300576774e-48,3.5107752691595092e-28,4.9930971989746899e-90,2.7196937345178474e-86,8.9025977171914232e-89,1.1397482187967532e-96,8.80132770704543e-65
5.123187634970926e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879989978,0.099999999999264302,1.0705201036460555e-82,0.099999999999733497,7.5786923550988572e-77,3.5621919959298046e-52,1.5004456829459818e-29,3.7936163053641543e-47,0.0,3.2323376382607563e-30,5.9813613731901292e-91,1.9020393366005683e-40,1.4847552847276979e-71,2.7530228675212199e-73,0.0,0.0,2.8686777469117578e-65,0.0,7.35702430173071e-13,2.6651135752339171e-13,6.4307082274717166e-22,6.4307081951297001e-22,9.3204018665667337e-34,1.5178947457353092e-42,1.5771848702236492e-63,1.7396073498181465e-58,1.017986484469763e-47,2.3199592445892853e-65,2.6751471141643755e-102,2.6389992279382505e-71,1.3512442826926079e-42,6.8715297791285677e-28,1.9118772864290069e-41,1.4146256612615391e-47,7.0215743474233578e-28,1.6283931722881495e-88,8.8708390168995469e-85,2.8598079507714777e-87,7.3222758095800497e-95,7.0411178581489326e-64
1.0246392641920634e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799799557,0.099999999998528599,8.5641947088589254e-82,0.099999999999466987,1.2588574737703679e-75,2.8497647918494363e-51,5.8934545388171426e-29,3.034905021767075e-46,0.0,1.292938337832841e-29,3.8280919170585392e-89,7.608176694917722e-40,4.7512347293185472e-70,4.57402167487252e-72,0.0,0.0,2.3800672581355494e-64,0.0,1.4714073344616256e-12,5.3302361604683308e-13,1.2861438260417291e-21,1.2861438131048894e-21,3.7281702056716982e-33,1.2143193927074791e-41,2.5235063830902646e-62,2.7833834967817486e-57,3.9984500175835447e-47,3.7119481481886481e-64,3.4242068965631742e-100,2.114041866890364e-70,5.404987833134596e-42,1.3453827049990752e-27,1.5037253407132695e-40,5.8827845960023417e-47,1.4043172503873971e-27,5.4066434793599449e-87,2.9460341488738229e-83,9.2214771322772581e-86,4.7218693710743562e-93,5.6329165437139659e-63
2.0492802655820054e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799599115,0.099999999997057193,6.8513693191974524e-81,0.099999999998933969,2.1622129068691579e-74,2.2798163114552638e-50,2.2749588087138232e-28,2.4279287741449735e-45,0.0,5.171759882887181e-29,2.4499830365397378e-87,3.0432745476237285e-39,1.5203965072777729e-68,7.8597798935253948e-71,0.0,0.0,2.0402458205130161e-63,0.0,2.9428170814075782e-12,1.0660481249909337e-12,2.572289832596128e-21,2.5722897808487045e-21,1.4912699607686422e-32,9.7145694451723943e-41,4.037618611516976e-61,4.4534228394683255e-56,1.543459617582387e-46,5.9391219392410483e-63,4.3829923756277179e-98,2.250757683121079e-70,2.1619954477832357e-41,2.5811410007741404e-27,1.1636895829501384e-39,2.5325308143083423e-46,2.8086368816466869e-27,1.8554174436623299e-85,1.0114386849750029e-81,3.3659823336355218e-84,3.4408750787197582e-91,4.5063421060337493e-62
