Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),H2OX(35),CH3OHX(46),H2X(36),HO2X(135)
9.902565813233988e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999712,0.099999999999997466,0.099999999999999853,0.0,6.8719194102125276e-75,1.4138400111231851e-62,0.0,2.1465766262844576e-56,0.0,6.9176879038411784e-37,0.0,2.0363389540088702e-49,4.1848375099982782e-109,2.9421939643096343e-71,0.0,0.0,1.2999053176181964e-62,2.9695209863661408e-147,2.543809946986025e-15,3.1629718957221882e-16,1.0123511881770577e-25,1.3225534384506964e-39,1.0123511881839622e-25,8.5208202137161831e-89,2.7354853383384724e-85,5.4150338746884748e-76,6.7538924506367607e-72
1.9813735072005104e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999426,0.099999999999994926,0.0999999999999997,0.0,1.1007146278731557e-73,1.1322178331887201e-61,0.0,1.7190022512538027e-55,0.0,2.7688779630169867e-36,0.0,8.1506626685053814e-49,2.6837979801230476e-107,4.7129887328563883e-70,0.0,0.0,1.0407146520303997e-61,3.8084825215200872e-145,5.0898299805652868e-15,6.3286918122050806e-16,2.0255819169033625e-25,5.2936604267324467e-39,2.0255819169309983e-25,2.7297567350460822e-87,8.7640794730918252e-84,8.6734580163634935e-75,1.0818803725751355e-70
3.9636073589547335e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998855,0.099999999999989833,0.099999999999999381,0.0,1.7621100908252303e-72,9.0623282019819426e-61,0.0,1.3758985213999542e-54,0.0,1.1079118482502877e-35,0.0,3.2613267403789391e-48,1.7193933368103863e-105,7.5451675557477205e-69,0.0,0.0,8.3288801581723581e-61,4.8796598473326953e-143,1.0181870046998471e-14,1.2660131645170468e-15,4.0520433743142675e-25,2.1181537012527814e-38,4.0520433744248475e-25,8.7401760489494558e-86,2.8061908359826681e-82,1.3885060166253483e-73,1.7320153196080039e-69
7.92807506246318e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997708,0.099999999999979647,0.099999999999998743,0.0,2.8201497606841738e-71,7.251697224053394e-60,0.0,1.100997573305879e-53,0.0,4.4323688217669274e-35,0.0,1.3047430609949057e-47,1.1009760968201323e-103,1.207577769978766e-67,0.0,0.0,6.6643695708688961e-60,6.2490396331640934e-141,2.0365950176963459e-14,2.5323011311099663e-15,8.1049662889692627e-25,8.4739940587322676e-38,8.1049662894116518e-25,2.7976493475718608e-84,8.9825082644372144e-81,2.2222119846749674e-72,2.7720301528302972e-68
1.5857010469480072e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039995419,0.099999999999959274,0.09999999999999748,0.0,4.5128586124813275e-70,5.8020917338039049e-59,0.0,8.8090957466555937e-53,0.0,1.7730918246729263e-34,0.0,5.2193970039117969e-47,7.0480534869384978e-102,1.9324052450368809e-66,0.0,0.0,5.332001883978026e-59,8.0007393038510767e-139,4.0734110425287951e-14,5.0648770642951718e-15,1.6210812117611983e-24,3.3898734907994219e-37,1.6210812119381684e-24,8.9537469568752853e-83,2.8748343316270569e-79,3.5560211283515167e-71,4.4358928593625741e-67
3.1714881283513857e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039990839,0.099999999999918543,0.099999999999994954,0.0,7.2210690064000833e-69,4.6419669867767815e-58,0.0,7.047722687553507e-52,0.0,7.0926559003979819e-34,0.0,2.0878437565737367e-46,4.5113323822237966e-100,3.0920730552582571e-65,0.0,0.0,4.2658040016678263e-58,1.024220658247395e-136,8.1470430875514982e-14,1.0130028930663047e-14,3.242250377222835e-24,1.3560045692790071e-36,3.2422503779307445e-24,2.8654020860225691e-81,9.2001606016374219e-78,5.6900193880246229e-70,7.0979442965836059e-66
6.343062291158143e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503998168,0.099999999999837066,0.099999999999989889,0.0,1.1554106567844934e-67,3.7136910328874424e-57,0.0,5.6383565898473112e-51,0.0,2.8371200811266174e-33,0.0,8.3515449393198267e-46,2.8874377448035187e-98,4.9474966082349015e-64,0.0,0.0,3.4127241897023233e-57,1.3110832198546642e-134,1.6294307159028118e-13,2.0260332663388666e-14,6.4845887070784806e-24,5.4241286052660933e-36,6.484588709910176e-24,9.1696115467638731e-80,2.9441619034343984e-76,9.1043394752742259e-69,1.1357123428720736e-64
1.2686210616771656e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039963358,0.099999999999674127,0.099999999999979758,0.0,1.8486887311338106e-66,2.9709998043959868e-56,0.0,4.5107566461162195e-50,0.0,1.1348595764257666e-32,0.0,3.3406519586209969e-45,1.8480193638025507e-96,7.9161382940660258e-63,0.0,0.0,2.7302117289989941e-56,1.678238808382672e-132,3.2588835227706217e-13,4.0520940128799373e-14,1.2969265362519256e-23,2.1696734921465339e-35,1.2969265373846155e-23,2.9343276504693837e-78,9.4214948329196819e-75,1.4567189855817497e-67,1.8171727408093293e-63
2.5372507267998682e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039926718,0.099999999999348235,0.099999999999959496,0.0,2.9579272726628123e-65,2.3768186348673083e-55,0.0,3.6086338623700193e-49,0.0,4.5394613911870878e-32,0.0,1.3362675800457457e-44,1.1827513376239663e-94,1.2665936063080039e-61,0.0,0.0,2.1841823045122379e-55,2.1481821519905463e-130,6.5177891067961857e-13,8.1042155059458628e-14,2.5938618656318748e-23,8.6787379425717988e-35,2.5938618701626573e-23,9.3899314503898036e-77,3.0149065747334389e-73,2.3307700895171563e-66,2.9075027383869442e-62
5.074510057045274e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039853435,0.099999999998696451,0.099999999999918973,0.0,4.7327037453745216e-64,1.9014624244191667e-54,0.0,2.8869185010325798e-48,0.0,1.8157891715267327e-31,0.0,5.3450839133158137e-44,7.5696691612825705e-93,2.0265588942449661e-60,0.0,0.0,1.7473509646829785e-54,2.7497119358236138e-128,1.3035600156007095e-12,1.6208458492012853e-13,5.1877325175589498e-23,3.471503870812717e-34,5.1877325356821263e-23,3.0047912362583522e-75,9.6477458792664045e-72,3.7292478390640009e-65,4.65202533296245e-61
1.0149028717536086e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039706869,0.099999999997392883,0.099999999999837927,0.0,7.572340839622173e-63,1.5211729460815116e-53,0.0,2.309539353933657e-47,0.0,7.2631658997795475e-31,0.0,2.1380362838822251e-43,6.4013031192599203e-91,3.2425013373668116e-59,0.0,0.0,1.3978827442281949e-53,1.2044105810334249e-126,2.6071221779068043e-12,3.2416944463887383e-13,1.0375473794081803e-22,1.3886032062576365e-33,1.0375473866574603e-22,9.6153513714118818e-74,3.0872856448760736e-70,5.9668088614307877e-64,7.4432568746740728e-60
2.0298066038517708e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039413742,0.09999999999478576,0.099999999999675848,0.0,1.2115757076960741e-61,1.2169395593733285e-52,0.0,1.8476332862210599e-46,0.0,2.9052681894942085e-30,0.0,8.5521505720541979e-43,4.1124076451064352e-89,5.1880072151108272e-58,0.0,0.0,1.1183068628545247e-52,1.5193622014752453e-124,5.2142463123746642e-12,6.4833916406598675e-13,2.075095623780234e-22,5.5544154942880633e-33,2.0750956527773717e-22,3.0769154138720535e-72,9.8793238677608852e-69,9.5469032725826307e-63,1.1909222731191592e-58
4.059614068048095e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038827483,0.099999999989571514,0.099999999999351677,0.0,1.9385216464780768e-60,9.7355212832374511e-52,0.0,1.4781073211341651e-45,0.0,1.1621076311917343e-29,0.0,3.4208613156554218e-42,2.6320986350062581e-87,8.3008136494682455e-57,0.0,0.0,8.946455628383238e-52,1.9489998910411428e-122,1.0428493820733168e-11,1.2966786028787017e-12,4.1501920687942733e-22,2.2217662142795494e-32,4.1501921847828597e-22,9.8461314742721807e-71,3.1613843493272332e-67,1.5275050076818455e-61,1.9054761461339122e-57
8.119228996440743e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037654966,0.099999999979143023,0.099999999998703334,0.0,3.1016336493871599e-59,7.7884189470364258e-51,0.0,1.1824860872540674e-44,0.0,4.6484311513749083e-29,0.0,1.3683447432516513e-41,1.6845452503736834e-85,1.3281297267166159e-55,0.0,0.0,7.1571616819811908e-51,2.517487619258021e-120,2.0856985795142209e-11,2.5933574803380872e-12,8.3003847839020865e-22,8.8870607519522329e-32,8.3003852478564952e-22,3.1507606903222249e-69,1.0116425571201946e-65,2.4440076204256567e-60,3.0487608670679555e-56
1.2178843924833392e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036482448,0.099999999968714531,0.099999999998054992,0.0,1.182223233224423e-58,2.3119347481631675e-50,0.0,3.5105057135594116e-44,0.0,9.8779164935989283e-29,0.0,2.9077327146037348e-41,8.4729010070929059e-85,5.063493492024475e-55,0.0,0.0,2.0465003346210669e-50,3.3719712419136233e-119,3.1285474727244167e-11,3.8900363576314283e-12,1.245057732408964e-21,1.8884996877191237e-31,1.2450578309992789e-21,1.4784949016580874e-68,4.74800103875352e-65,9.2454338310132972e-60,1.1623398401856246e-55
