Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),C2H6X(52),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),C2H4X(65),COX(50)
5.883606883629893e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,2.0239179162822217e-54,1.7249143621792143e-30,7.4158789074956923e-74,8.5595769248853133e-46,5.5464724979544698e-112,5.1927511457423362e-17,9.8168087375020862e-90,5.192751145720735e-17,6.1537856301963023e-61,9.319273658176143e-59,7.8135890062784109e-95,9.0598359171601777e-96,1.0133907559083528e-44,1.3924348103515817e-71,2.8359031405621155e-15,8.3966051654837409e-17,3.3614426065061543e-19,5.2321000817295246e-32,1.9373579540353332e-31,3.3614426043026795e-19,6.6491501485356484e-44,1.0965660359261639e-81,1.0280422011409325e-45,7.9742829060254161e-60,9.9948322955772937e-96,3.8203575702034057e-30,8.1221101192255472e-38,3.7732662909746088e-44,2.1230636562336917e-69,1.2792072235628639e-85,1.3760461493946857e-88
1.1772325502171713e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.24090559351704e-53,6.9041527052772794e-30,7.4239832748648071e-72,6.8546036621058629e-45,2.2189792316220277e-109,1.0390013804251103e-16,6.292468124883484e-88,1.0390013804164643e-16,9.8567516836900442e-60,1.4928189912991273e-57,1.5634694816799125e-92,1.8128387548242886e-93,8.1132876345131194e-44,4.4607925048247263e-70,5.6742701413666342e-15,1.6800505383239667e-16,6.7258056672000279e-19,2.0942034847585902e-31,7.7544807123388067e-31,6.7258056583803829e-19,5.3233630867640379e-43,7.0260265607585779e-80,8.2305882634323764e-45,1.2772711170831378e-58,1.2808091733386418e-93,1.5291386086491703e-29,6.5026248372200978e-37,4.7373744390136778e-43,1.0639976996177983e-67,8.1962630167463418e-84,2.7534160766277266e-86
2.3549762739255357e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,5.1875592857828151e-52,2.7625603896457171e-29,8.1761029490333914e-70,5.4864611354748026e-44,9.7684260719067015e-107,2.0784539121394901e-16,4.0302897726691174e-86,2.0784539121048942e-16,1.5779363311976804e-58,2.3898993386867814e-56,3.442151771172387e-90,3.9911659314799108e-91,6.4930954813688749e-43,1.4282542680684349e-68,1.1351004142971616e-14,3.3608305818750985e-16,1.3454531789014257e-18,8.3795411846784073e-31,3.102802349348043e-30,1.3454531753724189e-18,4.260308348111709e-42,4.4992198727603311e-78,6.5869716025466401e-44,2.0447431011658856e-57,1.6403775546051521e-91,6.1185459629969002e-29,5.2040731909686096e-36,6.5387278184414272e-42,5.8643330429272286e-66,5.2485977386610587e-82,6.0619513997814271e-84
4.710463721342264e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,8.3017827201300737e-51,1.1052040429870438e-28,9.6146718167209004e-68,4.3902804618341379e-43,4.5928646244626477e-104,4.1573589756187537e-16,2.5803811580488857e-84,4.157358975480347e-16,2.5253831741933983e-57,3.8249500771495794e-55,8.0932332462413641e-88,9.3840826753908917e-89,5.1954622412182776e-42,4.5716951137435666e-67,2.2704472146165352e-14,6.7223906689771517e-16,2.6911984034348663e-18,3.3523616521755035e-30,1.2413229793139024e-29,2.6911983893165406e-18,3.4088939682565733e-41,2.8803210954988603e-76,5.2705773499943313e-43,3.2724766655909647e-56,2.1002862222248624e-89,2.4478165874501936e-28,4.1640444977620351e-35,9.6286248996540349e-41,3.4500807359040545e-64,3.3600591450621761e-80,1.4252941108797354e-81
9.421438616175722e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3284200164203209e-49,4.4211759718236713e-28,1.1759699536270388e-65,3.5126690446690825e-42,2.2464554885315958e-101,8.3151691027792981e-16,1.6517626376660317e-82,8.3151691022256243e-16,4.0411611911317967e-56,6.120807926249308e-54,1.9794388264940844e-85,2.2951541153755332e-86,4.1567633709072069e-41,1.4631474995678347e-65,4.5411408152487915e-14,1.3445510843180415e-15,5.3826888531841261e-18,1.3410534254681084e-29,4.9656960084961893e-29,5.3826887967062259e-18,2.7273741181419668e-40,1.8436680612552792e-74,4.2168610817820248e-42,5.2366729283150166e-55,2.6887523130402163e-87,9.7920615296348011e-28,3.3315443261177218e-34,1.4738914743778998e-39,2.1105934896540029e-62,2.150743600969378e-78,3.4859769911200193e-79
1.8843388405842636e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1255790110165934e-48,1.7685423512633172e-27,1.4696190057762475e-63,2.8103131159261063e-41,1.1228175781044517e-98,1.6630789357908455e-15,1.0572300819587571e-80,1.6630789355693667e-15,6.4662964235596924e-55,9.7939989791181542e-53,4.9470069314206827e-83,5.7360415270439253e-84,3.325566845651727e-40,4.6824001178635773e-64,9.0825280164873388e-14,2.6891751191583562e-15,1.0765669755412158e-17,5.3644290081635823e-29,1.9863592111749355e-28,1.076566952949136e-17,2.1820028774102596e-39,1.1800315826569404e-72,3.3736471656326303e-41,8.379244933986632e-54,3.4418499805599792e-85,3.9169826283621928e-27,2.6653498646794988e-33,2.3048605094156738e-38,1.3190442091579855e-60,1.3765732273179906e-76,8.7121420137034746e-77
3.7687287985176463e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,3.4010092978736686e-47,7.0743133326553246e-27,1.8567752065182768e-61,2.2483216457928657e-40,5.6740767528372273e-96,3.3262029871399045e-15,6.7665989165960626e-79,3.3262029862539707e-15,1.0346425093451561e-53,1.5670950616727268e-51,1.2499943375678772e-80,1.4493651449474006e-81,2.6605138726957888e-39,1.4984205344076303e-62,1.8165302418860574e-13,5.3784231888376337e-15,2.153163157078627e-17,2.1458128807628311e-28,7.9455983563347873e-28,2.1531630667084704e-17,1.74564373611296e-38,7.5524709837465673e-71,2.6989788318056968e-40,1.3407246501578112e-52,4.4057260561918775e-83,1.5668238351082142e-26,2.1323111042014511e-32,3.6450573037853574e-37,8.3333955789826303e-59,8.8103733871136985e-75,2.2013569247911054e-74
7.537508714384412e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.4416725091262781e-46,2.8297541188164632e-26,2.3571784908967207e-59,1.7986857763759887e-39,2.8812166447409174e-93,6.6524510911309323e-15,4.3307277465116631e-77,6.6524510875871617e-15,1.6554560772134254e-52,2.5073921801566983e-50,3.1736782985622225e-78,3.6798716244619236e-79,2.128431952843564e-38,4.7950296783102082e-61,3.6330851223191613e-13,1.0756919328190783e-14,4.3063555245206773e-17,8.5833198025708635e-28,3.1782715597121688e-27,4.3063551630363761e-17,1.3965315626569701e-37,4.833667425247689e-69,2.1592039495287812e-39,2.1451958069373111e-51,5.639430479827519e-81,6.2673503476951855e-26,1.7058380886317258e-31,5.7978387395091327e-36,5.2898296484274824e-57,5.6387278918103538e-73,5.5891440526403032e-72
1.5075068546117944e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,8.7066943684571443e-45,1.1319074046852335e-25,2.9947612709003278e-57,1.4389600020228865e-38,1.4642107979182525e-90,1.3304947304284625e-14,2.7716991681101209e-75,1.3304947290109472e-14,2.6487521623536072e-51,4.0118464356192851e-49,8.0641998326443265e-76,9.3504184010579406e-77,1.7027486176619968e-37,1.5344229141147341e-59,7.2661948830191959e-13,2.1513911606875469e-14,8.6127402768737318e-17,3.4333301560907692e-27,1.2713149990000759e-26,8.6127388309292029e-17,1.117231879470734e-36,3.0935746203964629e-67,1.7273658238007716e-38,3.4323423765829725e-50,7.2185356188924088e-79,2.5069458919451684e-25,1.3646289072377524e-30,9.2488955683922463e-35,3.3603468019016888e-55,3.6088033087712033e-71,1.4201808329602628e-69
3.015018820958501e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.3930636865701802e-43,4.5276411329411109e-25,3.7938546985558118e-55,1.1511725491062101e-37,7.4197532965630807e-88,2.660993975127856e-14,1.7738981450326835e-73,2.66099396945778e-14,4.23802137506606e-50,6.4189274774293401e-48,2.0432179424888763e-73,2.3691057781801347e-74,1.3621916579284362e-36,4.9101746774503346e-58,1.4532414403754573e-12,4.3027896164158352e-14,1.7225509851456001e-16,1.3733233728536053e-26,5.0852721994658632e-26,1.7225504067663412e-16,8.9378815499431339e-36,1.9798964821123358e-65,1.3818846216145146e-37,5.4917710450275701e-49,9.2397666378573579e-77,1.0027753084808267e-24,1.0916269138619332e-29,1.477533624504768e-33,2.1284460648618749e-53,2.3096256269838287e-69,3.5982968568208582e-67
