Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),H2X(49),CH3OO(77),C2H4(47),HOX(22),H2OX(23),C2H6X(52)
5.565334952633405e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999716,0.11866996602996259,0.022821567693054247,0.0,2.9569836354007171e-54,1.5433439865978389e-30,0.0,7.2442768028114796e-46,0.0,4.9118494352238932e-17,7.0316302354098379e-90,4.9118494352224387e-17,4.9264361995955619e-61,7.4605696489896075e-59,0.0,0.0,7.4240538101850594e-41,1.0544188427498667e-71,2.6824958197608569e-15,7.9423933541424621e-17,3.1796063882334333e-19,3.1796063867557741e-19,6.8095055004016617e-29,2.7280010324396148e-35,1.1584373368813578e-40,5.6274156790391337e-44,1.7334248261966035e-31,7.854535669545262e-82,4.6813528613131429e-32,8.7006948454481762e-46,6.3838406300322279e-60
1.1135505122428091e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999438,0.11866996602995986,0.022821567693054209,0.0,4.7350267737101721e-53,6.1773980173334278e-30,0.0,5.8012968091976361e-45,0.0,9.8279663330345526e-17,4.5071988571671356e-88,9.8279663330287322e-17,7.8908595819894084e-60,1.1950803063770304e-57,0.0,0.0,5.94375718195726e-40,3.3779273800064573e-70,5.3673222179911904e-15,1.5891687136915645e-16,6.3619752508584641e-19,6.3619752449439775e-19,2.7255757157934008e-28,2.18405820479711e-34,9.8198681395802843e-40,4.5053542531672376e-43,6.9382167365602542e-31,5.0326359224754263e-80,1.8737611373391398e-31,6.9658462480975511e-45,1.0225239496746545e-58
2.2275845462017462e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998883,0.11866996602995439,0.022821567693054129,0.0,7.5791267142999012e-52,2.4717638506357044e-29,0.0,4.6433887426183813e-44,0.0,1.9660200128661452e-16,2.8868350378975165e-86,1.9660200128638171e-16,1.2632228566440543e-58,1.9132405439221302e-56,0.0,0.0,4.7568121607287284e-39,1.0815430649727603e-68,1.0736975014448229e-14,3.1790274702461541e-16,1.2726712980375802e-18,1.272671295671014e-18,1.0905844345384164e-27,1.7479081627753836e-33,8.7317299166099252e-39,3.6056526721291477e-42,2.7761904362467741e-30,3.2227227380667572e-78,7.497485212647374e-31,5.5747940242071213e-44,1.636926384662241e-57
4.45565261411962e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997779,0.11866996602994345,0.022821567693053969,0.0,1.2129070371503392e-50,9.8886649212916672e-29,0.0,3.7156517417982949e-43,0.0,3.9324667719937599e-16,1.8482876315694463e-84,3.9324667719844454e-16,2.0217049854974808e-57,3.0620747893675633e-55,0.0,0.0,3.8061724322854129e-38,3.4619081884112113e-67,2.1476280607347786e-14,6.3587449833551433e-16,2.545618845647961e-18,2.5456188361801495e-18,4.3630408873137663e-27,1.3985886084299356e-32,8.3835322827807945e-38,2.8850699631505076e-41,1.110656946796269e-29,2.0631301760317044e-76,2.9994822730810602e-30,4.4606821660390008e-43,2.6197928699600585e-56
8.911788749955368e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995569,0.11866996602992158,0.02282156769305365,0.0,1.940848666273699e-49,3.9557878968650619e-28,0.0,2.9728977382706495e-42,0.0,7.8653602902579276e-16,1.1831323617414078e-82,7.8653602902206677e-16,3.2351667705678626e-56,4.9000316656596815e-54,0.0,0.0,3.0452270313336168e-37,1.107965904164488e-65,4.295489179308882e-14,1.2718180009572366e-15,5.0915139476964169e-18,5.0915139098220323e-18,1.7453527961487206e-26,1.118971540428022e-31,8.9425733780249347e-37,2.3082751249982106e-40,4.4429893433231012e-29,1.3205913806887987e-74,1.1998905424513574e-29,3.5688844763389276e-42,4.1922371961815741e-55
1.7824061021626864e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991145,0.11866996602987784,0.022821567693053015,0.0,3.1055157115364814e-48,1.5823795480469164e-27,0.0,2.3784687374270685e-41,0.0,1.573114732682201e-15,7.5727776826750199e-81,1.5731147326672971e-15,5.1766178909426163e-55,7.8406201563345971e-53,0.0,0.0,2.4362972224690326e-36,3.54573936197458e-64,8.5912114164338591e-14,2.5437050062003783e-15,1.0183304179104394e-17,1.0183304027600243e-17,6.9816504877174215e-26,8.9521079385415804e-31,1.073069345383907e-35,1.8467077678929854e-39,1.7772680397670387e-28,8.4523866861563713e-73,4.7997573524827414e-29,2.8552429715414444e-41,6.7080344285881304e-54
3.5648605564969855e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982297,0.11866996602979034,0.022821567693051742,0.0,4.9689511313972907e-47,6.3296469837912536e-27,0.0,1.9028352100054814e-40,0.0,3.146272140009317e-15,4.8468115080146476e-79,3.1462721399497016e-15,8.2828694755894953e-54,1.2545447357787925e-51,0.0,0.0,1.9490839494083679e-35,1.1346763494480104e-62,1.7182655890590884e-13,5.0874790166854476e-15,2.0366884751166959e-17,2.0366884145134457e-17,2.7926811857346207e-25,7.1617133684680022e-30,1.4306800719976204e-34,1.4774012846823992e-38,7.109216675601174e-28,5.4097200589455012e-71,1.9199419056524563e-28,2.2842483521940126e-40,1.0733219026956217e-52
7.129769465165584e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799646,0.11866996602961534,0.022821567693049199,0.0,7.9504216864903026e-46,2.5318845606335343e-26,0.0,1.5222922556003152e-39,0.0,6.2925869547207461e-15,3.1020341756878381e-77,6.2925869544822837e-15,1.3252815824701516e-52,2.0073078253144533e-50,0.0,0.0,1.559285518326086e-34,3.6310279067736625e-61,3.4365544838533231e-13,1.0175027037650709e-14,4.0734046332297313e-17,4.0734043908114014e-17,1.1170551766342384e-24,5.729209938827628e-29,2.0600421951236255e-33,1.1819350597183669e-37,2.8437155010706029e-27,3.4622824392534244e-69,7.6798449720522033e-28,1.8274199797490565e-39,1.7173441590081889e-51
1.4259587282502781e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679929206,0.11866996602926534,0.022821567693044113,0.0,1.2720751657071041e-44,1.012758984552826e-25,0.0,1.2178434383166702e-38,0.0,1.2585216584372397e-14,1.985325806138786e-75,1.2585216583418541e-14,2.1204684987147661e-51,3.2117210031276995e-49,0.0,0.0,1.2474355821966102e-33,1.1619390926171931e-59,6.8731322732931119e-13,2.0350123079561557e-14,8.1468371242728717e-17,8.1468361545717842e-17,4.4680141586016829e-24,4.5830291748139518e-28,3.1126577315187084e-32,9.4555366642138229e-37,1.1374919084328565e-26,2.2158804415186003e-67,3.0719529943217335e-27,1.4619440354068793e-38,2.7477739427914628e-50
2.8519222917177177e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679858423,0.11866996602856536,0.022821567693033937,0.0,2.0353254801095208e-43,4.0510463136482999e-25,0.0,9.7427860216185601e-38,0.0,2.5170475844590869e-14,1.2706161670642877e-73,2.5170475840775426e-14,3.392763950623587e-50,5.1387747396131766e-48,0.0,0.0,9.9795105112827095e-33,3.7182212807634258e-58,1.3746287851577966e-12,4.0700315163303225e-14,1.6293702805748466e-16,1.6293698926750507e-16,1.7870268147340831e-23,3.6658487611375506e-27,4.8329800443350743e-31,7.5644518991409359e-36,4.5499785842692271e-26,1.4181697390024757e-65,1.2287838272704878e-26,1.169557700744578e-37,4.3964569277795452e-49
