Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),C2H6X(52),CH4OX(60),C2H4X(205)
8.990956383922238e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675537002,0.11866996598583018,0.022821567692412729,0.0,1.2500355589095947e-37,4.0262732054640689e-22,0.0,3.0527195682086972e-33,0.0,7.9352333357790247e-13,1.2474450045208059e-64,7.9352319916577418e-13,3.351389211256474e-44,5.0759716636331731e-42,0.0,0.0,5.1009016138775554e-29,1.1579065383619856e-50,4.3336480253348193e-11,1.2831161615140874e-12,5.1367450208305828e-15,5.1366113809485999e-15,4.522117539764897e-23,2.3701790555155886e-31,1.2212651284012351e-23,1.3923028067808371e-56,3.6644707248585941e-33,4.3428434017799412e-43,6.7695864045043821e-52,1.9376145481030911e-66
1.7981913244202512e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671074017,0.11866996594169504,0.022821567691771169,0.0,1.9999977051126217e-36,1.6105093419118547e-21,0.0,2.4421736137120569e-32,0.0,1.5870469752774822e-12,7.9836404973788478e-63,1.5870464376407495e-12,5.3622165867592042e-43,8.1213172623530337e-41,0.0,0.0,4.080704554687626e-28,3.7052922964320824e-49,8.6672962487500096e-11,2.5662323905994432e-12,1.0273491844337489e-14,1.0272957296591336e-14,1.8088317855494251e-22,1.8961432765265564e-30,4.8850390012172746e-23,8.9107106778554963e-55,2.9314764475633902e-32,6.948543527766515e-42,2.1661801190203066e-50,2.4801390540577909e-64
3.596382696476306e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766214804,0.11866996585342476,0.022821567690488053,0.0,3.199806700800712e-35,6.4420374614821993e-21,0.0,1.9537354448565461e-31,0.0,3.1740950568437494e-12,5.1095195527424249e-61,3.1740929063911826e-12,8.5795260042116756e-42,1.2993349207536327e-39,0.0,0.0,3.2645366388045294e-27,1.1856878925512333e-47,1.7334592601006657e-10,5.1324648475359741e-12,2.0546990082916766e-14,2.0544851986307527e-14,7.2352048708988796e-22,1.5169145671195034e-29,1.953998274328192e-22,5.7028193147766541e-53,2.3450207974789985e-31,1.1117649613906379e-40,6.931217460890349e-49,3.1745582833131118e-62
5.394574068532361e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727653222064,0.11866996576515448,0.022821567689204937,0.0,1.177720172055677e-34,1.3689329634634958e-20,0.0,5.8001462361290331e-31,0.0,4.7611439365149546e-12,2.9010315447117502e-60,4.7611393669420961e-12,3.2458052296726207e-41,4.9536165842582619e-39,0.0,0.0,9.3344901610986085e-27,5.5311973561090794e-47,2.6001888858689563e-10,7.6986973032358166e-12,3.082049291306142e-14,3.0815949596408012e-14,1.5374630646736156e-21,4.3374274692830305e-29,4.1522209453535595e-22,3.189059736281666e-52,6.7050305036851988e-31,4.2060290034083966e-40,3.2529843700587034e-48,2.0788237268648419e-61
7.192765440588416e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644296087,0.1186699656768842,0.022821567687921821,0.0,2.9869316375408557e-34,2.3352385838017862e-20,0.0,1.2638199762815346e-30,0.0,6.3481936142293785e-12,1.1156771628020197e-59,6.3481858192934916e-12,8.4488029909451129e-41,1.3327598984142511e-38,0.0,0.0,1.9689058531749953e-26,1.6842509398576662e-46,3.4669185021798752e-10,1.0264929757696459e-11,4.1094000334771582e-14,4.1086250188844337e-14,2.6227028783654936e-21,9.148890476290672e-29,7.0831606105522362e-22,1.116324017304923e-51,1.4142347470489189e-30,1.0948259892781517e-39,1.014017637847745e-47,8.2444570121327611e-61
1.0789148184700525e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727626444145,0.11866996550034364,0.022821567685355589,0.0,1.0445517840556463e-33,4.8348148444548337e-20,0.0,3.6684713246276866e-30,0.0,9.5222948424249948e-12,8.4911668462540577e-59,9.5222787047525163e-12,3.1005845365703909e-40,5.3901145374529734e-38,0.0,0.0,5.3776541034550774e-26,7.6734737532250885e-46,5.2003777126058364e-10,1.5397394663699594e-11,6.1641025954315293e-14,6.162498101421131e-14,5.429875591232275e-21,2.4988456134374763e-28,1.4664647108150751e-21,6.2128647266269365e-51,3.8624846269224437e-30,4.0178495455693926e-39,4.9957590184793398e-47,5.5250395877613366e-60
1.4385530928812635e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727608592197,0.11866996532380308,0.022821567682789357,0.0,2.6100386411915833e-33,8.2227536789873979e-20,0.0,8.0225178800843997e-30,0.0,1.2696399004795669e-11,3.2062589102321582e-58,1.2696371560058983e-11,8.0400330161467729e-40,1.4599465954360488e-37,0.0,0.0,1.1251779990959637e-25,2.3048490667870027e-45,6.9338368882536655e-10,2.0529859565120836e-11,8.2188068458683232e-14,8.2160781435921348e-14,9.2346382742227603e-21,5.2284206460509983e-28,2.4940502036274371e-21,2.1236707460920887e-50,8.0811847689786138e-30,1.0418568955905376e-38,1.567445280728358e-46,2.1190144919312645e-59
2.1578296417036854e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727572888302,0.11866996497072198,0.022821567677656893,0.0,1.2085668883940387e-32,1.7915703424163024e-19,0.0,2.6686561872824607e-29,0.0,1.9044616961779337e-11,4.1509607602139956e-57,1.9044557171661474e-11,3.9735786695174353e-39,7.3201375086262505e-37,0.0,0.0,3.5529007070619925e-25,1.720314733951527e-44,1.0400755125350094e-09,3.0794789352813614e-11,1.23282208911281e-13,1.2322276242143552e-13,2.0119567930804659e-20,1.6509738026534876e-27,5.4339108265852489e-21,2.4514049543117523e-49,2.5514040494181036e-29,5.1491150601988839e-38,1.2142702958307766e-45,3.8903191923678844e-58
2.8771061905261073e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727537184423,0.11866996461764089,0.022821567672524429,0.0,3.5042420731054593e-32,3.1453946100879309e-19,0.0,6.2083113492263355e-29,0.0,2.5392847613418745e-11,1.9681892524009222e-56,2.5392742652748108e-11,1.1845779229228914e-38,2.1958651197639763e-36,0.0,0.0,8.0810765557654629e-25,6.4459946493134385e-44,1.3867673211908766e-09,4.1059719120430089e-11,1.6437642245014256e-13,1.6427206507663426e-13,3.5321808600163086e-20,3.75520017389172e-27,9.5399245886101472e-21,1.1336073965981061e-48,5.8025059518214639e-29,1.5350227905628902e-37,4.5923934850547547e-45,2.1812703760988763e-57
4.315659288170951e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727465776649,0.11866996391147876,0.022821567662259498,0.0,1.7802020533884624e-31,7.0119454028052979e-19,0.0,2.1139023433253194e-28,0.0,3.8089347155819488e-11,2.5853417902776313e-55,3.8089113221570001e-11,6.1940359616019004e-38,1.1356786785913014e-35,0.0,0.0,2.69800202667515e-24,5.2744093187760581e-43,2.0801508931332346e-09,6.1589578594332275e-11,2.4656506979676749e-13,2.4633248046924343e-13,7.8735257622019559e-20,1.2537833948997684e-26,2.1266157967806162e-20,1.4822609622581116e-47,1.9367257396656025e-28,8.0264971674154845e-37,3.736395845490075e-44,4.6564018934017113e-56
