Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(141),C3H6X(151),C3H5X(149),C4H8(196),C4H8X(205),C4H7X(204),C3H5X(150),C5H10(233),SX(254),C4H8(240),C4H8X(315),C3H8X(43),C4H7X(251),C5H9X(252),C6H12(377),SX(388),HOCXO(25),C4H7X(197),C4H7(208),C4H7X(435)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0951776564440528e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,1.4398641610821792e-67,0.0,6.0045226127855551e-63,0.0,2.2156411676685075e-39,-1.0803665339629018e-120,1.774154466192413e-50,3.3802684730283327e-96,0.0,0.0,0.0,0.0,7.3252562956814311e-136,3.1454045097494953e-18,1.8990604172215517e-18,1.8706792110440136e-27,1.8706792110462291e-27,1.2776184254294073e-83,1.1830428563007388e-44,9.8080620615659979e-59,1.3795285451747393e-79,1.7086527161857472e-86,1.7423841767497601e-152,2.5656374397524363e-71,4.5472801372172276e-155,-2.1312622381309842e-192,-4.1391613365417921e-209,-5.4011986511218609e-212,1.2940095384308958e-249,2.1764243384005729e-266,2.8400198119987413e-269,-2.7005993255609304e-212,-3.4220951964187168e-307,-4.9406564584124654e-324,1.4221234707623055e-250,2.3919021012247875e-267,-2.0496767945446555e-137,3.1211971103171658e-270,0.0,0.0,0.0,1.7151359221031782e-53,1.9148057782581818e-270,2.7506963374615741e-280,4.6685844879281175e-297
3.0664974380433477e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,2.0645941082109681e-66,0.0,9.0740345723852502e-62,0.0,1.3382472652702482e-38,3.3744284302549491e-120,1.0715892975802172e-49,1.7714666076786165e-94,0.0,0.0,0.0,0.0,4.3756820482256807e-135,8.8071326272976664e-18,5.3173691682200101e-18,5.2379017909160591e-27,5.2379017909294412e-27,3.4252772477881415e-82,7.1455788520482353e-44,1.1644131279478873e-57,3.8904912219364842e-78,4.8797310454517399e-85,2.0476765528101521e-151,3.0459247684710095e-70,5.3440332162617554e-154,4.157031997266271e-191,1.4118282888129549e-207,1.8422971295734974e-210,1.3580304545595396e-247,4.1331488989543346e-264,5.3933530111126335e-267,9.2114856478674869e-211,2.3439461115922212e-304,6.3438028926016056e-321,1.4924828033191971e-248,4.5423529601534185e-265,9.4738917126678663e-137,5.9273240848830349e-268,4.9406564584124654e-324,0.0,0.0,1.0359420969447783e-52,3.636331815875226e-268,9.4302362105566487e-278,2.885631379028007e-294
7.009137001241937e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,0.0,0.10000000000000001,0.0,2.182671740324759e-65,0.0,9.7614323210468123e-61,0.0,6.4430845155570628e-38,4.477307841537233e-118,5.1592411876875346e-49,7.7602594938772072e-93,0.0,0.0,0.0,0.0,3.1878467282030241e-133,2.0130588862390312e-17,1.2153986670215579e-17,1.1972346950631434e-26,1.1972346950695864e-26,7.3147395117701988e-81,3.4402886261102058e-43,1.1432277138923258e-56,8.4626681972549261e-77,1.0647499388173527e-83,2.7502151531709975e-149,2.990506999765647e-69,7.1775208395310425e-152,2.6873654785614435e-188,1.8803162968810199e-204,2.4536279262027615e-207,8.1907645287489375e-244,4.9598578527971678e-260,6.4721269276904677e-263,1.2268139631013807e-207,1.2877431258682227e-299,6.9740776939710838e-316,9.0016944495987376e-245,5.4509105648947787e-261,3.0674473948537618e-134,7.1129024448940542e-264,4.5502457850687124e-319,0.0,0.0,4.9876152613929133e-52,4.3636767657542317e-264,2.256789963163919e-273,1.3789397917598912e-289
1.4894416127639118e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,0.0,0.099999999999999992,0.0,1.9923603034383943e-64,0.0,8.972438049643446e-60,0.0,2.8138642829152813e-37,3.5502288863314744e-116,2.253176172064361e-48,2.8927535251083936e-91,0.0,0.0,0.0,0.0,2.346619732427431e-131,4.2777501332560847e-17,2.5827221674201333e-17,2.5441237269947316e-26,2.5441237270228697e-26,1.3460055839983109e-79,1.5024644274891829e-42,1.0111719662912131e-55,1.5688360603687739e-75,1.9763861138742047e-82,4.0463013667729741e-147,2.645069574866482e-68,1.0560051038027784e-149,1.680466919070497e-185,2.3517183481915873e-201,3.0687612628039637e-204,4.3538901319746854e-240,5.2729895504280372e-256,6.8807330112323915e-259,1.5343806314019818e-204,5.8184533654950136e-295,6.3022546871059297e-311,4.7849487673094571e-241,5.795043991593075e-257,4.8802431204314873e-132,7.561962737297971e-260,4.1119114174898338e-314,0.0,0.0,2.1782226209851343e-51,4.6391727939284843e-260,4.798565095852142e-269,5.8640366082592037e-285
3.066497438043348e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,0.0,0.099999999999999964,0.0,1.6992063992846482e-63,0.0,7.676109653589765e-59,0.0,1.1747329470764912e-36,2.5179156929273204e-114,9.4065669797521429e-48,9.9723252993501532e-90,0.0,0.0,0.0,0.0,1.608641782272705e-129,8.8071326272842875e-17,5.317369168215132e-17,5.2379017908119611e-26,5.2379017909294348e-26,2.3057427721760609e-78,6.272493223991714e-42,8.499509653415054e-55,2.69642834837203e-74,3.3990087795631061e-81,5.5503530421737157e-145,2.2233403550528082e-67,1.4485330204457983e-147,9.4932704493285141e-183,2.6572862125331944e-198,3.467497287453181e-201,2.0257752093452185e-236,4.9068921501220636e-252,6.4030118924041896e-255,1.7337486437265905e-201,2.2295026896885303e-290,4.8297788958666137e-306,2.2263378948439699e-237,5.3927009716246845e-253,6.9276856749945852e-130,7.036944647873199e-256,3.1511933380424072e-309,0.0,0.0,9.0936506582179365e-51,4.3170819686870505e-256,8.930875638817646e-265,2.182784062470187e-280
6.22060908860222e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,0.0,0.099999999999999908,0.0,1.4028645930665135e-62,0.0,6.3467559027253276e-58,0.0,4.7991673946359166e-36,1.6949753862485993e-112,3.8428895399513893e-47,3.3105083319240393e-88,0.0,0.0,0.0,0.0,1.0649155990344499e-127,1.7865897615317072e-16,1.0786663169796518e-16,1.0625457918262632e-25,1.0625457918742555e-25,3.8155637634731208e-77,2.5625181483644504e-41,6.9684115324857235e-54,4.4691322405407136e-73,5.6353559738362408e-80,7.3505618895609702e-143,1.8228287516054304e-66,1.9183521363354752e-145,5.101238076436435e-180,2.8559317198147266e-195,3.7267101469572417e-198,8.8333877830048356e-233,4.2793290455439365e-248,5.5841037324339698e-251,1.8633550734786209e-198,7.8885722904802563e-286,3.4178116389456957e-301,9.7079408763778972e-234,4.7030057306705761e-249,9.3305383166504149e-128,6.1369601577243971e-252,2.2299541033966234e-304,0.0,0.0,3.7150530120577978e-50,3.7649527834448539e-252,1.5577395318347541e-260,7.6145168256618931e-276
1.2528832389719963e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999944,0.099999999999999645,0.0,0.099999999999999797,0.0,1.139966547375039e-61,0.0,5.1610764954036627e-57,0.0,1.9399001929211223e-35,1.1123111306260088e-110,1.5533573945658149e-46,1.0788541716755066e-86,0.0,0.0,0.0,0.0,6.9306116941859377e-126,3.5983427591288166e-16,2.1725251172924843e-16,2.1400570172428831e-25,2.140057017436875e-25,6.2078750491384214e-76,1.0358108066684432e-40,5.6432003270696134e-53,7.2768233061866398e-72,9.1771455069879854e-79,9.5689467260331857e-141,1.476173983023205e-65,2.4973069637672011e-143,2.6751421232951191e-177,2.9954293079344233e-192,3.9087407863919321e-195,3.7320669953810158e-229,3.6160082290457366e-244,4.7185352735098629e-247,1.954370393195966e-195,2.6850990305009748e-281,2.3266993073400654e-296,4.1015617821677547e-230,3.9740125712142897e-245,1.2248531103898885e-125,5.1856957470461207e-248,1.5180569369762037e-299,0.0,0.0,1.5016838257871565e-49,3.181363517123302e-248,2.6325667905961855e-256,2.5736963167827118e-271
2.514527899195545e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999886,0.099999999999999284,0.0,0.099999999999999575,0.0,9.1909826788814155e-61,0.0,4.1625951656723939e-56,0.0,7.8002533552175299e-35,7.2081820350434314e-109,6.2459817644088797e-46,3.4838354809083145e-85,0.0,0.0,0.0,0.0,4.4727478483262584e-124,7.2218487542852427e-16,4.3602427179043717e-16,4.2950794677820638e-25,4.2950794685620988e-25,1.0015728808364069e-74,4.1649496966724689e-40,4.5421385702255296e-52,1.1744822152152371e-70,1.4813106367595314e-77,1.235166791612308e-138,1.188153245684674e-64,3.2235424842816786e-141,1.3860989221414262e-174,3.1041411180293286e-189,4.0505990118536102e-192,1.5524201872333864e-225,3.008292512687011e-240,3.9255260041083463e-243,2.0252995059268051e-192,8.9665848263286527e-277,1.5539503293927468e-291,1.7061181692886815e-226,3.306129717094954e-241,1.5876544990814431e-123,4.3141742774938393e-244,1.0138762107398548e-294,0.0,0.0,6.038204614833802e-49,2.6466954037049895e-244,4.3802657939001879e-252,8.5646291084236652e-267
5.037817219642643e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999769,0.099999999999998562,0.0,0.099999999999999131,0.0,7.3813964888222776e-60,0.0,3.3436228075686234e-55,0.0,3.1282504698125864e-34,4.6420517240105847e-107,2.504918045890143e-45,1.1198929840098734e-83,0.0,0.0,0.0,0.0,2.8744979400882058e-122,1.446886074444693e-15,8.7356779190730338e-16,8.6051243676841933e-25,8.6051243708124776e-25,1.6091969451193872e-73,1.6703311100314725e-39,3.6447801481763134e-51,1.8873613893903422e-69,2.3805194587495055e-76,1.5876600018265473e-136,9.5341815224544313e-64,4.1434804605153848e-139,7.1391597202164901e-172,3.1976199197027154e-186,4.1725796587937854e-189,6.4078364683534552e-222,2.483433881723654e-236,3.240637086031437e-239,2.0862898293968927e-189,2.9660308784066516e-272,1.0280536920700865e-286,7.0422468828955513e-223,2.7293072472774148e-237,2.0449917793361098e-121,3.5614776579285491e-240,6.7075450356617607e-290,2.4703282292062327e-323,0.0,2.4215901140840147e-48,2.1849248493824209e-240,7.2320796960634397e-248,2.8281431592788226e-262
