Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),H2X(31),CH2X(58),CHX(26),C2H6X(34),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25)
1.90885273068946e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,7.6365870164695262e-70,0.0,6.358650847637369e-65,0.0,6.7308756455427742e-41,-6.5351122223589183e-124,5.3896845844400735e-52,1.2780925253966797e-99,0.0,0.0,0.0,0.0,0.0,2.741159825636496e-18,9.9299688278736486e-19,3.2604682594807454e-28,3.2604682594800718e-28,2.36209191741509e-86,3.5939125582602784e-46,5.1931712149800766e-61,2.0370187237602558e-81,3.7644736548515405e-89,3.9290191575328203e-101,-2.1610019560871707e-140,5.2103509824451103e-55
5.344787645930487e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,1.0946830092057992e-68,0.0,9.6091931609102957e-64,0.0,4.0654488899070258e-40,-1.3768251804603233e-124,3.2553694890018045e-51,6.6507480981007689e-98,0.0,0.0,0.0,0.0,0.0,7.6752475117815048e-18,2.7803912718045309e-18,9.1293111265460868e-28,9.1293111265420206e-28,6.3309939282733728e-85,2.1707231851887725e-45,6.1653328664232142e-60,5.7447187239766579e-80,1.06736453601265e-87,5.5699582001882461e-86,-2.9805103673384104e-140,3.1470519933939118e-54
1.2216657476412543e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.099999999999999992,0.0,0.10000000000000001,0.0,1.1571762886666529e-67,0.0,1.0337131509941416e-62,0.0,1.9573386377226229e-39,5.1223950028445111e-122,1.5673202771551728e-50,2.9080533974285662e-96,0.0,0.0,0.0,0.0,0.0,1.7543422884068744e-17,6.3551800498384991e-18,2.0866996860676765e-27,2.0866996860657189e-27,1.3518547184252799e-83,1.0451097719414351e-44,6.0531603681772635e-59,1.2496018028175276e-78,2.3248457562434764e-86,5.0129623801669951e-85,6.0680580820944195e-138,1.5151700656906359e-53
2.5960397137376654e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999978,0.0,0.099999999999999992,0.0,1.0562379550630145e-66,0.0,9.5016047885513966e-62,0.0,8.5482120698267601e-39,4.1001128715759624e-120,6.8448994222388904e-50,1.0832071683566539e-94,0.0,0.0,0.0,0.0,0.0,3.727977362863215e-17,1.3504757605904975e-17,4.4342368328938115e-27,4.4342368328852629e-27,2.4874803051499049e-82,4.5642689489837976e-44,5.3539517957884796e-58,2.3165511440166324e-77,4.3122333837752263e-85,4.0660694861332692e-84,9.8224921252970815e-136,6.6171457476597999e-53
5.344787645930488e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999992,0.099999999999999936,0.0,0.099999999999999978,0.0,9.0080807594201833e-66,0.0,8.1288229397326882e-61,0.0,3.5687102672554716e-38,2.9072371631269804e-118,2.8576107666701231e-49,3.7328344783985572e-93,0.0,0.0,0.0,0.0,0.0,7.6752475117714589e-17,2.7803912718032096e-17,9.1293111265460771e-27,9.129311126510389e-27,4.2610374444323683e-81,1.905492438383519e-43,4.5003190841489035e-57,3.9815595351732125e-76,7.4136013325011823e-84,3.2584255471095556e-83,1.3941698108670541e-133,2.7625280908514582e-52
1.0842283510316133e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999998,0.099999999999999853,0.0,0.09999999999999995,0.0,7.4370072874999784e-65,0.0,6.7210680025445827e-60,0.0,1.4579345883175729e-37,1.9567059489441927e-116,1.1674272397280548e-48,1.2389617126023245e-91,0.0,0.0,0.0,0.0,0.0,1.5569787809570206e-16,5.6402222942263017e-17,1.8519459713850594e-26,1.8519459713704799e-26,7.0511388452037734e-80,7.7845583576426105e-43,3.6896334830001517e-56,6.5991429357338874e-75,1.2289139071987691e-82,2.6072974335322793e-82,1.8774020778389296e-131,1.1285828641668788e-51
2.183727523908742e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999958,0.0999999999999997,0.0,0.099999999999999895,0.0,6.04328066325677e-64,0.0,5.4654608789159435e-59,0.0,5.8932047096249293e-37,1.28395360089712e-114,4.7189275585373137e-48,4.0372550093029111e-90,0.0,0.0,0.0,0.0,0.0,3.1358868405096732e-16,1.1359884339063155e-16,3.7299756888459571e-26,3.7299756887870239e-26,1.1472064882405976e-78,3.1466429525173215e-42,2.9879608547223881e-55,1.0744993554502084e-73,2.0011016790675994e-81,2.0858936465119179e-81,2.4643092489697213e-129,4.5619123816927332e-51
4.382725869663e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999917,0.099999999999999381,0.0,0.099999999999999784,0.0,4.8723863556415277e-63,0.0,4.4080921986329571e-58,0.0,2.369631694452036e-36,8.3201118159704782e-113,1.8974600166904457e-47,1.3036503390609474e-88,0.0,0.0,0.0,0.0,0.0,6.2937029595865933e-16,2.2799208428699542e-16,7.4860351237677254e-26,7.4860351235307599e-26,1.850888404613952e-77,1.2652512917514145e-41,2.4049708425692747e-54,1.7342462916928989e-72,3.2298945857682889e-80,1.668720487541337e-80,3.1940919782001171e-127,1.8343249045424684e-50
8.780722561171516e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999831,0.099999999999998743,0.0,0.099999999999999561,0.0,3.9130722268222096e-62,0.0,3.5408193760698236e-57,0.0,9.5032829381734106e-36,5.3580105652629407e-111,7.6096633266632713e-47,4.1905402545671271e-87,0.0,0.0,0.0,0.0,0.0,1.2609335197626889e-15,4.5677856607823043e-16,1.4998153993611162e-25,1.4998153992660823e-25,2.9737633544789233e-76,5.0742235772556466e-41,1.9298376413392682e-53,2.7868872334633293e-71,5.1904411195250893e-79,1.3349769482892343e-79,4.1140833215021341e-125,7.3564632881455119e-50
1.757671594418855e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999658,0.09999999999999748,0.0,0.099999999999999103,0.0,3.1365347242349801e-61,0.0,2.8384049951080735e-56,0.0,3.806270061122531e-35,3.4397697864134386e-109,3.0478345099806104e-46,1.3439978024415803e-85,0.0,0.0,0.0,0.0,0.0,2.5240599673253299e-15,9.1435152965472907e-16,3.0022391733297645e-25,3.002239172949133e-25,4.7679170975942352e-75,2.0323361317552266e-40,1.5462185204371939e-52,4.4687162410019662e-70,8.3228353045567651e-78,1.0679816184677745e-78,5.2825004482945024e-123,2.946422425385465e-49
3.516870271022261e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999314,0.099999999999994954,0.0,0.099999999999998188,0.0,2.511660894008933e-60,0.0,2.2730260432925787e-55,0.0,1.5234999668888575e-34,2.204864584963692e-107,1.2199280925887714e-45,4.3056387611391137e-84,0.0,0.0,0.0,0.0,0.0,5.05031286226894e-15,1.8294974567838416e-15,6.0070867212669014e-25,6.0070867197433845e-25,7.636592824098048e-74,8.1346409469447722e-40,1.2379149832784728e-51,7.1577121741500755e-69,1.333105663496357e-76,8.5438531374788088e-78,6.7721631633865478e-121,1.1793368293989669e-48
7.035267624229073e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998626,0.099999999999989903,0.0,0.099999999999996356,0.0,2.0103024285912687e-59,0.0,1.8193421028898645e-54,0.0,6.0959843168339364e-34,1.4122061044459938e-105,4.8813014002813374e-45,1.3785801749889134e-82,0.0,0.0,0.0,0.0,0.0,1.0102818651429474e-14,3.6597893109465278e-15,1.2016781817140543e-24,1.2016781811044492e-24,1.2224892446067782e-72,3.2549159641164395e-39,9.9070821405526947e-51,1.1458555967657523e-67,2.1341312890985398e-75,6.8350829471262906e-77,8.6751349210741071e-119,4.7188834701536838e-48
1.40720623306427e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799997249,0.099999999999979799,0.0,0.099999999999992692,0.0,1.6086315217368583e-58,0.0,1.4558422785873469e-53,0.0,2.4387906723328385e-33,9.0416170736953194e-104,1.9528384113708911e-44,4.4126979631236563e-81,0.0,0.0,0.0,0.0,0.0,2.0207830226843803e-14,7.3203730188897443e-15,2.4036172008885287e-24,2.4036171984497118e-24,1.956490447489904e-71,1.3021783324752294e-38,7.9271709413638784e-50,1.83386641417063e-66,3.4155399439797832e-74,5.4680677435402213e-76,1.1108504434630972e-116,1.8878606594590003e-47
2.814565174346995e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799994496,0.099999999999959593,0.0,0.099999999999985364,0.0,1.2870610676368415e-57,0.0,1.1648212777265064e-52,0.0,9.7559566307029046e-33,5.787753974982934e-102,7.8119893932716611e-44,1.4122618666967376e-79,0.0,0.0,0.0,0.0,0.0,4.0417853366045484e-14,1.4641540433247554e-14,4.8074952392364617e-24,4.8074952294804008e-24,3.1307908969577969e-70,5.2091372503237487e-38,6.3423389050934895e-49,2.9345842820418627e-65,5.4656073852627212e-73,4.3744586345871922e-75,1.4221657232775702e-114,7.5520572013501369e-47
5.629283056912445e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799988989,0.099999999999919167,0.0,0.099999999999970723,0.0,1.029711197947918e-56,0.0,9.3191600507548379e-52,0.0,3.9025414411163387e-32,3.7045199535887866e-100,3.1249229113920499e-43,4.5195547532902614e-78,0.0,0.0,0.0,0.0,0.0,8.0837899597940958e-14,2.9283875255848682e-14,9.6152513159282671e-24,9.6152512769024351e-24,5.0095904001350642e-69,2.0837396844942767e-37,5.0741119915154094e-48,4.6956532740829486e-64,8.7455649201946283e-72,3.4995811255871438e-74,1.8205491693631036e-112,3.0209457791812807e-46
1.1258718822043346e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799977976,0.099999999999838329,0.0,0.099999999999941441,0.0,8.2379389664018353e-56,0.0,7.4555639370010906e-51,0.0,1.5610483307045103e-31,2.3710062182318056e-98,1.2499945958249745e-42,1.4463076482979253e-76,0.0,0.0,0.0,0.0,0.0,1.6167799187570034e-13,5.8568544876592948e-14,1.9230763469295636e-23,1.9230763313189134e-23,8.0156046132408331e-68,8.3351282878161514e-37,4.0593859328012233e-47,7.5132999367171901e-63,1.3993372871932977e-70,2.7997104151862879e-73,2.3304153386525265e-110,1.2084028770877914e-45
2.2517590352305146e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799955952,0.099999999999676653,0.0,0.099999999999882877,0.0,6.5904509277188913e-55,0.0,5.9645454417906765e-50,0.0,6.2442567993037471e-31,1.5174790941237148e-96,5.0000292462788935e-42,4.6282610989801778e-75,0.0,0.0,0.0,0.0,0.0,3.2335817568709285e-13,1.1713788402024959e-13,3.8461787775965394e-23,3.8461787151533044e-23,1.2825175337400534e-66,3.334085207868639e-36,3.2475472666546179e-46,1.2021483503678229e-61,2.2389754200048029e-69,2.2399140070759071e-72,2.9830012366364949e-108,4.8336605216143124e-45
