Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CHOX(53),HOCOX(217),C2H4X(209)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38966863991083e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.569282315282186e-65,3.0502785919970661e-36,2.1106254610621405e-88,1.8720014763548772e-54,7.3719048162030998e-132,5.6393909054314943e-20,-7.0949285281331572e-106,5.6393909054314931e-20,2.7385323618645541e-72,3.6417895053718055e-70,4.7989393394311973e-112,5.5643575517931104e-113,4.8061363791844751e-50,1.3028098689253934e-85,3.0798253046946019e-18,9.1188153404472534e-20,3.6505675569720972e-22,3.6505675569184242e-22,2.6810749432123085e-33,4.2963207854901584e-41,3.4208142190625779e-45,3.4259564523756828e-37,2.2332014999380815e-52,9.2522642024385023e-38,2.191819402046948e-98,3.4528103749691692e-54,4.4348945754219147e-76,8.4513813025735623e-106,-4.3022954070985954e-108,-2.2539075073918758e-121,4.3016455363222314e-115
1.7891072191750326e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.510660424551033e-64,1.8423682715612336e-35,2.3323134171928658e-86,2.8289686204189096e-53,2.6600124947937997e-129,1.5790294535208184e-19,1.3696864778796358e-104,1.5790294535208177e-19,7.723099397595771e-71,1.1450368833572367e-68,9.5933755687586264e-110,1.1123493759242291e-110,5.7058451093651122e-49,6.7437190667878264e-84,8.6235108531448816e-18,2.5532682953252307e-19,1.0221589159608926e-21,1.0221589159284743e-21,1.6193692406306167e-32,5.1005919618002146e-40,4.061214804315578e-44,2.069277697232775e-36,2.6512568233555706e-51,5.5883675782699707e-37,2.0641061111656067e-96,4.099176477146942e-53,2.6979785789959176e-74,1.689483220677722e-103,4.354060473077232e-106,7.2562115414110571e-119,7.3348102483818585e-113
4.089387929542932e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.9366844146088885e-63,8.8702101754525425e-35,2.1101283094678383e-84,3.043275347888944e-52,9.6313911647577113e-127,3.6092101794761567e-19,1.4462442741346546e-102,3.6092101794761534e-19,1.6799428119680794e-69,2.554514297935266e-67,1.7368046024112216e-107,2.0138203719287964e-108,5.6020325635690532e-48,2.9445716655061148e-82,1.9710881950045431e-17,5.8360418178862422e-19,2.3363632365230808e-21,2.3363632363669999e-21,7.7965655588171377e-32,5.0077912758928625e-39,3.9873759604149404e-43,9.9626813634764195e-36,2.603019676477971e-50,2.690558430064784e-36,1.804039395742357e-94,4.0245957730130444e-52,1.2180119014506209e-72,3.058675449876514e-101,9.1181863198208932e-104,3.7893668449668806e-116,1.2819478930812908e-110
8.68994935027873e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.234363171866422e-61,3.873853842758847e-34,1.5970171848692273e-82,2.7972943548193066e-51,2.9204736814719496e-124,7.6695716313868328e-19,1.1431355658675649e-100,7.6695716313868193e-19,3.1143308484618573e-68,4.7843225662739366e-66,2.6317929592334734e-105,3.0515570195043174e-106,4.9549343614664381e-47,1.0961902018032239e-80,4.1885624143846462e-17,1.2401588863008265e-18,4.964771877786744e-21,4.9647718771050972e-21,3.4049647893005913e-31,4.4293343904925838e-38,3.5268799312938253e-42,4.3509646944839803e-35,2.3023414354914616e-49,1.1750375537052113e-35,1.3458693636066199e-92,3.5597093840710722e-51,4.5990980537378291e-71,4.6348337068781716e-99,1.4653809528374912e-101,1.3369467310123954e-113,1.9146212939971517e-108
1.7891072191750326e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.08194794081766e-60,1.6172577373071555e-33,1.1095426467488877e-80,2.3931442137080527e-50,8.1233772102070083e-122,1.5790294535208188e-18,8.1021400565332055e-99,1.5790294535208128e-18,5.3527390135100266e-67,8.2637274557207867e-65,3.6591103195810743e-103,4.2427287988785123e-104,4.1649208879872781e-46,3.7765414513100927e-79,8.6235108531448258e-17,2.5532682953252307e-18,1.0221589160871223e-20,1.022158915802548e-20,1.4215055851700725e-30,3.7231219688936442e-37,2.9647082635934294e-41,1.816442111019764e-34,1.9352567196743764e-48,4.905550480092575e-35,9.2837311923076384e-91,2.992150225787887e-50,1.5957219021876046e-69,6.4440357235072196e-97,2.0951810255593078e-99,3.989212592319284e-111,2.6428506094506542e-106
3.6293317874693516e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.4196170933017598e-59,6.60702567703923e-33,7.3958009288114956e-79,1.9786979147641645e-49,2.1669000496634252e-119,3.2031740342850898e-18,5.452368830940381e-97,3.2031740342850663e-18,8.87177236357447e-66,1.3730306760454266e-63,4.8795612064075124e-101,5.6578383945976006e-102,3.4146537778650437e-45,1.2532964165544025e-77,1.7493407730665088e-16,5.1794871133740372e-18,2.0735223729268779e-20,2.0735223717642993e-20,5.8073126090243895e-30,3.0524395547729183e-36,2.43089814139471e-40,7.4207587138513204e-34,1.5866404094053318e-47,2.0040774352708486e-34,6.1653721209992551e-89,2.4531455330320382e-49,5.314960664633608e-68,8.5933639551950905e-95,2.8324418534931172e-97,1.1007830132570629e-108,3.5112588194481203e-104
7.30978092405799e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.5433558028996829e-58,2.6706655144903495e-32,4.8307158419412566e-77,1.6090442829018123e-48,5.662742842046342e-117,6.4514631958136349e-18,3.5774986204064705e-95,6.4514631958135386e-18,1.4445381437163515e-64,2.2383865364417043e-62,6.3753618961210722e-99,7.3922153630411425e-100,2.765275160147254e-44,4.0836839035814871e-76,3.5233201485705217e-16,1.0431924749471644e-17,4.1762492874978304e-20,4.1762492827985023e-20,2.3474073687432506e-29,2.4719434329889713e-35,1.9690111847963333e-39,2.9995893197569201e-33,1.2849025842332815e-46,8.1008014176357718e-34,4.0189478339406023e-87,1.9866208544651927e-48,1.7352445382414771e-66,1.1227608958949647e-92,3.7257961742518425e-95,2.9249542395055179e-106,4.5783424094085872e-102
1.4670679197235267e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.9274109566160024e-57,1.0738629366399876e-31,3.1241614490314139e-75,1.2977525057909238e-47,1.4650729661606307e-114,1.2948041518870734e-17,2.3181658652431047e-93,1.2948041518870346e-17,2.3314903878881738e-63,3.6150002335723262e-61,8.246894642596941e-97,9.5622526636562718e-98,2.225734022315083e-43,1.3185967865442171e-74,7.0712788995783893e-16,2.0936800021666833e-17,8.3817031202055062e-20,8.3817031013097092e-20,9.4388118248786456e-29,1.9896331034916129e-34,1.5854864320929217e-38,1.2061216727161973e-32,1.0342014550484165e-45,3.2572966212974738e-33,2.5957620562502914e-85,1.5990052953357116e-47,5.6102912382594034e-65,1.4523553277834152e-90,4.8357573062900804e-93,7.6301612709849217e-104,5.9145550877307007e-100
2.939247574358982e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.4330477575496563e-55,4.3066713087363161e-31,2.0111473625226158e-73,1.0424253874574824e-46,3.7727101946067487e-112,2.5941198164984964e-17,1.4928339236953219e-91,2.5941198164983414e-17,3.7466424627586015e-62,5.811007289494112e-60,1.0618097630220837e-94,1.231165629524815e-95,1.7860113809576642e-42,4.2385115450493529e-73,1.4167196401593487e-15,4.1946550566057134e-17,1.6792610799884002e-19,1.6792610724103325e-19,3.7853777124550518e-28,1.5965520120141687e-33,1.2733040904718575e-37,4.8370873580134567e-32,8.298816503053073e-45,1.3063216312002636e-32,1.6688895594367233e-83,1.2831010469549075e-46,1.8056524824124793e-63,1.8699463652101764e-88,6.2366402570640271e-91,1.9729121821373708e-101,7.6055473734768152e-98
