Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50),CH4OX(57)
9.71398714364575e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999964,0.099999999999997508,0.099999999999999464,3.9186801633398056e-98,8.5644277934272222e-56,1.8012139592104937e-37,7.2244542129197034e-79,1.7106173283317014e-48,2.1526866466585645e-127,3.2112713273047524e-34,3.8429009058705523e-125,3.2097492338892957e-34,5.6838195218487864e-80,1.4504977569675295e-58,4.9028140175545314e-114,1.2722684695349846e-115,2.8556824448934476e-49,6.074941231015145e-97,2.4953671187963946e-15,1.0917930527440114e-15,2.8697911689520519e-18,2.8697911890816541e-18,9.993293231790575e-27,4.7681725984265323e-29,2.2336404503269449e-35,3.005935334013517e-32,4.9444363858525379e-46,6.6999017559612644e-59,4.1649384735067519e-88,3.4346080537530911e-87,1.3229089042305209e-72
1.9436413893845492e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999279,0.09999999999999501,0.099999999999998923,1.9930594480968788e-95,1.3719004237543669e-54,1.4356990561257046e-36,9.1819537595572738e-77,1.3698812254140845e-47,2.190686193507374e-124,6.4283809923413577e-34,2.464060755024379e-123,6.4222886520079089e-34,9.1039890982026604e-79,2.3234972583648039e-57,1.4334743768728042e-111,3.2339819726687588e-113,2.2862823469288723e-48,1.9461630766322009e-95,4.9929022368247938e-15,2.1845346659160608e-15,5.742075620297105e-18,5.7420757010571785e-18,3.9810008982971618e-26,3.8005799817737563e-28,3.5470864291413128e-34,1.2031575107615424e-31,3.9585555616278543e-45,4.2576592741420401e-57,1.0591543291513763e-85,8.7342948422322893e-85,4.2383991792044895e-71
3.8881267394244976e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999856,0.099999999999990014,0.099999999999997827,1.0106607903988595e-92,2.1963151239808431e-53,1.1389335714749673e-35,1.1637717662692852e-74,1.0964601858916764e-46,2.2222271217729596e-121,1.2871749355643083e-33,1.5792452687631876e-121,1.2847372058814936e-33,1.4574289215626858e-77,3.7197577262835437e-56,4.5829522901294942e-109,8.1979453320253821e-111,1.8297207475643017e-47,6.2312149324021853e-94,9.9879724728744017e-15,4.3700178922599732e-15,1.148664446266231e-17,1.1486644787302059e-17,1.5779763263207196e-25,3.0149801152166552e-27,5.6181243974488023e-33,4.8141972906986271e-31,3.1680475734816092e-44,2.6981377263162686e-55,2.6854177721711945e-83,2.2145244441945929e-82,1.3571028258394786e-69
7.777097439504396e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997123,0.099999999999980008,0.099999999999995648,5.0861096474799483e-90,3.5151241872583287e-52,8.9562044962355858e-35,1.464020836007362e-72,8.7739026797920605e-46,2.236879946653057e-118,2.5795082214391955e-33,1.0124240904074312e-119,2.5697557154708608e-33,2.3325189431809855e-76,5.9533426791876166e-55,1.6307086722744021e-106,2.0626586155384583e-108,1.4640546320411335e-46,1.9945478057272903e-92,1.9978112944944854e-14,8.7409843449470496e-15,2.297578190609312e-17,2.2975783216510534e-17,6.1964630993654391e-25,2.3708782373205009e-26,8.8319190327021108e-32,1.9259924479257845e-30,2.534919457320417e-43,1.6970224586313225e-53,6.7570263010315858e-81,5.5721687638191811e-80,4.3440336852393111e-68
1.555503883966419e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994247,0.09999999999996001,0.099999999999991276,2.5200940211205236e-87,5.6250151440524884e-51,6.9266030414319359e-34,1.8134612104991199e-70,7.0200104541383137e-45,2.2167696907320441e-115,5.1788132454322551e-33,6.4976249103345397e-118,5.139800047561786e-33,3.7325363745094517e-75,9.5267329593948305e-54,6.4063494653343994e-104,5.1102874018924989e-106,1.1713549736395823e-45,6.3834473202549593e-91,3.9958393888970705e-14,1.7482917250318209e-14,4.5954055827756398e-17,4.5954061158371232e-17,2.3902690222598592e-24,1.8335971626586424e-25,1.3669052756144686e-30,7.70459719937283e-30,2.0281282194669553e-42,1.0509071611796259e-51,1.6739523669144188e-78,1.3804217873542496e-77,1.3902995863290797e-66
3.1110921639983776e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988494,0.09999999999992,0.099999999999982533,1.2125132122421836e-84,9.0006784914424709e-50,5.1939407190048093e-33,2.1813869321792749e-68,5.6163632687298407e-44,2.1331387332401493e-112,1.04359770974724e-32,4.1804644381569152e-116,1.0279917963395411e-32,5.9724626271747542e-74,1.524388117914607e-52,2.6797589015339554e-101,1.2295665498813072e-103,9.3712855654240445e-45,2.0428460955519031e-89,7.9918955776562179e-14,3.4966783061048563e-14,9.1910599810289801e-17,9.1910621775098086e-17,8.9199984903626281e-24,1.3749198041558857e-24,2.0537275199694148e-29,3.081964605538956e-29,1.6225797589398809e-41,6.3190760834570484e-50,4.0267683353131036e-76,3.3206678830865552e-75,4.4492929735692087e-65
6.222268724062296e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976986,0.099999999999839981,0.099999999999965047,5.5401304407841305e-82,1.440161253057401e-48,3.6897718333070762e-32,2.4920053681079124e-66,4.4932318768493568e-43,1.9492369161271592e-109,2.1184519978415931e-32,2.7032542179527291e-114,2.0560270801697089e-32,9.5562623070832751e-73,2.4391098647266675e-51,1.1324457585163609e-98,2.8099210017976735e-101,7.4972078565168448e-44,6.5373352630284484e-88,1.5984007954990425e-13,6.9934514682461385e-14,1.8382367233218688e-16,1.838237644611112e-16,3.1413022705236989e-23,9.7672736183146059e-24,2.928732728128535e-28,1.2328111796652151e-28,1.2980948698263312e-40,3.6078380401418692e-48,9.1983980731595883e-74,7.5854452161797813e-73,1.4238273545736182e-63
1.2444621844190133e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953971,0.099999999999679956,0.099999999999930075,2.3332402887670923e-79,2.3043013501534239e-47,2.4075166780595093e-31,2.6242651617806722e-64,3.5946408796670825e-42,1.6417102795193096e-106,4.3618466132933134e-32,1.7654889823707736e-112,4.1121444505090011e-32,1.5290272737869116e-71,3.9026475160590173e-50,4.5756377538302487e-96,5.9203109371056936e-99,5.9978397902198714e-43,2.091983101141921e-86,3.1968232708922471e-13,1.3986997792509553e-13,3.6764975560332197e-16,3.6765014878655955e-16,1.0099220333647167e-22,6.3727951029288866e-23,3.8464524863041165e-27,4.9312969288935526e-28,1.0384886227279458e-39,1.8982366681115606e-46,1.9366038431343309e-71,1.5970169301277455e-70,4.5563340254135984e-62
2.4889328084445803e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039907941,0.099999999999359906,0.099999999999860145,8.8081207827074662e-77,3.6869208565605787e-46,1.4022184535380634e-30,2.4773754743342974e-62,2.8757330513015639e-41,1.2393417799372049e-103,9.2233797493907584e-32,1.1751936812655476e-110,8.2245664021308548e-32,2.4464623968601045e-70,6.2442954291829892e-49,1.6907573445555382e-93,1.1184015004719423e-96,4.7983040223997179e-42,6.6943992320891046e-85,6.393668221384111e-13,2.7974090440959765e-13,7.3530167505512277e-16,7.3530336409240904e-16,2.8770374295924856e-22,3.7115012143791174e-22,4.5237166728777943e-26,1.9725304416526647e-27,8.3079647161137813e-39,8.9500047301179695e-45,3.6543914121899413e-69,3.013579918289893e-68,1.4580411902664513e-60
4.977874056495715e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039815884,0.099999999998719807,0.099999999999720271,2.9519200520697799e-74,5.8991176931200901e-45,7.2296994285368655e-30,2.0763555148685062e-60,2.3005916938996562e-40,8.3055212948607317e-101,2.0445419627499845e-31,8.1007055882883741e-109,1.6450159151099312e-31,3.9143500897595262e-69,9.9909266643734126e-48,5.6049754397090168e-91,1.8759890138342254e-94,3.8386605551055534e-41,2.1422137241280677e-83,1.2787358121189663e-12,5.5948275737553768e-13,1.4706045255981842e-15,1.4706117111155615e-15,7.2175462645169384e-22,1.9133744675211919e-21,4.7199060348219862e-25,7.890154931317063e-27,6.64640178942339e-38,3.7455470155576169e-43,6.121537879909008e-67,5.0480598263678969e-66,4.6657576587804032e-59
