Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),C2H6X(52),C2H4X(210),C2H4X(65),acetyl(43),CHOX(53)
7.924295718358295e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679960653,0.11866996602957634,0.022821567693048633,4.1195505641784196e-84,6.7947317027377484e-46,3.127623004860864e-26,3.7252517862629413e-59,2.0900363603377797e-39,5.035569919770557e-93,6.9938213897563014e-15,5.8473348433395904e-77,6.9938213894617289e-15,2.0223161519402904e-52,3.0630601493912721e-50,5.2749882751540344e-78,6.1163348866229859e-79,5.6970880578540456e-36,6.158224741512808e-61,3.8195167621151022e-13,1.1308910278595093e-14,4.5273361438766303e-17,9.4868689875630858e-28,3.5128264462534349e-27,4.5273358444178551e-17,2.5089614507705042e-39,1.3798840491514328e-24,7.8658666332422121e-29,3.1084641891209077e-33,3.1534042084418616e-54,1.622741340506803e-37,2.6792478901236712e-76,6.5264023962059981e-69,9.2897470652525468e-72,3.6004823408869455e-62,2.6205854626469876e-51,8.0050707676161815e-81,7.6133909007284633e-73,3.5366565018222916e-85,1.5664537469113064e-75
1.5848645177150745e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679921318,0.11866996602918735,0.022821567693042978,2.0002653706942858e-81,1.0871636879437369e-44,1.251055577691353e-25,4.521569768722291e-57,1.6720423148187013e-38,2.4440898246833017e-90,1.3987690210097902e-14,3.7423394130771265e-75,1.3987690208919606e-14,3.2357332580493106e-51,4.9009404934410595e-49,1.2802704197202241e-75,1.4844701116721648e-76,4.5576973840409182e-35,1.9706491498231206e-59,7.6390594269168017e-13,2.2617897251134645e-14,9.0547032788555154e-17,3.7947668003580317e-27,1.4051376188888453e-26,9.0547020809828884e-17,2.0071804921059275e-38,5.5192494923208226e-24,6.2921721996237082e-28,4.7216594364892384e-32,1.914477226191343e-52,1.298200787730678e-36,6.5052213705990887e-74,4.1769346220659165e-67,2.2546755589580243e-69,1.1521649849109119e-60,4.1929722763794712e-50,1.0246582290137307e-78,4.8725927388151407e-71,1.7169046447898112e-82,3.8033389777939136e-73
3.1697344094735645e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679842647,0.11866996602840936,0.022821567693031668,9.9610502101722482e-79,1.7394664792488285e-43,5.0042351375441532e-25,5.6288923475067924e-55,1.3376391393804518e-37,1.2168674090573766e-87,2.7975427851911611e-14,2.3951116446035846e-73,2.797542784719842e-14,5.1771951096657037e-50,7.8415395719046691e-48,3.1872809313812478e-73,3.6956434885222608e-74,3.646168553397475e-34,6.3061047090941685e-58,1.5278144755785544e-12,4.523587119611817e-14,1.8109438412797977e-16,1.5179105037011067e-26,5.6205639172563178e-26,1.8109433621043232e-16,1.6057482314201034e-37,2.2074536283552776e-23,5.0328593504672932e-27,7.352225473222262e-31,1.1919118548840917e-50,1.0385637305323437e-35,1.6198394515649963e-71,2.673249939905706e-65,5.6130976788401294e-67,3.6869441164162319e-59,6.708784051791916e-49,1.3115683601001488e-76,3.1184465968152127e-69,8.5490465504936472e-80,9.4704688006043836e-71
6.3394741929905445e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679685306,0.11866996602685338,0.02282156769300905,5.0268599773963106e-76,2.783147745202837e-42,2.0016966805585667e-24,7.1013734196144117e-53,1.0701134215360608e-36,6.1402749971181123e-85,5.5950903140061022e-14,1.5328760463832248e-71,5.595090312120825e-14,8.2835295800801284e-49,1.2546489152831512e-46,8.0416751655503169e-71,9.3242993284433722e-72,2.9169388948321153e-33,2.017957804444588e-56,3.0556315410584382e-12,9.0471819085702921e-14,3.6218912137933457e-16,6.0716491217910093e-26,2.2482277439614985e-25,3.6218892968885799e-16,1.2845990084333084e-36,8.827812116852408e-23,4.0248646597704963e-26,1.1598669757237572e-29,7.519346352402668e-49,8.3085224729038941e-35,4.0873815161896905e-69,1.7108836208804724e-63,1.4162130795980598e-64,1.1798241578746534e-57,1.0734077148322422e-47,1.6788111217711455e-74,1.9957761714633608e-67,4.3140474866120505e-77,2.3896691948610284e-68
1.2678953760024506e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679370625,0.11866996602374144,0.022821567692963816,2.5535424310739357e-73,4.453030184891402e-41,8.0067924544222925e-24,9.0182583134972355e-51,8.5609157327028138e-36,3.1189697550842534e-82,1.1190185373444788e-13,9.8104211327819987e-70,1.1190185365903675e-13,1.3253660890704642e-47,2.007439695255247e-45,2.0424222688246571e-68,2.3681822921831001e-69,2.3335524065416315e-32,6.4574712664674198e-55,6.1112656708427518e-12,1.8094371486334312e-13,7.243787342780327e-16,2.4286607020080861e-25,8.9929112396959516e-25,7.2437796735464688e-16,1.0276775971937917e-35,3.5295172190014097e-22,3.2176098334416652e-25,1.841653792900576e-28,4.77477814027455e-47,6.6468233930920576e-34,1.0381667629955803e-66,1.0949665464798178e-61,3.5968907793670305e-62,3.7754370774845964e-56,1.7174541370458591e-46,2.1488802756479999e-72,1.2772545357374543e-65,2.1913808473597311e-74,6.0694024470284508e-66
2.5357912894092426e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678741256,0.11866996601751754,0.022821567692873343,1.3007363655705744e-70,7.1248199375834327e-40,3.2027185125038149e-23,1.1484350067492062e-48,6.8487358027769474e-35,1.588722260938404e-79,2.238037549955737e-13,6.2786738060824669e-68,2.2380375469392909e-13,2.1205867119575745e-46,3.2119026211627084e-44,5.201812377627772e-66,6.031482887106234e-67,1.8668419132437285e-31,2.0663914383855975e-53,1.2222533925709558e-11,3.6188750641250642e-13,1.4487585145034566e-15,9.7146419698440623e-25,3.5971612764382906e-24,1.448755445522471e-15,8.2213858776466186e-35,1.4105210796982557e-21,2.5704396823258128e-24,2.9323301838059594e-27,3.040300360514937e-45,5.3174614607949546e-33,2.6441475864641594e-64,7.0077873746561841e-60,9.1608479495193873e-60,1.2081375930398763e-54,2.7479279901683007e-45,2.7505673477330038e-70,8.1738751028680071e-64,1.1162347917425805e-71,1.5457416905219535e-63
5.0715831162228266e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677482524,0.11866996600506975,0.022821567692692401,6.6273373891134266e-68,1.1399614359362611e-38,1.2810880176757157e-22,1.462837596096255e-46,5.4789897247839116e-34,8.0946390935054752e-77,4.4760755780723066e-13,4.0183521726949624e-66,4.4760755660065511e-13,3.392939144890426e-45,5.139036966083343e-43,1.3251782163395779e-63,1.5365381659767941e-64,1.4934726805980526e-30,6.6124512245023501e-52,2.4445070416635889e-11,7.2377508948636465e-13,2.8975202993896174e-15,3.885854264523067e-24,1.4388612489293384e-23,2.8975080132070927e-15,6.5770492041669359e-34,5.6318213555954207e-21,2.0505317313619556e-23,4.6706807274731259e-26,1.9363195269356169e-43,4.2539711930938853e-32,6.736056147555164e-62,4.4849820680160381e-58,2.3337473323588114e-57,3.8660223569906287e-53,4.3966856769624965e-44,3.5207247668124709e-68,5.2305668202403645e-62,5.6871874323990557e-69,3.9373294905002205e-61
1.0143166769849996e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767496506,0.11866996598017418,0.022821567692330513,3.3693064795844984e-65,1.8239065421238001e-37,5.1243557337502599e-22,1.8592579041204333e-44,4.3831918863199864e-33,4.1153571955290882e-74,8.9521516458817568e-13,2.5717451385548197e-64,8.9521515976187246e-13,5.4287017730811908e-44,8.222427751350158e-42,3.3686215868268598e-61,3.9058952042225848e-62,1.1947764523121175e-29,2.1159826408681027e-50,4.8890143323259402e-11,1.4475502555362067e-12,5.7950528209307774e-15,1.5543393167318742e-23,5.7554175305277918e-23,5.7950035940040227e-15,5.2615427061424155e-33,2.2445593049499962e-20,1.6311708568408537e-22,7.4257669799385389e-25,1.2305040787020335e-41,3.4031792370328476e-31,1.712281925828445e-59,2.8703849556596179e-56,5.9323789374073892e-55,1.2371144335294183e-51,7.0346971444240115e-43,4.5065221243259984e-66,3.3466487855750109e-60,2.8912648704423557e-66,1.0006026728569569e-58
2.0286334077104334e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727669930132,0.11866996593038302,0.022821567691606738,1.7032462493751584e-62,2.9181484208905482e-36,2.0497449532307263e-21,2.3497520610337573e-42,3.5065530292068364e-32,2.0804938130774421e-71,1.7904303827805431e-12,1.6459160992605059e-62,1.7904303634753688e-12,8.6859183632290775e-43,1.3155788294806744e-40,8.5148255991916295e-59,9.8728538664119965e-60,9.5581832183299932e-29,6.7711318544532867e-49,9.7780288835589894e-11,2.8951005872443935e-12,1.1590154100019174e-14,6.2173374158662822e-23,2.3021447659205753e-22,1.1589956537563397e-14,4.2090789373143115e-32,8.9135414067281608e-20,1.2903123385508816e-21,1.1747205314527711e-23,7.7752773952318494e-40,2.7225466314436505e-30,4.3279011204893858e-57,1.8370414215293417e-54,1.4995005732655981e-52,3.9586859218864712e-50,1.1255513390935447e-41,5.7683328286593532e-64,2.140685833707026e-58,1.4615208930292996e-63,2.5278065250943824e-56
4.057266869161301e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727659860276,0.11866996583080071,0.022821567690159188,8.508482299451134e-60,4.6687106156324973e-35,8.1990001900125634e-21,2.9345954134989638e-40,2.8052413955289135e-31,1.0394109156534341e-68,3.5808608376869519e-12,1.0533851442018504e-60,3.5808607604666077e-12,1.3897453684843782e-41,2.104895224205879e-39,2.1269403904635679e-56,2.4661498271413771e-57,7.6465006149699639e-28,2.1667539094197593e-47,1.9556057865658465e-10,5.7902012490947833e-12,2.3180505005402769e-14,2.4869189416960277e-22,9.2084005493290451e-22,2.3179709554581763e-14,3.3670145814180994e-31,3.5146906368378151e-19,1.0094219207755182e-20,1.8389212767482138e-22,4.8547930499701521e-38,2.1780422416618894e-29,1.0809651668609894e-54,1.1757000510758782e-52,3.7455417723418811e-50,1.2667280519588905e-48,1.8008813108143938e-40,7.3834255891152929e-62,1.3685444040366122e-56,7.3003093749012338e-61,6.3072320754184232e-54
