Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),H2X(49)
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,3.9655051974446917e-95,3.138956549434911e-52,7.2080335304190097e-35,5.3695684148140317e-71,1.3448269170211058e-48,8.6447207311432839e-114,2.6662242479577954e-21,5.3791251672326194e-100,2.6662242479417918e-21,8.4656692942046153e-68,4.4680644472200414e-59,2.1240044675289527e-95,1.2834217580297943e-96,2.036226163422717e-44,1.0266869123970878e-79,1.0573864914888509e-14,5.084008216521951e-16,1.9596514375337976e-19,1.9596514795232056e-19,2.0993284535277776e-27,2.7845830774046238e-31,1.2844985109015986e-36,5.6731986767512894e-31,4.3016673556752233e-44,2.7975931399754279e-60,2.4448838860838047e-86,1.0345935432555097e-47
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,1.2870180851291511e-92,5.0233522985459014e-51,2.9211012083552855e-34,4.3549493231576502e-69,1.0761339732510764e-47,2.8019590520396512e-111,5.3330272292319033e-21,3.4439689816504662e-98,5.3330272291678782e-21,1.354874589120082e-66,7.1509810863067127e-58,3.443236668275121e-93,2.0805628827697697e-94,1.6292902440807561e-43,3.286319221013765e-78,2.115002500338152e-14,1.0169119972921062e-15,3.9197281969661785e-19,3.9197283649622901e-19,8.3975669332553751e-27,2.2278109423027309e-30,1.3069015156769773e-35,2.2696487967581103e-30,3.4419873050675149e-43,1.1358655574684947e-58,3.9686715026664364e-84,8.3786658075215851e-47
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,4.6849278952943655e-90,8.038180715965638e-50,1.1984616514455815e-33,3.9615731706471504e-67,8.6101614193182193e-47,1.0185181449467469e-108,1.0666633191871483e-20,2.2045654204560829e-96,1.0666633191615363e-20,2.1680933231674219e-65,1.1443231571974268e-56,6.260217793311354e-91,3.7827131948389598e-92,1.3035558610823162e-42,1.0517695193830941e-76,4.2302345180290071e-14,2.0339343485717692e-15,7.8398815898454346e-19,7.8398822619736353e-19,3.3584093097851166e-26,1.7819723465821039e-29,1.4920728739811168e-34,9.0793333489475132e-30,2.7538510563854328e-42,5.1733151797457975e-57,7.2256829533479054e-82,6.8640795369011245e-46
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,1.9104393112222097e-87,1.2861741155541144e-48,5.0332822972884595e-33,4.0373258702351702e-65,6.8885646021209873e-46,4.1482800115649251e-106,2.1333845117516101e-20,1.4110578902575851e-94,2.1333845116491588e-20,3.4691843168530903e-64,1.8310497483000494e-55,1.2752270390910739e-88,7.7055117024212872e-90,1.042894041452987e-41,3.3658980775462843e-75,8.4606985533797296e-14,4.0679790511304547e-15,1.5680187871661947e-18,1.5680190560996197e-18,1.3427062104757361e-25,1.4249330180993895e-28,1.907554412958475e-33,3.6318805429693792e-29,2.2031850415320988e-41,2.6392661513393148e-55,1.4736950828222905e-79,5.7481687458157199e-45
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,8.5261267791035378e-85,2.0579302156673354e-47,2.2044664319547403e-32,4.5035132207057384e-63,5.5110252124523676e-45,1.8497276303282202e-103,4.2668268970267168e-20,9.0312047496562247e-93,4.2668268966169048e-20,5.5508822689224811e-63,2.9297849244377313e-54,2.8437394343714737e-86,1.7183189199428636e-87,8.3433478851161385e-41,1.0771249616465357e-73,1.6921626623957225e-13,8.1360684562452729e-15,3.1360798419527218e-18,3.1360809182771158e-18,5.3652450266060091e-25,1.138835023154706e-27,2.6665941567920678e-32,1.4527813109886356e-28,1.7625892423610079e-40,1.473270174956649e-53,3.2891848942802926e-77,5.0086956411381713e-44
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,4.0386603201120387e-82,3.2927279490676356e-46,1.0342345096072785e-31,5.3323157931076157e-61,4.4088885253550716e-44,8.7571314384170461e-101,8.533711668161669e-20,5.7801086728224813e-91,8.5337116665223981e-20,8.8815594598923187e-62,4.6877374717637091e-53,6.7324113062709164e-84,4.0680343561111689e-85,6.6747535511191873e-40,3.4468592135675753e-72,3.3843482764616422e-13,1.6272247266464689e-14,6.2722011452188964e-18,6.2722054550974156e-18,2.1415819988798527e-24,9.0926250914283233e-27,3.9528640870282357e-31,5.8111806528584567e-28,1.4100871248849959e-39,8.7265837176086632e-52,7.7911259129058793e-75,4.661214547969006e-43
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,1.9787303353885581e-79,5.2683909578952435e-45,5.3492831396338585e-31,6.5308874396904721e-59,3.5271364698977261e-43,4.2892955483332341e-98,1.7067481212770508e-19,3.6993118894570553e-89,1.7067481206213398e-19,1.4210606800180847e-60,7.5004366830887773e-52,1.6489044340506417e-81,9.9634433727724245e-83,5.3398281712419263e-39,1.1030039380602263e-70,6.7687195043951648e-13,3.2544604886862652e-14,1.2544440526525379e-17,1.2544457802212532e-17,8.5302827700313348e-24,7.2452478235520375e-26,6.0568394686250761e-30,2.3244811196022692e-27,1.1280747877434945e-38,5.3455651985243296e-50,1.9087542426102742e-72,4.7697611156603714e-42
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,9.8482988023242835e-77,8.4294291032906689e-44,3.098222368697433e-30,8.1259055558610762e-57,2.8217167273998602e-42,2.1345364469482343e-95,3.413502031134395e-19,2.3675709762191695e-87,3.4135020285115442e-19,2.2737039090912826e-59,1.2000716726955844e-50,4.1029581228885394e-79,2.4791970956962158e-80,4.2718650418850182e-38,3.5296237586604178e-69,1.3537461959468933e-12,6.5089320127495081e-14,2.5088906388248106e-17,2.5088975776512598e-17,3.3835887606640861e-23,5.7505066624790413e-25,9.4237198782486267e-29,9.2979244084587571e-27,9.0245993797380192e-38,3.3259758781474851e-48,4.7501625846361484e-70,5.4621796644876166e-41
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,4.9152548471762148e-74,1.3487033675293979e-42,1.9883951678247156e-29,1.0138966752570846e-54,2.2573720690837703e-41,1.065314778403353e-92,6.8270098545913477e-19,1.5152462698292775e-85,6.8270098440999724e-19,3.6379249526207288e-58,1.9201073674797421e-49,1.023868053763747e-76,6.1866843859858708e-78,3.4174808319114558e-37,1.1294793227583574e-67,2.7074946866443379e-12,1.3017875060810603e-13,5.0177786508238647e-17,5.0178066292195424e-17,1.3311376161313937e-22,4.5289117896813104e-24,1.4698838609903431e-27,3.7191555199845296e-26,7.2196490973615163e-37,2.0750134582386378e-46,1.1854022173632201e-67,6.945083809259619e-40
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,2.4308673303917407e-71,2.1579033182825519e-41,1.3677584572062346e-28,1.2535941619344752e-52,1.805890196676155e-40,5.2689617342757075e-90,1.3654025516474347e-18,9.6975430886260043e-84,1.3654025474508902e-18,5.8206572546518342e-57,3.0721379363705443e-48,2.5319385962042847e-74,1.5299144066045549e-75,2.7339606595099926e-36,3.6143201681347524e-66,5.4149916667699906e-12,2.6035761156671212e-13,1.0035534033524931e-16,1.0035647652408764e-16,5.1541592691893198e-22,3.5136989894617326e-23,2.2712163586198948e-26,1.4876479759736388e-25,5.7756577760451908e-36,1.282691017991273e-44,2.9311831152116327e-65,9.4976909628052237e-39
