Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(46),CHOX(50),CO2X(24)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0549508192470822e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-4.7159647466872951e-122,3.4862595557465157e-69,6.0764925334740877e-46,1.2272270812356863e-97,3.8321616021644834e-57,4.6937809012784324e-154,3.4858295987443039e-37,-2.8440274981310803e-141,3.4858269071261721e-37,2.5909124268075027e-91,7.0382704890547434e-76,1.5291712627795326e-135,4.6716795671594727e-137,1.1909339816241757e-63,5.8221720478210527e-111,2.7099990429982699e-18,1.1857005351237507e-18,3.1166308166428254e-21,3.116630816678337e-21,1.7755958783855746e-32,1.6085695441416513e-37,7.5971398992571145e-46,5.315591503042796e-38,5.2860882496716882e-75,1.6606517262458545e-54,4.6454227811022085e-62,-1.9084202303519319e-108,-2.3142296941704126e-109
2.9538622938918304e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.0053841607498286e-119,7.9234098315504368e-68,7.2139541686566629e-45,1.5900434745085238e-95,5.7911626127198478e-56,1.6936794769855238e-151,9.7603316016856374e-37,5.4904255991373969e-140,9.7603153443121212e-37,7.306787589012104e-90,2.2129450141865889e-74,3.5855116115867323e-133,1.09417766454748e-134,1.4138768227848839e-62,3.0137239302752428e-109,7.5879973203951494e-18,3.3199614983465028e-18,8.7265662865423818e-21,8.7265662867568747e-21,1.0724505295143357e-31,1.9096784637682978e-36,1.0615555516013872e-44,3.2106172673435608e-37,3.7755567218935983e-73,1.9715257291211172e-53,1.0391545452084532e-60,2.2708862535589155e-106,2.7537710616679874e-107
6.751685243181326e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,5.5816481822776448e-117,1.5765655029142889e-66,7.0825805881619549e-44,1.8969276960839852e-93,6.2298684727137039e-55,2.1311217361660848e-148,2.230937050837464e-36,5.7973176542204312e-138,2.2309292236119374e-36,1.5893859007659063e-88,4.9369586023287283e-73,8.5603631260712259e-131,2.6105110476646161e-132,1.3881526483628999e-61,1.3159098130115743e-107,1.7343993875188877e-17,7.5884834247920047e-18,1.9946437226111369e-20,1.994643722714408e-20,5.1632921013344931e-31,1.8749012344361317e-35,1.3803459152111312e-43,1.5457740083430494e-36,2.2506194510255548e-71,1.9356556512500772e-52,2.0531598864882875e-59,6.2629717569446151e-104,7.5947398061893915e-105
1.4347331141760317e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,2.6670735306716098e-114,2.8144298733175553e-65,6.2642445951454206e-43,2.1320070548945423e-91,5.7263224379508718e-54,2.1636924812935681e-145,4.7407587924978002e-36,4.5823081553535689e-136,4.7407246089475301e-36,2.9464535968366971e-87,9.2463770732209106e-72,1.9273904216094474e-128,5.8695540062267584e-130,1.2278052963966667e-60,4.8988022956744833e-106,3.685598698477623e-17,1.6125527277683008e-17,4.2386179104328858e-20,4.2386179108839073e-20,2.254861367163165e-30,1.6582712655286942e-34,1.8223286567250404e-42,6.7508012011974451e-36,1.2641081874550779e-69,1.7120655018796298e-51,3.653365395380071e-58,1.4958778202934729e-101,1.8139635719926113e-102
2.95386229389183e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,1.2618558036087777e-111,4.7542849039117115e-64,5.2651087865555335e-42,2.4490824721768401e-89,4.8989894049706752e-53,2.107649836785759e-142,9.7604581171086035e-36,3.2477942995306643e-134,9.7603154075152776e-36,5.0642009103142553e-86,1.5970816961470668e-70,4.439840857709907e-126,1.3483687014446193e-127,1.0320443311755266e-59,1.6877116671253623e-104,7.5879973203950498e-17,3.3199614983464998e-17,8.726566285708189e-20,8.7265662875911851e-20,9.4129008527552887e-30,1.3937799542069688e-33,2.5434423157497976e-41,2.8183266080123521e-35,7.2619485584741834e-68,1.4390942122513748e-50,6.161519926734058e-57,3.5386028678983066e-99,4.2910566469377103e-100
5.992120653323427e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,6.1099829988387451e-109,7.8148612858074061e-63,4.3160537979349477e-41,2.9223652303355822e-87,4.0505791763689249e-52,2.0703148650038588e-139,1.9800080131490711e-35,2.1856389479865402e-132,1.9799497116237033e-35,8.3935416162655511e-85,2.6535751175405386e-69,1.0652145061917927e-123,3.2173552387487363e-125,8.4613229411577279e-59,5.6008996894468741e-103,1.5392794564229725e-16,6.734779039502893e-17,1.7702463034786018e-19,1.7702463042479243e-19,3.8449039919072755e-29,1.1425460366707096e-32,3.7439752945713645e-40,1.1513783760819882e-34,4.3340762770639498e-66,1.1798563787216349e-49,1.0118952537160645e-55,8.5674817271526961e-97,1.0389283031021465e-97
1.206863737218662e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,3.0260743624440615e-106,1.2673002766278757e-61,3.4942800511241255e-40,3.5926831408479602e-85,3.2938637145615153e-51,2.0652234661945576e-136,3.9880217620896618e-35,1.4341068819462068e-130,3.9877860980025589e-35,1.3666706633030066e-83,4.3259971465922438e-68,2.6473916749937784e-121,7.9096935761510785e-123,6.8521986587674806e-58,1.8249716185668132e-101,3.1002389051898375e-16,1.3564414121815666e-16,3.5654256527050585e-19,3.5654256558152452e-19,1.5537084972858294e-28,9.2500601107639945e-32,5.7174768574232213e-39,4.6540554612407446e-34,2.6647644224436884e-64,9.5547828064673151e-49,1.6398842649178752e-54,2.1216948458758875e-94,2.5728546313962235e-95
2.422167080991301e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,1.5209929718304191e-103,2.0413312897712508e-60,2.8109367874975438e-39,4.4984690490882125e-83,2.6566204120317949e-50,2.0833807980647457e-133,8.0044066442272855e-35,9.2931778952553318e-129,8.003459049298287e-35,2.2058119588288962e-82,6.9864968734987532e-67,6.7725439577238327e-119,1.9806291693118274e-120,5.5152455543081352e-57,5.8927227639424354e-100,6.2221578027232864e-16,2.7223684286441133e-16,7.1557843488015268e-19,7.1557843613111737e-19,6.2436718254770835e-28,7.4411130075937699e-31,8.9215186104987213e-38,1.8713752120253838e-33,1.6685504316176236e-62,7.6905203745538666e-48,2.6395619837550318e-53,5.3322872032208645e-92,6.4661493841428875e-93
4.852773768536579e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999821,0.099999999999998757,0.099999999999999742,7.706717050434741e-101,3.2770958666069378e-59,2.2530940980245383e-38,5.6882396532182915e-81,2.133941984673771e-49,2.11495583559745e-130,1.6038605945526434e-34,5.9850341894192907e-127,1.6034805666041807e-34,3.5446805956154284e-81,1.1230589439135946e-65,1.7851820659588233e-116,5.0087485403238986e-118,4.4256371325103899e-56,1.8941630742204772e-98,1.2465995597789064e-15,5.4542224615691775e-16,1.4336501731568693e-18,1.4336501781767779e-18,2.5010114823413636e-27,5.9643909199261969e-30,1.4080192866241677e-36,7.5050514355515078e-33,1.0550102435426495e-60,6.1711581475023323e-47,4.2325265311549517e-52,1.3509302808607565e-89,1.6381923121877723e-90
