Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
2.3063208721407843e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4459569193964274,0.11247340088279371,0.022660356305630663,2.4802148042791352e-10,9.0628226019970147e-08,2.5856884625312352e-05,3.7829560483846371e-06,2.7879852906020594e-08,1.7674206455993153e-18,0.00020282650468645376,8.7191929369216864e-17,0.00015459520299391112,9.5578592134959559e-13,2.4061646179646177e-11,9.794972286918232e-14,7.5084127540527025e-16,7.563799881190956e-08,1.5746663513609771e-11,0.0059821433087925042,0.00031843071564153868,4.1563617540242821e-05,3.1368843392434117e-08,1.1431423938285533e-09,8.2828664103564208e-10,4.013544014274494e-13,6.9836455321436846e-09,7.7386523113633107e-06,8.6421750168182975e-09,5.1271161627776797e-12,4.3326773686856199e-07,2.4658434218036198e-11,1.1794415899736705e-11,4.9964677189429617e-14,1.2272236206642029e-12
2.317356099894008e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44594216525258656,0.11245927545095383,0.022659596274254918,2.5330330390725479e-10,9.2513563589346142e-08,2.6161748876027934e-05,3.8436666998265862e-06,2.8274545520826935e-08,1.8146225115821638e-18,0.00020378935931212396,8.9303768232029607e-17,0.00015515678319771809,9.6982120911830824e-13,2.4676705196213768e-11,9.9930052953751956e-14,7.6678014658369662e-16,7.6783688096506184e-08,1.6054395857072053e-11,0.0059952012645877522,0.00031988662967974115,4.1755016300019374e-05,3.1658255333507421e-08,1.1485320053157782e-09,8.3197880869672786e-10,4.033708301659066e-13,7.0549004993991508e-09,7.7815903016741209e-06,8.7375105298404708e-09,5.2265068617699835e-12,4.3874498915774916e-07,2.5141592269706473e-11,1.1983352406126626e-11,5.0750166893344573e-14,1.246469868970609e-12
2.3283913276472316e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44592750055205155,0.11244523715571372,0.022658836318525659,2.5866768471340733e-10,9.4425000041954786e-08,2.6468606166904528e-05,3.9049915775934043e-06,2.8672869144697225e-08,1.8627914938804513e-18,0.00020475210327412525,9.1456187445756082e-17,0.00015571699759308239,9.8399349793464707e-13,2.5303978809313577e-11,1.0193837310431767e-13,7.8297022618547141e-16,7.7939429603841611e-08,1.6366628349960054e-11,0.0060081717288168,0.00032134174098951616,4.1945381108294546e-05,3.194813265210346e-08,1.1539206328824111e-09,8.3567049804257285e-10,4.0538868336913484e-13,7.1261974358164206e-09,7.8243718591444374e-06,8.8332597594107624e-09,5.3271681803398648e-12,4.4426269081858132e-07,2.5631834463873406e-11,1.2174194877027172e-11,5.1541918608065417e-14,1.2658968712066568e-12
2.3394265554004552e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44591292471189142,0.11243128541541303,0.022658076438131582,2.641153945701809e-10,9.6362678263459921e-08,2.6777452692312148e-05,3.9669323491217114e-06,2.9074838890089847e-08,1.9119407423972798e-18,0.00020571473600247225,9.3649763569373812e-17,0.00015627584914012103,9.9830344176844428e-13,2.5943635376395679e-11,1.0397487907742449e-13,7.9941397807846409e-16,7.9105230590976072e-08,1.6683404726872483e-11,0.0060210552837486756,0.00032279604838686957,4.2134715592557297e-05,3.2238466144460176e-08,1.1593082734168738e-09,8.3936170677591927e-10,4.0740792873760645e-13,7.1975305384667641e-09,7.8669952556144526e-06,8.9294192243055241e-09,5.4291061638850476e-12,4.4982080654443794e-07,2.6129229833059083e-11,1.2366948429013935e-11,5.2339908197247227e-14,1.2855048303300096e-12
2.350461783153679e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44589843715280869,0.11241741965227135,0.022657316632763418,2.6964720603472121e-10,9.8326739908285775e-08,2.7088284561653391e-05,4.0294906486493499e-06,2.9480469847014525e-08,1.9620834766626099e-18,0.00020667725692651226,9.5885078423688662e-17,0.00015683334079013517,1.0127516940732647e-12,2.6595844423006748e-11,1.0603976565125468e-13,8.1611387177531338e-16,8.028109795287977e-08,1.7004768930011075e-11,0.0060338525077731735,0.00032424955071829457,4.2323023565495896e-05,3.2529246811655311e-08,1.1646949238040314e-09,8.4305243260128302e-10,4.0942853402645587e-13,7.2688940722475989e-09,7.9094587959172291e-06,9.0259854362591887e-09,5.5323268058824366e-12,4.5541929843641121e-07,2.6633847738468245e-11,1.2561618075801006e-11,5.31441111793869e-14,1.3052939382215578e-12
2.3614970109069025e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44588403729911907,0.11240363929236254,0.022656556902113954,2.7526389245038706e-10,1.0031732541204104e-07,2.7401097802302448e-05,4.0926680772531688e-06,2.9889777083005407e-08,2.0132329852274377e-18,0.00020763966547493701,9.8162719110840908e-17,0.00015738947548591135,1.0273389077809777e-12,2.7260776640292566e-11,1.0813322660744227e-13,8.3307238229485279e-16,8.1467038230728932e-08,1.7330765109012603e-11,0.0060465639754267546,0.00032570224686074249,4.2510309018681986e-05,3.2820465857099396e-08,1.1700805809252915e-09,8.4674267322498791e-10,4.1145046703567494e-13,7.3402823702517907e-09,7.9517608178384638e-06,9.1229549007220581e-09,5.6368360480593602e-12,4.6105812605955685e-07,2.7145757869723944e-11,1.2758208728367685e-11,5.3954502746348021e-14,1.3252643757887897e-12
2.372532238660126e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44586972457873181,0.1123899437655889,0.022655797245878004,2.809662279000763e-10,1.0233457400432347e-07,2.7715888362513151e-05,4.1564662028929141e-06,3.0302775643094334e-08,2.0654026250652007e-18,0.0002086019610757959,1.0048327803372891e-16,0.00015794425616201419,1.0420657352963575e-12,2.7938603882498239e-11,1.1025545471321437e-13,8.5029199002379056e-16,8.266305762012841e-08,1.7661437620779119e-11,0.0060591902574182498,0.00032715413572158438,4.269657611632284e-05,3.3112114685230631e-08,1.1754652416586741e-09,8.5043242635510101e-10,4.1347369562830828e-13,7.4116898346413099e-09,7.9938996920697099e-06,9.2203241176114444e-09,5.7426397809178631e-12,4.6673724649929688e-07,2.7665030244600458e-11,1.2956725195102851e-11,5.4771057779383867e-14,1.3454163130721033e-12
2.3835674664133498e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44585549842313121,0.11237633250565571,0.022655037663752375,2.8675498716000799e-10,1.0437862372197647e-07,2.8032652114294962e-05,4.2208865604610884e-06,3.0719480549784085e-08,2.1186058209768578e-18,0.00020956414315650838,1.0284735291535046e-16,0.00015849768574506973,1.0569328284917277e-12,2.8629499164467362e-11,1.1240664170386128e-13,8.6777518057867055e-16,8.386916197925746e-08,1.7996831029306575e-11,0.0060717319206543812,0.000328605216238566,4.2881829189086173e-05,3.340418490043425e-08,1.180848902878858e-09,8.541216897015727e-10,4.1549818776844102e-13,7.48311093734409e-09,8.0358738221557674e-06,9.31808958205363e-09,5.8497438456036395e-12,4.7245661441792683e-07,2.8191735208753447e-11,1.3157172181968845e-11,5.5593750858513057e-14,1.3657499093524195e-12
2.3946026941665734e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44584135826735655,0.11236280495004566,0.0226542781554359,2.9263094565397088e-10,1.0644961142267073e-07,2.8351384856255368e-05,4.2859306518387534e-06,3.1139906803021614e-08,2.1728560650011619e-18,0.00021052621114387712,1.0525554681806124e-16,0.00015904976715404006,1.0719408387016241e-12,2.9333636659141381e-11,1.1458697826553762e-13,8.8552444466813295e-16,8.5085356836936968e-08,1.8336990105511662e-11,0.0060841895282651428,0.00033005548737975835,4.3066072728002959e-05,3.3696668304021103e-08,1.1862315614572841e-09,8.5781046097630457e-10,4.1752391149924167e-13,7.554540220133569e-09,8.0776816444368273e-06,9.4162477851222825e-09,5.9581540339917783e-12,4.7821618211117982e-07,2.872594343544744e-11,1.3359554292683776e-11,5.6422556280826866e-14,1.3862653132605066e-12
2.405637921919797e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44582730354998351,0.11234936053999393,0.022653518720629373,2.985948794080458e-10,1.0854767279877104e-07,2.8672082316407738e-05,4.3515999459571981e-06,3.1564069380171345e-08,2.2281669158334804e-18,0.00021148816446410064,1.0770846816275027e-16,0.00015960050330048894,1.0870904167175039e-12,3.0051191695060448e-11,1.1679665401839563e-13,9.0354227795550394e-16,8.6311647400612956e-08,1.868195982705702e-11,0.0060965636396289932,0.00033150494814350136,4.3249311378445928e-05,3.3989556892553814e-08,1.1916132142622367e-09,8.6149873789302865e-10,4.1955083495426997e-13,7.6259722953711546e-09,8.1193216279840703e-06,9.5147952145706231e-09,6.0678760888000464e-12,4.8401589956480476e-07,2.9267725925280664e-11,1.3563876028920568e-11,5.7257448077662958e-14,1.4069626628897632e-12
2.4166731496730207e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.445813333713105,0.11233599872046285,0.022652759359035587,3.0464756500581217e-10,1.1067294239161604e-07,2.8994740154943259e-05,4.4178958788653985e-06,3.1991983235988565e-08,2.2845519982480363e-18,0.0002124500025427872,1.1020673074793214e-16,0.00016014989708883911,1.1023822127824774e-12,3.0782340753866809e-11,1.1903585750005315e-13,9.2183118092173192e-16,8.7548038564256242e-08,1.9031785378174724e-11,0.0061088548103978707,0.00033295359755833971,4.3431549934187162e-05,3.4282842857017916e-08,1.1969938581588863e-09,8.6518651816745734e-10,4.2157892641496458e-13,7.6974018467039641e-09,8.1607922745295934e-06,9.6137283555522476e-09,6.1789157060483116e-12,4.8985571451110956e-07,2.981715400590716e-11,1.3770141790524702e-11,5.8098400021045469e-14,1.4278420859099459e-12
2.4277083774262444e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44579944820231238,0.11232271894011729,0.022652000070359272,3.1078977954404344e-10,1.128255536060647e-07,2.9319353966966017e-05,4.4848198538031674e-06,3.2423663302592748e-08,2.3420250025245387e-18,0.00021341172480496745,1.1275095376875577e-16,0.0001606979514166209,1.117816876586079e-12,3.1527261467811939e-11,1.2130477614939629e-13,9.4039365872869525e-16,8.8794534916174327e-08,1.9386512149488129e-11,0.0061210635925220656,0.00033440143468295533,4.3612793331541589e-05,3.4576518579314226e-08,1.202373490009388e-09,8.6887379951740038e-10,4.2360815427434171e-13,7.7688236288300038e-09,8.2020921183915573e-06,9.7130436913385816e-09,6.2912785351632408e-12,4.9573557248543527e-07,3.0374299331756269e-11,1.397835587575013e-11,5.894538564130178e-14,1.4489036996816774e-12
2.438743605179468e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44578564646667629,0.1123095206512998,0.022651240854307132,3.170223005889034e-10,1.1500563872522103e-07,2.9645919285190212e-05,4.5523732412799754e-06,3.2859124489441051e-08,2.4005996838849843e-18,0.00021437333067510822,1.1534176183592949e-16,0.00016124466917471231,1.1333950572590707e-12,3.2286132617268516e-11,1.2360359629072012e-13,9.5923222108290506e-16,9.0051140746733283e-08,1.974618573783205e-11,0.0061331905342749083,0.00033584845860609372,4.3793046643592328e-05,3.4870576630086341e-08,1.2077521066729788e-09,8.7256057966258386e-10,4.2563848703283089e-13,7.8402324680837331e-09,8.2432197263928834e-06,9.8127377040313498e-09,6.4049701783585246e-12,5.0165541688250918e-07,3.0939233883749525e-11,1.4188522481511043e-11,5.9798378246432242e-14,1.470147611375168e-12
